Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University  
Dequan Stanley,ATH,Saint Augustine,FL,5'10'',160.0,74.0,South Florida,,151,,,2021,South Florida,,,
Keeon Terrell,DE,Fort Myers,FL,6'3'',220.0,74.0,South Florida,,137,,,2021,South Florida,664,219,
C.J. Ross,OLB,Jacksonville,FL,5'11'',200.0,73.0,South Florida,,32,,,2021,South Florida,,,
Timmy McClain,QB-DT,Sanford,FL,6'0'',170.0,73.0,South Florida,,104,,,2021,South Florida,731,246,
Jhalin Hobbs,DT,Ruskin,FL,6'2'',280.0,73.0,South Florida,,145,,,2021,South Florida,,,
Cole Best,OT,Winter Park,FL,6'4'',275.0,73.0,South Florida,,149,,,2021,South Florida,760,254,
Jalen Herring,ATH,Tallahassee,FL,5'11'',175.0,72.0,South Florida,,161,,,2021,South Florida,828,273,
Andrew Kilfoyl,OT,Tampa,FL,6'5'',290.0,72.0,South Florida,,,,,2021,South Florida,,,
Will Fowler,K,Spartanburg,SC,6'0'',175.0,72.0,South Florida,,282,,,2021,South Florida,866,285,
Nickolas Tshivuadi,WR,Clearwater,FL,6'4'',180.0,71.0,South Florida,,,,,2021,South Florida, None, None,
Matthew Hill,S,Auburn,AL,6'1'',190.0,,South Florida,,,,,2021,South Florida,,,
Will Jones II,CB,Manhattan,KS,5'9'',162.0,,South Florida,,,,,2021,South Florida, None, None,
Jamari Stewart,DE,Starkville,MS,6'4'',205.0,,South Florida,,,,,2021,South Florida,,,
Christian Williams,S,Coral Gables,FL,6'1'',195.0,,South Florida,,,,,2021,South Florida,,,
JeyQuan Smith,ATH,San Bernardino,CA,5'10'',170.0,,80,South Florida,27,,,2023,South Florida,50,30,
Israel Carter,QB-DT,Corona,CA,6'2'',190.0,,78,South Florida,15,,,2023,South Florida,101,60,
Jarvis Lee,CB,Bradenton,FL,5'11'',170.0,,78,South Florida,298,,,2023,South Florida,,,
James Jenkins,OG,Tampa,FL,6'5'',270.0,,76,South Florida,70,,,2023,South Florida,440,156,
Jaylen Johnson,RB,Baxley,GA,5'10'',190.0,,76,South Florida,458,,,2023,South Florida,,,
Stantavious Smith,DT,Albany,GA,6'2'',265.0,,74,South Florida,103,,,2023,South Florida,626,150,
Timothy Lawrence,OT,Orange Park,FL,6'5'',285.0,,74,South Florida,124,,,2023,South Florida,648,227,
Keshaun Singleton,WR,Norcross,GA,6'2'',190.0,,74,South Florida,225,,,2023,South Florida,,,
Cole Skinner,OG,Point Pleasant,NJ,6'4'',300.0,,73,South Florida,102,,,2023,South Florida,184,33,
Tawfiq Byard,S,Hyattsville,MD,5'11'',190.0,,73,South Florida,148,,,2023,South Florida,190,36,
Drew Perez,OT,Southlake,TX,6'7'',325.0,,73,South Florida,134,,,2023,South Florida,365,268,
Trey DuBuc,LS,Fort Lauderdale,FL,6'1'',215.0,,67,South Florida,12,,,2023,South Florida,778,273,
Demitrius Carter Jr,WR,Lutz,FL,,,,South Florida,,,,,2023,South Florida,,,
Nikola Milovac,OT,Clearwater,FL,6'5'',280.0,,,South Florida,NR,,,2023,South Florida, NR, NR,
Gerard Edimo,TE,Round Rock,TX,6'4'',220.0,,,South Florida,,,,2023,South Florida, None, None,
Tyree Kelly,WR,Cairo,GA,6'2'',190.0,,,South Florida,NR,,,2023,South Florida, NR, NR,
Deonte Bowie,OG,Pflugerville,TX,6'4'',315.0,,,South Florida,,,,2023,South Florida, None, None,
Lloyd Summerall III,DE,Lakeland,FL,6'5'',231.0,,,South Florida,,,,2023,South Florida,,,
Kendall Dennis,S,Lakeland,FL,5'11'',187.0,,,South Florida,,,,2023,South Florida, None, None,
Weston Wolff,TE,Venice,FL,6'4'',225.0,,,South Florida,,,,2023,South Florida, None, None,
Naiem Simmons,WR,Staten Island,NY,5'10'',185.0,,,South Florida,,,,2023,South Florida,,,
Derrick Harris Jr,OLB,New Caney,TX,6'3'',220.0,,,South Florida,,,,2023,South Florida,,,
Nay'Quan Wright,RB,Opa Locka,FL,5'8'',190.0,,,South Florida,,,,2023,South Florida,,,
Jonathan Echols,TE-H,Bradenton,FL,6'5'',220,83,South Florida,,9,,,2024,South Florida,70,24,
Rodney Hill,ILB,Bunnell,FL,,5'11'',210,79,South Florida,17,,,2024,South Florida,234,67,
Dinellson Exume,DE,Miami,FL,,6'3'',235,79,South Florida,57,,,2024,South Florida,,,
Fred Gaskin,S,Ocala,FL,,5'11'',180,79,South Florida,50,,,2024,South Florida,252,74,
Tyreek Major,OG,Tampa,FL,,6'6'',320,78,South Florida,31,,,2024,South Florida,256,78,
Brandon Winton,WR,Alcoa,TN,,6'1'',190,78,South Florida,,,,2024,South Florida,,,
Zavier Hamilton,ILB,Navarre,FL,,6'1'',215,77,South Florida,35,,,2024,South Florida,,,
Ira Singleton IV,DE,Lilburn,GA,,6'4'',220,76,South Florida,103,,,2024,South Florida,,,
Deylen Platt,CB,Venice,FL,,6'2'',175,76,South Florida,105,,,2024,South Florida,,,
Arkese Parks,WR,Tampa,FL,,6'1'',185,76,South Florida,146,,,2024,South Florida,,,
Alvon Isaac,ATH,Hawthorne,FL,,5'10'',170,75,South Florida,125,,,2024,South Florida,591,190,
Marcelis Tate,QB-PP,Neptune Beach,FL,,6'3'',195,75,South Florida,56,,,2024,South Florida,,,
Chenellson Exume,OG,Miami,FL,,6'3'',245,75,South Florida,599,,,2024,South Florida,,,
Nykahi Davenport,RB,Roswell,GA,,5'11'',200,75,South Florida,105,,,2024,South Florida,621,153,
Joshua Porter,WR,Fort Meade,FL,,6'0'',175,75,South Florida,,,,2024,South Florida,,,
Ryan Jenkins,DE,Albany,GA,,6'3'',220,75,South Florida,136,,,2024,South Florida,,,
Jaylen Pettus,DE,Council Bluffs,IA,,6'4'',250,75,South Florida,141,,,2024,South Florida,185,17,
Jahari Grant,DT,Port Saint Lucie,FL,,6'2'',280,74,South Florida,663,,,2024,South Florida,,,
Devon Byrd,OLB,West Palm Beach,FL,,6'3'',200,74,South Florida,105,,,2024,South Florida,687,224,
Jermaine Dalias,S,Plantation,FL,,6'2'',190,74,South Florida,151,,,2024,South Florida,,,
Levi Smiley,DE,Cincinnati,OH,,6'4'',220,74,South Florida,157,,,2024,South Florida,,,
Teriyan Morman,OT,Ocala,FL,,6'5'',340,74,South Florida,160,,,2024,South Florida,715,227,
James Chenault,CB,Orlando,FL,,5'11'',170,73,South Florida,180,,,2024,South Florida,771,238,
Hasaan Sykes,CB,Tucker,GA,,5'11'',165,73,South Florida,188,,,2024,South Florida,,,
Ashton Mosley,OLB,Blountstown,FL,,6'3'',210,72,South Florida,130,,,2024,South Florida,,,
Nico Gramatica,K,Tampa,FL,,5'8'',155,72,South Florida,26,,,2024,South Florida,856,267,
Braden Carter,OT,Cumming,GA,,6'5'',275,71,South Florida,191,,,2024,South Florida,873,215,
Abdur-Rahmaan Yaseen,WR (TR),Southfield,MI,,6'2'',200,TR,South Florida,,,,2024,South Florida, None, None,
D'Marco Augustin,WR (TR),Boynton Beach,FL,,6'1'',200,TR,South Florida,,,,2024,South Florida,,,
DeShawn Rucker,S (TR),Tallahassee,FL,,6'0'',190,TR,South Florida,,,,2024,South Florida,,,
Junior Uzebu,OT (TR),Atlanta,GA,,6'6'',330,TR,South Florida,,,,2024,South Florida,,,
Langston Long,OLB (TR),Woodbridge,VA,,6'3'',220,TR,South Florida,,,,2024,South Florida, None, None,
Jack Wilty,OG (TR),Pleasant Valley,IA,,6'4'',310,TR,South Florida,,,,2024,South Florida, None, None,
Ta'Ron Keith,RB (TR),Daytona Beach,FL,,5'9'',190,TR,South Florida,,,,2024,South Florida,,,
Payten Singletary,DE (TR),Thomasville,GA,,6'4'',235,TR,South Florida,,,,2024,South Florida,,,
