Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University  
Leslie Stirrups,DT,Tampa,FL,6'3'',275,,South Florida,,,,,2009,South Florida,,,
Andre Davis,WR,Tampa,FL,6'1'',180.0,78,South Florida  ,,61,,,2011,South Florida,187, NR,
Edsel Caprice,OLB,Cape Coral,FL,6'2'',192.0,78,South Florida  ,,39,,,2011,South Florida,,,
Max Lang,OT,Orlando,FL,6'4'',280.0,78,South Florida  ,,41,,,2011,South Florida,,,
Corian Hamilton,S,Orlando,FL,6'1'',205.0,78,South Florida  ,,36,,,2011,South Florida,,,
David Simon,OT,Bay Minette,AL,6'4'',280.0,77,South Florida  ,,73,,,2011,South Florida,,,
Elkino Watson,DT,Miami,FL,6'2'',277.0,77,South Florida  ,,365,,,2011,South Florida,,,
Matt Floyd,QB,Milton,FL,6'1'',185.0,76,South Florida  ,,62,,,2011,South Florida,411, NR,
Willie Davis,RB,Stone Mountain,GA,5'8'',189.0,76,South Florida  ,,87,,,2011,South Florida,436,98,
Kenneth Durden,CB,Valdosta,GA,6'0'',170.0,76,South Florida  ,,51,,,2011,South Florida,,,
Zackery Bullock,DE,Sebring,FL,6'4'',194.0,75,South Florida  ,,148,,,2011,South Florida,494, None,
Tye Turner,TE,Griffin,GA,6'3'',230.0,75,South Florida  ,,6,,,2011,South Florida,498,110,
Ruben Gonzalez,WR,Tampa,FL,6'2'',184.0,75,South Florida  ,,145,,,2011,South Florida,525, NR,
Antoine Pozniak,OLB,Hamburg,NJ,6'2'',213.0,71,South Florida  ,,173,,,2011,South Florida,310,40,
Alex Mut,WR,Punta Gorda,FL,6'2'',185.0,68,South Florida  ,,236,,,2011,South Florida,,,
Thor Jozwiak,OG,Eagle Lake,FL,6'3'',259.0,,South Florida  ,,212,,,2011,South Florida,,,
Chris Garye Jr.,STallahassee,FL,6'2'',200.0,,South Florida  ,,,162,,,2011,South Florida,,,
Darrell Williams,OT,Orlando,FL,6'4'',250.0,,South Florida  ,,216,,,2011,South Florida, NR, NR,
Brynjar Gudmundsson,OG,Wellington,FL,6'3'',250.0,,South Florida  ,,,,,2011,South Florida,,,
Clavion Nelson,DE,Hollywood,FL,6'3'',225.0,,South Florida  ,,238,,,2011,South Florida,,,
Marquis White,DT,Orlando,FL,6'5'',297.0,,South Florida  ,,,,,2011,South Florida, None, None,
Mike Jeune,OLB,Jacksonville,FL,6'2'',230.0,,South Florida  ,,,,,2011,South Florida,,,
Chris Dunkley,WR,Pahokee,FL,5'11'',170.0,,University of Florida ,,,,,2011,South Florida, None, None,
Sean Price,TE,Citra,FL,6'4'',225,80.0,South Florida,,6,94,35,2012,South Florida,,,
Chris Bivins,CB,Gainesville,FL,5'11'',166,79.0,South Florida,,16,,,2012,South Florida,,,
James Hamilton,DT,Orlando,FL,6'4'',335,79.0,South Florida,,26,148,52,2012,South Florida,,,
Guito Ervilus,DE,Orlando,FL,6'4'',225,79.0,South Florida,,43,174,61,2012,South Florida,,,
Kofi Amichia,OG,Powder Springs,GA,6'3'',263,79.0,South Florida,,29,189,48,2012,South Florida,,,
D'Vario Montgomery,ATH,Winter Park,FL,6'2'',210,78.0,South Florida,,,,,2012,South Florida,,,
Eric Lee,DE,Daphne,AL,6'3'',220,78.0,South Florida,,103,,,2012,South Florida,,,
Jalen Spencer,ATH,Pensacola,FL,6'0'',172,76.0,South Florida,,125,523,180,2012,South Florida,,,
Kameron Davis,OT,Fort Lauderdale,FL,6'5'',284,75.0,South Florida,,156,,,2012,South Florida,,,
Lamarlin Wiggins,WR,Plant City,FL,6'2'',181,75.0,South Florida,,,,,2012,South Florida,,,
Jarvis McCall,S,Seffner,FL,6'2'',185,74.0,South Florida,,,,,2012,South Florida,,,
Tashon Whitehurst,OLB,Gainesville,FL,6'3'',190,74.0,South Florida,,,,,2012,South Florida,,,
Daniel Perry,DE,Davie,FL,6'6'',220,70.0,South Florida,,,,,2012,South Florida,,,
Alex Mut,WR,Punta Gorda,FL,6'2'',185,68.0,South Florida,,,,,2012,South Florida,,,
Chandlor Mathews,OT,Bay Saint Louis,MS,6'5'',285,,South Florida,,NR,,,2012,South Florida,,,
Josh Brown,CB,Lancaster,TX,6'1'',190,,South Florida,,,,,2012,South Florida,,,
Michael Pierre,RB,Huntington Beach,CA,5'11'',200,,South Florida,,,,,2012,South Florida,,,
Lawrence Martin,OT,Daytona Beach,FL,6'4'',295,,South Florida,,,,,2012,South Florida,,,
Fidel Montgomery,CB,Marianna,FL,5'11'',183,,South Florida,,,,,2012,South Florida,,,
Tevin Mims,DE,Round Rock,TX,6'4'',250,,South Florida,,,,,2012,South Florida,,,
Eric Mayes,DE,Sarasota,FL,6'5'',240,83,South Florida,,16,,,2013,South Florida,102,40,
Deadrin Senat,DT,Immokalee,FL,6'1'',311,81,South Florida,,32,,,2013,South Florida,171,68,
Derrick Calloway,DT,Bradenton,FL,6'1'',300,78,South Florida,,44,,,2013,South Florida,259,100,
Jeremi Hall,OG,East Point,GA,6'4'',335,78,South Florida,,38,,,2013,South Florida,269,54,
Nigel Harris,OLB,Tampa,FL,6'2'',205,77,South Florida,,,,,2013,South Florida, None, None,
Dominique Threatt,OG,East Point,GA,6'2'',315,77,South Florida,,,,,2013,South Florida,,,
Stafon McCray,RB,Kissimmee,FL,5'11'',196,77,South Florida,,,,,2013,South Florida,64,124,
Michael White,QB-PP,Fort Lauderdale,FL,6'4'',195,77,South Florida,,12,,,2013,South Florida,341,125,
Lamar Robbins,CB,Miami,FL,6'2'',175,76,South Florida,,,,,2013,South Florida,,,
Cameron Ruff,OG,Tampa,FL,6'3'',280,75,South Florida,,,,,2013,South Florida, None, None,
Hassan Childs,CB,Kissimmee,FL,6'1'',173,75,South Florida,,,,,2013,South Florida,,,
Rahmon Swain,OLB,Lithonia,GA,6'2'',225,74,South Florida,,,,,2013,South Florida, None, None,
Torrel Saffold,CB,Kansas City,KS,5'11'',180,74,South Florida,,,,,2013,South Florida,,,
Darius Tice,RB,Miami,FL,6'0'',210,73,South Florida,,,,,2013,South Florida,,,
Mitchell Wright,OLB,Tampa,FL,6'3'',200,73,South Florida,,113,,,2013,South Florida,,,
Mike Love,DE,Clearwater,FL,6'4'',220,73,South Florida,,98,,,2013,South Florida,,,
Darius Whitty,CB,Jacksonville,FL,6'0'',180,73,South Florida,,,,,2013,South Florida, None, None,
Nate Godwin,S,Tampa,FL,5'11'',180,72,South Florida,,,,,2013,South Florida, None, None,
Zach Benjamin,WR,Tampa,FL,6'5'',189,71,South Florida,,,,,2013,South Florida,,,
Johnny Ward,CB,Moultrie,GA,5'11'',165,69,South Florida,,,,,2013,South Florida, None, None,
Bruce Hector,DT,Tampa,FL,6'2'',270,69,South Florida,,124,,,2013,South Florida,676,262,
Emilio Nadelman,K,Miami,FL,5'10'',185,69,South Florida,,36,,,2013,South Florida,679,263,
Auggie Sanchez,TE-H,Saint Petersburg,FL,6'2'',220,67,South Florida,,35,,,2013,South Florida,718,275,
DT,Cape Coral,FL,6'3'',252,78.0,,South Florida,,,,,2015,South Florida,,,
ATH,Jacksonville,FL,6'0'',173,77.0,,South Florida,,,,,2015,South Florida,,,
ATH,Miami,FL,5'11'',181,77.0,,South Florida,,,,,2015,South Florida,,,
S,Miami,FL,5'10'',180,77.0,,South Florida,,,,,2015,South Florida,,,
QB-DT,Lakewood,OH,6'1'',183,76.0,,South Florida,,,,,2015,South Florida,,,
OT,Sebastian River,FL,6'6'',270,76.0,,South Florida,,,,,2015,South Florida,,,
DE,Tallahassee,FL,6'2'',220,75.0,,South Florida,,,,,2015,South Florida,,,
WR,Orlando,FL,5'9'',167,75.0,,South Florida,,,,,2015,South Florida,,,
TE-Y,Tarpon Springs,FL,6'4'',230,73.0,,South Florida,,,,,2015,South Florida,,,
CB,Coconut Creek,FL,5'9'',155,73.0,,South Florida,,,,,2015,South Florida,,,
S,Port Charles,FL,6'3'',195,72.0,,South Florida,,,,,2015,South Florida,,,
OG,Pembroke Pines,FL,6'2'',260,72.0,,South Florida,,,,,2015,South Florida,,,
ILB,Jensen Beach,FL,6'2'',211,72.0,,South Florida,,,,,2015,South Florida,,,
OT,Melbourne,FL,6'4'',286,72.0,,South Florida,,,,,2015,South Florida,,,
DE,Fort Lauderdale,FL,6'3'',213,70.0,,South Florida,,,,,2015,South Florida,,,
CB,Tampa,FL,5'8'',171,,,South Florida,,,,,2015,South Florida,,,
WR,Tampa,FL,5'10'',165,,,South Florida,,,,,2015,South Florida,,,
S,Immokalee,FL,6'3'',175,,,South Florida,,,,,2015,South Florida,,,
Darnell Salomon,WR,Miami,FL,6'3'',206,82.0,South Florida,,28,,,2016,South Florida,97,39,
Tramal Ivy,DE,Muskogee,OK,6'4'',240,82.0,South Florida,,4,,,2016,South Florida,,,
Josh Dunn,S,Lake Wales,FL,5'11'',205,80.0,South Florida,,28,,,2016,South Florida,190,65,
Craig Watts,SS,Saint Petersburg,FL,5'10'',179,79.0,South Florida,,36,,,2016,South Florida,,,
LaDarrius Jackson,DE,Birmingham,AL,6'4'',235,76.0,South Florida,,12,,,2016,South Florida, NR, NR,
Elijah Mack,RB,Punta Gorda,FL,6'0'',214,75.0,South Florida,,87,,,2016,South Florida,452,147,
Christion Gainer,OT,Panama City,FL,6'5'',285,74.0,South Florida,,80,,,2016,South Florida,,,
Devontres Dukes,WR,Tampa,FL,6'3'',195,74.0,South Florida,,167,,,2016,South Florida,514,170,
Frank Johnson,DE,Woodville,MS,6'5'',235,73.0,South Florida,,18,,,2016,South Florida, NR, NR,
