Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank
Jakson Thomson,QB-PP,Dallas,TX,6'4'',197,74,Louisiana Tech,38,267,196,2019,Louisiana Tech,,,
Kyle Maxwell,WR,Amite,LA,6'3'',179,74,Louisiana Tech,163,,,2019,Louisiana Tech,,,
Jonah Brewster,OT,Frisco,TX,6'7'',280,74,Louisiana Tech,128,279,204,2019,Louisiana Tech,,,
Khiry Morrison,Saint Francisville,OLB,LA,6'0'',200,74,Louisiana Tech,74,,,2019,Louisiana Tech,,,
Allen Walker,OLB,Milton,GA,6'2'',200,74,Louisiana Tech,121,,,2019,Louisiana Tech,,,
Garin Boniol,K,Starkville,MS,5'11'',170,73,Louisiana Tech,35,692,43,2019,Louisiana Tech,,,
Maki Carabin,ILB,San Antonio,TX,6'1'',221,73,Louisiana Tech,47,,,2019,Louisiana Tech,,,
Keivie Rose,DE,Henderson,TX,6'3'',248,73,Louisiana Tech,197,,,2019,Louisiana Tech,,,
Jacob Barnes,K,Baton Rouge,LA,5'10'',175,72,Louisiana Tech,49,,,2019,Louisiana Tech,,,
Stevie Ballard,OT,Raymond,MS,6'6'',281,70,Louisiana Tech,155,,,2019,Louisiana Tech,,,
Antawn Lewis,OT (JC),Palm Beach Gardens,FL,6'5'',290,NR,Louisiana Tech,NR,,,2019,Louisiana Tech,,,
Carter Habich,OT (JC),Monroe,WA,6'4'',325,NR,Louisiana Tech,, None, None,2019,Louisiana Tech,,,
Malik Wells,DT (JC),Naperville,IL,6'2'',275,NR,Louisiana Tech,, None, None,2019,Louisiana Tech,,,
