Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank ,Year,Team,State_rank,School, Reg_rank, State_rank,State_rank  ,University ,School  
Jhyryn Taylor,WR,Franklinton,LA,6'0'',172,74.0,,,127,,,2008,LSU,,,,,,,
Ryan St. Julien,CB,New Iberia,LA,6'1'',169,78.0,,,31,,,2008,LSU,,,202, None,,,
Clay Spencer,OC,Baton Rouge,LA,6'6'',285,76.0,,,12,,,2008,LSU,,,,,,,
Greg Shaw,OT,Miami,FL,6'5'',267,79.0,,,16,,,2008,LSU,,,,,,,
Kyle Prater,ILB,Kerrville,TX,6'2'',215,77.0,,,31,,,2008,LSU,,,,,,,
Patrick Peterson,CB,Pembroke Pines,FL,6'1'',193,90.0,,,1,,,2008,LSU,,,4,NR,,,
Deangelo Peterson,WR,Baton Rouge,LA,6'3'',190,,,,,,,2008,LSU,,, None, None,,,
Thomas Parsons,OG,Spring Branch,TX,6'5'',260,78.0,,,18,,,2008,LSU,,, NR, NR,,,
Tim Molton,WR,Destrehan,LA,6'3'',182,74.0,,,138,,,2008,LSU,,,421, NR,,,
P.J. Lonergan,OT,New Orleans,LA,6'4'',290,79.0,,,27,,,2008,LSU,,,,,,,
Jordan Jefferson,QB,Destrehan,LA,6'4'',200,80.0,,,16,,,2008,LSU,,,98, None,,,
Alex Hurst,OT,Arlington,TN,6'6'',310,,,,,,,2008,LSU,,, None, None,,,
Karnell Hatcher,S,Delray Beach,FL,6'2'',186,82.0,,,4,,,2008,LSU,,,41,NR,,,
Cordian Hagans,DT,Duluth,GA,6'4'',275,77.0,,,48,,,2008,LSU,,,276, None,,,
Tyler Edwards,TE,Monroe,LA,6'3'',222,80.0,,,11,,,2008,LSU,,,98, None,,,
Lavar Edwards,DE,New Orleans,LA,6'4'',280,,,,,,,2008,LSU,,, NR, NR,,,
Rocky Duplessis,S,Belle Chasse,LA,6'1'',184,79.0,,,18,,,2008,LSU,,,,,,,
Chase Clement,TE,Thibodaux,LA,6'5'',241,80.0,,,7,,,2008,LSU,,,,,,,
Derrick Bryant,CB,Suwanee,GA,6'1'',180,76.0,,,,,,2008,LSU,,,57, NR,,,
Matt Branch,TE,Monroe,LA,6'7'',240,79.0,,,17,,,2008,LSU,,,,,,,
DeAngelo Benton,WR,Bastrop,LA,6'3'',205,81.0,,,,,,2008,LSU,,, None, None,,,
Ryan Baker,OLB,Blountstown,FL,6'0'',210,80.0,,,19,,,2008,LSU,,,,,,,
Chancey Aghayere,DE,Garland,TX,6'4'',244,86.0,,,3,,,2008,LSU,,, None,14,,,
Russell Shepard,ATH,Houston,TX,6'1'',183,92.0,LSU,,1,1,,2009,LSU,,,,,NR,,
Craig Loston,S,Aldine,TX,6'2'',193,90.0,LSU,,1,2,,2009,LSU,,,,,,,
Rueben Randle,WR,Bastrop,LA,6'3'',195,86.0,LSU,,1,4,,2009,LSU,,,,,,,
Sam Montgomery,DE,Greenwood,SC,6'4'',220,84.0,LSU,,2,17,,2009,LSU,,,,,,,
Joshua Downs,DT,Bastrop,LA,6'2'',267,83.0,LSU,,4,23,,2009,LSU,,,,,,,
Chris Davenport,DT,Mansfield,LA,6'4'',318,83.0,LSU,,7,29,,2009,LSU,,,,,,,
Michael Ford,RB,Leesville,LA,5'10'',200,81.0,LSU,,10,,,2009,LSU,,,,,,,
Stavion Lowe,OG,Brownwood,TX,6'6'',294,81.0,LSU,,7,19,,2009,LSU,,,,,,,
Drayton Calhoun,ATH,Tucker,GA,6'0'',175,81.0,LSU,,12,,,2009,LSU,,,,,,,
Kevin Minter,OLB,Suwanee,GA,6'0'',231,81.0,LSU,,133,,,2009,LSU,,,,,,,
Morris Claiborne,ATH,Shreveport,LA,6'1'',185,80.0,LSU,,26,,,2009,LSU,,,,,,,
Michael Brockers,DE,Houston,TX,6'6'',260,79.0,LSU,,24,,,2009,LSU,,,,,,,
Rocky Duplessis,S,Belle Chasse,LA,6'1'',184,79.0,LSU,,,,,2009,LSU,,,,,,,
Carneal Ainsworth,OG,Baton Rouge,LA,6'4'',296,78.0,LSU,,19,165,,2009,LSU,,,,,,,
Chris Garrett,QB,Tupelo,MS,6'4'',220,78.0,LSU,,27,,,2009,LSU,,,,,,,
Barkevious Mingo,OLB,West Monroe,LA,6'5'',209,78.0,LSU,,34,,,2009,LSU,,,,,,,
Tahj Jones,OLB,Sulphur,LA,6'2'',200,78.0,LSU,,40,,,2009,LSU,,,,,,,
Dominique Allen,RB,Paris,TN,5'11'',235,78.0,LSU,,57,224,,2009,LSU,,,,,,,
Josh Johns,S,Baton Rouge,LA,6'2'',210,77.0,LSU,,296,76,,2009,LSU,,,,,,,
Bennie Logan,DE,Coushatta,LA,6'3'',230,76.0,LSU,,72,343,,2009,LSU,,,,,,,
Lamin Barrow,OLB,Marrero,LA,6'2'',209,76.0,LSU,,82,413,,2009,LSU,,,,,,,
Chris Faulk,OT,Slidell,LA,6'5'',295,75.0,LSU,,80,438,,2009,LSU,,,,,,,
Josh Williford,OG,Dothan,AL,6'7'',345,75.0,LSU,,114,465,,2009,LSU,,,,,,,
Derek Helton,K,Hoyt,KS,6'2'',170,,LSU,,,,,2009,LSU,,,,,,,
Akiem Hicks,DT,Fair Oaks,CA,6'6'',295,,LSU,,,,,2009,LSU,,,,,,,
Kwon Alexander,OLB,Oxford,AL,6'2'',215,83,LSU,,3,14,,2012,LSU,3,,,,,,
Vadal Alexander,OG,Buford,GA,6'5'',320,81,LSU,,5,36,,2012,LSU,9,,,,,,
Jeremy Liggins,ATH,Oxford,MS,6'3'',270,80,LSU,,12,54,,2012,LSU,4,,,,,,
Ronnie Feist,OLB,Edgard,LA,6'1'',215,80,LSU,,11,58,,2012,LSU,3,,,,,,
Lorenzo Phillips,OLB,Patterson,LA,6'1'',205,80,LSU,,12,61,,2012,LSU,4,,,,,,
Avery Johnson,WR,Pompano Beach,FL,6'1'',185,80,LSU,,23,72,,2012,LSU,30,,,,,,
Lamar Louis,ATH,Breaux Bridge,LA,5'11'',210,80,LSU,,20,87,,2012,LSU,6,,,,,,
Jeremy Hill,RB,Baton Rouge,LA,6'1'',230,80,LSU,,,,,2012,LSU,,,,,,,
Danielle Hunter,DE,Katy,TX,6'4'',225,79,LSU,,34,,,2012,LSU,,,,,,,
John Thomas,TE,Bossier City,LA,6'5'',225,79,LSU,,16,,,2012,LSU,,,,,,,
Corey Thompson,SMissouri City,TX,6'1'',205,78,LSU,,,23,95,,2012,LSU,74,,,,,,
Travin Dural,WR,Breaux Bridge,LA,6'1'',175,78,LSU,,245,,,2012,LSU,15,,,,,,
Dwayne Thomas,CB,New Orleans,LA,6'0'',175,78,LSU,,26,255,,2012,LSU,18,,,,,,
Jerald Hawkins,DE,Baldwin,LA,6'6'',270,78,LSU,,,,,2012,LSU,,,,,,,
Deion Jones,ILB,New Orleans,LA,6'2'',205,78,LSU,,24,,,2012,LSU,,,,,,,
Derek Edinburgh,OT,New Orleans,LA,6'8'',337,78,LSU,,76,,,2012,LSU,,,,,,,
Dillon Gordon,TE,River Ridge,LA,6'4'',250,78,LSU,,33,320,,2012,LSU,27,,,,,,
Jerquinick Sandolph,CB,Boutte,LA,6'0'',185,77,LSU,,45,,,2012,LSU,,,,,,,
Kavahra Holmes,WR,Breaux Bridge,LA,6'1'',170,76,LSU,,,,,2012,LSU,,,,,,,
Derrick Raymond,S,Metairie,LA,6'0'',170,76,LSU,,,,,2012,LSU,,,,,,,
Trey Granier,ILB,Thibodaux,LA,6'1'',225,75,LSU,,46,601,,2012,LSU,49,,,,,,
Reid Ferguson,LS,Buford,GA,6'2'',235,73,LSU,,1,794,,2012,LSU,151,,,,,,
Jalen Mills,CB,DeSoto,TX,5'11'',180,73,LSU,,,,,2012,LSU,,,,,,,
Fehoko Fanaika,OG,San Mateo,CA,6'6'',340,NR,LSU,,,,,2012,LSU,,,,,,,
Rob Bolden,QB,Orchard Lake,MI,6'4'',208,TR,LSU,,,,,2012,LSU,,,,,,,
Leonard Fournette,RB,New Orleans,LA,6'1'',226,5,95,,1,1,,2014,LSU,1,LSU,,,,,
Malachi Dupre,WR,River Ridge,LA,6'3'',187,4,88,,1,,,2014,LSU,,LSU,,,,,
Jamal Adams,S,Lewisville,TX,6'0'',204,4,88,,18th,,,2014,LSU,,LSU,,,,,
Trey Quinn,WR,Lake Charles,LA,6'1'',200,4,85,,3,,,2014,LSU,,LSU,,,,,
Clifton Garrett,ILB,Plainfield,IL,6'2'',224,4,85,,31st,,,2014,LSU,,LSU,,,,,
Brandon Harris,QB-DT,Bossier City,LA,6'2'',186,4,85,,2,,,2014,LSU,,LSU,,,,,
Edward Paris Jr.,S,Arlington,TX,6'0'',201,4,84,,4,,,2014,LSU,,LSU,,,,,
Garrett Brumfield,OG,Baton Rouge,LA,6'4'',285,4,84,,1,,,2014,LSU,,LSU,,,,,
Devin Voorhies,ATH,Woodville,MS,6'1'',199,4,83,,16,,,2014,LSU,,LSU,,,,,
Travonte Valentine,DT,Hialeah,FL,6'3'',305,4,83,,11,,,2014,LSU,,LSU,,,,,
Jacory Washington,TE-H,Westlake,LA,6'5'',223,4,83,,5,90,,2014,LSU,12,LSU,,,,,
Davon Godchaux,DE,Plaquemine,LA,6'4'',271,4,82,,22,,,2014,LSU,,LSU,,,,,
Donnie Alexander,OLB,New Orleans,LA,6'1'',207,4,82,,19,,,2014,LSU,,LSU,,,,,
D.J. Chark,WR,Alexandria,LA,6'1'',176,4,82,,38,133,,2014,LSU,18,LSU,,,,,
Deondre Clark,DE,Oklahoma City,OK,6'3'',238,4,82,,24,43,,2014,LSU,6,LSU,,,,,
Tony Upchurch,WR,Pearland,TX,6'2'',227,4,82,,42,,,2014,LSU,,LSU,,,,,
Trey Lealaimatafao,DT,San Antonio,TX,6'1'',301,4,81,,27,,,2014,LSU,,LSU,,,,,
William Clapp,OG,New Orleans,LA,6'4'',270,4,80,,22,,,2014,LSU,,LSU,,,,,
John Battle IV,S,Hallandale Beach,FL,6'1'',171,4,79,,26,,,2014,LSU,,LSU,,,,,
Sione Teuhema,DE,Keller,TX,6'3'',211,4,79,,41,,,2014,LSU,,LSU,,,,,
