Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank ,Year,Team,State_rank,School, Reg_rank, State_rank,State_rank  ,University ,School  
Christian Brathwaite,ILB,Cypress,TX,6'2'',225,80.0,,,28,,,2023,LSU,,,159,14,,,
Kyle Parker,WR,Lucas,TX,5'11'',175,80.0,,,25,,,2023,LSU,,,163,15,,,
Tyree Adams,OT,New Orleans,LA,6'5'',275,80.0,,,45,,,2023,LSU,,,,,,,
Khai Prean,ATH,Donaldsonville,LA,6'0'',185,80.0,,,23,,,2023,LSU,,,213,41,,,
Jeremiah Hughes,CB,Las Vegas,NV,6'0'',170,80.0,,,41,,,2023,LSU,,,239,47,,,
Paul Mubenga,OG,Buford,GA,6'3'',280,79.0,,,68,,,2023,LSU,,,256,20,,,
Michael Daugherty,S,Loganville,GA,6'0'',170,79.0,,,72,,,2023,LSU,,,,,,,
Dylan Carpenter,DE,Saint Amant,LA,6'3'',240,78.0,,,32,,,2023,LSU,,,,,,,
Ashton Stamps,CB,Metairie,LA,6'0'',175,77.0,,,,,,2023,LSU,,,,,,,
Jackson McGohan,TE,Miamisburg,OH,6'4'',210,76.0,,,,,,2023,LSU,,, None, None,,,
Denver Harris,CB,Houston,TX,6'1'',190,,,,,,,2023,LSU,,, None, None,,,
Aaron Anderson,WR,New Orleans,LA,5'10'',185,,,,,,,2023,LSU,,,,,,,
Paris Shand,DT,Toronto,Ontario,6'5'',290,,,,,,,2023,LSU,,, None, None,,,
Jalen Lee,DT,Watson,LA,6'2'',299,,,,,,,2023,LSU,,, None, None,,,
Bradyn Swinson,DE,Douglasville,GA,6'4'',233,,,,,,,2023,LSU,,,,,,,
Jordan Jefferson,DT,Navarre,FL,6'3'',310,,,,,,,2023,LSU,,, None, None,,,
Duce Chestnut,CB,Camden,NJ,5'11'',185,,,,,,,2023,LSU,,, None, None,,,
J.K. Johnson,CB,Saint Louis,MO,6'0'',179,,,,,,,2023,LSU,,,,,,,
Omar Speights,ILB,Philadelphia,PA,6'1'',233,,,,,,,2023,LSU,,, None, None,,,
Andre Sam,S,Iowa,LA,6'1'',180,,,,,,,2023,LSU,,, None, None,,,
Ovie Oghoufo,DE,Lathrup Village,MI,6'3'',245,,,,,,,2023,LSU,,, None, None,,,
Zy Alexander,CB,Loreauville,LA,6'2'',190,,,,,,,2023,LSU,,,,,,,
Mason Lunsford,OT,,,6'7'',305,,,,,,,2023,LSU,,,,,,,
