Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,Grade  , Reg_rank, State_rank
Colin Reardon,QB,Poland,OH,6'1'',190,Kent State,,145,311,135,2012,Kent State,72.0,,,,,,
Anthony Melchiori,K,Aurora,OH,5'11'',185,Kent State,,,,,2012,Kent State,72.0,,,,,,
Jordan Italiano,S,Canfield,OH,5'10'',195,Kent State,,,,,2012,Kent State,71.0,,,,,,
Jason O'Bryan Jr.,ATH,Madison,OH,6'2'',195,Kent State,,167,,,2012,Kent State,70.0,,,,,,
Matt Dellinger,OLB,Clarkston,MI,6'1'',190,Kent State,,96,373,155,2012,Kent State,70.0,,,,,,
Jake Kincaid,ILB,Pickerington,OH,6'2'',245,Kent State,,200,392,160,2012,Kent State,68.0,,,,,,
Brice Fackler,OLB,Kenton,OH,6'3'',210,Kent State,,, None, None,2012,Kent State,66.0,,,,,,
Keenan Stalls,,Tampa,FL,6'0'',175,Kent State,,,,,2012,Kent State,,,,,,,
Kerrick Rhone,CB,Pflugerville,TX,5'10'',170,Kent State,,, None, None,2012,Kent State,,,,,,,
Tad France,OG,Elyria,OH,6'3'',265,Kent State,,, None, None,2012,Kent State,,,,,,,
Charles Chandler,WR,Columbus,OH,6'2'',185,Kent State,,,,,2012,Kent State,,,,,,,
William Woods,CB,East Cleveland,OH,5'10'',170,Kent State,,,,,2012,Kent State,,,,,,,
Alex Nielsen,OT,Amherst,OH,6'4'',260,Kent State,,NR,,,2012,Kent State,,,,,,,
Denzell Burton,OLB,Cleveland,OH,6'1'',205,Kent State,,,,,2012,Kent State,,,,,,,
Reno Reda,DE,Pataskala,OH,6'4'',240,Kent State,,NR,,,2012,Kent State,,,,,,,
Jamal Roberts,ATH,Zephyrhills,FL,5'10'',170,Kent State,,NR,,,2012,Kent State,,,,,,,
Adam Maxie,CB,Colleyville,TX,6'0'',170,Kent State,,,,,2012,Kent State,,,,,,,
David Fisher,QB,Vista,CA,6'1'',215,Kent State,,,,,2012,Kent State,,,,,,,
Derek Adams,K,Manheim,PA,6'8'',180,Kent State,,49,,,2016,Kent State,73.0,154,31,,,,
Kavious' Price,WR,Bradenton,FL,5'5'',155,Kent State,,,,,2016,Kent State,,,,,,,
Sam Thomas,RB,Tallahassee,FL,5'11'',195,Kent State,,,,,2016,Kent State,,,,,,,
Miles Daniel,WR,Oak Park,MI,5'9'',189,Kent State,,,,,2016,Kent State,,,,,,,
Hakeem Enis,DT,Atlanta,GA,5'10'',270,Kent State,,NR,,,2016,Kent State,,NR,NR,,,,
Mike Carrigan,CB,Tallahassee,FL,5'8'',160,Kent State,,NR,,,2016,Kent State,,NR,NR,,,,
Akeam Peters,S,Tucker,GA,5'10'',191,Kent State,,,,,2016,Kent State,,,,,,,
