Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University ,School
Anthony Carpenter,ATH,Los Angeles,CA,6'0'',171,,75.0,Washington State,,,,2009,Washington State,,,,
Asi Hosea,S,Murray,UT,5'9'',165,,75.0,Washington State,134,NR,NR,2009,Washington State,,,,
Chris Mastin,DE,Spokane,WA,6'1'',205,,75.0,Washington State,101,NR,NR,2009,Washington State,,,,
Quayshawn Buckley,DT,Ontario,CA,6'3'',260,,75.0,Washington State,,,,2009,Washington State,,,,
Gino Simone,WR,Sammamish,WA,6'0'',165,,74.0,Washington State,NR,NR,NR,2009,Washington State,,,,
Jeff Tuel,QB,Fresno,CA,6'2'',188,,72.0,Washington State,72,,,2009,Washington State,,,,
Arthur Burns,RB,Corona,CA,5'10'',206,,72.0,Washington State,NR,NR,NR,2009,Washington State,,,,
Casey Locker,S,Ferndale,WA,5'10'',175,,72.0,Washington State,,,,2009,Washington State,,,,
Travis Long,DE,Spokane,WA,6'4'',245,,70.0,Washington State,,,,2009,Washington State,,,,
Carl Winston,RB,San Diego,CA,5'8'',189,,70.0,Washington State,NR,NR,NR,2009,Washington State,,,,
Andre Barrington,OLB,Federal Way,WA,6'1'',205,,68.0,Washington State,,,,2009,Washington State,,,,
Terell Thompson,OLB,Aurora,CO,6'1'',190,,,Washington State,,,,2009,Washington State,,,,
Jamal Atofau,S,Bellevue,WA,5'10'',175,,,Washington State,NR,,,2009,Washington State,,,,
Justin Clayton,DE,Napa,CA,6'4'',245,,,Washington State,NR,,,2009,Washington State,,,,
Jordan Pu'u Robinson,DE,Wailuku,HI,6'4'',250,,,Washington State,,,,2009,Washington State,,,,
Johnny Forzani,WR,Alberta,CA,6'1'',205,,,Washington State,,,,2009,Washington State,,,,
Sekope Kaufusi,ILB,Woodside,CA,6'4'',230,,,Washington State,,,,2009,Washington State,,,,
Brandon Rankin,DE,Shallotte,NC,6'4'',260,,,Washington State,,,,2009,Washington State,,,,
James Montgomery,RB,Rancho Cordova,CA,5'9'',205,,,Washington State,,,,2009,Washington State,,,,
Peter Tuitupou,TE,Orem,UT,6'4'',255,,,Washington State,,,,2009,Washington State,,,,
Logan Mayes,OLB,Eugene,OR,6'2'',214,,77.0,Washington State,82,102,,2011,Washington State,,,,
Dominique Williams,WR,Pomona,CA,6'3'',190,,77.0,Washington State,114,,,2011,Washington State,,,,
Tana Pritchard,ATH,Lakewood,WA,6'3'',197,,75.0,Washington State,131,,,2011,Washington State,,,,
Rahmel Dockery,ATH,University Place,WA,5'10'',165,,74.0,Washington State,144,197,,2011,Washington State,,,,
David Davis,DT,Palos Verdes Estates,CA,6'1'',280,,74.0,Washington State,121,,,2011,Washington State,,,,
Alex Mitchell,OG,Portland,OR,6'2'',309,,74.0,Washington State,74,209,,2011,Washington State,,,,
Darryl Monroe Jr.,OLB,Orlando,FL,6'0'',205,,74.0,Washington State,142,608,,2011,Washington State,,,,
