Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School,School  
Caleb Porzel,RB,Wheaton,MD,5'8'',175,77,Maryland ,,114,68,NR,2009,Maryland,,,,,
C.J. Brown,QB,Cranberry,PA,6'3'',180,77,Maryland ,,35,,,2009,Maryland,,,,,
Avery Graham,S,Clarksburg,MD,5'10'',180,76,Maryland ,,116,168,NR,2009,Maryland,,,,,
Lorne Goree,OLB,Springdale,MD,6'2'',200,75,Maryland ,,194,,,2009,Maryland,,,,,
Eric Franklin,S,Baltimore,MD,6'2'',190,75,Maryland ,,136,198,,2009,Maryland,,,,,
David Mackall,DE,Baltimore,MD,6'3'',235,75,Maryland ,,105,,,2009,Maryland,,,,,
Pete DeSouza,OG,Hyattsville,MD,6'6'',300,74,Maryland ,,125,,,2009,Maryland,,,,,
Nick Ferrara,K,Melville,NY,6'1'',195,74,Maryland ,,28,230,14,2009,Maryland,,,,,
Justin Anderson,DE,Blythewood,SC,6'5'',265,74,Maryland ,,124,526,NR,2009,Maryland,,,,,
Cody Blue,OT,Columbia,MD,6'5'',275,74,Maryland ,,,,,2009,Maryland,,,,,
Bradley Johnson,OLB,Church Road,VA,6'1'',206,74,Maryland ,,119,254,,2009,Maryland,,,,,
Isaiah Ross,ILB,Greenbelt,MD,6'1'',237,73,Maryland ,,54,257,NR,2009,Maryland,,,,,
Danny O'Brien,QB,Kernersville,NC,6'3'',204,73,Maryland ,,101,,,2009,Maryland,,,,,
Dave Stinebaugh,TE,Baltimore,MD,6'4'',208,72,Maryland ,,,,,2009,Maryland,,,,,
Ryan Donohue,ILB,Montvale,NJ,6'2'',215,72,Maryland ,,NR,,,2009,Maryland,,,,,
Nick Klemm,OT,Marietta,GA,6'6'',280,NR,Maryland ,,,,,2009,Maryland,,,,,
Bennett Fulper,OG,Gretna,VA,6'4'',285,NR,Maryland,,,,,2009,Maryland,,,,,
Marcus Leak,WR,Monroe,NC,5'11'',190,,79.0,Maryland,44,,,2011,Maryland,,47, NR,,
Cole Farrand,OLB,Sparta,NJ,6'2'',235,,79.0,Maryland,25,,,2011,Maryland,,51,8,,
Nigel King,WR,Raleigh,NC,6'3'',200,,79.0,Maryland,49,,,2011,Maryland,,59, NR,,
Justus Pickett,RB,Charlotte,NC,5'10'',166,,79.0,Maryland,26,,,2011,Maryland,,,,,
Quinton Jefferson,DE,Pittsburgh,PA,6'3'',225,,78.0,Maryland,40,,,2011,Maryland,,,,,
Alex Twine,OLB,North Potomac,MD,6'1'',205,,78.0,Maryland,56,,,2011,Maryland,,,,,
Tyler Cierski,FB,Hoschton,GA,6'1'',240,,78.0,Maryland,2,,,2011,Maryland,,282,63,,
Makinton Dorleant,S,Naples,FL,5'11'',170,,77.0,Maryland,43,,,2011,Maryland,,291, None,,
Jeremiah Hendy,ATH,Bowie,MD,6'1'',188,,77.0,Maryland,87,,,2011,Maryland,,136,18,,
