Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,School,Reg_rank,State_rank
Paul Pitts,WR,Rancho Cucamonga,CA,6'0'',180,,,120,,,2011,San Diego State,76.0,,,
De'Saan Hardwick,RB,San Diego,CA,5'10'',170,,,191,69,125,2011,San Diego State,75.0,,,
Chad Jeffries,QB,Glendora,CA,6'2'',177,,,145,198,128,2011,San Diego State,75.0,,,
Sam Atoe,ATH,Santa Rosa,CA,5'11'',206,,,,,,2011,San Diego State,74.0,,,
Adam Roberts,TE,El Paso,TX,6'4'',215,,,160,247,160,2011,San Diego State,74.0,,,
Jordan Smith,OT,Redlands,CA,6'4'',255,,,, None, None,2011,San Diego State,73.0,,,
Ryan Jack,ILB,Corona,CA,6'1'',210,,,160,,,2011,San Diego State,73.0,,,
Christian Parra,OLB,Clovis,CA,5'11'',203,,,209,,,2011,San Diego State,72.0,,,
Jemond Hazely,WR,Corona,CA,6'0'',166,,,177,,,2011,San Diego State,72.0,,,
Chase Price,RB,Pomona,CA,5'7'',200,,,105,,,2011,San Diego State,72.0,,,
Darius Guillory,CB,Temecula,CA,5'9'',175,,,174,,,2011,San Diego State,71.0,,,
Paul Rodriguez,OT,San Bernardino,CA,6'5'',245,,,235,,,2011,San Diego State,71.0,,,
Larry Clark,WR,Los Angeles,CA,6'3'',194,,,230,,,2011,San Diego State,68.0,,,
Kevin Chase,DE,Concord,CA,6'3'',240,,,,,,2011,San Diego State,67.0,,,
Robert Craighead,TE,Lakeside,CA,6'4'',230,,,267,,,2011,San Diego State,,,,
Tony Bell,ATH,Los Angeles,CA,5'11'',178,,,275, NR, NR,2011,San Diego State,,,,
Anthony Sheffield,WR,Los Angeles,CA,6'3'',185,,,,,,2011,San Diego State,,,,
Reggie Jones,OT,Spring Valley,CA,6'6'',285,,,,,,2011,San Diego State,,,,
Darrell Greene,OT,Oakley,CA,6'4'',280,,,NR,,,2011,San Diego State,,,,
Bruce Leaupepe,DE,San Jose,CA,6'4'',250,,,,,,2011,San Diego State,,,,
Aldodius Colquitte,WR,Aiea,HI,6'0'',185,,,,,,2011,San Diego State,,,,
Matt Morin,QB,Temecula,CA,6'2'',210,San Diego State,,24,,,2012,San Diego State,79,,55,42
Kwayde Miller,OT,Ramona,CA,6'7'',275,San Diego State,,108,,,2012,San Diego State,77,,,
Arthur Flores,OT,Denver,CO,6'5'',285,San Diego State,,151,,,2012,San Diego State,77,,,
Austin Maass,OG,Mission Viejo,CA,6'3'',277,San Diego State,,61,,,2012,San Diego State,77,,,
Malcolm Jackson,DE,Spring Valley,CA,6'3'',225,San Diego State,,110,,,2012,San Diego State,76,,,
Nico Siragusa,OT,Chula Vista,CA,6'5'',310,San Diego State,,,,,2012,San Diego State,76,,,
Teddy Queen,DE,Temecula,CA,6'1'',231,San Diego State,,143,,,2012,San Diego State,75,,178,115
Dan Kottman,DE,Denton,TX,6'0'',250,San Diego State,,145,,,2012,San Diego State,75,,,
Damontae Kazee,ATH,San Bernardino,CA,5'11'',170,San Diego State,,121,,,2012,San Diego State,75,,,
Seamus McMorrow,K,San Diego,CA,6'0'',180,San Diego State,,22,,,2012,San Diego State,75,,,
Alex Barrett,DT,Mesa,AZ,6'1'',232,San Diego State,,,,,2012,San Diego State,73,,,
Alex Howard,RB,Gilbert,AZ,5'11'',195,San Diego State,,148,,,2012,San Diego State,73,,289,38
Kendrick Mathis,RB,Ventura,CA,6'0'',182,San Diego State,,164,,,2012,San Diego State,72,,312,189
Jeff Overbaugh,LS,Anchorage,AK,6'2'',240,San Diego State,,1,,,2012,San Diego State,69,,,
Lloyd Mills,WR,Chandler,AZ,5'8'',155,San Diego State,,249,,,2012,San Diego State,69,,,
Eric Judge,WR,San Diego,CA,6'0'',185,San Diego State,,,,,2012,San Diego State,NR,,,
Ben Moa,DE,San Diego,CA,6'4'',225,San Diego State,,,,,2012,San Diego State,NR,,,
Chase Favreau,QB,Huntington Beach,CA,6'1'',180,San Diego State,,NR,,,2012,San Diego State,NR,,NR,NR
Aaron Boesch,TE,JC,Oak Harbor,WA,6'4'',NR,San Diego State,,,,2012,San Diego State,230,,,
Justin Aysse,OT,JC,Long Beach,CA,6'5'',NR,San Diego State,NR,,,2012,San Diego State,280,,,
Terry Poole,OT,JC,Monterey,CA,6'5'',NR,San Diego State,,,,2012,San Diego State,300,,,
Dillon Baxter,RB,TR,San Diego,CA,5'11'',TR,San Diego State,,,,2012,San Diego State,195,,,
Brice Butler,WR,TR,Norcross,GA,6'3'',TR,San Diego State,,,,2012,San Diego State,195,,,
Ryan Katz,QB,TR,Santa Monica,CA,6'1'',TR,San Diego State,,,,2012,San Diego State,215,,,
Dionte Sykes,WR,Chandler,AZ,6'2'',205,San Diego State,,,,,2014,San Diego State,79,,,
Nick Bawden,QB-PPLos,Gatos,CA,6'2'',231,San Diego State,,34,,,2014,San Diego State,77,,97,63
Christian Chapman,QB-PPCarlsbad,CA,6'0'',176,76,,,39,,,2014,San Diego State,San Diego State,,,
John Baron,K,Temecula,CA,5'10'',180,San Diego State,,15,,,2014,San Diego State,76,,143,91
Mikah Holder,WR,Oceanside,CA,6'1'',158,San Diego State,,150,,,2014,San Diego State,75,,165,105
Jabril Clewis,WR,San Diego,CA,6'1'',200,San Diego State,,157,,,2014,San Diego State,75,,172,109
William Walker,RB,Perris,CA,5'10'',190,San Diego State,,,,,2014,San Diego State,74,,,
Noble Hall,DE,Las Vegas,NV,6'3'',235,San Diego State,,117,,,2014,San Diego State,74,,,
Daryl Dunlap,RB,LaGrange,GA,6'2'',215,San Diego State,,132,,,2014,San Diego State,74,,,
Jay Henderson,OLB,Victorville,CA,6'2'',190,San Diego State,,120,,,2014,San Diego State,74,,,
Alex Anderson,OT,Scottsdale,AZ,6'4'',295,San Diego State,,111,,,2014,San Diego State,74,,,
Donavin Buck,DE,Brawley,CA,6'4'',200,San Diego State,,119,,,2014,San Diego State,74,,191,120
Rashaad Penny,ATH,Norwalk,CA,6'0'',181,San Diego State,,144,,,2014,San Diego State,73,,,
Chase Jasmin,RB,Westlake Village,CA,5'10'',170.0,San Diego State,,137,,,2016,San Diego State,75,,81,91
Derrick Achayo,OT,Roseville,CA,6'4'',285.0,San Diego State,,14,,,2016,San Diego State,75,,,
Parie Dedeaux,ATH,Los Angeles,CA,6'0'',180.0,San Diego State,,99,,,2016,San Diego State,73,,181,117
Yasir Durant,OT,Philadelphia,PA,6'6'',338.0,San Diego State,,,,,2016,San Diego State,73,,,
Dru Mathis,OLB,Ventura,CA,6'2'',210.0,San Diego State,,80,,,2016,San Diego State,73,,190,123
Troy Cassidy,OLB,Carlsbad,CA,6'3'',204.0,San Diego State,,99,,,2016,San Diego State,72,,211,136
Kevin Staton,OG,Chesapeake,VA,6'6'',339.0,San Diego State,,98,,,2016,San Diego State,71,,187,46
Kyree Woods,CB,Chandler,AZ,5'11'',165.0,San Diego State,,112,,,2016,San Diego State,71,,,
Tayler Hawkins,CB,Palm Springs,CA,6'0'',179.0,San Diego State,,117,,,2016,San Diego State,70,,,
Turner Bernard,LS,Glendale,AZ,6'1'',210.0,San Diego State,,1,,,2016,San Diego State,69,,243,16
Tim Wilson,WR,Plano,TX,6'4'',185.0,San Diego State,,217,,,2016,San Diego State,69,,295,225
