Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School, Pos, City, State, Height, Weight, Grade, University
Alonzo Horton,Video | Scouts Report,DE (JC),New Orleans,LA,6'4'',260,NR,North Texas,,,,2008,North Texas,,,,,,,,,,,
Gabe Hollivay,Video | Scouts Report,OG (JC),Fulton,MS,6'3'',320,NR,North Texas,,,,2008,North Texas,, None, None,,,,,,,,
Royce Hill,Video | Scouts Report,CB,Houston,TX,5'11'',170,78,North Texas,31,,,2008,North Texas,, NR, NR,,,,,,,,
Kylee Hill,Video | Scouts Report,S (JC),Bristow,OK,5'10'',190,NR,North Texas,NR,,,2008,North Texas,,,,,,,,,,,
Joe Hawthorne,Video | Scouts Report,DT,Arlington,TX,6'4'',250,NR,North Texas,NR,,,2008,North Texas,, NR, NR,,,,,,,,
James Hamilton,Video | Scouts Report,ATH,Cedar Hill,TX,5'10'',180,NR,North Texas,,,,2008,North Texas,, None, None,,,,,,,,
Troy Franklin,Video | Scouts Report,DT,Celina,TX,6'5'',270,74,North Texas,,,,2008,North Texas,,,,,,,,,,,
Coleman Feeley,Video | Scouts Report,OT,Austin,TX,6'4'',287,NR,North Texas,,,,2008,North Texas,,,,,,,,,,,
Justin Edwards,Video | Scouts Report,S (JC),Garland,TX,6'1'',180,NR,North Texas,,,,2008,North Texas,, None, None,,,,,,,,
Lance Dunbar,Video | Scouts Report,RB,Fort Worth,TX,5'10'',185,73,North Texas,133.0,,,2008,North Texas,, None, None,,,,,,,,
Riley Dodge,Video | Scouts Report,QB,Southlake,TX,6'0'',185,79,North Texas,17,,,2008,North Texas,, None, None,,,,,,,,
DaWaylon Cook,Video | Scouts Report,ATH,Dallas,TX,6'2'',190,75,North Texas,,,,2008,North Texas,,,,,,,,,,,
Tevinn Cantly,Video | Scouts Report,DT,Arlington,TX,6'4'',292,NR,North Texas,NR,,,2008,North Texas,,,,,,,,,,,
Desmond Brigham,Video | Scouts Report,WR,Caddo Mills,TX,6'0'',169,73,North Texas,,,,2008,North Texas,,157,,,,,,,,,
Kenny Barrett,Video | Scouts Report,WR,Mart,TX,6'4'',190,74,North Texas,146,,,2008,North Texas,, None, None,,,,,,,,
Brandon Akpunku,Video | Scouts Report,OLB,Cedar Hill,TX,6'0'',200,NR,North Texas,,,,2008,North Texas,, None, None,,,,,,,,
Adryan Adams,Video | Scouts Report,CB (JC),Miami,OK,6'1'',185,NR,North Texas,,,,2008,North Texas,, None, None,,,,,,,,
Austin Fitzpatrick,TE,Friendswood,TX,6'3'',215,73.0,North Texas,,,,,2009,North Texas,,317, None,,,,,,,,
Daniel Mayberry,WR,Dallas,TX,6'1'',180,72.0,North Texas,,176,,,2009,North Texas,,383,NR,,,,,,,,
Derek Thompson,QB,Glen Rose,TX,6'4'',215,,North Texas,,,,,2009,North Texas,,,,,,,,,,,
Daniel Prior,ILB,Henderson,TX,6'2'',220,,North Texas,,NR,,,2009,North Texas,, NR, NR,,,,,,,,
Tyler Washington,DE,Cedar Hill,TX,6'1'',225,,North Texas,,NR,,,2009,North Texas,,,,,,,,,,,
DeAndre Stewart,S,Houston,TX,5'11'',185,,North Texas,,,,,2009,North Texas,,,,,,,,,,,
Ryan Boutwell,DE,China Spring,TX,6'3'',225,,North Texas,,NR,,,2009,North Texas,, NR, NR,,,,,,,,
Darius Carey,WR,Harvey,LA,5'10'',178,,North Texas,,,,,2009,North Texas,,,,,,,,,,,
John Noble,OT,Rockwall,TX,6'6'',288,,North Texas,,,,,2009,North Texas,,,,,,,,,,,
Kyle White,DT,New Orleans,LA,6'2'',318,,North Texas,,NR,,,2009,North Texas,, NR, NR,,,,,,,,
Hilbert Jackson,CB,Rowlett,TX,6'0'',180,,North Texas,,,,,2009,North Texas,,,,,,,,,,,
Chevy Bennett,S,Sachse,TX,6'1'',185,,North Texas,,NR,,,2009,North Texas,, NR, NR,,,,,,,,
Will Atterberry,K,Lewisville,TX,5'11'',170,,North Texas,,,,,2009,North Texas,,,,,,,,,,,
Jamaal Jackson,WR,,,,175,,North Texas,,,,,2009,North Texas,,,,,,,,,,,
Ira  Smith,CB,,,,180,,North Texas,,,,,2009,North Texas,, None, None,,,,,,,,
Tony Charles,ILB,,,,235,,North Texas,,,,,2009,North Texas,, None, None,,,,,,,,
Shavod Atkinsin,DT,,,,315,,North Texas,,NR,,,2009,North Texas,,,,,,,,,,,
Mike Outlaw,WR,,,,190,,North Texas,,,,,2009,North Texas,, None, None,,,,,,,,
Jeremy Bean,OT,,,,305,,North Texas,,NR,,,2009,North Texas,,,,,,,,,,,
Kelvin Jackson,DT,,,,320,,North Texas,,,,,2009,North Texas,, None, None,,,,,,,,
John Weber,DE,,,,265,,North Texas,,,,,2009,North Texas,, None, None,,,,,,,,
Tyler Stradford,WR,,,,185,,North Texas,,,,,2009,North Texas,,,,,,,,,,,
