Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School, Pos, City, State, Height, Weight, Grade, University
Kenneth Dotson,DE,Houston,TX,6'3'',250,71.0,North Texas,,,,,2019,North Texas,,207,243,,,,,,,,
Quinn Whitlock,CB,Wesson,MS,5'11'',190,70.0,North Texas,,,,,2019,North Texas,,,,,,,,,,,
Chris Cassidy,OG,Angleton,TX,6'3'',275,70.0,North Texas,,114,,,2019,North Texas,,,,,,,,,,,
Dorian Morris,ATH,Mesquite,TX,5'10'',165,69.0,North Texas,,172,,,2019,North Texas,,,,,,,,,,,
Edward Bautista,OLB,Fort Worth,TX,6'0'',215,,North Texas,,NR,,,2019,North Texas,,,,,,,,,,,
D'Andre Plantin,OT,TR,Norcross,GA,6'5'',301.0,,,,,,2019,North Texas,,,,North Texas,,,,,,,
Davontae McCrae,DE,Miami,FL,6'5'',270,78,North Texas,,37, None, None,2020,North Texas,,,,,,,,,,,
Detraveon Brown,WR,Shreveport,LA,6'0'',180,76,North Texas,,135,,,2020,North Texas,,,,,,,,,,,
Erik Williams,OT,Lubbock,TX,6'5'',245,76,North Texas,,92,,,2020,North Texas,,,,,,,,,,,
Jacobi Johnson,OLB,Midwest City,OK,6'3'',220,74,North Texas,,112,234,19,2020,North Texas,,,,,,,,,,,
Jonathan Pickett,DE,Las Vegas,NV,6'2'',240,74,North Texas,,,,,2020,North Texas,,,,,,,,,,,
Garnett Burke,S,Garland,TX,6'0'',170,74,North Texas,,,,,2020,North Texas,,,,,,,,,,,
Jett Duncan,OG,The Woodlands,TX,6'2'',290,74,North Texas,,103,,,2020,North Texas,,,,,,,,,,,
Jake Roberts,TE,Norman,OK,6'4'',235,74,North Texas,,36,,,2020,North Texas,,,,,,,,,,,
Isaiah Johnson,RB,Lubbock,TX,6'0'',200,73,North Texas,,113,308,229,2020,North Texas,,,,,,,,,,,
Jordan Brown,OLB,Huntsville,TX,6'1'',200,73,North Texas,,144,324,243,2020,North Texas,,,,,,,,,,,
Kade Bond,OG,Magnolia,TX,6'4'',280,73,North Texas,,128,,,2020,North Texas,,,,,,,,,,,
Loronzo Thompson,WR,Friendswood,TX,6'0'',160,73,North Texas,,268,,,2020,North Texas,,,,,,,,,,,
Kortlin Rausaw,DE,Wylie,TX,6'3'',245,73,North Texas,,187,338,255,2020,North Texas,,,,,,,,,,,
Christian Lee,TE,Friendswood,TX,6'3'',215,73,North Texas,,37,339,256,2020,North Texas,,,,,,,,,,,
Upton Stout,CB,Houston,TX,5'9'',165,72,North Texas,,365,,,2020,North Texas,,,,,,,,,,,
Ta'Shoyn Johnson,DT,Killeen,TX,6'1'',280,71,North Texas,,,,,2020,North Texas,,,,,,,,,,,
Jordan Nichols,S,Waco,TX,6'0'',185,71,North Texas,,,,,2020,North Texas,,,,,,,,,,,
Ron Tiavaasue,TE,Snow College,,6'3'',245,71,North Texas,,201,,,2020,North Texas,,,,,,,,,,,
Tavorice Weaver,CB,Dallas,TX,6'0'',180,70,North Texas,,23,,,2020,North Texas,,,,,,,,,,,
Dane Jackson,CB,Berea,KY,6'0'',265,70,North Texas,,32,,,2020,North Texas,,,,,,,,,,,
Teeshaun Turpin,OT,Cleveland,OH,6'4'',295,70,North Texas,,202,1085,59,2020,North Texas,,,,,,,,,,,
Anterrious Gray,OG,Macon,MS,6'3'',295,69,North Texas,,,,,2020,North Texas,,,,,,,,,,,
Cam Robertson,,,,,,,,,110,,,2022,North Texas,,254,186,, DE, Plano, TX, 6'4'',225.0, 75, North Texas
Qualon Farrar,,,,,,,,,102,,,2022,North Texas,,,,, RB, Dallas, TX, 5'8'',170.0, 74, North Texas
Patrick Smith,,,,,,,,,144,,,2022,North Texas,,315,230,, ATH, Sugar Land, TX, 5'9'',180.0, 74, North Texas
Howard Sampson,,,,,,,,,176,,,2022,North Texas,,,,, OT, Humble, TX, 6'8'',330.0, 73, North Texas
Ethan Wesloski,,,,,,,,,363,,,2022,North Texas,,59,264,, ILB, McKinney, TX, 6'2'',225.0, 72, North Texas
Dameon Smallwood,,,,,,,,,113,,,2022,North Texas,,374,275,, OG, Denison, TX, 6'4'',325.0, 71, North Texas
Jax Van Zandt,,,,,,,,,856,,,2022,North Texas,,,,, ILB, Alabaster, AL, 6'0'',205.0, 69, North Texas
Bryce Linder,,,,,,,,,22,,,2022,North Texas,, NR, NR,, S, College Station, TX, 6'0'',180.0, 68, North Texas
Mohammed Bility,,,,,,,,,NR,,,2022,North Texas,,,,, CB, Dallas, TX, 6'1'',185.0, None, North Texas
Samora Ezekiel,,,,,,,,,NR,,,2022,North Texas,, NR, NR,, OT, Fort Worth, TX, 6'4'',286.0, None, North Texas
Tom Trieb,,,,,,,,,NR,,,2022,North Texas,, NR, NR,, DT, Buffalo Grove, IL, 6'2'',260.0, None, North Texas
Kaghen Roach,,,,,,,,,,,,2022,North Texas,,,,, DE, Celina, TX, 6'5'',265.0, None, North Texas
Stone Earle,,,,,,,,,,,,2022,North Texas,,,,, QB, Abilene, TX, 6'2'',203.0, None, North Texas
J.D. Head,,,,,,,,,,,,2022,North Texas,, None, None,, QB, Ruston, LA, 6'2'',181.0, None, North Texas
Jay Maclin,,,,,,,,,,,,2022,North Texas,,,,, WR, Columbia, MO, 5'11'',185.0, None, North Texas
Leke Asenuga,,,,,,,,,,,,2022,North Texas,, None, None,, OG, Richmond, TX, 6'2'',290.0, None, North Texas
Zahodri Jackson,,,,,,,,,,,,2022,North Texas,,,,, CB, Sarasota, FL, 5'10'',180.0, None, North Texas
Nicholas Nakwaasah,,,,,,,,,,,,2022,North Texas,,,,, S, Dallas, TX, 6'0'',195.0, None, North Texas
