Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,School
Michael Bowman,WR,Rossville,GA,6'4'',206.0,75,none,Alabama,119,,,2009,Alabama,,,,
James Carpenter,OT,Hephzibah,GA,6'5'',305.0,none,Alabama,,NR,,,2009,Alabama,NR,NR,,
Phelon Jones,CB,Mobile,AL,5'11'',200.0,none,Alabama,,,,,2009,Alabama,,,,
DeMarcus Milliner,CB,Millbrook,AL,6'0'',185.0,4.0,84.0,Alabama,16th, NR, NR,2010,Alabama,,,,
Phillip Sims,QB,Chesapeake,VA,6'1'',218.0,3.0,83.0,Alabama,1, None,32,2010,Alabama,,,,
John Fulton,CB,Manning,SC,6'1'',180.0,4.0,83.0,Alabama,36,,,2010,Alabama,,,,
Adrian Hubbard,DE,Norcross,GA,6'7'',227.0,5.0,82.0,Alabama,5,,,2010,Alabama,,,,
Chad Lindsay,OG,The Woodlands,TX,6'3'',307.0,1.0,81.0,Alabama,1,,,2010,Alabama,,,,
Keiwone Malone,WR,Memphis,TN,5'11'',168.0,13.0,81.0,Alabama,89,,,2010,Alabama,,,,
C.J. Mosley,OLB,Theodore,AL,6'2'',215.0,7.0,81.0,Alabama,99th, NR, NR,2010,Alabama,,,,
Petey Smith,ILB,Seffner,FL,6'1'',245.0,,81.0,Alabama,,,,2010,Alabama,,,,
Brian Vogler,TE,Columbus,GA,6'6'',245.0,7.0,81.0,Alabama,7,,,2010,Alabama,,,,
Harrison Jones,TE,Memphis,TN,6'4'',225.0,9.0,80.0,Alabama,9, None, None,2010,Alabama,,,,
DeAndrew White,WR,Galena Park,TX,5'11'',170.0,26.0,80.0,Alabama,26,,,2010,Alabama,,,,
Jarrick Williams,S,Prichard,AL,6'2'',195.0,15.0,79.0,Alabama,15,,,2010,Alabama,,,,
Arie Kouandjio,OG,Hyattsville,MD,6'5'',321.0,14.0,79.0,Alabama,14, None, None,2010,Alabama,,,,
Corey Grant,RB,Opelika,AL,5'10'',180.0,23.0,79.0,Alabama,23, NR, NR,2010,Alabama,,,,
Nick Perry,S,Prattville,AL,6'1'',190.0,27.0,79.0,Alabama,,,,2010,Alabama,,,,
Wilson Love,DT,Mountain Brook,AL,6'4'',264.0,34.0,79.0,Alabama,34, NR, NR,2010,Alabama,,,,
