Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank, State_rank  ,School,University 
Brandon Mahoney,OLB,Keller,TX,6'2'',210,Texas Tech,,13,29,,2009,Texas Tech,80.0,,,,,
Jacob Karam,QB,Friendswood,TX,6'0'',197,Texas Tech,,17,,,2009,Texas Tech,80.0,,,,,
LaAdrian Waddle,OT,Columbus,TX,6'5'',315,Texas Tech,,19,,,2009,Texas Tech,79.0,,,,,
Kyle Clark,OT,Denton,TX,6'5'',267,Texas Tech,,21,52,NR,2009,Texas Tech,79.0,,,,,
Eric Ward,WR,Wichita Falls,TX,6'0'',190,Texas Tech,,34,55,NR,2009,Texas Tech,79.0,,,,,
Terrance Bullitt,S,Garland,TX,6'3'',178,Texas Tech,,33,,,2009,Texas Tech,78.0,,,,,
Eric Stephens,RB,Mansfield,TX,5'8'',178,Texas Tech,,54,92,NR,2009,Texas Tech,78.0,,,,,
Daniel Cobb,S,Killeen,TX,6'1'',195,Texas Tech,,48,,,2009,Texas Tech,77.0,,,,,
Will Ford,S,Abilene,TX,6'0'',190,Texas Tech,,50,,,2009,Texas Tech,77.0,,,,,
Aaron Fisher,WR,Keller,TX,6'3'',180,Texas Tech,,58,,,2009,Texas Tech,77.0,,,,,
Trevor Reilly,Unknown,San Diego,CA,6'6'',220,Texas Tech,,,,,2009,Texas Tech,77.0,,,,,
James Scott,ATH,Coldspring,TX,6'3'',220,Texas Tech,,120,,,2009,Texas Tech,77.0,,,,,
Kerry Hyder,ILB,Austin,TX,6'3'',246,Texas Tech,,23,125,,2009,Texas Tech,77.0,,,,,
Yahshua Williams,S,Denton,TX,6'3'',185,Texas Tech,,80,141,NR,2009,Texas Tech,77.0,,,,,
D.J. Johnson,S,Austin,TX,6'0'',175,Texas Tech,,104,,,2009,Texas Tech,76.0,,,,,
Matt Goetz,OG,Cibolo,TX,6'4'',270,Texas Tech,,96,,,2009,Texas Tech,75.0,,,,,
Ernest Celestine,WR,Lake Charles,LA,5'11'',173,Texas Tech,,122,,,2009,Texas Tech,75.0,,,,,
Joel Gray,OG,Carrollton,TX,6'6'',285,Texas Tech,,118,246,NR,2009,Texas Tech,75.0,,,,,
Pearlie Graves,DT,Tulsa,OK,6'3'',260,Texas Tech,,67,,,2009,Texas Tech,75.0,,,,,
Romario Cathey,DT,Nashville,TN,6'3'',270,Texas Tech,,,,,2009,Texas Tech,74.0,,,,,
Chris Knighton,OG,Longview,TX,6'3'',240,Texas Tech,,130,275,NR,2009,Texas Tech,74.0,,,,,
Dion Chidozie,OLB,Dallas,TX,6'1'',180,Texas Tech,,,,,2009,Texas Tech,73.0,,,,,
Jarvis Phillips,ATH,Dallas,TX,6'0'',185,Texas Tech,,67,,,2009,Texas Tech,67.0,,,,,
Derrick Mays,WR,Killeen,TX,5'11'',170,Texas Tech,,NR,,,2009,Texas Tech,,,,,,
Aundrey Barr,DE,Carrollton,TX,6'3'',225,Texas Tech,,,,,2009,Texas Tech,,,,,,
Myles Wade,DT,JC,Portland,OR,6'3'',,Texas Tech,,,,2009,Texas Tech,310.0,,,,,
Jackson Richards,DE,Southlake,TX,6'4'',235,Texas Tech Red Raiders,,31,,,2010,Texas Tech,79.0, None, None,,,
Shawn Corker,WR,Fort Lauderdale,FL,6'1'',180,Texas Tech Red Raiders,,47,,,2010,Texas Tech,78.0,,,,,
Beau Carpenter,OT,Sulphur Springs,TX,6'6'',227,Texas Tech Red Raiders,,38,,,2010,Texas Tech,78.0,,,,,
Delans Griffin,RB,Clinton,OK,5'9'',176,Texas Tech Red Raiders,,34,,,2010,Texas Tech,78.0,,,,,
Desmond Martin,S,Round Rock,TX,6'1'',177,Texas Tech Red Raiders,,,,,2010,Texas Tech,78.0, None, None,,,
Tahrick Peak,OLB,Dublin,VA,6'2'',205,Texas Tech Red Raiders,,40,,,2010,Texas Tech,78.0,,,,,
Joe Carmical,OLB,Monticello,AR,6'1'',220,Texas Tech Red Raiders,,41,,,2010,Texas Tech,77.0, None, None,,,
Dartwan Bush,DE,Clute,TX,6'1'',245,Texas Tech Red Raiders,,NR,,,2010,Texas Tech,77.0,,,,,
Coby Coleman,DT,Frankston,TX,6'3'',280,Texas Tech Red Raiders,,6.0,,,2010,Texas Tech,77.0, None, None,,,
Zac Winbush,S,Schertz,TX,6'1'',205,Texas Tech Red Raiders,,,,,2010,Texas Tech,77.0,,,,,
