Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank
Jordan Jackson,ATH,Fairfield,OH,6'0'',180.0,79.0,West Virginia,,37,35,12,2023,West Virginia,,,
James Heard,OLB,Camden,NJ,6'2'',225.0,78.0,West Virginia,,41,,,2023,West Virginia,,,
Josiah Jackson,CB,Fairfield,OH,6'1'',180.0,78.0,West Virginia,,57,65,21,2023,West Virginia,,,
Zachariah Keith,DE,Douglasville,GA,6'4'',245.0,77.0,West Virginia,,101,,,2023,West Virginia,,,
Jahiem White,RB,York,PA,5'9'',185.0,77.0,West Virginia,,63,113,23,2023,West Virginia,,,
Ben Cutter,ILB,Denver,NC,6'1'',215.0,77.0,West Virginia,,33,405,28,2023,West Virginia,,,
Corey McIntyre Jr.,DT,Port Saint Lucie,FL,6'3'',280.0,76.0,West Virginia,,416,69,144,2023,West Virginia,,,
Sean Boyle,QB-PP,Charlotte,NC,6'2'',200.0,76.0,West Virginia,,37,443,30,2023,West Virginia,,,
Cooper Young,OG,Downingtown,PA,6'4'',300.0,75.0,West Virginia,,149,79,26,2023,West Virginia,,,
D.J. Oliver,RB,Port Saint Joe,FL,5'11'',235.0,75.0,West Virginia,,93,556,192,2023,West Virginia,,,
Oryend Fisher,DE,Georgetown,KY,6'5'',200.0,75.0,West Virginia,,145,571,11,2023,West Virginia,,,
Nick Krahe,OT,Harbor Creek,PA,6'4'',285.0,74.0,West Virginia,,114,162,28,2023,West Virginia,,,
Tory Johnson,TE-H,Chesapeake,VA,6'4'',210.0,74.0,West Virginia,,40,165,43,2023,West Virginia,,,
Aden Tagaloa-Nelson,S,Versailles,KY,6'0'',185.0,71.0,West Virginia,,, None, None,2023,West Virginia,,,
Noah Braham,ILB,Morgantown,WV,6'2'',225.0,70.0,West Virginia,,71,,,2023,West Virginia,,,
Montre Miller,CB,Blythewood,SC,,,,West Virginia,,,,,2023,West Virginia,,,
Ja'Shaun Poke,WR,Hampton,GA,,,,West Virginia,,,,,2023,West Virginia,,,
Kole Taylor,TE-Y,Grand Junction,CO,,,,West Virginia,,,,,2023,West Virginia,,,
Devin Carter,WR,Clayton,NC,,,,West Virginia,,, None, None,2023,West Virginia,,,
Chase Rodriguez,OG,Lubbock,TX,,,,West Virginia,,, None, None,2023,West Virginia,,,
Davoan Hawkins,DT,Hollywood,FL,,,,West Virginia,,,,,2023,West Virginia,,,
Fatorma Mulbah,DT,Harrisburg,PA,,,,West Virginia,,,,,2023,West Virginia,,,
Kyle Altuner,OC,Olney,MD,6'4'',310,81.0,West Virginia,,4,32,8,2024,West Virginia,,,
DayDay Farmer,WR,Melbourne,FL,6'0'',170,80.0,West Virginia,,50,,,2024,West Virginia,,,
Lucas Austin,OT,Sterling,IL,6'6'',265,78.0,West Virginia,,77,80,16,2024,West Virginia,,,
Diore Hubbard,RB,Gahanna,OH,5'11'',185,77.0,West Virginia,,68,98,33,2024,West Virginia,,,
Khalil Wilkins,QB-DT,Upper Marlboro,MD,6'4'',190,77.0,West Virginia,,24,114,26,2024,West Virginia,,,
Ricky Williams,ILB,Akron,OH,6'2'',215,77.0,West Virginia,,41,105,36,2024,West Virginia,,,
Keyshawn Robinson,WR,Shenandoah Junc.,WV,5'10'',170,77.0,West Virginia,,124,,,2024,West Virginia,,,
Traevon Dunbar,RB,Langley,SC,5'10'',200,77.0,West Virginia,,78,,,2024,West Virginia,,,
Makai Byerson,DE,Midlothian,VA,6'5'',245,77.0,West Virginia,,97,126,21,2024,West Virginia,,,
Obinna Onwuka,DE,Springdale,MD,6'3'',230,77.0,West Virginia,,98,,,2024,West Virginia,,,
Brandon Rehmann,WR,Philadelphia,PA,6'1'',190,77.0,West Virginia,,132,,,2024,West Virginia,,,
Keyon Washington,S,Waldorf,MD,6'1'',170,76.0,West Virginia,,102,149,32,2024,West Virginia,,,
Jason Cross,S,Pittsburgh,PA,6'1'',170,76.0,West Virginia,,115,163,33,2024,West Virginia,,,
Jacob Boyce,CB,Douglasville,GA,5'11'',180,76.0,West Virginia,,127,,,2024,West Virginia,,,
Gregory Genross,TE-Y,Bronx,NY,6'6'',230,75.0,West Virginia,,1.0,,,2024,West Virginia,,,
Zae Jennings,ATH,Cincinnati,OH,6'1'',185,75.0,West Virginia,,126,167,59,2024,West Virginia,,,
Dominick Collins,WR,Princeton,WV,5'8'',165,75.0,West Virginia,,176,188,3,2024,West Virginia,,,
Nate Gabriel,DT,Auburndale,FL,6'3'',280,75.0,West Virginia,,630,91,206,2024,West Virginia,,,
Jack Sammarco,TE-Y,Cincinnati,OH,6'5'',235,75.0,West Virginia,,35,184,65,2024,West Virginia,,,
Chris Henry,S,Dunnellon,FL,6'0'',185,74.0,West Virginia,,,,,2024,West Virginia,,,
Justin Terry,OT,Pickerington,OH,6'5'',305,74.0,West Virginia,,151,190,69,2024,West Virginia,,,
Elijah Kinsler,DE,Oradell,NJ,6'3'',250,74.0,West Virginia,,156,,,2024,West Virginia,,,
Curtis Jones,OLB,Ona,WV,6'1'',205,72.0,West Virginia,,242,131,6,2024,West Virginia,,,
Ayden Garnes,CB,Drexel Hill,PA,6'0'',170,,West Virginia,,,,,2024,West Virginia,,,
Jaden Bray,WR,Norman,OK,6'2'',200,,West Virginia,,,,,2024,West Virginia,,,
T.J. Crandall,CB,Issaquah,WA,6'1'',185,,West Virginia,,, None, None,2024,West Virginia,,,
Reid Carrico,ILB,Ironton,OH,6'2'',235,,West Virginia,,, None, None,2024,West Virginia,,,
Ty French,DE,Moultrie,GA,6'3'',230,,West Virginia,,,,,2024,West Virginia,,,
Xavier Bausley,OT,South Charleston,WV,6'5'',315,,West Virginia,,, None, None,2024,West Virginia,,,
T.J. Jackson,DT,Millbrook,AL,6'1'',275,,West Virginia,,, None, None,2024,West Virginia,,,
Jaheem Joseph,CB,Miramar,FL,5'10'',190,,West Virginia,,, None, None,2024,West Virginia,,,
Dontez Fagan,CB,Oklahoma City,OK,6'0'',170,,West Virginia,,, None, None,2024,West Virginia,,,
Kekoura Tarnue,CB,Coon Rapids,MN,6'1'',195,,West Virginia,,,,,2024,West Virginia,,,
Justin Robinson,WR,Locust Grove,GA,6'4'',220,,West Virginia,,, None, None,2024,West Virginia,,,
