Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank
Dante Chambers,WR,Miramar,FL,Miramar High School,5'11'',150,,West Virginia,,,,2010,West Virginia,,,
Trevor Demko,DE,Mount Carmel,PA,Mount Carmel High School,6'5'',225,,West Virginia,,,,2010,West Virginia,,,
Ishmael Banks,CB,Richmond,VA,Hargrave Military Academy,6'0'',180,,West Virginia,,,,2010,West Virginia,,,
Qudral Forte,ATH,Atlanta,GA,Booker T. Washington High School,6'1'',175,,West Virginia,,,,2010,West Virginia,,,
Bruce Irvin,DE,Stone Mountain,GA,Mt. San Antonio College,6'3'',235,,West Virginia,,,,2010,West Virginia,,,
Ford Childress,QB,Houston,TX,6'4'',205,80,West Virginia,,8,29,21,2012,West Virginia,,,
Sam Lebbie,OLB,Hyattsville,MD,6'1'',235,79,West Virginia,,, None, None,2012,West Virginia,,,
Deontay McManus,ATH,Baltimore,MD,6'1'',210,78,West Virginia,,, None, None,2012,West Virginia,,,
Noble Nwachukwu,DE,Wylie,TX,6'2'',235,78,West Virginia,,59,107,83,2012,West Virginia,,,
Eric Kinsey,DE,Miami,FL,6'3'',235,78,West Virginia,,243,60,80,2012,West Virginia,,,
Devonte Mathis,WR,Miramar,FL,6'1'',205,78,West Virginia,,, None, None,2012,West Virginia,,,
Brandon Napoleon,ATH,Jersey City,NJ,5'11'',180,78,West Virginia,,, None, None,2012,West Virginia,,,
Devonte Robinson,WR,Delray Beach,FL,6'1'',170,78,West Virginia,,, None, None,2012,West Virginia,,,
Travares Copeland,ATH,Fort Pierce,FL,5'11'',180,77,West Virginia,,81,367,124,2012,West Virginia,,,
Tyler Orlosky,OG,Lakewood,OH,6'4'',295,77,West Virginia,,65,93,46,2012,West Virginia,,,
Karl Joseph,S,Orlando,FL,5'11'',190,77,West Virginia,,,,,2012,West Virginia,,,
Sean Walters,S,Hallandale Beach,FL,6'1'',190,77,West Virginia,,, None, None,2012,West Virginia,,,
Christian Brown,DT,Bridgeton,NJ,6'2'',285,76,West Virginia,,129,,,2012,West Virginia,,,
Dee Joyner,WR,Miami,FL,5'11'',185,76,West Virginia,,126,,,2012,West Virginia,,,
Torry Clayton,RB,Homestead,FL,5'8'',194,76,West Virginia,,,,,2012,West Virginia,,,
K.J. Dillon,S,Apopka,FL,6'1'',185,76,West Virginia,,,58,157,2012,West Virginia,,,
Korey Harris,DE,Jacksonville,FL,6'4'',225,76,West Virginia,,134,,,2012,West Virginia,,,
Jordan Thompson,ATH,Katy,TX,5'8'',160,75,West Virginia,,112,224,171,2012,West Virginia,,,
Roshard Burney,RB,Palm Beach Gardens,FL,5'10'',205,75,West Virginia,,,520,178,2012,West Virginia,,,
Will Johnson,TE,Osseo,MN,6'6'',245,75,West Virginia,,55,,,2012,West Virginia,,,
Nana Kyeremeh,CB,Worthington,OH,5'10'',170,75,West Virginia,,142,,,2012,West Virginia,,,
Jarrod Harper,S,Frostburg,MD,5'11'',200,74,West Virginia,,, None, None,2012,West Virginia,,,
Adam Pankey,OT,Hamilton,OH,6'4'',300,73,West Virginia,,,158,108,2012,West Virginia,,,
Imarjaye Albury,DT,Miami,FL,6'0'',270,73,West Virginia,,, None, None,2012,West Virginia,,,
Garrett Hope,OLB,The Woodlands,TX,6'3'',209,69,West Virginia,,177,431,333,2012,West Virginia,,,
Tony Matteo,OC,Clinton,OH,6'5'',265,NR,West Virginia,,, None, None,2012,West Virginia,,,
Josh Lambert,K,Garland,TX,5'10'',180,NR,West Virginia,,, None, None,2012,West Virginia,,,
Mark Glowinski,OT,Scranton,PA,6'5'',300,NR,West Virginia,,,,,2012,West Virginia,,,
Jovon Durante,WR,Miramar,FL,5'11'',165,83,West Virginia,,13,65,24,2015,West Virginia,,,
Tyrek Cole,CB,Miramar,FL,6'0'',168,81,West Virginia,,19,95,33,2015,West Virginia,,,
Rasul Douglas,CB,East Orange,NJ,6'2'',200,80,West Virginia,,6,,,2015,West Virginia,,,
Deamonte Lindsay,RB,Martinsburg,WV,6'1'',190,79,West Virginia,,47,54,1,2015,West Virginia,,,
David Sills,QB-PPElkton,MD,6'3'',177,79,West Virginia,,,26,60,14,2015,West Virginia,,,
Gary Jennings,ATH,Stafford,VA,6'1'',190,79,West Virginia,,57,,,2015,West Virginia,,,
Jordan Adams,ATH,Reisterstown,MD,6'0'',173,78,West Virginia,,61,67,16,2015,West Virginia,,,
Matt Jones,OG,Hubbard,OH,6'3'',314,78,West Virginia,,,41,48,2015,West Virginia,,,
Jah'Shaun Seider,OG,Belle Glade,FL,6'3'',275,78,West Virginia,,74,,,2015,West Virginia,,,
Jacquez Adams,ATH,Reisterstown,MD,6'0'',163,78,West Virginia,,47,57,23,2015,West Virginia,,,
Rob Dowdy,OG,Westerville,OH,6'5'',295,78,West Virginia,,16,90,3,2015,West Virginia,,,
Stone Wolfley,TE-YMorgantown,WV,6'3'',235,77,West Virginia,,,23,,,2015,West Virginia,,,
