Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Location,HT,WT
Robert Hawkins,OG,Plantation,FL,6'4'',266,0,Florida Atlantic,,,,,2017,Florida Atlantic,,,,,,
Zyon Gilbert,S,Montgomery,AL,6'0'',162,0,Florida Atlantic,,, None, None,2017,Florida Atlantic,,,,,,
Logan Peterson,TE-Y,Aledo,TX,6'3'',220,0,Florida Atlantic,,,,,2017,Florida Atlantic,,,,,,
Akeleis Leroy,ILB,Leesburg,GA,6'0'',225,0,Florida Atlantic,,,,,2017,Florida Atlantic,,,,,,
Ernest Bagner,DE,Lakewood,CA,6'5'',230,0,Florida Atlantic,,NR, NR, NR,2017,Florida Atlantic,,,,,,
DeAndre McNeal,WR,Mesquite,TX,6'2'',215,0,Florida Atlantic,,,,,2017,Florida Atlantic,,,,,,
Jovon Burris,S,Fullerton,CA,6'1'',185,0,Florida Atlantic,,NR,,,2017,Florida Atlantic,,,,,,
Rodney Washington,CB,El Cerrito,CA,6'0'',195,0,Florida Atlantic,,,,,2017,Florida Atlantic,,,,,,
D'Anfernee McGriff,ATH,Tallahassee,FL,6'1'',215,0,Florida Atlantic,,,,,2017,Florida Atlantic,,,,,,
Carson Lydon,OLB,Tarpon Springs,FL,6'2'',243,0,Florida Atlantic,,,,,2017,Florida Atlantic,,,,,,
Nero Nelson,WR,,,,,175,81,,4.0,,,2018,Florida Atlantic,Copiah-Lincoln Community College,,,Wesson,MS,6'0''
Charles Cameron,DT,,,,,290,80,,5,,,2018,Florida Atlantic,Copiah-Lincoln Community College,,29,Morton,MS,6'2''
Desean Holmes,WR,,,,,175,79,,7,,,2018,Florida Atlantic,College of the Canyons,,,Pasadena,CA,5'10''
Teja Young,CB,,,,,170,75,,,,,2018,Florida Atlantic,Palm Beach Lakes High School,,,West Palm Beach,FL,5'10''
Doug Johnson,OG,,,,,335,75,,,,,2018,Florida Atlantic,Fort White High School,,,Fort White,FL,6'3''
Malcolm Davidson,RB,,,,,185,74,,,,,2018,Florida Atlantic,Kissimmee-Osceola High School,,,Kissimmee,FL,5'9''
Devin Hayes,OT,,,,,242,74,,119,,,2018,Florida Atlantic,Jones High School,601,232,Orlando,FL,6'5''
Armani Adams,CB,,,,,184,73,,112,,,2018,Florida Atlantic,Lakewood Senior High School,,,Saint Petersburg,FL,5'11''
Jaylen Joyner,DT,,,,,268,73,,110,,,2018,Florida Atlantic,Jones High School,618,240,Jacksonville,FL,6'3''
Franklin Jackson,DE,,,,,218,73,,137,,,2018,Florida Atlantic,West Orange High School,,,Winter Garden,FL,6'3''
Cordel Littlejohn,QB,,,,,189,72,,34,,,2018,Florida Atlantic,Roswell High School,676,145,Roswell,GA,6'3''
Dabarre Jenkins,CB,,,,,154,71,,690,,,2018,Florida Atlantic,Vanguard High School,,,Ocala,FL,5'8''
Marquice Robinson,DT,,,,,317,NR,,,,,2018,Florida Atlantic,Austin High School,,,Decatur,AL,6'3''
Marcel Southall,DT,,,,,290,NR,,,,,2018,Florida Atlantic,Tyler Junior College,,,Duncanville,TX,6'2''
Meiko Dotson,CB,,,,,180,NR,,,,,2018,Florida Atlantic,Garden City Community College,,,Daytona Beach,FL,5'10''
Zack Bennett,OC,,,,,280,NR,,,,,2018,Florida Atlantic,Arizona Western College,,,Yuma,AZ,6'2''
Junior Diaz,OG,,,,,300,TR,,,,,2018,Florida Atlantic,Tulane University,,,New Orleans,LA,6'2''
Tye Edwards,ATH,Saint Augustine,FL,6'2'',215,80.0,Florida Atlantic,,24,,,2019,Florida Atlantic,,153,45,,,
Cameron Wynn,ATH,Chattanooga,TN,5'11'',170,79.0,Florida Atlantic,,45,,,2019,Florida Atlantic,,238,16,,,
Dorien Josey,DE,Rockledge,FL,6'3'',245,79.0,Florida Atlantic,,72,,,2019,Florida Atlantic,,,,,,
Glover Cook,RB,Ocala,FL,6'0'',175,78.0,Florida Atlantic,,41,,,2019,Florida Atlantic,,,,,,
Diamante Howard,OLB,Miami,FL,6'2'',181,78.0,Florida Atlantic,,55,,,2019,Florida Atlantic,,323,106,,,
Ladarius Henry,S,Saint Petersburg,FL,6'2'',159,76.0,Florida Atlantic,,461,,,2019,Florida Atlantic,,,,,,
Larry McCammon III,RB,Birmingham,AL,5'10'',193,76.0,Florida Atlantic,,502,,,2019,Florida Atlantic,,,39,,,
Kelvin Dean,RB,Chipley,FL,5'10'',185,75.0,Florida Atlantic,,545,,,2019,Florida Atlantic,,,,,,
J.D. Martin,ATH,Wetumpka,AL,5'11'',180,75.0,Florida Atlantic,,122,,,2019,Florida Atlantic,,550,45,,,
Dwight Toombs,S,Port Saint Lucie,FL,6'1'',185,74.0,Florida Atlantic,,592,,,2019,Florida Atlantic,,,,,,
Romain Mungin,ATH,Tampa Bay,FL,5'9'',148,74.0,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
Adarius Tolliver,OT,Prattville,AL,6'7'',333,74.0,Florida Atlantic,,131,,,2019,Florida Atlantic,,,,,,
Andrew Plummer,S,Daytona Beach,FL,6'0'',165,74.0,Florida Atlantic,,101,,,2019,Florida Atlantic,,653,214,,,
Eldridge Franklin,CB,West Palm Beach,FL,5'10'',160,73.0,Florida Atlantic,,141,,,2019,Florida Atlantic,,,,,,
Antarrius Moultrie,OLB,Pensacola,FL,6'2'',210,72.0,Florida Atlantic,,134,,,2019,Florida Atlantic,,723,233,,,
James Meeks,RB,Palm Beach Gardens,FL,5'8'',169,71.0,Florida Atlantic,,115,,,2019,Florida Atlantic,,,,,,
Eyin Cole,WR,De Funiak Springs,FL,6'1'',200,71.0,Florida Atlantic,,195,,,2019,Florida Atlantic,,775,248,,,
Eddie Williams,,Miami,FL,6'0'',160,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
Brian Merritt,DT,Moultrie,GA,6'0'',297,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
DeShawn Richardson,OG,Pahokee,FL,6'3'',300,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
Rahmod Smith,TE-H,Homestead,FL,6'5'',202,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
Tahveon Nicholson,ATH,Jacksonville,FL,5'10'',170,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
Javion Posey,ATH,Greenville,AL,6'0'',185,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
Jeremiah Ashe,ATH,Tampa,FL,6'1'',195,,Florida Atlantic,,NR,,,2019,Florida Atlantic,,NR,NR,,,
Travon Thomas,DE,Miami,FL,6'2'',220,,Florida Atlantic,,NR,,,2019,Florida Atlantic,,,,,,
Deante Nelson,ATH,Pahokee,FL,5'11'',170,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
Marlon Bradley,DE,Deltona,FL,6'3'',220,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
Joe Lewis,OLB,Tampa,FL,6'1'',215,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
Federico Maranges,OG,Miami,FL,6'3'',285,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
B.J. Emmons,RB (JC),Morganton,NC,6'0'',220,,Florida Atlantic,,,,,2019,Florida Atlantic,,,,,,
Caliph Brice,OLB (JC),Rock Hill,SC,6'1'',210,,Florida Atlantic,,NR,,,2019,Florida Atlantic,,,,,,
Adrian Bryant,WR (JC),Atlanta,GA,5'11'',175,,Florida Atlantic,,NR,,,2019,Florida Atlantic,,,,,,
Lavante Epson,OG (JC),Greenville,MS,6'3'',320,,Florida Atlantic,,6,,,2019,Florida Atlantic,,,,,,
Fredrick Eaford,WR,Deerfield Beach,FL,6'0'',165,78,Florida Atlantic,,97,274,94,2021,Florida Atlantic,,,,,,
Jymetre Hester,WR,Belle Glade,FL,5'10'',165,75,Florida Atlantic,,6,,,2021,Florida Atlantic,,,,,,
Kobe Stewart,WR,Harbor City,CA,Narbonne High School,6'2'',175,74,Florida Atlantic,, None, None,2021,Florida Atlantic,,,,,,
Jahmal Edrine,WR,Fort Lauderdale,FL,Fort Lauderdale High School,6'3'',190,74,Florida Atlantic,198,,,2021,Florida Atlantic,,,,,,
Mason Starling,WR,Seattle,WA,College of San Mateo,6'4'',185,74,Florida Atlantic,8, None, None,2021,Florida Atlantic,,,,,,
Okino King,OG,Miami,FL,Miami Northwestern High School,6'3'',300,74,Florida Atlantic,, None, None,2021,Florida Atlantic,,,,,,
Amari Wansley,S,Buford,GA,Buford High School,6'0'',175,74,Florida Atlantic,109,,,2021,Florida Atlantic,,,,,,
Julius Barfield,DE,Melbourne,FL,Eau Gallie High School,6'4'',220,74,Florida Atlantic,156,641,211,2021,Florida Atlantic,,,,,,
Jordan Sandlin,OT,Tampa,FL,Tampa Catholic High School,6'6'',290,73,Florida Atlantic,130,673,223,2021,Florida Atlantic,,,,,,
William Ford,TE-H,Saint Pauls,NC,Saint Pauls High School,6'3'',210,73,Florida Atlantic,29,684,71,2021,Florida Atlantic,,,,,,
Jeremiah McClendon,SN,A,Atlantic Community High School,6'0'',170,73,Florida Atlantic,,117,686,229,2021,Florida Atlantic,,,,,,
Justice Cross,OLB,Deerfield Beach,FL,Deerfield Beach High School,6'1'',205,73,Florida Atlantic,143,696,234,2021,Florida Atlantic,,,,,,
Courtney McBride Jr.,DE,Conyers,GA,Heritage High School,6'3'',215,73,Florida Atlantic,172,716,156,2021,Florida Atlantic,,,,,,
Jacob Merrifield,DE,Winder,GA,Winder-Barrow High School,6'3'',260,73,Florida Atlantic,176,736,160,2021,Florida Atlantic,,,,,,
Peter Warrick Jr.,WR,Marietta,GA,Marietta High School,5'10'',185,72,Florida Atlantic,, None, None,2021,Florida Atlantic,,,,,,
Dwight Dassaw,DE,Miami,FL,Miami Palmetto High School,6'1'',225,72,Florida Atlantic,184,,,2021,Florida Atlantic,,,,,,
Jayden Williams,CB,Valrico,FL,Bloomingdale Senior High School,5'11'',180,72,Florida Atlantic,160,779,259,2021,Florida Atlantic,,,,,,
Jacob Pasley,TE-Y,Sebring,FL,Sebring High School,6'4'',230,72,Florida Atlantic,64,809,266,2021,Florida Atlantic,,,,,,
Zuberi Mobley,RB,Miami,FL,Miami Northwestern High School,5'10'',170,72,Florida Atlantic,137,816,267,2021,Florida Atlantic,,,,,,
Jaden Sandlin,OT,Tampa,FL,Tampa Catholic High School,6'6'',270,72,Florida Atlantic,, None, None,2021,Florida Atlantic,,,,,,
Jahbari Hill,CB,Delray Beach,FL,Atlantic Community High School,6'1'',185,71,Florida Atlantic,179,861,283,2021,Florida Atlantic,,,,,,
Anthony Earle,OG,Fort Lauderdale,FL,Cardinal Gibbons High School,6'3'',305,70,Florida Atlantic,138,939,302,2021,Florida Atlantic,,,,,,
Jaden Wheeler,DT,Nashville,GA,Berrien County High School,6'3'',265,,Florida Atlantic,,,,2021,Florida Atlantic,,,,,,
Jadai Smith,S,Orlando,FL,Dr. Phillips High School,6'1'',170,,Florida Atlantic,, None, None,2021,Florida Atlantic,,,,,,
Keyshawn Greene,OLB,Crawfordville,FL,University of Nebraska,6'3'',200,,Florida Atlantic,, None, None,2021,Florida Atlantic,,,,,,
Michael Johnson Jr.,QB-DT,Eugene,OR,Pennsylvania State University,6'2'',199,,Florida Atlantic,, None, None,2021,Florida Atlantic,,,,,,
Johnny Ford,RB,Coral Gables,FL,University of South Florida,5'6'',175,,Florida Atlantic,,,,2021,Florida Atlantic,,,,,,
John Dunmore,WR,Delray Beach,FL,Pennsylvania State University,6'2'',185,,Florida Atlantic,, None, None,2021,Florida Atlantic,,,,,,
Andrew Boselli,OT,Jacksonville,FL,Florida State University,6'5'',321,,Florida Atlantic,,,,2021,Florida Atlantic,,,,,,
Gemari Sands,RB,Fort Lauderdale,FL,5'10'',180,77,Florida Atlantic,,58,365,130,2023,Florida Atlantic,,,,,,
Jordan Church,OG,Bradenton,FL,6'4'',310,76,Florida Atlantic,,66,424,147,2023,Florida Atlantic,,,,,,
Xavier Terrell,RB,Fort Lauderdale,FL,5'8'',180,76,Florida Atlantic,,72,451,159,2023,Florida Atlantic,,,,,,
Antonio Smith,S,Miami,FL,6'3'',190,75,Florida Atlantic,,103,,,2023,Florida Atlantic,,,,,,
Chrisdasson Saint-Jean,OT,Orlando,FL,6'6'',310,75,Florida Atlantic,,107,559,194,2023,Florida Atlantic,,,,,,
Arthur Jenkins,WR,Deerfield Beach,FL,6'3'',200,75,Florida Atlantic,,189,565,196,2023,Florida Atlantic,,,,,,
Jabari Smith,WR,Orlando,FL,5'10'',170,74,Florida Atlantic,,208,611,215,2023,Florida Atlantic,,,,,,
Fabian Scott,S,Miami,FL,6'2'',170,74,Florida Atlantic,,129,629,219,2023,Florida Atlantic,,,,,,
Curtis Roberts,OLB,Clearwater,FL,6'3'',195,74,Florida Atlantic,,100,664,,2023,Florida Atlantic,,,,,,
Luke Rucker,QB,Sanford,FL,6'3'',190,73,Florida Atlantic,,55,678,240,2023,Florida Atlantic,,,,,,
Darius McClendon,S,West Palm Beach,FL,6'2'',185,73,Florida Atlantic,,8, NR, NR,2023,Florida Atlantic,,,,,,
Zeke Moore,TE,Roswell,GA,6'2'',235,73,Florida Atlantic,,49,718,166,2023,Florida Atlantic,,,,,,
Chris Tooley,CB,Orlando,FL,5'11'',165,72,Florida Atlantic,,161,,,2023,Florida Atlantic,,,,,,
Ovie Dubre,OG,Powder Springs,GA,6'4'',330,72,Florida Atlantic,,, None,112,2023,Florida Atlantic,,,,,,
Fin Jones,TE,Venice,FL,6'5'',240,71,Florida Atlantic,,47,,,2023,Florida Atlantic,,,,,,
Keimar Richardson,DE,Arcadia,FL,6'5'',255,70,Florida Atlantic,,11, NR, NR,2023,Florida Atlantic,,,,,,
Wallace Unamba,OT,Rowlett,TX,6'5'',320,70,Florida Atlantic,,22, NR, NR,2023,Florida Atlantic,,,,,,
Brendan Chavarria,OG,Punta Gorda,FL,6'4'',285,69,Florida Atlantic,,129,,,2023,Florida Atlantic,,,,,,
Carson Cruver,QB,Austin,TX,6'2'',200,NR,Florida Atlantic,,NR, NR, NR,2023,Florida Atlantic,,,,,,
Richard Thomas,DE,Fort Lauderdale,FL,6'2'',260,TR,Florida Atlantic,,,,,2023,Florida Atlantic,,,,,,
C.J. Heard,S,College Park,GA,5'10'',200,79,Florida Atlantic,,43,231,66,2024,Florida Atlantic,,,,,,
Mauricio Hinds,OG,Clearwater,FL,6'5'',280,77,Florida Atlantic,,59,422,,2024,Florida Atlantic,,,,,,
Ethan Proffitt,OG,Jacksonville,FL,6'3'',300,76,Florida Atlantic,,, None, None,2024,Florida Atlantic,,,,,,
Leon Washington Jr.,ATH,Tallahassee,FL,5'8'',175,75,Florida Atlantic,,128,611,200,2024,Florida Atlantic,,,,,,
Gavench Marcelin,DE,Miami,FL,6'2'',230,75,Florida Atlantic,,144,651,215,2024,Florida Atlantic,,,,,,
Kyle Boylston,S,Jacksonville,FL,5'10'',170,75,Florida Atlantic,,142,657,218,2024,Florida Atlantic,,,,,,
Loren Ward,DT,Cocoa,FL,6'3'',270,74,Florida Atlantic,,98,665,220,2024,Florida Atlantic,,,,,,
Kaden Shields-Dutton,RB,Orlando,FL,5'11'',215,74,Florida Atlantic,,115,698,225,2024,Florida Atlantic,,,,,,
Joseph Young,WR,Bryant,AR,6'1'',195,74,Florida Atlantic,,15, None, None,2024,Florida Atlantic,,,,,,
Keon Rohe,OT,Germany,EUR,6'5'',285,74,Florida Atlantic,,164,8,5,2024,Florida Atlantic,,,,,,
Michael Wright,S,Palm Beach Gardens,FL,5'10'',180,74,Florida Atlantic,,170,,,2024,Florida Atlantic,,,,,,
Jaheim Miller,CB,Miami,FL,5'10'',160,73,Florida Atlantic,,181,773,240,2024,Florida Atlantic,,,,,,
Char'quez Lee,OLB,Miami,FL,6'1'',205,73,Florida Atlantic,,125,791,246,2024,Florida Atlantic,,,,,,
Braden Cunningham,OG,Orange Park,FL,6'3'',320,73,Florida Atlantic,,185,,,2024,Florida Atlantic,,,,,,
Lawrence Johnson,CB,Miami,FL,5'11'',175,73,Florida Atlantic,,182,,,2024,Florida Atlantic,,,,,,
Curtis Janvier,S,Hollywood,FL,5'11'',165,73,Florida Atlantic,,13, None, None,2024,Florida Atlantic,,,,,,
Cameron Goggins,CB,Hampton,GA,6'1'',180,72,Florida Atlantic,,,,,2024,Florida Atlantic,,,,,,
Jarvis Johnson Jr.,ILB,Miami,FL,5'11'',210,72,Florida Atlantic,,129,,,2024,Florida Atlantic,,,,,,
Remington Roberts,OLB,Fort Lauderdale,FL,6'2'',200,72,Florida Atlantic,,,,,2024,Florida Atlantic,,,,,,
August Salvati,DE,Clearwater,FL,6'4'',260,NR,Florida Atlantic,,,,,2024,Florida Atlantic,,,,,,
Phillip Dunnam,S,Miami,FL,6'1'',190,TR,Florida Atlantic,,, None, None,2024,Florida Atlantic,,,,,,
Daughtry Richardson,OT,Miami,FL,6'5'',316,TR,Florida Atlantic,,, None, None,2024,Florida Atlantic,,,,,,
George Johnson,WR,Stuart,FL,6'0'',185,TR,Florida Atlantic,,, None, None,2024,Florida Atlantic,,,,,,
Marlyn Johnson,WR,Hightstown,NJ,6'4'',200,TR,Florida Atlantic,,,,,2024,Florida Atlantic,,,,,,
