Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Location,HT,WT
Nexon Dorvilus,TE,Miami,FL,6'4'',225,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
David Hinds,OLB,Miami,FL,6'1'',215,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Randell Johnson,OLB,Miami,FL,6'3'',220,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
DeAndre Richardson,S,Panama City,FL,6'2'',180,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Damian Fortner,RB,Miramar,FL,5'9'',170,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Tiray Dove,OLB,Jacksonville,FL,6'1'',215,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Jimmy Colley,OG,Miami,FL,6'3'',270,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Andrew Stryfeller,DE,Sanford,NC,6'5'',235,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Jarred Williams,DE,Fort Walton Beach,FL,6'4'',210,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Terrell Bradley,CB,Gainesville,FL,5'10'',180,,,Florida Atlantic,NR,,,2009,Florida Atlantic,,,,,,
Christopher Chappell,OT,Callahan,FL,6'8'',298,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Chris Jackson,FB,Panama City Beach,FL,6'1'',230,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Karl James,DE,Miami,FL,6'1'',258,,,Florida Atlantic,NR,,,2009,Florida Atlantic,,,,,,
Travis Jones,RB,Port Saint Lucie,FL,5'10'',175,,,Florida Atlantic,NR,,,2009,Florida Atlantic,,NR,NR,,,
James Oboh,TE,Brookeville,MD,6'4'',210,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Matthew McLaughlin,K,Tampa,FL,5'10'',190,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Angrand Rockenson,ILB,Port Saint Lucie,FL,6'2'',225,,,Florida Atlantic,,,,2009,Florida Atlantic,,,,,,
Javaris Giles,RB,Port Saint Lucie,FL,6'0'',201,6.0,76,Florida Atlantic,409,78, None,2011,Florida Atlantic,,,,,,
Conard Johnson,OLB,Pompano Beach,FL,5'9'',209,7.0,74,Florida Atlantic,130,,,2011,Florida Atlantic,,,,,,
Marcelo Bonani,K,Lake Wales,FL,5'11'',145,6.0,68,Florida Atlantic,113,832, NR,2011,Florida Atlantic,,,,,,
D.J. Frye-Smith,CB,Hialeah,FL,5'11'',167,,Florida Atlantic,,128,,,2011,Florida Atlantic,,,,,,
Mikingson Marsaille,OG,Fort Pierce,FL,6'5'',291,,Florida Atlantic,,212,,,2011,Florida Atlantic,,,,,,
William Dukes,WR,Fort Lauderdale,FL,6'3'',173,,Florida Atlantic,,NR,,,2011,Florida Atlantic,,,,,,
Damian Parms,S,Miami,FL,6'1'',182,,Florida Atlantic,,, None,162,2011,Florida Atlantic,,,,,,
Hakeeme Ishmar,WR,Dade City,FL,6'1'',197,,Florida Atlantic,,275, NR, NR,2011,Florida Atlantic,,,,,,
Stephen Schoewe,OG,Niceville,FL,6'3'',255,,Florida Atlantic,,212,,,2011,Florida Atlantic,,,,,,
Joe Henry,DE,Miramar,FL,6'3'',245,,Florida Atlantic,,238, None, None,2011,Florida Atlantic,,,,,,
Robinson Eugene,DE,North Miami,FL,6'5'',213,,Florida Atlantic,,238,,,2011,Florida Atlantic,,,,,,
Robby Nasiff,OG,Delray Beach,FL,6'3'',275,,Florida Atlantic,,212, None, None,2011,Florida Atlantic,,,,,,
Mohammad Farah,OG,Estero,FL,6'2'',280,,Florida Atlantic,,212,,,2011,Florida Atlantic,,,,,,
