Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Joey Searcy,DT,Grand Prairie,TX,6'3'',280,,74.0,Minnesota,,,,2009,Minnesota,,,
Ed Olson,OC,Mahtomedi,MN,6'6'',270,,73.0,Minnesota,139,,,2009,Minnesota,,,
Brooks Michel,OT,Carmel,IN,6'7'',280,,72.0,Minnesota,,,,2009,Minnesota,,,
Josh Campion,OT,Fergus Falls,MN,6'5'',260,,,Minnesota,,,,2009,Minnesota,,,
Eric Jacques,OG,Pompano Beach,FL,6'2'',280,,,Minnesota,,,,2009,Minnesota,,,
Devon Wright,RB,Coral Springs,FL,5'11'',190,79.0,,,, None, None,2010,Minnesota,,,
Jimmy Gjere,OG,New Brighton,MN,6'7'',270,78.0,,,19,,,2010,Minnesota,,,
James Manuel,S,Indianapolis,IN,6'1'',195,78.0,,,,,,2010,Minnesota,,,
Tyrone Bouie,CB,Sanford,FL,5'11'',165,77.0,,,40,,,2010,Minnesota,,,
Donnell Kirkwood,RB,Delray Beach,FL,5'8'',193,77.0,,,48,,,2010,Minnesota,,,
Marquise Hill,ATH,Saint Louis,MO,6'0'',160,76.0,,,,,,2010,Minnesota,,,
Matt Eggen,OT,La Crosse,WI,6'5'',285,76.0,,,, None, None,2010,Minnesota,,,
Dwayne Mitchell,OLB,New Orleans,LA,6'0'',195,76.0,,,,,,2010,Minnesota,,,
Lamonte Edwards,RB,Woodbury,MN,6'2'',215,76.0,,,76,89, None,2010,Minnesota,,,
Willie Tatum,OLB,Pickerington,OH,6'2'',200,76.0,,,,,,2010,Minnesota,,,
Brock Vereen,CB,Valencia,CA,5'9'',160,76.0,,,59,,,2010,Minnesota,,,
Jon Ragoo,OT,Miami,FL,6'7'',359,75.0,,,,,,2010,Minnesota,,,
Mark Lenkiewicz,OT,Tinley Park,IL,6'5'',240,75.0,,,,,,2010,Minnesota,,,
Harold Legania,DT,New Orleans,LA,6'3'',289,75.0,,,101,,,2010,Minnesota,,,
Tom Parish,QB,Hartland,WI,6'2'',200,73.0,,,,,,2010,Minnesota,,,
Zac Epping,OG,Kenosha,WI,6'3'',275,73.0,,,73.0, None, None,2010,Minnesota,,,
Josh Tauaefa,DE,Corinth,TX,6'2'',255,72.0,,,174, None, None,2010,Minnesota,,,
J.D. Pride II,ATH,Fridley,MN,6'1'',189,71.0,,,NR,,,2010,Minnesota,,,
Cameron Wilson,WR,Heath,TX,6'3'',189,,,,,,,2010,Minnesota,,,
Sean Ferguson,DT,Princeton,NJ,6'6'',305,,,,,,,2010,Minnesota,,,
Ben Perry,DE,Southlake,TX,6'5'',230,,,,, None, None,2010,Minnesota,,,
Logan Hutton,WR,La Marque,TX,6'1'',190,,,,, None, None,2010,Minnesota,,,
