Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School,University 
Devon Robinson,DT,Memphis,TN,University of Memphis,6'4'',,,,,,2022,Akron,290,,,Akron,
Cameron Threatt,CB,Olive Branch,MS,Mississippi State University,5'11'',,,,,,2022,Akron,175,,,Akron,
Tim Terry,OLB,Pittsburgh,PA,University at Buffalo,6'2'',,,,,,2022,Akron,215,,,Akron,
Curtis Harper,DT,McKeesport,PA,Syracuse University,6'2'',,,,,,2022,Akron,295,,,Akron,
Victor Jones,DE,Sacramento,CA,University of Wyoming,6'4'',,,,,,2022,Akron,250,,,Akron,
T.J. Banks,TE-Y,North Versailles,PA,West Virginia University,6'5'',,,,,,2022,Akron,260,,,Akron,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,55.0,,,,,2023,Akron,,,,,Air Force 
Brett Skene,WR,Denver,CO,6'1'',190.0,78.0,,,,,2023,Akron,,,,,Air Force 
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,,,,2023,Akron,,,,,Air Force 
Phillip Ofili,S,Cypress,TX,6'1'',185.0,64.0,,,,,2023,Akron,,,,,Air Force 
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,,,,2023,Akron,,,,,Air Force 
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,69.0,,,,,2023,Akron,,,,,Air Force 
Steve Jones,CB,Kansas City,MO,,,,,,,,2023,Akron,,,,,Air Force 
Chad Gross,K,Suwanee,GA,,,,,,,,2023,Akron,,,,,Air Force 
Irvin George,RB,Orlando,FL,5'11'',190.0,,,,,,2023,Akron,,,,,Air Force 
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,64.0,,,,,2023,Akron,,,,,Air Force 
Jeff Abt,QB,Houston,TX,6'2'',190.0,75.0,,,,,2023,Akron,,,,,Air Force
Tristen Graham,DE,Middletown,DE,6'3'',240,Akron,,109,88,1,2024,Akron,77,,,,
Kyan Mason,ATH,Lakewood,OH,5'9'',160,Akron,,92,,,2024,Akron,77,,,,
Roosevelt Mitchell,OG,Medina,NY,6'3'',310,Akron,,142,,,2024,Akron,76,,,,
Sean Patrick,RB,Chagrin Falls,OH,5'10'',170,Akron,,104,,,2024,Akron,75,,,,
Brayden Roggow,QB,Tiffin,OH,6'4'',200,Akron,,,,,2024,Akron,75,,,,
Khalil Witherspoon,TE,Pleasantville,NJ,6'5'',220,Akron,,48,202,34,2024,Akron,75,,,,
Mike Smith,ATH,Trotwood,OH,5'9'',165,Akron,,141,,,2024,Akron,74,,,,
Dahvon Frazier,DE,Lexington,KY,6'2'',225,Akron,,188,,,2024,Akron,72,,,,
Rodrick Hunter,CB,Atlanta,GA,5'10'',180,Akron,,,,,2024,Akron,,,,,
Keyveon Johnson,CB,Fort Lauderdale,FL,6'2'',175,Akron,,NR,,,2024,Akron,,,,,
Jason Hocker,ILB,Lexington,KY,6'1'',230,Akron,,,,,2024,Akron,,,,,
Elijah Davis,DT,West Chester,OH,6'1'',285,Akron,,,,,2024,Akron,,,,,
Ronald Hull,DT,Upper Marlboro,MD,6'4'',315,Akron,,,,,2024,Akron,,,,,
Rich Benenge,ILB,Sioux Falls,SD,6'1'',225,Akron,,,,,2024,Akron,,,,,
Ronald Hull,DT,Upper Marlboro,MD,6'2'',285,Akron,,NR,NR,NR,2024,Akron,,,,,
Jarvis Rush,WR,Louisville,MS,6'3'',185,Akron,,,,,2024,Akron,,,,,
Justin Anderson,CB,East Palo Alto,CA,6'0'',200,Akron,,,,,2024,Akron,,,,,
Justin Campbell,WR,Alpharetta,GA,6'4'',200,Akron,,NR,NR,NR,2024,Akron,,,,,
Iesa Jarmon,CB,Cincinnati,OH,6'0'',185,Akron,,NR,,,2024,Akron,,,,,
Jacobi Moore,WR,Gulfport,MS,6'3'',200,Akron,,, None, None,2024,Akron,,,,,
Alex Fox,OG,New Castle,PA,6'4'',300,Akron,,,,,2024,Akron,,,,,
Ben Finley,QB-PP,Phoenix,AZ,6'3'',195,Akron,,,,,2024,Akron,T,,,,
Dayne Shor,OT,Alpharetta,GA,6'5'',305,Akron,,,,,2024,Akron,T,,,,
