Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School,University 
Dee Frieson,WR,Orange Park,FL,5'10'',170.0,Akron,,,,,2009,Akron,, None, None,,
Anthony Meriwether,WR,Midpark,OH,6'2'',190.0,Akron,,,,,2009,Akron,,,,,
Joe Vidovic,OT,Willoughby,OH,6'7'',245.0,Akron,,NR,,,2009,Akron,, NR, NR,,
Grant Williams,TE,Louisville,KY,6'4'',210.0,Akron,,NR,,,2009,Akron,, NR, NR,,
Blake Fraley,OLB,Hilliard,OH,6'3'',215.0,Akron,,,,,2009,Akron,,,,,
Joe Petrides,OT,Baltimore,MD,6'5'',245.0,Akron,,,,,2009,Akron,,,,,
Adam Steiner,ATH,Canton,OH,6'3'',210.0,Akron,,,,,2009,Akron,, None, None,,
Jon Root,TE,Erie,PA,6'5'',215.0,Akron,,,,,2009,Akron,,,,,
David Anderson,OLB,Cincinnati,OH,6'3'',210.0,Akron,,,,,2009,Akron,, None, None,,
Josh Couch,K,Carlisle,OH,,,,,,,,2009,Akron,Akron,,,,
Broderick Alexander,RB,Covington,GA,6'2'',215.0,Akron,,,,,2009,Akron,,,,,
Phil Tonga,DT (JC),Torrance,CALos Angeles,6'4'',285.0,Akron,,,,,2009,Akron,,,,,
Deonte Ball,CB (JC),Bolingbrook,ILArizona Western,6'1'',195.0,Akron,,NR,,,2009,Akron,,,,,
Diamond Weaver,CB (JC),Santa Rosa,CASanta Rosa Junior,5'10'',185.0,Akron,,,,,2009,Akron,,,,,
Jeremy LaFrance,WR (JC),Los Angeles,CAFullerton College,6'1'',200.0,Akron,,,,,2009,Akron,,,,,
Chris Henderson,DT,Harrisburg,PA,6'3'',280,77,Akron,,,,2010,Akron,,,,,
Erick Howard,RB,North Canton,OH,5'10'',209,76,Akron,,,,2010,Akron,,,,,
Anthony Ritossa,TE,Kirtland,OH,6'4'',216,74,Akron,52,,,2010,Akron,,,,,
Keith Sconiers,WR,Oak Lawn,IL,6'1'',187,74,Akron,,,,2010,Akron,,,,,
Seth Cunningham,CB,Lakewood,OH,6'0'',174,73,Akron,,,,2010,Akron,,,,,
Zach D'Orazio,QB,Cleveland,OH,6'0'',170,73,Akron,NR,NR,NR,2010,Akron,,,,,
ShelDon Miller,ATH,Monessen,PA,6'1'',190,73,Akron,198,,,2010,Akron,,,,,
Anthony Schrock,WR,Wadsworth,OH,6'3'',185,72,Akron,72.0,,,2010,Akron,,,,,
Jamar Williams,ILB,Westerville,OH,5'10'',202,72,Akron,71,,,2010,Akron,,,,,
Tamir Turpin,ATH,East Orange,NJ,6'1'',210,71,Akron,,,,2010,Akron,,,,,
Giorgio Bowers,RB,Olympia Fields,IL,5'9'',201,68,Akron,NR,NR,NR,2010,Akron,,,,,
Carl Washington,CB,Columbus,OH,5'8'',160,none,Akron,,,,2010,Akron,,,,,
Nico Caponi,ILB,Sandusky,OH,6'0'',225,none,Akron,,,,2010,Akron,,,,,
El Rico Jones,WR,Hermitage,PA,6'0'',190,none,Akron,,,,2010,Akron,,,,,
Michael Bizzarro,WR,Erie,PA,6'2'',157,none,Akron,,,,2010,Akron,,,,,
Lawrence Smith,ATH,Painesville,OH,6'0'',176,none,Akron,,,,2010,Akron,,,,,
Dylan Potts,QB,Hannibal,OH,6'0'',190,none,Akron,,,,2010,Akron,,,,,
Anthony Holmes,S,Harrisburg,PA,6'1'',185,none,Akron,NR,NR,NR,2010,Akron,,,,,
Richard Hall,DE,Wheeling,WV,6'3'',240,none,Akron,NR,,,2010,Akron,,,,,
Marvin Staten,RB,Staten Island,NY,6'1'',200,none,Akron,,,,2010,Akron,,,,,
Austin Bailey,FB,Hyattsville,MD,6'0'',235,none,Akron,NR,NR,,2010,Akron,,,,,
Micah Lio,OT,Hermitage,PA,6'7'',290,none,Akron,,,,2010,Akron,,,,,
