Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,Location,Grades,School
Andrew Savaiinaea,DT,Graham,WA,6'3'',275,,78.0,Florida,62,,,2022,Florida,,,,,,
Devin Moore,S,Naples,FL,6'2'',175,,78.0,Florida,49,,,2022,Florida,,,,,,
Max Brown,QB-DT,Tulsa,OK,6'2'',190,,76.0,Florida,30,,,2022,Florida,,,,,,
Trey Smack,K,Severna Park,MD,6'2'',200,,75.0,Florida,7,,,2022,Florida,,,,,,
Christian Williams,OG,Missouri City,TX,6'3'',310,,74.0,Florida,, None, None,2022,Florida,,,,,,
David Conner,OT,Deerfield Beach,FL,6'7'',270,,74.0,Florida,142,,,2022,Florida,,,,,,
Hayden Hansen,TE-Y,Weatherford,TX,6'5'',250,,73.0,Florida,48,333,243,2022,Florida,,,,,,
Jack Miller,QB-PP,Scottsdale,AZ,6'3'',210,,,Florida,, None, None,2022,Florida,,,,,,
O'Cyrus Torrence,OG,Greenburg,LA,6'5'',340,,,Florida,, None, None,2022,Florida,,,,,,
Jalen Kimber,CB,Arlington,TX,6'0'',180,,,Florida,,,,2022,Florida,,,,,,
Montrell Johnson,RB,New Orleans,LA,5'10'',195,,,Florida,,,,2022,Florida,,,,,,
Kamryn Waites,OT,Irving,TX,6'7'',360,,,Florida,,,,2022,Florida,,,,,,
D.J. Lagway,QB-DT,Willis,TX,6'3'',225,,91,Florida,1,2,2,2024,Florida,,,,,,
L.J. McCray,DE,Daytona Beach,FL,6'7'',265,,91,Florida,1,7,4,2024,Florida,,,,,,
Aaron Chiles,ILB,Olney,MD,6'3'',225,,86,Florida,3,4,2,2024,Florida,,,,,,
Myles Graham,OLB,Gainesville,FL,6'2'',220,,85,Florida,4,,,2024,Florida,,,,,,
Amir Jackson,TE-HP,Portal,GA,6'5'',220,,84,Florida,6,39,12,2024,Florida,,,,,,
Jason Zandamela,OC,Clearwater,FL,6'4'',270,,83,Florida,2,,,2024,Florida,,,,,,
Jerrae Hawkins,WR,Bradenton,FL,5'10'',170,,82,Florida,26,,,2024,Florida,,,,,,
Fletcher Westphal,OT,Leesburg,VA,6'8'',330,,82,Florida,18,,,2024,Florida,,,,,,
Tawaski Abrams,WR,Fort Myers,FL,5'11'',180,,81,Florida,33,116,34,2024,Florida,,,,,,
Jameer Grimsley,CB,Tampa,FL,6'3'',185,,81,Florida,25,126,36,2024,Florida,,,,,,
Kahnen Daniels,RB,West Point,MS,6'0'',190,,81,Florida,17,,,2024,Florida,,,,,,
D'antre Robinson,DT,Orlando,FL,6'4'',315,,80,Florida,35,209,,2024,Florida,,,,,,
Josiah Davis,S,Nashville,GA,6'1'',190,,79,Florida,38,222,64,2024,Florida,,,,,,
Gregory Smith,S,Riverview,FL,6'4'',195,,79,Florida,29,224,62,2024,Florida,,,,,,
Michai Boireau,DT,Fairburn,GA,6'4'',375,,79,Florida,, None, None,2024,Florida,,,,,,
Enoch Wangoy,OT (LQ),Jacksonville,FL,6'7'',305,,79,Florida,3,,,2024,Florida,,,,,,
Brien Taylor,DE (JC),Houston,TX,6'5'',260,,78,Florida,51,282,78,2024,Florida,,,,,,
Jadan Baugh,ATH,Decatur,GA,6'1'',210,,78,Florida,38,4,3,2024,Florida,,,,,,
Noel Portnjagin,OG,Germany,EUR,6'5'',330,,78,Florida,397,,,2024,Florida,,,,,,
Teddy Foster,CB,Sarasota,FL,6'1'',170,,77,Florida,98,,,2024,Florida,,,,,,
Marcus Mascoll,OT,Snellville,GA,6'5'',295,,77,Florida,194,,,2024,Florida,,,,,,
Mike Williams,OT,Springdale,MD,6'6'',330,,75,Florida,, None, None,2024,Florida,,,,,,
Joey Slackman,DT (TR),Commack,NY,6'4'',300,,TR,Florida,, None, None,2024,Florida,,,,,,
Trikweze Bridges,S (TR),Lanett,AL,6'3'',198,,TR,Florida,,,,2024,Florida,,,,,,
George Gumbs,DE (TR),Chicago,IL,6'4'',242,,TR,Florida,,,,2024,Florida,,,,,,
Brandon Crenshaw-Dixon,OT (TR),Harbor City,CA,6'6'',310,,TR,Florida,, None, None,2024,Florida,,,,,,
Chimere Dike,WR (TR),Madison,WI,6'0'',185,,TR,Florida,,,,2024,Florida,,,,,,
Grayson Howard,OLB (TR),Jacksonville,FL,6'4'',241,,TR,Florida,, None, None,2024,Florida,,,,,,
Devon Manuel,OT (TR),Sunset,LA,6'9'',310,,TR,Florida,, None, None,2024,Florida,,,,,,
D.J. Douglas,CB (TR),Montgomery,AL,6'0'',205,,TR,Florida,,,,2024,Florida,,,,,,
Clay Millen,QB-PP (TR),Snoqualmie,WA,6'3'',210,,TR,Florida,, None, None,2024,Florida,,,,,,
Asa Turner,S (TR),Carlsbad,CA,6'3'',200,,TR,Florida,, None, None,2024,Florida,,,,,,
Cormani McClain,CB (TR),Lakeland,FL,6'2'',165,,TR,Florida,, None, None,2024,Florida,,,,,,
Elijah Badger,WR (TR),Folsom,CA,6'2'',190,,TR,Florida,,,,2024,Florida,,,,,,
