Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,Location,Grades,School
David Young,OT,Edwardsville,IL,6'6'',295.0,,Florida,,,,,2008,Florida,,,,,,
Caleb Sturgis,K,Saint Augustine,FL,5'11'',180.0,,80,Florida,1,,,2008,Florida,,,,,,
Sam Robey,OC,Louisville,KY,6'4'',253.0,,74,Florida,19,,,2008,Florida,,,,,,
T.J. Pridemore,ILB,Buford,GA,6'1'',228.0,,76,Florida,43,,,2008,Florida,316,,,,,
Matthew Patchan,OT,Tampa,FL,6'6'',260.0,,81,Florida,11,,,2008,Florida,55,NR,,,,
Earl Okine,DE,Gainesville,FL,6'6'',235.0,,78,Florida,33,,,2008,Florida,,,,,,
Carl Moore,WR,Roseville,CA,6'4'',220.0,,Florida,,,,,2008,Florida, None, None,,,,
Emmanuel Moody,RB,Coppell,TX,6'1'',205.0,,,Florida,,,,2008,Florida,,,,,,
Lerentee McCray,OLB,Dunnellon,FL,6'2'',200.0,,82,Florida,6,,,2008,Florida,46,80,,,,
T.J. Lawrence,WR,Lakeland,FL,6'1'',185.0,,82,Florida,49,,,2008,Florida,30, None,,,,
Byran Jones,OG,Jacksonville,FL,6'2'',320.0,,79,Florida,13,,,2008,Florida,,,,,,
Janoris Jenkins,CB,Pahokee,FL,5'10'',167.0,,83,Florida,4,,,2008,Florida,,,,,,
Omar Hunter,DT,Buford,GA,6'1'',300.0,,83,Florida,2,,,2008,Florida,22,,,,,
Omarius Hines,WR,Corsicana,TX,6'0'',180.0,,80,Florida,35,,,2008,Florida,,,,,,
Will Hill,S,West Orange,NJ,6'3'',203.0,,94,Florida,1,,,2008,Florida,,,,,,
Frankie Hammond Jr.,WR,Hallandale Beach,FL,6'0'',151.0,,80,Florida,32,,,2008,Florida,,,,,,
William Green,DE,Birmingham,AL,6'4'',210.0,,83,Florida,5,,,2008,Florida,,,,,,
Dee Finley,SAuburn,AL,6'3'',210,,88.0,Florida,,2,,,2008,Florida,,,,,,
Troy Epps,DT,Union,SC,6'1'',275.0,,Florida,,,,,2008,Florida,,,,,,
Jeff Demps,ATH,Groveland,FL,5'9'',175.0,,82,Florida,4,,,2008,Florida,35,NR,,,,
Adrian Bushell,CB,DeSoto,TX,5'11'',180.0,,79,Florida,21,,,2008,Florida,,,,,,
Jeremy Brown,CB,Orlando,FL,5'11'',163.0,,80,Florida,13,,,2008,Florida,62,,,,,
Brendan Beal,ILB,Bethlehem,PA,6'4'',235.0,,81,Florida,10,,,2008,Florida,,,,,,
Ronald Powell,ATH,Moreno Valley,CA,6'4'',224,5.0,89.0,Florida,1,,,2010,Florida,1,1,,,,
Matt Elam,ATH,Palm Beach Gardens,FL,5'11'',205,5.0,86.0,Florida,9th,,,2010,Florida,,,,,,
Jonathan Dowling,S,Bradenton,FL,6'3'',180,5.0,86.0,Florida,1,,,2010,Florida,,,,,,
Sharrif Floyd,DT,Philadelphia,PA,6'3'',309,5.0,83.0,Florida,6,,,2010,Florida, None, None,,,,
Joshua Shaw,CB,Palmdale,CA,6'2'',181,5.0,83.0,Florida,3,,,2010,Florida,5,4,,,,
Mack Brown,RB,Lithonia,GA,5'11'',185,5.0,83.0,Florida,4.0,,,2010,Florida,,,,,,
Gerald Christian,TE,Palm Beach Gardens,FL,6'3'',220,5.0,83.0,Florida,2.0,,,2010,Florida,,,,,,
Chris Dunkley,WR,Pahokee,FL,5'11'',170,5.0,83.0,Florida,7,,,2010,Florida,NR,NR,,,,
Ian Silberman,OT,Orange Park,FL,6'5'',256,5.0,83.0,Florida,3,,,2010,Florida, NR, NR,,,,
Jaylen Watkins,CB,Fort Myers,FL,6'0'',171,5.0,82.0,Florida,,,,2010,Florida,,,,,,
Chaz Green,OT,Tampa,FL,6'5'',286,5.0,82.0,Florida,4,,,2010,Florida,,,,,,
