Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,School
Erik Huhn,S,Cibolo,TX,6'2'',205,80,Texas,,16,,,2013,Texas,,,,
Desmond Harrison,OT,San Pablo,CA,6'8'',310,79,Texas,,4,,,2013,Texas,,,,
Rami Hammad,OG,Irving,TX,6'5'',314,79,Texas,,31,88,71,2013,Texas,,,,
Naashon Hughes,OLB,Harker Heights,TX,6'3'',210,78,Texas,,57,97,79,2013,Texas,,,,
Montrel Meander,S,Amarillo,TX,6'3'',180,70,Texas,,91,307,241,2013,Texas,,,,
B.J. Foster,S,Angleton,TX,6'1'',192,0,Texas,,1,1,1,2018,Texas,,,,
DeMarvion Overshown,S,Arp,TX,6'3'',195,0,Texas,,2,2,2,2018,Texas,,,,
Caden Sterns,S,Cibolo,TX,6'1'',192,0,Texas,,3,3,3,2018,Texas,,,,
Joshua Moore,ATH,Yoakum,TX,6'1'',171,0,Texas,,45th, None,5,2018,Texas,,,,
Keondre Coburn,DT,Houston,TX,6'3'',334,0,Texas,,2,,,2018,Texas,,,,
Ayodele Adeoye,ILB,Bradenton,FL,6'1'',231,0,Texas,,3,,,2018,Texas,,,,
Anthony Cook,CB,Houston,TX,6'0'',173,0,Texas,,11,,,2018,Texas,,,,
Al'vonte Woodard,WR,Houston,TX,6'1'',193,0,Texas,,7,20,15,2018,Texas,,,,
D'Shawn Jamison,CB,Houston,TX,5'10'',174,0,Texas,,17,24,18,2018,Texas,,,,
Keaontay Ingram,RB,Carthage,TX,6'1'',187,0,Texas,,16,,,2018,Texas,,,,
Brennan Eagles,WR,Houston,TX,6'4'',214,0,Texas,,15,26,20,2018,Texas,,,,
Jalen Green,CB,Houston,TX,6'1'',174,0,Texas,,4,,,2018,Texas,,,,
Joseph Ossai,DE,Conroe,TX,6'4'',217,0,Texas,,14,,,2018,Texas,,,,
Malcolm Epps,TE,Y,Houston,TX,6'7'',225,0,Texas,15,37,28,2018,Texas,,,,
Sione Angilau Jr.,OT,Salt Lake City,UT,6'6'',297,0,Texas,,11,38,25,2018,Texas,,,,
Rafiti Ghirmai,OT,Frisco,TX,6'4'',294,0,Texas,,11,38,5,2018,Texas,,,,
Cameron Rising,QB-PP,Newbury Park,CA,6'2'',209,0,Texas,,17,,,2018,Texas,,,,
Casey Thompson,QB-DT,Moore,OK,6'1'',189,0,Texas,,24,56,43,2018,Texas,,,,
Reese Moore,OT,Seminole,TX,6'6'',260,0,Texas,,37,86,8,2018,Texas,,,,
Moro Ojomo,DT,Katy,TX,6'3'',260,0,Texas,,26,,,2018,Texas,,,,
Daniel Carson,DT,Independence,MO,6'5'',260,0,Texas,,7, NR, NR,2018,Texas,,,,
Byron Hobbs,OLB,Fort Worth,TX,6'4'',209,0,Texas,,44,,,2018,Texas,,,,
Mikey Grandy,OT (JC),Palo Alto,CA,6'5'',315,0,Texas,,78,170,136,2018,Texas,,,,
Mike Williams,ATH,Baton Rouge,LA,6'2'',250,0,Texas,,16,204,163,2018,Texas,,,,
Christian Jones,OT,Cypress,TX,6'5'',280,0,Texas,,19,6,2,2018,Texas,,,,
Cameron Dicker,K,Austin,TX,6'0'',185,0,Texas,,,,,2018,Texas,,,,
Ryan Bujcevski,K,Melbourne,AUS,6'0'',180,0,Texas,,,,,2018,Texas,,,,
Bijan Robinson,RB,Tucson,AZ,5'11'',195,5,88,Texas,3,6,2,2020,Texas,,,,
Ja'Quinden Jackson,ATH,Duncanville,TX,6'2'',220,5,86,Texas,2,,,2020,Texas,,,,
Hudson Card,QB-DT,Austin,TX,6'2'',180,5,86,Texas,52nd,,,2020,Texas,,,,
Alfred Collins,DE,Bastrop,TX,6'5'',280,5,85,Texas,9,,,2020,Texas,,,,
Vernon Broughton,DE,Houston,TX,6'5'',280,5,84,Texas,, None, None,2020,Texas,,,,
Kitan Crawford,ATH,Tyler,TX,5'11'',190,5,84,Texas,3,29,21,2020,Texas,,,,
Jake Majors,OC,Prosper,TX,6'4'',290,5,84,Texas,14,,,2020,Texas,,,,
Prince Dorbah,OLB,Dallas,TX,6'3'',210,5,83,Texas,180th, None, None,2020,Texas,,,,
Troy Omeire,WR,Sugar Land,TX,6'3'',215,4,82,Texas,10,41,33,2020,Texas,,,,
Xavion Alford,S,Pearland,TX,6'0'',180,4,82,Texas,24,,,2020,Texas,,,,
Jaylen Garth,OT,Port Neches,TX,6'5'',290,4,82,Texas,8,47,37,2020,Texas,,,,
Logan Parr,OG,Helotes,TX,6'3'',280,4,82,Texas,17,,,2020,Texas,,,,
Jerrin Thompson,S,Lufkin,TX,6'0'',172,4,81,Texas,22,58,45,2020,Texas,,,,
Kelvontay Dixon,ATH,Carthage,TX,5'11'',175,4,80,Texas,32,,,2020,Texas,,,,
Andrej Karic,OT,Southlake,TX,6'5'',270,4,80,Texas,60,,,2020,Texas,,,,
Dajon Harrison,WR,Hutto,TX,5'10'',180,4,80,Texas,47,116,88,2020,Texas,,,,
Jahdae Barron,CB,Pflugerville,TX,5'11'',175,4,78,Texas,59,150,113,2020,Texas,,,,
Jaden Hullaby,ATH,Dallas,TX,6'1'',215,4,76,Texas,77,,,2020,Texas,,,,
Sawyer Goram-Welch,DT,Longview,TX,6'4'',280,4,75,Texas,103,,,2020,Texas,,,,
Jaylan Ford,OLB,Frisco,TX,6'3'',205,4,75,Texas,,,,2020,Texas,,,,
Ja'Tavion Sanders,ATH,Denton,TX,6'4'',220,,90.0,,8,,,2021,Texas,11,7,,Texas
Xavier Worthy,WR,Fresno,CA,6'1'',165,,86.0,,8,,,2021,Texas,,,,Texas
Ishmael Ibraheem,CB,Dallas,TX,6'1'',175,,84.0,,21,,,2021,Texas,37,29,,Texas
Derrick Harris Jr.,OLB,New Caney,TX,6'3'',215,,83.0,,197,,,2021,Texas,38,30,,Texas
J.D. Coffey,S,Kennedale,TX,6'1'',180,,83.0,,25,,,2021,Texas,,,,Texas
Terrence Cooks II,OLB,Pearland,TX,6'2'',210,,83.0,,25,,,2021,Texas,45,37,,Texas
Jordon Thomas,DE,Port Arthur,TX,6'3'',240,,83.0,,27,,,2021,Texas,,,,Texas
David Abiara,DE,Mansfield,TX,6'4'',230,,82.0,,12,,,2021,Texas,,,,Texas
Hayden Conner,OG,Katy,TX,6'6'',315,,82.0,,17,,,2021,Texas,,,,Texas
Jamier Johnson,CB,Pasadena,CA,6'0'',170,,81.0,,31,,,2021,Texas,,,,Texas
Morice Blackwell,OLB,Arlington,TX,6'1'',190,,81.0,,59,,,2021,Texas,,,,Texas
Jaden Alexis,WR,Coconut Creek,FL,6'0'',175,,80.0,,66,,,2021,Texas,,,,Texas
Keithron Lee,WR,Bryan,TX,5'10'',175,,79.0,,33,,,2021,Texas,,,,Texas
Byron Murphy II,DT,DeSoto,TX,6'1'',280,,79.0,,39,,,2021,Texas,,,,Texas
Jonathon Brooks,RB,Hallettsville,TX,6'0'',185,,78.0,,51,,,2021,Texas,136,104,,Texas
Juan Davis,ATH,Everman,TX,6'2'',220,,78.0,,77,,,2021,Texas,,,,Texas
Max Merrill,OT,Houston,TX,6'4'',275,,77.0,,96,,,2021,Texas,375,29,,Texas
Barryn Sorrell,DE,New Orleans,LA,6'3'',250,,76.0,,16,,,2021,Texas,189,7,,Texas
Gunnar Helm,TE,Englewood,CO,6'5'',220,,76.0,,156,,,2021,Texas,,,,Texas
Casey Cain,WR,New Orleans,LA,6'2'',175,,76.0,,50,,,2021,Texas,,,,Texas
Charles Wright,QB,Austin,TX,6'0'',180,,75.0,,16,,,2021,Texas,,,,Texas
Isaac Pearson,K,Melbourne,AUS,6'2'',215,,74.0,,,,,2021,Texas,,,,Texas
Darion Dunn,CB,Oakdale,LA,6'1'',195,,,,,,,2021,Texas,,,,Texas
Ovie Oghoufo,OLB,Farmington Hills,MI,6'4'',215,,,,,,,2021,Texas,,,,Texas
Ray Thornton,OLB,Killeen,TX,6'3'',225,,,,,,,2021,Texas,,,,Texas
Arch Manning,QB,New Orleans,LA,6'3'',204,3,93.0,Texas,3,2,1,2023,Texas,,,,
Gavin Holmes,CB,New Orleans,LA,,5'11'',175,,TRTexas,, None, None,2023,Texas,,,,
Ryan Sanborn,K,San Diego,CA,,6'3'',195,,TRTexas,,,,2023,Texas,,,,
Jalen Catalon,S,Mansfield,TX,,5'10'',201,,TRTexas,, None, None,2023,Texas,,,,
Adonai Mitchell,WR,Missouri City,TX,,6'4'',190,,TRTexas,, None, None,2023,Texas,,,,
Trill Carter,DT,Leesburg,GA,,6'2'',310,,TRTexas,, None, None,2023,Texas,,,,
Colin Simmons,DE,Duncanville,TX,6'3'',225,90,,,12th, None, None,2024,Texas,,,,
Kobe Black,CB,Waco,TX,6'1'',190,90,,,3,4,4,2024,Texas,,,,
Ryan Wingo,WR,Saint Louis,MO,6'2'',200,87,,,8,10,2,2024,Texas,,,,
Xavier Filsaime,S,McKinney,TX,6'0'',185,86,,,2,12,10,2024,Texas,,,,
Brandon Baker,OT,Santa Ana,CA,6'5'',290,86,,,2,4,3,2024,Texas,,,,
Jerrick Gibson,RB,Bradenton,FL,5'11'',195,85,,,2,,,2024,Texas,,,,
Aaron Butler,ATH,Calabasas,CA,6'1'',175,84,,,4,,,2024,Texas,,,,
Jordon Johnson-Rubell,CB,Bradenton,FL,5'10'',170,82,,,18,77,25,2024,Texas,,,,
Freddie Dubose,WR,Spring Branch,TX,6'1'',170,82,,,25,34,27,2024,Texas,,,,
Parker Livingstone,WR,Lucas,TX,6'3'',185,82,,,27,35,28,2024,Texas,,,,
Zina Umeozulu,DE,Allen,TX,6'4'',220,81,,,29,,,2024,Texas,,,,
Nate Kibble,OG,Atascocita,TX,6'3'',315,81,,,10,,,2024,Texas,,,,
Wardell Mack,CB,Marrero,LA,5'11'',175,81,,,24,,,2024,Texas,,,,
Daniel Cruz,OG,North Richland Hills,TX,6'4'',295,81,,,14,,,2024,Texas,,,,
Christian Clark,RB,Phoenix,AZ,6'0'',200,80,,,27,,,2024,Texas,,,,
Trey Owens,QB-PP,Cypress,TX,6'5'',210,80,,,17,,,2024,Texas,,,,
Tyanthony Smith,OLB,Jasper,TX,6'1'',210,79,,,78,,,2024,Texas,,,,
Santana Wilson,CB,Scottsdale,AZ,6'0'',180,79,,,50,79,12,2024,Texas,,,,
Jordan Washington,TE-H,Houston,TX,6'4'',220,78,,,30,,,2024,Texas,,,,
Melvin Hills,DT,Lafayette,LA,6'4'',260,78,,,41,279,,2024,Texas,,,,
Alex January,DT,Duncanville,TX,6'4'',310,78,,,154,51,122,2024,Texas,,,,
Michael Kern,K,Fort Lauderdale,FL,6'3'',170,75,,,9,635,211,2024,Texas,,,,
Trey Moore,DE,TR,Spring Branch,TX,6'3'',235,,,, None, None,2024,Texas,,,,
Andrew Mukuba,S,TR,Austin,TX,6'2'',195,,,,,,2024,Texas,,,,
Matthew Golden,WR,TR,Tomball,TX,6'0'',190,,,,,,2024,Texas,,,,
Isaiah Bond,WR,TR,Buford,GA,5'11'',182,,,,,,2024,Texas,,,,
Kendrick Blackshire,ILB,TR,Mesquite,TX,6'2'',233,,,, None, None,2024,Texas,,,,
Silas Bolden,WR,TR,Rancho Cucamonga,CA,5'8'',157,,,,,,2024,Texas,,,,
Amari Niblack,TE-H,TR,Tuscaloosa,AL,6'4'',233,,,, None, None,2024,Texas,,,,
Tiaoalii Savea,DT,TR,Las Vegas,NV,6'4'',305,,,, None, None,2024,Texas,,,,
Bill Norton,DT,TR,Memphis,TN,6'6'',325,,,, None, None,2024,Texas,,,,
Jermayne Lole,DT,TR,Paramount,CA,6'3'',310,,,, None, None,2024,Texas,,,,
Jay'vion Cole,CB,TR,Oakland,CA,5'10'',184,,,,,,2024,Texas,,,,
