Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Star,School, Reg_rank, State_rank, State_rank 
Karson Sharar,ATH,Iowa Falls,IA,6'3'',205,76.0,Iowa,,,,,2021,Iowa,,, None, None,
Cooper DeJean,ATH,Ida Grove,IA,6'2'',195,75.0,Iowa,,,,,2021,Iowa,,, None, None,
Brody Brecht,WR,Ankeny,IA,6'4'',190,74.0,Iowa,,190,,,2021,Iowa,,,159,17,
Joey Labas,QB-PP,Broadview Heights,OH,6'3'',190,74.0,Iowa,,60,,,2021,Iowa,,,178,52,
Deavin Hilson,ATH,Des Moines,IA,6'1'',195,73.0,Iowa,,145,,,2021,Iowa,,,216,20,
Xavior Williams,CB,Burlington,IA,5'11'',195,,Iowa State,,,,,2021,Iowa,,, None, None,
Xavier Nwankpa,S,Runnells,IA,6'2'',175,5,83,Iowa,9,,,2022,Iowa,,,17,1,
Aaron Graves,DE,Gowrie,IA,6'5'',255,4,82,Iowa,18,,,2022,Iowa,,,,,
Caden Crawford,DE,Lansing,KS,6'5'',240,4,79,Iowa,46,,,2022,Iowa,,,,,
Kaleb Johnson,RB,Hamilton,OH,6'1'',215,4,78,Iowa,52,,,2022,Iowa,,,,,
Jaziun Patterson,RB,Deerfield Beach,FL,5'10'',190,4,78,Iowa,53,,,2022,Iowa,,,,,
Jack Dotzler,OT,Waunakee,WI,6'6'',265,4,78,Iowa,55,,,2022,Iowa,,,74,7,
T.J. Hall,WR,Fresno,CA,6'0'',170,4,77,Iowa,123,,,2022,Iowa,,,129,62,
Deshaun Lee,ATH,Belleville,MI,5'10'',175,4,77,Iowa,85,,,2022,Iowa,,,88,19,
Carson May,QB-PP,Jones,OK,6'4'',220,4,77,Iowa,41,,,2022,Iowa,,,185,17,
Jacob Bostick,WR,Palatine,IL,6'2'',165,4,77,Iowa,142,,,2022,Iowa,,,93,15,
Cael Vanderbush,TE-H,Plainfield,IN,6'5'',200,4,76,Iowa,21,,,2022,Iowa,,,,,
Kale Krogh,OT,Huxley,IA,6'5'',265,4,76,Iowa,101,,,2022,Iowa,,,85,6,
Olando Trader,ATH,Jackson,MI,6'0'',185,4,76,Iowa,99,,,2022,Iowa,,,104,24,
Koen Entringer,ATH,Walled Lake,MI,6'2'',190,4,76,Iowa,102,,,2022,Iowa,,,108,25,
Jayden Montgomery,ILB,Green Bay,WI,5'11'',210,4,75,Iowa,36,,,2022,Iowa,,,,,
Brian Allen,DE,Oakdale,CT,6'3'',255,4,75,Iowa,113,,,2022,Iowa,,,,,
Landyn Van Kekerix,OLB,Rock Valley,IA,6'2'',200,4,75,Iowa,100,,,2022,Iowa,,,,,
Addison Ostrenga,TE-H,Sun Prairie,WI,6'4'',215,3,73,Iowa,47,,,2022,Iowa,,,213,15,
Ben Kueter,ILB,Iowa City,IA,6'3'',220,80,Iowa,,13,21,4,2023,Iowa,,,,,
Marco Lainez III,QB-PP,Princeton,NJ,6'3'',225,79,Iowa,,18,45,7,2023,Iowa,,,,,
Trevor Lauck,OT,Indianapolis,IN,6'5'',290,79,Iowa,,54,,,2023,Iowa,,,,,
Chase Brackney,DE,Englewood,CO,6'4'',260,78,Iowa,,,,,2023,Iowa,,,,,
Leighton Jones,OC,Brownsburg,IN,6'3'',250,77,Iowa,,6,,,2023,Iowa,,,,,
Kahlil Tate,CB,Chicago,IL,6'1'',185,77,Iowa,,,,,2023,Iowa,,,,,
John Nestor,S,Chicago,IL,6'0'',190,77,Iowa,,60,,,2023,Iowa,,,,,
Alex Mota,ATH,Marion,IA,6'0'',175,77,Iowa,,72,,,2023,Iowa,,,,,
Terrell Washington Jr.,RB,Wylie,TX,5'10'',200,77,Iowa,,54,,,2023,Iowa,,,,,
Dayton Howard,WR,Kansas City,MO,6'4'',195,77,Iowa,,126,,,2023,Iowa,,,,,
Kenneth Merrieweather,DE,Detroit,MI,6'3'',250,77,Iowa,,113,84,15,2023,Iowa,,,,,
Anterio Thompson,DT,Hempstead,IA,6'3'',295,76,Iowa,,3,,,2023,Iowa,,,,,
Zach Ortwerth,TE-YSaint,MO,6'5'',220,76,Iowa,,,24,,,2023,Iowa,,,,,
Teegan Davis,ATH,Princeton,IL,6'2'',175,76,Iowa,,113,,,2023,Iowa,,,,,
Aidan Hall,S,Harlan,IA,6'1'',205,75,Iowa,,101,118,13,2023,Iowa,,,,,
Maddux Borcherding-Johnson,DT,Norwalk,IA,6'3'',270,75,Iowa,,128,,,2023,Iowa,,,,,
Jarriett Buie,WR,Tampa,FL,6'2'',185,75,Iowa,,199,,,2023,Iowa,,,,,
Kamari Moulton,RB,Fort Lauderdale,FL,5'10'',180,74,Iowa,,102,,,2023,Iowa,,,,,
Zach Lutmer,S,Rock Rapids,IA,6'1'',190,74,Iowa,,137,161,16,2023,Iowa,,,,,
Kade Pieper,DT,Norfolk,NE,6'3'',240,72,Iowa,,121,,,2023,Iowa,,,,,
Cannon Leonard,OT,Gilman,IL,6'8'',265,70,Iowa,,151,203,48,2023,Iowa,,,,,
Erick All,TE-H,Fairfield,OH,6'4'',245,,Iowa,,,,,2023,Iowa,,,,,
Daijon Parker,OT,Inkster,MI,6'6'',295,,Iowa,,,,,2023,Iowa,,,,,
Cade McNamara,QB-PP,Reno,NV,6'1'',215,,Iowa,,,,,2023,Iowa,,,,,
Seth Anderson,WR,Suwanee,GA,6'0'',178,,Iowa,,,,,2023,Iowa,,,,,
Deacon Hill,QB-PP,Santa Barbara,CA,6'3'',230,,Iowa,,,,,2023,Iowa,,,,,
Rusty Feth,OG,Cincinnati,OH,6'5'',305,,Iowa,,,,,2023,Iowa,,,,,
