Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Star,School, Reg_rank, State_rank, State_rank 
Kevonte Martin-Manley,WR,Bloomfield Hills,MI,6'0'',190,75.0,Iowa,,131,,,2010,Iowa,,, NR,,
Jim Poggi,ILB,Baltimore,MD,6'1'',215,75.0,Iowa,,43,,,2010,Iowa,,,,,
Carl Davis,DT,Sterling Heights,MI,6'4'',300,75.0,Iowa,,,,,2010,Iowa,,,88,,
James Morris,ILB,Solon,IA,6'2'',211,74.0,Iowa,,,,,2010,Iowa,,,,,
Anthony Hitchens,RB,Lorain,OH,6'0'',195,74.0,Iowa,,143,,,2010,Iowa,,,,,
Austin Vier,ATH,Huxley,IA,6'7'',220,74.0,Iowa,,74.0,,,2010,Iowa,,,,,
DeAndre Johnson,ATH,Miami,FL,5'8'',195,70.0,Iowa,,NR,,,2010,Iowa,,, NR,,
Tanner Miller,ATH,Wellman,IA,6'2'',200,,Iowa,,,,,2010,Iowa,,, None,,
Christian Kirksey,OLB,Saint Louis,MO,6'2'',200,,Iowa,,NR,,,2010,Iowa,,, NR,,
Jonny Mullings,K,Canberra,AUS,6'4'',215,,Iowa,,NR,,,2010,Iowa,,,,,
Jordan Walsh,OG,Glen Ellyn,IL,6'3'',275,4,79.0,Iowa,13,,,2011,Iowa,,,15, None,
Ray Hamilton,TE,Strongsville,OH,6'5'',225,4,79.0,Iowa,12,,,2011,Iowa,,,,,
Darian Cooper,DT,Hyattsville,MD,6'1'',295,4,79.0,Iowa,,,,2011,Iowa,,, None, None,
Damon Bullock,RB,Mansfield,TX,Mansfield High School,6'0'',185,,Iowa,,,,2011,Iowa,,,,,
Dean Tsopanides,DE,Torrington,CT,Torrington High School,6'2'',220,,Iowa,NR,,,2011,Iowa,,,,,
Jordan Canzeri,RB,Troy,NY,Troy High School,5'8'',180,,Iowa,,,,2011,Iowa,,, NR, NR,
Marcus Collins,OLB,Drexel Hill,PA,Monsignor Bonner High School,6'0'',215,,Iowa,217,,,2011,Iowa,,,,,
Dan Heiar,OT,Goose Lake,IA,Iowa Western Community College,6'5'',285,,Iowa,,,,2011,Iowa,,,,,
Greg Garmon,ATH,Erie,PA,6'1'',200,80.0,Iowa,,23,22,5,2012,Iowa,,,,,
Ryan Ward,OT,New Lenox,IL,6'6'',270,79.0,Iowa,,29,27,4,2012,Iowa,,,,,
Faith Ekakitie,DE,Lake Forest,IL,6'3'',270,79.0,Iowa,,27,28,5,2012,Iowa,,,,,
Maurice Fleming,ATH,Chicago,IL,6'0'',180,79.0,Iowa,,30,,,2012,Iowa,,,,,
Jaleel Johnson,OG,Lombard,IL,6'2'',290,79.0,Iowa,,19,,,2012,Iowa,,,,,
Cameron Wilson,WR,Dublin,OH,6'1'',190,79.0,Iowa,,,,,2012,Iowa,,,,,
C.J. Beathard,QB,Franklin,TN,6'2'',180,79.0,Iowa,,33,,,2012,Iowa,,,,,
Laron Taylor,OLB,Detroit,MI,5'11'',205,78.0,Iowa,,,,,2012,Iowa,,,,,
Ruben Lile,ATH,Detroit,MI,6'3'',195,77.0,Iowa,,,,,2012,Iowa,,,,,
Sean Draper,CB,Cleveland,OH,6'0'',170,77.0,Iowa,,,,,2012,Iowa,,,,,
Anthony Gair,S,Plano,TX,6'2'',190,76.0,Iowa,,,,,2012,Iowa,,,,,
Tevaun Smith,WR,Toronto,ON,CAN,6'2'',186.0,75,Iowa,,,,2012,Iowa,,,,,
Daumantas Venckus,DE,Weston,FL,6'4'',225,75.0,Iowa,,146,,,2012,Iowa,,,,,
Kevin Buford,CB,Canton,MI,5'10'',170,75.0,Iowa,,,80,27,2012,Iowa,,,,,
Drew Ott,DE,Giltner,NE,6'4'',212,75.0,Iowa,,168,,,2012,Iowa,,,,,
Mitchell Keppy,OT,Port Byron,IL,6'5'',287,74.0,Iowa,,147,210,36,2012,Iowa,,,,,
Connor Kornbrath,K,Bridgeport,WV,6'5'',208,74.0,Iowa,,1,,,2012,Iowa,,,,,
Barkley Hill,RB,Cedar Falls,IA,6'0'',200,73.0,Iowa,,131,261,7,2012,Iowa,,,,,
Greg Mabin,WR,Fort Lauderdale,FL,6'1'',190,72.0,Iowa,,222,,,2012,Iowa,,,,,
Nate Meier,ILB,Tabor,IA,6'2'',235,,Iowa,,,,,2012,Iowa,,,,,
Reid Sealby,DE,Byron,IL,6'5'',250,,Iowa,,,,,2012,Iowa,,,,,
Cody Sokol,QB,Scottsdale,AZ,6'2'',205,,Iowa,,NR,NR,NR,2012,Iowa,,,,,
Eric Simmons,OC,Madrid,IA,6'3'',300,,Iowa,,NR,,,2012,Iowa,,,,,
Jon Wisnieski,TE-Y,West Des Moines,IA,6'5'',215,80.0,Iowa,,7,,,2013,Iowa,,,50,1,
