Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank, Reg_rank, State_rank,Year,Team,University,Reg_rank,State_rank,School,University 
Corey Addison,S,Jacksonville,FL,6'1'',180.0,,75,,452,,,2009,South Carolina,South Carolina,57,172,,
Andrew Clifford,QB,Tampa,FL,6'3'',215.0,,75,,148,,,2009,South Carolina,South Carolina,557,NR,,
Charles Holmes,WR,Rock Hill,SC,6'3'',190.0,,74,,,,,2009,South Carolina,South Carolina,,,,
Ronald Byrd,DT,Hogansville,GA,6'6'',260.0,,70,,,,,2009,South Carolina,South Carolina,,,,
Kevious Watkins,OT,Fairburn,GA,,,,South Carolina,,,,,2009,South Carolina,,,,,
Josh Dickerson,OLB,Kingsland,GA,,,,South Carolina,,,,,2009,South Carolina,,,,,
Tony Straughter,OLB,Milledgeville,GA,,,,South Carolina,,,,,2009,South Carolina,,,,,
Steven Singleton,OG,Buford,GA,,,,South Carolina,,,,,2009,South Carolina,,,,,
Jadeveon Clowney,DE,Rock Hill,SC,6'6'',240,95.0,South Carolina,,1,,,2011,South Carolina,,1,1,,
Kelcy Quarles,DT,Greenwood,SC,6'4'',265,81.0,South Carolina,,,,,2011,South Carolina,,,,,
Kadetrix Marcus,S,Stone Mountain,GA,6'1'',191,80.0,South Carolina,,18,,,2011,South Carolina,,105,24,,
Phillip Dukes,DT,Manning,SC,6'2'',280,79.0,South Carolina,,17,,,2011,South Carolina,,,,,
Drew Owens,TE,Charlotte,NC,6'5'',226,79.0,South Carolina,,15,,,2011,South Carolina,,31,,,
Brandon Shell,OT,Goose Creek,SC,6'6'',300,79.0,South Carolina,,19,,,2011,South Carolina,,132,8,,
Shamier Jeffery,WR,Saint Matthews,SC,6'2'',190,79.0,South Carolina,,41,,,2011,South Carolina,,,,,
Edward Muldrow,OLB,Snellville,GA,6'3'',191,79.0,South Carolina,,21,,,2011,South Carolina,,,,,
Rory Anderson,TE,Powder Springs,GA,6'4'',205,79.0,South Carolina,,18,,,2011,South Carolina,,,,,
Kyle Harris,OG,Lindale,GA,6'3'',258,79.0,South Carolina,,17,,,2011,South Carolina,,143,34,,
Damiere Byrd,ATH,Sicklerville,NJ,5'9'',155,78.0,South Carolina,,44,,,2011,South Carolina,,,,,
Tanner McEvoy,ATH,Oradell,NJ,6'6'',206,78.0,South Carolina,,45,,,2011,South Carolina,,65,14,,
Quincy McKinney,OG,Columbus,GA,6'3'',285,78.0,South Carolina,,30,,,2011,South Carolina,,,,,
Cedrick Cooper,OLB,Lithonia,GA,6'2'',199,78.0,South Carolina,,46,,,2011,South Carolina,,,,,
Marcquis Roberts,OLB,Powder Springs,GA,6'0'',204,78.0,South Carolina,,60,,,2011,South Carolina,,,,,
Deon Green,DT,Orlando,FL,6'3'',260,78.0,South Carolina,,57,,,2011,South Carolina,,273,NR,,
Ronnie Martin,CB,Spartanburg,SC,5'10'',180,77.0,South Carolina,,39,,,2011,South Carolina,,,,,
Ahmad Christian,ATH,Jacksonville,FL,5'9'',180,77.0,South Carolina,,84,,,2011,South Carolina,,327,NR,,
Gerald G. Dixon,DT,Rock Hill,SC,6'2'',240,77.0,South Carolina,,,,,2011,South Carolina,,,,,
Shon Carson,RB,Scranton,SC,5'8'',190,77.0,South Carolina,,61,,,2011,South Carolina,,351,25,,
Sheldon Royster,S,Jersey City,NJ,6'0'',185,77.0,South Carolina,,59,,,2011,South Carolina,,151,23,,
Jerell Adams,ATH,Summerton,SC,6'4'',220,76.0,South Carolina,,,,,2011,South Carolina,,,,,
Mason Harris,OLB,Rossville,GA,6'3'',198,76.0,South Carolina,,404,,,2011,South Carolina,,94,91,,
Angelo Watley,OLB,Suwanee,GA,6'3'',230,76.0,South Carolina,,409,,,2011,South Carolina,,98,93,,
Michael Matulis,OT,Lake Worth,FL,6'5'',270,76.0,South Carolina,,,,,2011,South Carolina,,,,,
Brandon Wilds,RB,Blythewood,SC,6'1'',220,76.0,South Carolina,,,,,2011,South Carolina,,,,,
Will Sport,OT,Pace,FL,6'5'',275,76.0,South Carolina,,103,,,2011,South Carolina,,452,NR,,
K.J. Brent,WR,Waxhaw,NC,6'4'',173,75.0,South Carolina,,131,,,2011,South Carolina,,,,,
Brison Williams,S,Warner Robins,GA,5'10'',200,74.0,South Carolina,,,,,2011,South Carolina,,,,,
