Name,Pos,City,State,Height,Weight,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,University, Reg_rank, State_rank,University ,Stars
Taylen Green,QB-DT,Lewisville,TX,6'4'',190,Boise State,,23,,,2021,Boise State,,,,,,,,,,274,210,,75.0
Joseph Amos,OG,Lancaster,TX,6'5'',325,Boise State,,,,,2021,Boise State,,,,,,,,,, None, None,,74.0
Ahmed Hassanein,DT,Anaheim,CA,6'3'',270,Boise State,,192,,,2021,Boise State,,,,,,,,,,,,,74.0
Seyi Oladipo,CB,Aurora,CO,5'11'',165,Boise State,,135,,,2021,Boise State,,,,,,,,,,318,15,,73.0
Cord Kringlen,OG,Broomfield,CO,6'5'',275,Boise State,,116,,,2021,Boise State,,,,,,,,,,,,,72.0
Jalen Richmond,WR,Chandler,AZ,6'0'',175,Boise State,,284,,,2021,Boise State,,,,,,,,,,,,,71.0
Matthew Lauter,TE-H,Del Mar,CA,6'4'',220,Boise State,,42,,,2021,Boise State,,,,,,,,,,,,,70.0
Ben Ford,ATH,Eagle,ID,5'11'',185,Boise State,,192,,,2021,Boise State,,,,,,,,,,,,,69.0
Colton Fitzgerald,QB-PP,LQ,Saugus,CA,6'2'',,,,,,2021,Boise State,,,,,,,,,Boise State,,,,190.0
Cyrus Habibi-Likio,RB, Eugene,OR,6'1'',216,Boise State,,,,,2021,Boise State,,,,,,,,,,,,,
Dishawn Misa,ILB,Bellevue,WA,6'3'',215,81.0,,9,32,4,2022,Boise State,,,,,,,,,Boise State,,,,
Deven Wright,DE,Jackson,MS,6'5'',230,76.0,,2,,25,2022,Boise State,,,,,,,,,Boise State,,,,
Cortez Hogans,DE,Palatine,IL,6'4'',270,76.0,,4,none,29,2022,Boise State,,,,,,,,,Boise State,,,,
Braxton Fely,DE,Provo,UT,6'2'',270,76.0,,150,,,2022,Boise State,,,,,,,,,Boise State,,,,
Roger Carreon,OT,Jal,NM,6'5'',295,76.0,,99,157,1,2022,Boise State,,,,,,,,,Boise State,,,,
Keenan McCaddy,ATH,Honolulu,HI,6'3'',180,76.0,,105,,,2022,Boise State,,,,,,,,,Boise State,,,,
Zamondre Merriweather,WR,Valencia,CA,6'2'',205,76.0,,158,169,89,2022,Boise State,,,,,,,,,Boise State,,,,
J.J. Talo,DE,Kearns,UT,6'2'',250,76.0,,103,172,19,2022,Boise State,,,,,,,,,Boise State,,,,
Kage Casey,OT,Clackamas,OR,6'5'',250,75.0,,6,,,2022,Boise State,,,,,,,,,Boise State,,,,
Maddux Madsen,QB,American Fork,UT,5'10'',180,75.0,,56,183,23,2022,Boise State,,,,,,,,,Boise State,,,,
Austin Terry,TE,Tumwater,WA,6'4'',230,75.0,,33,184,21,2022,Boise State,,,,,,,,,Boise State,,,,
Jaydin Virgin,ATH,San Diego,CA,6'3'',220,75.0,,121,,,2022,Boise State,,,,,,,,,Boise State,,,,
Ashton Jeanty,RB,Frisco,TX,5'9'',195,74.0,,,,,2022,Boise State,,,,,,,,,Boise State,,,,
Dionte Thornton,S,Lawndale,CA,6'2'',180,74.0,,,,,2022,Boise State,,,,,,,,,Boise State,,,,
James Ferguson,K,Melbourne,AUS,6'0'',175,73.0,,30,,,2022,Boise State,,,,,,,,,Boise State,,,,
Tyson Molio'o,OG,Bellflower,CA,6'2'',290,73.0,,144,281,139,2022,Boise State,,,,,,,,,Boise State,,,,
Jake Ripp,OLB,Los Gatos,CA,6'3'',215,72.0,,61,286,142,2022,Boise State,,,,,,,,,Boise State,,,,
Gavin Hambrick,ILB,Apple Valley,CA,6'2'',220,72.0,,188,289,29,2022,Boise State,,,,,,,,,Boise State,,,,
Hall Schmidt,OT,Gig Harbor,WA,6'7'',300,72.0,,251,831,261,2022,Boise State,,,,,,,,,Boise State,,,,
Prince Strachan,WR,Fort Pierce,FL,6'3'',185,70.0,,,,,2022,Boise State,,,,,,,,,Boise State,,,,
Cade Beresford,,Woodinville,WA,6'6'',300,,,,,,2022,Boise State,,,,,,,,,Boise State,,,,
George Tarlas,,Boise,ID,6'4'',260,,,,,,2022,Boise State,,,,,,,,,Boise State,,,,
Sam Vidlak,,Grants Pass,OR,6'2'',190,,,,,,2022,Boise State,,,,,,,,,Boise State,,,,
ILB,Chandler,AZ,6'1'',230,78,Boise State,,,,,2023,Boise State,,,,,,,,,,,,,
RB,Anna,TX,5'11'',190,77,Boise State,,,,,2023,Boise State,,,,,,,,,,,,,
ATH,Little Elm,TX,6'0'',175,77,Boise State,,,,,2023,Boise State,,,,,,,,,,,,,
DT,Argyle,TX,6'3'',260,77,Boise State,,,,,2023,Boise State,,,,,,,,,,,,,
OLB,Thousand Oaks,CA,6'1'',205,76,Boise State,,,,,2023,Boise State,,,,,,,,,,,,,
QB-PP,Rancho Cucamonga,CA,6'1'',190,76,Boise State,,,,,2023,Boise State,,,,,,,,,,,,,
S (JC),Norwalk,CA,6'2'',210,76,Boise State,,,,,2023,Boise State,,,,,,,,,,,,,
CB,Kennewick,WA,6'0'',175,75,Boise State,,,,,2023,Boise State,,,,,,,,,,,,,
TE-YSan Diego,CA,University City High School,6'4'',230,74,Boise State,,,,,2023,Boise State,,,,,,,,,,,,,
Chris Marshall,WR,Missouri City,TX,6'3'',200,80,,6th,,,2024,Boise State,,,,,,,,,Kilgore College, NR, NR,,
