Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  
TE,Robesonia,PA,"6'3""",220,75.0,,Conrad Weiser High School, Buffalo,,,,2011,Buffalo,,,,
DE,Northville,MI,"6'3""",215,75.0,,Detroit Catholic Central High School, Buffalo,,,,2011,Buffalo,,,,
QB,Williamsville,NY,"6'2""",190,74.0,,Williamsville South High School, Buffalo,,,,2011,Buffalo,,,,
S,Pickerington,OH,"5'10""",175,73.0,,Pickerington Central High School, Buffalo,,,,2011,Buffalo,,,,
DE,Marcellus,NY,"6'3""",235,73.0,,Marcellus Central High School, Buffalo,,,,2011,Buffalo,,,,
QB,Douglasville,GA,"6'5""",200,73.0,,South Paulding High School, Buffalo,,,,2011,Buffalo,,,,
ILB,Forestville,MD,"6'0""",225,71.0,,Bishop McNamara High School, Buffalo,,,,2011,Buffalo,,,,
WR,Hollywood,FL,"6'0""",155,,,Hollywood Hills High School, Buffalo,,,,2011,Buffalo,,,,
OT,Cincinnati,OH,"6'4""",240,,,La Salle High School, Buffalo,,,,2011,Buffalo,,,,
OT,Depew,NY,"6'6""",300,,,Depew High School, Buffalo,,,,2011,Buffalo,,,,
RB,Huber Heights,OH,"5'10""",205,,,Wayne High School, Buffalo,,,,2011,Buffalo,,,,
WR,Avon Lake,OH,"6'3""",185,,,Avon Lake High School, Buffalo,,,,2011,Buffalo,,,,
OT,Honeoye Falls,NY,"6'6""",285,,,Honeoye Falls Lima High, Buffalo,,,,2011,Buffalo,,,,
K,New Castle,DE,"6'2""",175,,,Hargrave Military Academy, Buffalo,,,,2011,Buffalo,,,,
CB,Tampa,FL,"5'11""",185,,,Robinson High School, Buffalo,,,,2011,Buffalo,,,,
OT,Montreal,Quebec,"6'6""",305,,,Vieux High School, Buffalo,,,,2011,Buffalo,,,,
OG,Hamilton,Ontario,"6'5""",290,,,Champlain Prep, Buffalo,,,,2011,Buffalo,,,,
CB,Daphne,AL,"5'11""",180,,,Daphne High School, Buffalo,,,,2011,Buffalo,,,,
RB,Niagara Falls,NY,"5'11""",185,,,Niagara Falls High, Buffalo,,,,2011,Buffalo,,,,
OT,Canton,MI,6'5'',265,76,,Buffalo,,,,,2012,Buffalo,,,,
QB,Lexington,OH,6'5'',220,75,,Buffalo,,,,,2012,Buffalo,,,,
WR,Rochester,NY,6'0'',190,74,,Buffalo,,,,,2012,Buffalo,,,,
K,Gahanna,OH,6'1'',180,74,,Buffalo,,,,,2012,Buffalo,,,,
S,Detroit,MI,5'11'',195,74,,Buffalo,,,,,2012,Buffalo,,,,
OT,Depew,NY,6'4'',290,73,,Buffalo,,,,,2012,Buffalo,,,,
DT,Buffalo,NY,6'3'',280,73,,Buffalo,,,,,2012,Buffalo,,,,
QB,Amherst,NY,6'1'',200,71,,Buffalo,,,,,2012,Buffalo,,,,
CB,Detroit,MI,5'11'',170,71,,Buffalo,,,,,2012,Buffalo,,,,
S,Chesterfield,VA,5'10'',183,70,,Buffalo,,,,,2012,Buffalo,,,,
S,Bethlehem,PA,5'11'',195,70,,Buffalo,,,,,2012,Buffalo,,,,
WR,Canton,OH,6'1'',190,69,,Buffalo,,,,,2012,Buffalo,,,,
QB,Medina,OH,6'4'',204,68,,Buffalo,,,,,2012,Buffalo,,,,
OLB,Douglasville,GA,6'1'',217,68,,Buffalo,,,,,2012,Buffalo,,,,
OT,Hyattsville,MD,6'5'',275,NR,,Buffalo,,,,,2012,Buffalo,,,,
TE,Greensburg,PA,6'6'',212,NR,,Buffalo,,,,,2012,Buffalo,,,,
DE,West Chester,PA,6'4'',221,NR,,Buffalo,,,,,2012,Buffalo,,,,
ATH,Youngstown,OH,5'11'',185,NR,,Buffalo,,,,,2012,Buffalo,,,,
DT,Saint Petersburg,FL,6'4'',265,NR,,Buffalo,,,,,2012,Buffalo,,,,
DE (JC),Tuolumne,CA,6'5'',250,NR,,Buffalo,,,,,2012,Buffalo,,,,
Kyvaune Brammer,WR,Brooklyn,NY,6'1'',185,3,64,Buffalo,243,,,2013,Buffalo,267,15,,
Jarmarl Eiland,WR,Canton,MI,5'11'',180,3,63,Buffalo,245,,,2013,Buffalo,,,,
Greg Lis,ILB,Wayne,NJ,6'1'',220,3,62,Buffalo,83,,,2013,Buffalo,,,,
Brandon Crawford,DE,Madison,FL,,223,NR,Buffalo,,,,,2013,Buffalo, None, None,,
Jacob Martinez,QB-PP,Panama City,FL,,176,NR,Buffalo,,,,,2013,Buffalo,,,,
Dubois Ross,WR,Bethlehem,PA,,178,NR,Buffalo,,,,,2013,Buffalo, None, None,,
Houston Glass,S,Kentwood,MI,,190,NR,Buffalo,,,,,2013,Buffalo,,,,
James Coleman,ATH,Middle Village,NY,,195,NR,Buffalo,,NR,,,2013,Buffalo,,,,
Andrew Dadeboe,S,York,PA,,180,NR,Buffalo,,NR,,,2013,Buffalo, NR, NR,,
Xavier Davis,DT,Atlanta,GA,,280,NR,Buffalo,,,,,2013,Buffalo, None, None,,
