Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  
Khalil Murdock,ILB,Hopewell,VA,6'2'',220,,73,Fork Union Military Academy,124,,,2022,Buffalo,,,,
Pershaun Fann,OLB,Moultrie,GA,5'10'',205,,73,Colquitt County High School,17,185,36,2022,Buffalo,,,,
Devin Morgan,OC,Forestville,MD,6'2'',305,,73,Bishop McNamara High School,13,,,2022,Buffalo,,,,
Jaylon Bass,DT,Clay,AL,6'2'',310,,73,Hutchinson Community College,10,NR,NR,2022,Buffalo,,,,
Tre Hines,WR,Dublin,CA,6'1'',185,,72,College of San Mateo,128,,,2022,Buffalo,,,,
Cornell Evans,DT,Baltimore,MD,6'1'',290,,72,St. Frances Academy,,,,2022,Buffalo,,,,
Kameron Olds,DE,Fork Union,VA,6'3'',240,,72,Fork Union Military Academy,,,,2022,Buffalo,,,,
Devin Grant,ATH,Flushing,NY,6'2'',180,,71,Holy Cross High School,56,,,2022,Buffalo,,,,
Cameron Ball,TE-Y,Washington,DC,6'5'',230,,71,Gonzaga College High School,139,251,72,2022,Buffalo,,,,
Bryan Henderson,DT,West Chester,OH,6'1'',260,,70,Lakota West High School,3,,,2022,Buffalo,,,,
Rino Monteforte,LS,Uniondale,NY,5'9'',210,,69,Kellenberg Mem. High School,,,,2022,Buffalo,,,,
Mike DePillo,QB-PP,Clarkston,MI,6'5'',200,,NR,St. Thomas More School,,,,2022,Buffalo,,,,
Jahmin Muse,S,Elizabeth,NJ,6'1'',200,,TR,Boston College,,,,2022,Buffalo,,,,
Robbie Mangas,TE-Y,Washington,DC,6'3'',235,,TR,Dartmouth College,,,,2022,Buffalo,,,,
Nick Hartnett,OG,Springfield,VA,6'3'',295,,TR,Virginia Military Institute,,,,2022,Buffalo,,,,
Jalen Curry,WR,Houston,TX,6'2'',210,,TR,University of Arizona,,,,2022,Buffalo,,,,
Caleb Offord,CB,Southaven,MS,6'1'',185,,TR,University of Notre Dame,,,,2022,Buffalo,,,,
Chris Edmonds,S,Columbus,GA,6'2'',215,,TR,Samford University,,,,2022,Buffalo,,,,
Elijah Blades,CB,Pasadena,CA,6'2'',190,,TR,University of Florida,,,,2022,Buffalo,,,,
Sidney Walker,OG,Baker,FL,6'2'',295,,TR,University of Connecticut,,,,2022,Buffalo,,,,
Justin Marshall,WR,Covington,GA,6'2'',190,,TR,University of Louisville,,,,2022,Buffalo,,,,
Desmond Bessent,OT,Tampa,FL,6'7'',305,,TR,San Diego State University,,,,2022,Buffalo,,,,
Messiah Burch,RB,Staten Island,NY,5'10'',175,,76.0,Buffalo,71,127,5,2023,Buffalo,,,,
Dion Crawford,OLB,Suwanee,GA,6'1'',230,,75.0,Buffalo,83,,,2023,Buffalo,,,,
Jamari Ford,RB,Miami,FL,5'6'',170,,75.0,Buffalo,,,,2023,Buffalo,,,,
Jevell Fugerson,WR,Leesburg,GA,6'1'',195,,75.0,Buffalo,198,,,2023,Buffalo,,,,
Richie Watts,QB-PP,Rocklin,CA,6'3'',215,,73.0,Buffalo,2,,,2023,Buffalo,,,,
Jayden Lewis,S,Buffalo,NY,6'0'',190,,73.0,Buffalo,157,,,2023,Buffalo,,,,
Mason Cumbie,QB-DT,Hopewell,VA,6'2'',190,,70.0,Buffalo,39,,,2023,Buffalo,,,,
Devon Rainey,CB,Jonesboro,GA,6'2'',180,,,Buffalo,,,,2023,Buffalo,,,,
Nickolas Roy,DE,Rabun Gap,GA,6'4'',225,,,Buffalo,,,,2023,Buffalo,,,,
Lamar Sperling,RB,Akron,OH,5'10'',185,,,Buffalo,NR,NR,NR,2023,Buffalo,,,,
Henry Tabansi,OT,Staten Island,NY,6'5'',290,,,Buffalo,,,,2023,Buffalo,,,,
Charles McCatherens,CB,Kennesaw,GA,5'10'',160,,,Buffalo,,,,2023,Buffalo,,,,
Junior Poyser,DT,Brampton,ONT,6'2'',315,,,Buffalo,,,,2023,Buffalo,,,,
Mitch Viviano,TE-Y,Oxford,MI,6'6'',255,,,Buffalo,,,,2023,Buffalo,,,,
Jamarr Davis,OG,West Point,MS,6'4'',310,,,Buffalo,,,,2023,Buffalo,,,,
Dylan Kedzior,RB,Claremore,OK,6'0'',212,,,Buffalo,,,,2023,Buffalo,,,,
Trevor Brock,OT,Saint Louis,MO,6'6'',305,,,Buffalo,,,,2023,Buffalo,,,,
Devonyal Lofton,DE,Forest,MS,6'2'',240,,,Buffalo,,,,2023,Buffalo,,,,
Qua Sanders,WR,Columbia,MS,6'2'',200,,,Buffalo,,,,2023,Buffalo,,,,
Andrew Schnackenberg,TE-Y,Arkansas City,KS,6'5'',230,,,Buffalo,,,,2023,Buffalo,,,,
Ryan Daly,TE-H,Mountain View,CA,6'3'',210,,,Buffalo,,,,2023,Buffalo,,,,
Ronnell Davis,S,Middletown,DE,6'1'',185,75,Buffalo  ,,135,190,2,2024,Buffalo,,,,
Kobi Blackwell,ATH,Buford,GA,5'8'',175,75,Buffalo  ,,132,653,162,2024,Buffalo,,,,
Shamar Riser-Pressley,DE,Clinton Township,MI,6'5'',240,74,Buffalo  ,,153,,,2024,Buffalo,,,,
Terrance Shelton,RB,Franklin,WI,6'0'',195,73,Buffalo  ,,124,234,14,2024,Buffalo,,,,
Tyrell Simmons Jr.,WR,Rochester,NY,University Prep Charter,6'2'',190,73,,217,,,2024,Buffalo,,,,Buffalo  
Patrick Clacks,WR,Merrillville,IN,Andrean High School,6'0'',180,,,NR,,,2024,Buffalo,,,,Buffalo  
Xavier Leonard,S,Fairburn,GA,Langston Hughes High School,6'0'',190,,,NR,NR,NR,2024,Buffalo,,,,Buffalo  
Jeremiah Watkins,WR,Gahanna,OH,Lincoln High School,6'0'',175,,,,,,2024,Buffalo,,,,Buffalo  
Paul Clark,DT,Crown Point,IN,Crown Point High School,6'3'',260,,,,,,2024,Buffalo,,,,Buffalo  
Luke Yau Gayle,DE,London,England,EUR,6'4'',250,,,NR,,,2024,Buffalo,,,,Buffalo  
Demetrius Ballard,DE,New Kensington,PA,Valley High School,6'5'',261,,,,,,2024,Buffalo,,,,Buffalo  
William Clark,DE,Crown Point,IN,Crown Point High School,6'3'',235,,,,,,2024,Buffalo,,,,Buffalo  
John Keough,S,Stow,OH,Walsh Jesuit High School,6'0'',190,,,,,,2024,Buffalo,,,,Buffalo  
Bobby Mays,WR,Ramsey,NJ,Don Bosco High School,6'3'',190,,,NR,NR,NR,2024,Buffalo,,,,Buffalo  
James McNeil Jr.,ATH,Buffalo,NY,Bishop Timon-Saint Jude High School,6'2'',204,,,,,,2024,Buffalo,,,,Buffalo  
Ramari Taylor,CB,Louisville,KY,Fern Creek High School,6'1'',177,,,,,,2024,Buffalo,,,,Buffalo  
Jacari Bennett,DE,Greenville,SC,J. L. Mann High School,6'3'',215,,,,,,2024,Buffalo,,,,Buffalo  
Ahmaan Thomas,OT,Mansfield,OH,Mansfield Senior High School,6'5'',280,,,,,,2024,Buffalo,,,,Buffalo  
Tyrone Davis,OG,Syracuse,NY,Corcoran High School,6'4'',280,,,NR,NR,NR,2024,Buffalo,,,,Buffalo  
Mikey Crawford,CB,Industry,PA,Western Beaver High School,6'1'',185,,,,,,2024,Buffalo,,,,Buffalo  
Chayce Chadwick,OG (JC),Coffeyville,KS,Coffeyville Community College,6'3'',310,,,,,,2024,Buffalo,,,,Buffalo  
Matthew Glen,OT (JC),Salina,KS,Hutchinson Community College,6'5'',313,,,NR,NR,NR,2024,Buffalo,,,,Buffalo  
