Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University  
Ryan Winkel,OT,Memphis,TN,6'6'',280,78,,51,279,20,2018,Arkansas,,,,,Arkansas  
Isaiah Nichols,DT,Springdale,AR,6'3'',265,78,,62,,,2018,Arkansas,,,,,Arkansas  
Nick Fulwider,DE,Tyrone,GA,6'6'',241,78,,75,332,75,2018,Arkansas,,,,,Arkansas  
Billy Ferrell,DT,Fordyce,AR,6'2'',331,78,,63,343,7,2018,Arkansas,,,,,Arkansas  
Joseph Foucha,S,New Orleans,LA,5'11'',195,77,,40,370,33,2018,Arkansas,,,,,Arkansas  
Noah Gatlin,OT,Jonesboro,AR,6'6'',300,77,,385,75,8,2018,Arkansas,,,,,Arkansas  
Ladarrius Bishop,CB,Ashdown,AR,6'0'',189,76,,410,74,9,2018,Arkansas,,,,,Arkansas  
Rakeem Boyd,RB,Houston,TX,5'11'',200,76,,4,,,2018,Arkansas,,,,,Arkansas  
Silas Robinson,OG,Yoakum,TX,6'4'',300,74,,86,,,2018,Arkansas,,,,,Arkansas  
John Stephen Jones,QB-PP,Dallas,TX,5'10'',185,72,,54,,,2018,Arkansas,,,,,Arkansas  
Andrew Parker,ILB,New Orleans,LA,6'1'',220,72,,49,674,60,2018,Arkansas,,,,,Arkansas
Darin Turner,WR,Memphis,TN,6'3'',205,84,Arkansas,18,53,3,2020,Arkansas,4.0,,,,
Marcus Henderson,OG,Memphis,TN,6'4'',310,83,Arkansas,6,71,6,2020,Arkansas,5.0,,,,
Myles Slusher,CB,Broken Arrow,OK,5'11'',179,82,Arkansas,15,44,2,2020,Arkansas,4.0,,,,
Malik Hornsby,QB,Missouri City,TX,6'2'',180,81,Arkansas,9,50,38,2020,Arkansas,4.0,,,,
Blayne Toll,ATH,Hazen,AR,6'5'',240,81,Arkansas,19,119,3,2020,Arkansas,4.0,,,,
Ebony Jackson,RB,Marietta,GA,6'0'',200,80,Arkansas,31,,,2020,Arkansas,4.0,,,,
Ray Curry,OT,Memphis,TN,6'4'',310,79,Arkansas,46,198,10,2020,Arkansas,4.0,,,,
Andy Boykin,DE,LaGrange,GA,6'3'',275,79,Arkansas,43,,,2020,Arkansas,4.0,,,,
Julius Coates,DE,Rockford,IL,6'6'',270,78,Arkansas,44th, NR, NR,2020,Arkansas,4.0,,,,
Jashaud Stewart,OLB,Jonesboro,AR,6'2'',210,78,Arkansas,45,273,5,2020,Arkansas,4.0,,,,
Catrell Wallace,OLB,Bryant,AR,6'4'',205,77,Arkansas,54,,,2020,Arkansas,4.0,,,,
Kelin Burrle,OLB,Harvey,LA,5'11'',200,76,Arkansas,71,,,2020,Arkansas,4.0,,,,
Jalen St. John,OG,Saint Louis,MO,6'3'',340,76,Arkansas,55,163,15,2020,Arkansas,4.0,,,,
Nicholas Turner,S,New Orleans,LA,5'11'',180,75,Arkansas,64,467,45,2020,Arkansas,4.0,,,,
Jacorrei Turner,ATH,College Park,GA,6'2'',195,75,Arkansas,87,,,2020,Arkansas,4.0,,,,
Eric Thomas,DE,Pensacola,FL,6'3'',230,75,Arkansas,122,531,176,2020,Arkansas,4.0,,,,
Jaqualin McGhee,DE,Fort Valley,GA,6'4'',255,74,Arkansas,130,556,122,2020,Arkansas,4.0,,,,
Dominique Johnson,RB,Crowley,TX,6'2'',220,74,Arkansas,97,,,2020,Arkansas,4.0,,,,
Collin Sutherland,TE,Flower Mound,TX,6'5'',225,73,Arkansas,39,297,219,2020,Arkansas,4.0,,,,
Khari Johnson,CB-Suffield Academy,MA,6'0'',185,4,Arkansas,,,,,2020,Arkansas,73.0,,,,
J.T. Towers,ILB,Little Rock,AR,6'4'',210,73,Arkansas,45,736,13,2020,Arkansas,4.0,,,,
Feleipe Franks,QB-Crawfordville,FL,6'6'',238,4,Arkansas,,, None, None,2020,Arkansas,,,,,
Jerry Jacobs,CB-Austell,GA,5'11'',195,4,Arkansas,,, None, None,2020,Arkansas,,,,,
Levi Draper,ILB-Collinsville,OK,6'1'',234,4,Arkansas,,,,,2020,Arkansas,,,,,
A.J. Green,ATH,Tulsa,OK,5'11'',190,Arkansas,,, None, None,2021,Arkansas,83,,,,
Ketron Jackson,WR,Royse City,TX,6'1'',180,Arkansas,,37,43,35,2021,Arkansas,83,,,,
Javion Hunt,RB,Midwest City,OK,6'0'',190,Arkansas,,19,68,6,2021,Arkansas,80,,,,
Lucas Coley,QB-DT,San Antonio,TX,6'1'',205,Arkansas,,9,73,59,2021,Arkansas,80,,,,
Jalen Williams,DT (JC),Tylertown,MS,6'3'',305,Arkansas,,6th, None, None,2021,Arkansas,79,,,,
Terry Wells,OT,Wynne,AR,6'4'',280,Arkansas,,33,,,2021,Arkansas,79,,,,
Cole Carson,OT,Bogata,TX,6'5'',285,Arkansas,,50,112,88,2021,Arkansas,78,,,,
Jermaine Hamilton-Jordan,OLB,Kansas City,MO,6'0'',200,Arkansas,,50,,,2021,Arkansas,78,,,,
Cameron Ball,DT,East Point,GA,6'5'',300,Arkansas,,,254,50,2021,Arkansas,78,,,,
Raheim Sanders,WR,Rockledge,FL,6'2'',210,Arkansas,,96,,,2021,Arkansas,78,,,,
Jayden Johnson,S,Cedartown,GA,6'2'',200,Arkansas,,46,282,61,2021,Arkansas,77,,,,
Marco Avant,OLB,Jonesboro,AR,6'3'',215,Arkansas,,58,284,5,2021,Arkansas,77,,,,
Jaedon Wilson,WR,DeSoto,TX,6'1'',160,Arkansas,,103,144,111,2021,Arkansas,77,,,,
Christopher Paul Jr.,ILB,Cordele,GA,6'1'',215,Arkansas,,21,305,66,2021,Arkansas,77,,,,
Cameron Little,K,Moore,OK,6'2'',170,Arkansas,,1,,,2021,Arkansas,77,,,,
Landon Rogers,QB-PP,Little Rock,AR,6'4'',215,Arkansas,,36,347,8,2021,Arkansas,77,,,,
Bryce Stephens,WR,Oklahoma City,OK,6'0'',165,Arkansas,,130,175,16,2021,Arkansas,77,,,,
Keuan Parker,CB,Tulsa,OK,5'11'',165,Arkansas,,60,,,2021,Arkansas,77,,,,
Chase Lowery,CB,Frisco,TX,5'11'',165,Arkansas,,203,78,153,2021,Arkansas,76,,,,
Solomon Wright,DT,Vian,OK,6'0'',270,Arkansas,,63,211,19,2021,Arkansas,76,,,,
Devon Manuel,OT,Arnaudville,LA,6'7'',330,Arkansas,,89,,,2021,Arkansas,76,,,,
Erin Outley,TE-H,Little Rock,AR,6'4'',250,Arkansas,,20,476,9,2021,Arkansas,75,,,,
Trent Gordon,CB (TR),Manvel,TX,5'11'',180,Arkansas,,,,,2021,Arkansas,TR,,,,
Ty'kieast Crawford,OT (TR),Carthage,TX,UNC Charlotte,6'5'',TR,Arkansas,,,,2021,Arkansas,330,,,,
Isaiah Sategna,WR,Fayetteville,AR,5'11'',170,Arkansas,,21,70,1,2022,Arkansas,83,,,,
Andrew Chamblee,OT,Maumelle,AR,6'6'',295,Arkansas,,21,100,2,2022,Arkansas,81,,,,
E'Marion Harris,OT,Little Rock,AR,6'5'',305,Arkansas,,41,209,6,2022,Arkansas,80,,,,
Nico Davillier,DT,Maumelle,AR,6'4'',260,Arkansas,,81,211,46,2022,Arkansas,79,,,,
Samuel Mbake,WR,Kennesaw,GA,6'3'',205,Arkansas,,35,,,2022,Arkansas,79,,,,
Jaylen Lewis,S,Brownsville,TN,6'1'',175,Arkansas,,20,,,2022,Arkansas,79,,,,
Mani Powell,ILB,Canton,OH,6'3'',225,Arkansas,,58,285,68,2022,Arkansas,78,,,,
Rashod Dubinion,ATH,Ellenwood,GA,5'10'',180,Arkansas,,102,,,2022,Arkansas,78,,,,
Quincey McAdoo,WR,Clarendon,AR,6'3'',175,Arkansas,,48,301,8,2022,Arkansas,78,,,,
James Jointer,RB,Little Rock,AR,5'11'',200,Arkansas,,60,,,2022,Arkansas,78,,,,
Patrick Kutas,OT,Memphis,TN,6'5'',275,Arkansas,,76,,,2022,Arkansas,78,,,,
Anthony Brown,ATH,Milan,TN,6'1'',190,Arkansas,,19,392,9,2022,Arkansas,78,,,,
Dax Courtney,TE-H,De Witt,AR,6'5'',210,Arkansas,,25,,,2022,Arkansas,77,,,,
Tyrus Washington,TE-Y,Leesburg,GA,6'4'',230,Arkansas,,441,85,10,2022,Arkansas,77,,,,
J.J. Hollingsworth,DE,Greenland,AR,6'3'',250,Arkansas,,7,511,20,2022,Arkansas,76,,,,
Eli Henderson,OC,Duncan,SC,6'4'',290,Arkansas,,35,,,2022,Arkansas,76,,,,
Jordan Crook,ILB,Duncanville,TX,6'0'',220,Arkansas,,37,,,2022,Arkansas,76,,,,
Kaden Henley,ILB,Springdale,AR,6'1'',225,Arkansas,,22,7,3,2022,Arkansas,75,,,,
Max Fletcher,K,Melbourne,AUS,6'4'',190,Arkansas,,2,263,19,2022,Arkansas,74,,,,
Eli Stein,LS,Cambridge,WI,6'2'',215,Arkansas,,,,,2022,Arkansas,69,,,,
Taylor Lewis,DT,JC,Chicago,IL,College of the Canyons,Arkansas,,,,,2022,Arkansas,NR,,,,
Luke Hasz,TE-H,Bixby,OK,6'3'',215,Arkansas,,2,20,2,2023,Arkansas,85.0,,,,
Shamar Easter,TE-H,Ashdown,AR,6'5'',215,Arkansas,,6,104,1,2023,Arkansas,82.0,,,,
Jaylon Braxton,CB,Frisco,TX,6'0'',170,Arkansas,,27,,,2023,Arkansas,82.0,,,,
Isaiah Augustave,RB,Naples,FL,6'1'',195,Arkansas,,14,127,55,2023,Arkansas,81.0,,,,
Luke Brown,OT,Paris,TN,6'5'',310,Arkansas,,23,,,2023,Arkansas,80.0,,,,
Malachi Singleton,QB-DT,Kennesaw,GA,6'1'',225,Arkansas,,9,183,33,2023,Arkansas,80.0,,,,
Carson Dean,OLB,Carrollton,TX,6'4'',230,Arkansas,,31,97,77,2023,Arkansas,79.0,,,,
Paris Patterson,OG,East Saint Louis,IL,6'4'',360,Arkansas,,24,37,7,2023,Arkansas,79.0,,,,
Dallas Young,CB,Gardendale,AL,6'0'',180,Arkansas,,51,215,25,2023,Arkansas,79.0,,,,
Quincy Rhodes,DE,North Little Rock,AR,6'5'',250,Arkansas,,57,223,2,2023,Arkansas,79.0,,,,
Kaleb James,DT,Mansfield,TX,6'4'',245,Arkansas,,42,136,101,2023,Arkansas,78.0,,,,
T.J. Metcalf,S,Pinson,AL,6'1'',190,Arkansas,,56,,,2023,Arkansas,78.0,,,,
Brad Spence,ILB,Houston,TX,6'2'',220,Arkansas,,27,175,129,2023,Arkansas,77.0,,,,
Christian Ford,S,McKinney,TX,6'0'',180,Arkansas,,61,187,139,2023,Arkansas,77.0,,,,
Ian Geffrard,OG,Mableton,GA,6'6'',350,Arkansas,,57,,,2023,Arkansas,77.0,,,,
Joey Su'a,OG,Bentonville,AR,6'4'',315,Arkansas,,123.0, 373, 33,2023,Arkansas,77.0,,,,
Davion Dozier,WR,Moody,AL,6'4'',190,Arkansas,,35,432,21,2023,Arkansas,77.0,,,,
Alex Sanford,ILB,Oxford,MS,6'1'',235,Arkansas,,100,457,111,2023,Arkansas,76.0,,,,
R.J. Johnson,ATH,McDonough,GA,6'2'',175,Arkansas,,140,358,23,2023,Arkansas,76.0,,,,
Dylan Hasz,S,Bixby,OK,5'10'',180,Arkansas,,,,,2023,Arkansas,73.0,,,,
Antonio Grier,OLB,Atlanta,GA,6'1'',223,Arkansas,,,,,2023,Arkansas,,,,,
Andrew Armstrong,WR,Dallas,TX,6'3'',185,Arkansas,,, None, None,2023,Arkansas,,,,,
Jacolby Criswell,QB-DT,Morrilton,AR,6'1'',225,Arkansas,,, None, None,2023,Arkansas,,,,,
Josh Braun,OT,Live Oak,FL,6'6'',342,Arkansas,,,,,2023,Arkansas,,,,,
John Morgan,DT,Pittsburgh,PA,6'2'',265,Arkansas,,,,,2023,Arkansas,,,,,
Lorando Johnson,CB,Lancaster,TX,6'0'',193,Arkansas,,, None, None,2023,Arkansas,,,,,
Marlon Crockett,WR,Searcy,AR,6'3'',208,Arkansas,,,,,2023,Arkansas,,,,,
Isaac TeSlaa,WR,Hudsonville,MI,6'4'',200,Arkansas,,,,,2023,Arkansas,,,,,
Tyrone Broden,WR,Detroit,MI,6'7'',210,Arkansas,,, None, None,2023,Arkansas,,,,,
Trajan Jeffcoat,DE,Irmo,SC,6'4'',269,Arkansas,,, None, None,2023,Arkansas,,,,,
Jaheim Singletary,CB,Jacksonville,FL,6'2'',180,Arkansas,,, None, None,2023,Arkansas,,,,,
Tank Booker,DT,Cincinnati,OH,6'4'',295,Arkansas,,, None, None,2023,Arkansas,,,,,
Jaheim Thomas,OLB,Cincinnati,OH,6'3'',230,Arkansas,,,,,2023,Arkansas,,,,,
Var'Keyes Gumms,TE-H,Houston,TX,6'3'',230,Arkansas,,, None, None,2023,Arkansas,,,,,
Keivie Rose,DE,Henderson,TX,6'3'',250,Arkansas,,, None, None,2023,Arkansas,,,,,
Arthur Brathwaite,S,Miami,FL,6'0'',190,Arkansas,,,,,2023,Arkansas,,,,,
Keeyon Stewart,CB,Houston,TX,5'11'',185,Arkansas,,,,,2023,Arkansas,,,,,
