Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University  
Lance Ray,ATH,Havana,FL,6'2'',190,79,Arkansas,34,,,2009,Arkansas,,,,,
Ronnie Wingo,RB,Saint Louis,MO,6'3'',212,79,Arkansas,34,,,2009,Arkansas,,55,NR,,
Cobi Hamilton,WR,Texarkana,TX,6'3'',190,78,Arkansas,50,,,2009,Arkansas,,75, NR,,
Kevin Lowery,OG,Gainesville,FL,6'3'',285,78,Arkansas,28,,,2009,Arkansas,,213,83,,
DeQuinta Jones,DE,Bastrop,LA,6'2'',265,77,Arkansas,60,,,2009,Arkansas,,,,,
Turrell Williams,RB,West Helena,AR,6'2'',210,77,Arkansas,63,,,2009,Arkansas,,,,,
Austin Moss,ILB,Garland,TX,6'2'',209,77,Arkansas,24,,,2009,Arkansas,,127,NR,,
Jerry Mitchell,S,Mandeville,LA,6'1'',195,77,Arkansas,,,,2009,Arkansas,,,,,
Brandon Mitchell,QB,Amite,LA,6'4'',220,76,Arkansas,40,,,2009,Arkansas,,320,NR,,
Shauntez Bruce,OT,Tallahassee,FL,6'4'',285,76,Arkansas,58,,,2009,Arkansas,,333,125,,
Alvin Bailey,OG,Broken Arrow,OK,6'4'',300,76,Arkansas,181,,,2009,Arkansas,,,,,
Jahron Brown,FB,Dallas,GA,5'11'',220,76,Arkansas,79,,,2009,Arkansas,,,,,
Austin Tate,TE,Harrison,AR,6'6'',225,76,Arkansas,49,,,2009,Arkansas,,,,,
Travis Swanson,OG,Kingwood,TX,6'5'',271,76,Arkansas,91,,,2009,Arkansas,,199,,,
Terrell Williams,ATH,Tulsa,OK,6'2'',210,75,Arkansas,104,,,2009,Arkansas,,,,,
Neal Barlow,WR,Little Rock,AR,6'7'',190,75,Arkansas,115,,,2009,Arkansas,,430,NR,,
Ross Rasner,OLB,Waco,TX,6'0'',200,75,Arkansas,,,,2009,Arkansas,,,,,
Colton Nash,DE,Sulphur Springs,TX,6'6'',235,75,Arkansas,102,,,2009,Arkansas,,238,,,
Robert Thomas,DT,Muskogee,OK,6'1'',300,74,Arkansas,290,,,2009,Arkansas,,,,,
Ryan Calender,DE,Caddo Mills,TX,6'8'',220,74,Arkansas,132,,,2009,Arkansas,,310,NR,,
Anthony Oden,OT,Indianapolis,IN,6'8'',295,72,Arkansas,,,,2009,Arkansas,,,,,
Rickey Hughey,ATH,Stamps,AR,6'5'',220,NR,Arkansas,,,,2009,Arkansas,,,,,
Zhamal Thomas,OG,New Iberia,LA,6'4'',320,NR,Arkansas,,,,2009,Arkansas,,,,,
Rudell Crim,S,Tallahassee,FL,6'0'',190,NR,Arkansas,,,,2009,Arkansas,,,,,
Andru Stewart,CB,Bakersfield,CA,5'11'',190,NR,Arkansas,,,,2009,Arkansas,,,,,
Anthony Leon,S,Miami,FL,6'4'',225,NR,Arkansas,,,,2009,Arkansas,,,,,
Broderick Green,RB,Little Rock,AR,6'2'',235,TR,Arkansas,,,,2009,Arkansas,,,,,
John Henderson,DT,Oakland,CA,6'1'',300,NR,Arkansas,NR,,,2009,Arkansas,,NR,NR,,
Briton Forester,K,La Costa Canyon,CA,5'10'',185,NR,Arkansas,,,,2009,Arkansas,,,,,
Caleb Evans,DE,Helena,MT,6'4'',255,NR,Arkansas,,,,2009,Arkansas,,,,,
Cam Feldt,OT,Pilot Point,TX,6'5'',290,81,Arkansas,8.0, NR, NR,2010,Arkansas,,,,,
Calvin Barnett,DT,Tulsa,OK,6'3'',295,79,Arkansas,21, NR, NR,2010,Arkansas,,,,,
Jatashun Beachum,ATH,Dallas,TX,6'2'',260,79,Arkansas,, None, None,2010,Arkansas,,,,,
Daunte Carr,WR,Gainesville,GA,6'2'',192,79,Arkansas,24,,,2010,Arkansas,,,,,
Jarrett Lake,WR,Jenks,OK,6'2'',210,79,Arkansas,43,,,2010,Arkansas,,,,,
Jeremiah Jackson,DT,Birmingham,AL,6'2'',265,78,Arkansas,39, NR, NR,2010,Arkansas,,,,,
Byran Jones,DT,Junction City,AR,6'3'',310,78,Arkansas,44,,,2010,Arkansas,,,,,
Dimitri Orr,DE,Oxford,AL,6'6'',245,78,Arkansas,60,,,2010,Arkansas,,,,,
Julian Horton,ATH,Norcross,GA,6'1'',180,78,Arkansas,67,,,2010,Arkansas,,,,,
Denton Simek,OG,Prague,OK,6'4'',260,77,Arkansas,27, NR, NR,2010,Arkansas,,,,,
Chris Smith,OLB,Mount Ulla,NC,6'2'',225,77,Arkansas,,,,2010,Arkansas,,,,,
Maudrecus Humphrey,WR,Hoover,AL,6'2'',185,77,Arkansas,,,,2010,Arkansas,,,,,
Eduardo Camara,K,Cedar Hill,TX,5'9'',145,77,Arkansas,8, None, None,2010,Arkansas,,,,,
Braylon Mitchell,RB,Heber Springs,AR,6'2'',210,77,Arkansas,74, None, None,2010,Arkansas,,,,,
Brad Hefley,DT,Riverton,MO,6'5'',255,76,Arkansas,, NR, NR,2010,Arkansas,,,,,
Darrell Smith,S,Port Saint Joe,FL,6'1'',177,76,Arkansas,, None, None,2010,Arkansas,,,,,
Zach Hocker,K,Russellville,AR,5'11'',165,76,Arkansas,14,,,2010,Arkansas,,,,,
Courtney Gaston,OLB,Fort Gibson,OK,6'3'',210,76,Arkansas,, None, None,2010,Arkansas,,,,,
Eric Bennett,ATH,Tulsa,OK,5'10'',176,75,Arkansas,, None, None,2010,Arkansas,,,,,
Jacoby Walker,QB,Houston,TX,6'2'',200,75,Arkansas,,,,2010,Arkansas,,,,,
Garrett Uekman,TE,Little Rock,AR,6'4'',230,75,Arkansas,45,,,2010,Arkansas,,,,,
Marquel Wade,WR,Jacksonville,FL,5'11'',179,74,Arkansas,, None, None,2010,Arkansas,,,,,
Luke Charpentier,OT,River Ridge,LA,6'4'',285,73,Arkansas,134,,,2010,Arkansas,,,,,
Alan Turner,S,Junction City,AR,5'10'',190,60,Arkansas,215, NR, NR,2010,Arkansas,,,,,
Mitch Smothers,OG,Springdale,AR,6'4'',290,Arkansas,,3,,,2011,Arkansas,81.0,36,,,
Brey Cook,OG,Springdale,AR,6'6'',295,Arkansas,,5,,,2011,Arkansas,81.0,52,,,
Lonnie Gosha,DE,Lake Butler,FL,6'2'',260,Arkansas,,13,,,2011,Arkansas,80.0,69,NR,,
Demetrius Dean,TE,Fayetteville,AR,6'3'',240,Arkansas,,9,,,2011,Arkansas,80.0,107,NR,,
Jervohnte Riles,TE,Bessemer,AL,6'4'',225,Arkansas,,10,,,2011,Arkansas,80.0,,,,
Keante Minor,WR,East Saint Louis,IL,6'0'',199,Arkansas,,32,,,2011,Arkansas,79.0,,,,
Quinta Funderburk,WR,Chesapeake,VA,6'3'',205,Arkansas,,38,,,2011,Arkansas,79.0,,,,
Andrew Peterson,OT,Dallas,TX,6'6'',276,Arkansas,,18,,,2011,Arkansas,79.0,45,38,,
