Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University,School
Curtis Williams,OT,Hialeah,FL,6'4'',330,67.0,,,,,,2012,Western Kentucky,,,,
Marquez Pride,DT,Harvest,AL,6'0'',252,,,,NR,,,2012,Western Kentucky,,,,
Leon Allen,RB,Bradenton,FL,5'10'',215,,,,,,,2012,Western Kentucky, None, None,,
Clay Nelson,K,Bowling Green,KY,5'10'',170,,,,,,,2012,Western Kentucky, None, None,,
Brett Harrington,CB,Rochester,NY,6'1'',195,,,,,,,2012,Western Kentucky, NR, NR,,
Calvin Washington,DT,Thatcher,AZ,6'4'',270,,,,,,,2012,Western Kentucky, None, None,,
Joe Fennell,OT,Fort Myers,FL,6'5'',310,81.0,Western Kentucky,,30,,,2013,Western Kentucky,191,77,,
Justin Martinez,OG,Port Saint Lucie,FL,6'3'',263,76.0,Western Kentucky,,61,,,2013,Western Kentucky,409,150,,
Maurice Bennett,DT,Madison,MS,6'2'',290,75.0,Western Kentucky,,NR,,,2013,Western Kentucky, NR, NR,,
Connor Popeck,OC,Fulton,MS,6'3'',280,74.0,Western Kentucky,,,,,2013,Western Kentucky,3, None,,
Isaac Tanner,OLB,Tampa,FL,6'0'',201,73.0,Western Kentucky,,117,,,2013,Western Kentucky,,,,
Donald Rocker Jr.,OT,Jacksonville,FL,6'4'',301,72.0,Western Kentucky,,122,,,2013,Western Kentucky,576,221,,
D'von Isaac,DT,Alpharetta,GA,6'5'',289,72.0,Western Kentucky,,113,,,2013,Western Kentucky,,,,
LaBront Scott,DE,Mayfield,KY,6'2'',228,71.0,Western Kentucky,,212,,,2013,Western Kentucky,208,20,,
Jalen Edwards,WR,Avon,IN,5'9'',154,70.0,Western Kentucky,,,,,2013,Western Kentucky,704,269,,
Devante Duclos,OLB,Miami,FL,6'0'',216,68.0,Western Kentucky,,129,,,2013,Western Kentucky,754,286,,
Kyle Jones,OG,Mulberry,FL,6'3'',278,64.0,Western Kentucky,,64,,,2013,Western Kentucky,759,40,,
Joe Occhipinti,K,Nashville,TN,6'2'',190,64.0,Western Kentucky,,NR,,,2013,Western Kentucky,,,,
Nicholas Norris,WR,Miami,FL,5'8'',150,,Western Kentucky,,,,,2013,Western Kentucky,,,,
Todd Porter,QB-P,OFallon,IL,6'3'',180,,Western Kentucky,,,,,2013,Western Kentucky, None, None,,
Kylen Towner,CB,Mobile,AL,5'7'',167,,Western Kentucky,,,,,2013,Western Kentucky, None, None,,
Marcus Ward,S,Vestavia Hills,AL,6'3'',193,,Western Kentucky,,,,,2013,Western Kentucky,,,,
Brandon Ray,OG,Madison,AL,6'3'',255,,Western Kentucky,,NR,,,2013,Western Kentucky, NR, NR,,
Juwan Gardner,S,Louisville,KY,6'1'',190,,Western Kentucky,,,,,2013,Western Kentucky, None, None,,
Dishan Romine,RB,Louisville,KY,5'10'',180,,Western Kentucky,,NR,,,2013,Western Kentucky,,,,
Kalvin Robinson,DE,Vestavia Hills,AL,6'4'',225,,Western Kentucky,,,,,2013,Western Kentucky, None, None,,
Shaquille Johnson,TE-Y,Lake City,FL,6'4'',225,,Western Kentucky,,,,,2013,Western Kentucky,,,,
Tanner Reeves,DE,Lakeland,FL,6'4'',225,,Western Kentucky,,,,,2013,Western Kentucky,,,,
Demarcus Glover,DE,Pensacola,FL,6'4'',235,,Western Kentucky,,,,,2013,Western Kentucky,,,,
