Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
T.J. Barnes,OT,Enterprise,AL,6'5'',320,77.0,Georgia Tech,,51,,,2008,Georgia Tech,,,
Will Jackson,OG,Knoxville,TN,6'4'',280,,80,Georgia Tech,8,73, NR,2009,Georgia Tech,,,
David Sims,ATH,Saint Matthews,SC,5'11'',205,,80,Georgia Tech,20,,,2009,Georgia Tech,,,
J.C. Lanier,DT,Twin City,GA,6'3'',340,,79,Georgia Tech,24,,,2009,Georgia Tech,,,
Izaan Cross,DE,Flowery Branch,GA,6'3'',253,,79,Georgia Tech,28,,,2009,Georgia Tech,,,
Roderick Sweeting,S,Locust Grove,GA,6'0'',170,,79,Georgia Tech,27,139,31,2009,Georgia Tech,,,
Daniel Drummond,FB,Flowery Branch,GA,6'3'',230,,79,Georgia Tech,3,150,34,2009,Georgia Tech,,,
Jordan Luallen,QB,Greenwood,IN,6'3'',196,,79,Georgia Tech,,,,2009,Georgia Tech,,,
Antonio Foster,OT,Valdosta,GA,6'4'',285,,78,Georgia Tech,28,173,38,2009,Georgia Tech,,,
Orwin Smith,RB,Phenix City,AL,6'0'',181,,78,Georgia Tech,52,214, None,2009,Georgia Tech,,,
Jemea Thomas,S,Fitzgerald,GA,5'10'',180,,77,Georgia Tech,47,235,49,2009,Georgia Tech,,,
Brandon Watts,OLB,Sandersville,GA,6'2'',230,,77,Georgia Tech,, None, None,2009,Georgia Tech,,,
Lance Richardson,S,Ware Shoals,SC,6'2'',195,,77,Georgia Tech,50,,,2009,Georgia Tech,,,
Euclid Cummings,DE,Roswell,GA,6'3'',230,,77,Georgia Tech,66,299,57,2009,Georgia Tech,,,
Raymond Beno,OG,Newnan,GA,6'1'',278,,77,Georgia Tech,54,,,2009,Georgia Tech,,,
Stephen Hill,WR,Lithonia,GA,6'4'',185,,76,Georgia Tech,90,,,2009,Georgia Tech,,,
Emanuel Dieke,DE,College Park,GA,6'6'',210,,76,Georgia Tech,76,,,2009,Georgia Tech,,,
Jeremy Moore,WR,Austin,TX,6'3'',166,,76,Georgia Tech,104,191,,2009,Georgia Tech,,,
Jay Finch,OG,Kennesaw,GA,6'4'',265,,76,Georgia Tech,400,,,2009,Georgia Tech,,,
Chris Crenshaw,DE,Louisville,GA,6'2'',210,,74,Georgia Tech,, None, None,2009,Georgia Tech,,,
Julian Burnett,ILB,Macon,GA,5'10'',210,,74,Georgia Tech,49,536,106,2009,Georgia Tech,,,
Carl Miles,S,Weston,FL,5'11'',170,,66,Georgia Tech,,,,2009,Georgia Tech,,,
Ryan Ayers,CB,Douglasville,GA,5'10'',175,,80,Georgia Tech,15, NR, NR,2010,Georgia Tech,,,
Shawn Green,DT,Loganville,GA,6'0'',283,,79,Georgia Tech,24, None, None,2010,Georgia Tech,,,
Denzel McCoy,DT,Duluth,GA,6'4'',270,,79,Georgia Tech,27, None, None,2010,Georgia Tech,,,
Fred Holton,S,Thomasville,GA,5'11'',193,,79,Georgia Tech,23,,,2010,Georgia Tech,,,
Anthony Williams,DE,McDonough,GA,6'4'',226,,78,Georgia Tech,53, None, None,2010,Georgia Tech,,,
Isaiah Johnson,S,Tyrone,GA,6'1'',170,,78,Georgia Tech,39, NR, NR,2010,Georgia Tech,,,
Louis Young,CB,Olney,MD,6'0'',188,,78,Georgia Tech,,,,2010,Georgia Tech,,,
Morgan Bailey,OG,Loganville,GA,6'4'',285,,77,Georgia Tech,,,,2010,Georgia Tech,,,
B.J. Bostic,CB,Louisville,GA,5'10'',161,,77,Georgia Tech,37, None, None,2010,Georgia Tech,,,
Jeremiah Attaochu,OLB,Washington,DC,6'3'',224,,77,Georgia Tech,56,,,2010,Georgia Tech,,,
Charles Perkins,RB,Suwanee,GA,6'0'',190,,77,Georgia Tech,60, None, None,2010,Georgia Tech,,,
Catlin Alford,OG,Adairsville,GA,6'3'',275,,76,Georgia Tech,45, NR, NR,2010,Georgia Tech,,,
Quayshawn Nealy,OLB,Lakeland,FL,6'0'',204,,76,Georgia Tech,,,,2010,Georgia Tech,,,
Jake Skole,ATH,Roswell,GA,6'1'',185,,76,Georgia Tech,76,,,2010,Georgia Tech,,,
Synjyn Days,ATH,Powder Springs,GA,6'1'',199,,74,Georgia Tech,153,,,2010,Georgia Tech,,,
Justin Moore,K,Atlanta,GA,5'10'',160,,72,Georgia Tech,46,,,2010,Georgia Tech,,,
Vad Lee,ATH,Durham,NC,6'2'',195.0,81,,Georgia Tech,,16,14,2011,Georgia Tech,,,
Chris Milton,ATH,Folkston,GA,5'11'',172.0,78,,Georgia Tech,,58,43,2011,Georgia Tech,,,
Nick Menocal,OLB,Miami,FL,6'2'',235.0,78,,Georgia Tech,47,,,2011,Georgia Tech,,,
Errin Joe,OG,Lakeland,FL,6'2'',286.0,78,,Georgia Tech,31,222,NR,2011,Georgia Tech,,,
Jamal Golden,ATH,Wetumpka,AL,6'0'',180.0,78,,Georgia Tech,68,231,NR,2011,Georgia Tech,,,
Anthony Harrell,ILB,Tampa,FL,6'1'',226.0,78,,Georgia Tech,27,,,2011,Georgia Tech,,,
Tremayne McNair,OLB,Jacksonville,NC,6'1'',220.0,78,,Georgia Tech,61,,,2011,Georgia Tech,,,
Bryan Chamberlain,OT,Albany,GA,6'4'',280.0,77,,Georgia Tech,61,300,66,2011,Georgia Tech,,,
Jeff Greene,ATH,Fayetteville,GA,6'5'',192.0,77,,Georgia Tech,96,370,81,2011,Georgia Tech,,,
Chaz Cheeks,OLB,Gainesville,GA,6'2'',220.0,76,,Georgia Tech,104,421,94,2011,Georgia Tech,,,
Darren Waller,S,Kennesaw,GA,6'4'',203.0,76,,Georgia Tech,65,,,2011,Georgia Tech,,,
Dominique Noble,S,Mount Ulla,NC,6'1'',185.0,76,,Georgia Tech,179,74, None,2011,Georgia Tech,,,
Trey Braun,OT,Tallahassee,FL,6'4'',275.0,75,,Georgia Tech,123,493, None,2011,Georgia Tech,,,
Kyle Travis,DE,Cumming,GA,6'3'',225.0,75,,Georgia Tech,, None, None,2011,Georgia Tech,,,
Zach Laskey,RB,Fayetteville,GA,6'2'',195.0,74,,Georgia Tech,129,,,2011,Georgia Tech,,,
Broderick Snoddy,RB,Carrollton,GA,5'9'',190.0,74,,Georgia Tech,141,588,129,2011,Georgia Tech,,,
Jabari Hunt-Days,ATH,Powder Springs,GA,6'3'',226.0,74,,Georgia Tech,158,,,2011,Georgia Tech,,,
Demontavious Smith,ATH,Monroe,GA,6'1'',185.0,73,,Georgia Tech,177,,,2011,Georgia Tech,,,
Sean Tobin,ATH,Holmdel,NJ,6'2'',220.0,70,,Georgia Tech,228,,,2011,Georgia Tech,,,
Tyler Marcordes,QB,Normal,IL,6'4'',213.0,65,,Georgia Tech,164,,,2011,Georgia Tech,,,
Corey Dennis,ATH,Troy,AL,6'1'',190.0,NR,,Georgia Tech,267,,,2011,Georgia Tech,,,
Shaquille Mason,OG,Columbia,TN,6'2'',305.0,NR,,Georgia Tech,212,,,2011,Georgia Tech,,,
Jimmie Kitchen,DE,Lithonia,GA,6'3'',265.0,NR,,Georgia Tech,, None, None,2011,Georgia Tech,,,
Justin Thomas,ATH,Prattville,AL,5'11'',180,5,80,Georgia Tech,18,,,2012,Georgia Tech,84,12,
Francis Kallon,DE,Lawrenceville,GA,6'5'',250,5,80,Georgia Tech,19,,,2012,Georgia Tech,,,
Patrick Gamble,DT,Carrollton,GA,6'4'',275,4,78,Georgia Tech,43,,,2012,Georgia Tech,,,
Marcus Allen,ATH,Hilliard,FL,6'2'',205,4,78,Georgia Tech,57,,,2012,Georgia Tech,,,
D.J. White,CB,McDonough,GA,5'11'',175,4,78,Georgia Tech,,,,2012,Georgia Tech,,,
Dennis Andrews,ATH,Tallahassee,FL,5'10'',177,4,78,Georgia Tech,60,,,2012,Georgia Tech,,,
Tyler Stargel,DE,Gulf Shores,AL,6'3'',235,4,77,Georgia Tech,,,,2012,Georgia Tech,,,
Rod Chungong,DT,Olney,MD,6'3'',250,4,77,Georgia Tech,,,,2012,Georgia Tech,,,
Chase Roberts,OG,Norcross,GA,6'3'',290,4,77,Georgia Tech,,,,2012,Georgia Tech,,,
Anthony Autry,WR,Norcross,GA,6'1'',185,4,77,Georgia Tech,111,,,2012,Georgia Tech,388,85,
Micheal Summers,ATH,Statesboro,GA,6'0'',190,3,76,Georgia Tech,76,,,2012,Georgia Tech,,,
Ryan Rodwell,K,DeLand,FL,6'1'',215,3,75,Georgia Tech,25,,,2012,Georgia Tech,595,211,
Beau Hankins,ILB,Birmingham,AL,6'1'',230,3,73,Georgia Tech,55,,,2012,Georgia Tech,,,
Lynn Griffin,ATH,Jacksonville,FL,5'11'',192,3,71,Georgia Tech,185,,,2012,Georgia Tech,,,
Travin Henry,OLB,Adel,GA,6'3'',215,3,71,Georgia Tech,159,,,2012,Georgia Tech,907,169,
Freddie Burden,OG,Statesboro,GA,6'3'',290,2,Georgia Tech,,NR,,,2012,Georgia Tech,,,
Adam Gotsis,DT,East Kew, AU,6'4'',295,2,Georgia Tech,,,,,2012,Georgia Tech,,,
Shamire Devine,OT,East Point,GA,6'6'',355,,79,,47,,,2013,Georgia Tech,232, None,Georgia Tech
Ricky Jeune,WR,Montvale,NJ,6'2'',205,,78,,,,,2013,Georgia Tech,,,Georgia Tech
Travis Custis,RB,Lovejoy,GA,6'0'',207,,78,,41,,,2013,Georgia Tech,258,53,Georgia Tech
Harrison Butker,K,Atlanta,GA,6'3'',180,,78,,3,,,2013,Georgia Tech,292,63,Georgia Tech
John Marvin,CB,Fort Walton Beach,FL,6'1'',188,,77,,320,,,2013,Georgia Tech,,,Georgia Tech
Chris Griffin,OG,Crawfordville,FL,6'5'',278,,77,,48,,,2013,Georgia Tech,,,Georgia Tech
Kevin Robbins Jr,DE,Forestville,MD,6'4'',225,,76,,62,,,2013,Georgia Tech,112,22,Georgia Tech
Justin Akins,DE,Jackson,GA,6'4'',236,,75,,,,,2013,Georgia Tech,,,Georgia Tech
Antonio Messick,WR,Fayetteville,GA,6'3'',194,,75,,147,,,2013,Georgia Tech,460,111,Georgia Tech
Donovan Wilson,RB,Dublin,OH,5'11'',205,,73,,,,,2013,Georgia Tech,,,Georgia Tech
Darius Commissiong,DT,Forestville,MD,6'2'',295,,70,,111,,,2013,Georgia Tech,203,36,Georgia Tech
Ty Griffin,QB-DT,Kennesaw,GA,6'0'',183,,NR,,,,,2013,Georgia Tech,,,Georgia Tech
Paul Davis,_,Cairo,GA,_,_,,NR,,,,,2013,Georgia Tech,,,Georgia Tech
Corey Griffin,S,Tyrone,GA,6'1'',183,,NR,,NR,,,2013,Georgia Tech,NR,NR,Georgia Tech
Jaylend Ratliffe,ATH,Laurinburg,NC,6'1'',200,80.0,Georgia Tech,,37,185,11,2015,Georgia Tech,,,
Anree Saint-Amour,DE,Suwanee,GA,6'3'',240,80.0,Georgia Tech,,32,201,42,2015,Georgia Tech,,,
Christian Philpott,WR,Tallahassee,FL,6'3'',203,80.0,Georgia Tech,,,,,2015,Georgia Tech,,,
Will Bryan,OG,Carnesville,GA,6'3'',268,79.0,Georgia Tech,,38,252,55,2015,Georgia Tech,,,
Victor Alexander,ILB,Jacksonville,FL,5'10'',220,79.0,Georgia Tech,,13,255,84,2015,Georgia Tech,,,
Tyler Cooksey,ILB,Norcross,GA,6'2'',220,78.0,Georgia Tech,,16,,,2015,Georgia Tech,,,
A.J. Gray,ATH,Sandersville,GA,6'1'',195,78.0,Georgia Tech,,65,283,64,2015,Georgia Tech,,,
TaQuon Marshall,ATH,Hamilton,GA,5'10'',170,78.0,Georgia Tech,,67,,,2015,Georgia Tech,,,
Brant Mitchell,ILB,Knoxville,TN,6'2'',235,78.0,Georgia Tech,,21,,,2015,Georgia Tech,,,
Kyle Henderson,DT,Tampa Bay,FL,6'0'',278,77.0,Georgia Tech,,51,343,113,2015,Georgia Tech,,,
Mikell Lands-Davis,RB,Douglasville,GA,6'0'',203,77.0,Georgia Tech,,73,353,82,2015,Georgia Tech,,,
Dorian Walker,ATH,Kennesaw,GA,5'11'',175,77.0,Georgia Tech,,86,370,86,2015,Georgia Tech,,,
Omahri Jarrett,RB,Douglasville,GA,5'9'',159,77.0,Georgia Tech,,375, None,87,2015,Georgia Tech,,,
Christian Campbell,ATH,Ponchatoula,LA,6'1'',189,77.0,Georgia Tech,,,,,2015,Georgia Tech,,,
Dante Wigley,CB,Carrollton,GA,6'0'',180,75.0,Georgia Tech,,,,,2015,Georgia Tech,,,
Brentavious Glanton,DT,Albany,GA,6'2'',272,75.0,Georgia Tech,,82,,,2015,Georgia Tech,,,
Scotty Morgan,DT,Woodstock,GA,6'5'',275,74.0,Georgia Tech,,,,,2015,Georgia Tech,,,
Trent Sellers,DE,Tyrone,GA,6'3'',220,74.0,Georgia Tech,,,575,,2015,Georgia Tech,,,
Marcus Marshall,RB,Raleigh,NC,5'9'',202,74.0,Georgia Tech,,137,603,44,2015,Georgia Tech,,,
Harland Howell II,WR,Marietta,GA,6'2'',200,73.0,Georgia Tech,,,643,147,2015,Georgia Tech,,,
KirVonte' Benson,RB,Marietta,GA,5'8'',183,73.0,Georgia Tech,,123,,,2015,Georgia Tech,,,
Brad Morgan,OG,Woodstock,GA,6'5'',266,73.0,Georgia Tech,,123,,,2015,Georgia Tech,,,
David Curry,S,Buford,GA,6'0'',190,73.0,Georgia Tech,,111,,,2015,Georgia Tech,,,
Meiko Dotson,CB,Daytona Beach,FL,5'9'',175,72.0,Georgia Tech,,38,717,,2015,Georgia Tech,,,
Nathan Cottrell,RB,Knoxville,TN,5'11'',181,72.0,Georgia Tech,,181,,,2015,Georgia Tech,,,
Quaide Weimerskirch,RB,Pace,FL,6'1'',200,70.0,Georgia Tech,,NR,,,2015,Georgia Tech,,,
Brad Stewart,WR,Savannah,GA,6'1'',185,,Georgia Tech,,,,,2015,Georgia Tech,,,
Parker Braun,OG,Hallsville,TX,6'3'',270.0,81.0,Georgia Tech,,17,,,2016,Georgia Tech,51,47,
Jordan Woods,DE,Citra,FL,6'4'',251.0,80.0,Georgia Tech,,40,,,2016,Georgia Tech,,,
Xavier Gantt,ATH,Buford,GA,5'10'',165.0,79.0,Georgia Tech,,34,,,2016,Georgia Tech,,,
