Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,University 
Josh Hoover,QB-PP,Heath,TX,,6'2'',205,79,,24,,,2022,Texas Christian,,,,TCU  
Ronald Lewis,CB,New Orleans,LA,,6'1'',175,78,,68,,,2022,Texas Christian,,297,28,TCU  
Major Everhart,ATH,Amarillo,TX,,5'11'',170,78,,65,,,2022,Texas Christian,,,,TCU  
Kyron Chambers,CB,Dallas,TX,,6'0'',195,77,,83,,,2022,Texas Christian,,,,TCU  
Paul Oyewale,DT,Houston,TX,,6'4'',245,77,,65,,,2022,Texas Christian,,158,119,TCU  
Connor Lingren,DT,College Station,TX,,6'4'',305,76,,80,,,2022,Texas Christian,,,,TCU  
Micheal Ibukun-Okeyode,DE,Rowlett,TX,,6'5'',235,76,,213,,,2022,Texas Christian,,93,156,TCU  
Namdi Obiazor,S (JC),Eden Prairie,MN,,6'2'',205,76,,6,,,2022,Texas Christian,,,,TCU  
Doug Blue-Eli,DT (JC),New Rochelle,NY,,6'3'',310,74,,5,,,2022,Texas Christian,,,,TCU  
Quinton Harris,OT,Seguin,TX,,6'7'',285,73,,173,,,2022,Texas Christian,,,,TCU  
Terrence Cooks,OLB,Pearland,TX,,6'2'',220,,,,,,2022,Texas Christian,,,,TCU  
Mark Perry,S,Rancho Cucamonga,CA,,6'1'',190,,,,,,2022,Texas Christian,,,,TCU  
Emani Bailey,RB,Denton,TX,,5'9'',200,,,,,,2022,Texas Christian,,,,TCU  
Jared Wiley,TE-Y,Temple,TX,,6'6'',250,,,,,,2022,Texas Christian,,,,TCU  
Alan Ali,OG,Keller,TX,,6'4'',300,,,,,,2022,Texas Christian,,,,TCU  
Ishmael Burdine,S,Slidell,LA,,6'1'',185,,,,,,2022,Texas Christian,,,,TCU  
Trelon Smith,RB,Houston,TX,,5'9'',200,,,,,,2022,Texas Christian,,,,TCU  
