Name,Pos,City,State,Height,Weight,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team, Pos, City, State, Height, Weight, Stars, Grade, University,Stars,University  ,University,Location,School, Reg_rank, State_rank
Tom Ricketts,OG,Wexford,PA,6'5'',260,,,33,,,2010,Penn State,,,,,,,,,77,Penn State  ,,,,,
Brad Bars,OLB,Nashville,TN,6'3'',225,,,,,,2010,Penn State,,,,,,,,,77,Penn State  ,,,,,
DaQuan Jones,OG,Johnson City,NY,6'4'',300,,,43,,,2010,Penn State,,,,,,,,,77,Penn State  ,,,,,
Luke Graham,OG,Harrison City,PA,6'5'',260,,,57,,,2010,Penn State,,,,,,,,,76,Penn State  ,,,,,
Shyquawn Pullium,ATH,Erie,PA,6'0'',170,,,,,,2010,Penn State,,,,,,,,,74,Penn State  ,,,,,
Angelo Mangiro,OG,Succasunna,NJ,6'3'',290,Penn State ,,2,7,2,2011,Penn State,,,,,,,,,81,,,,,,
Bill Belton,ATH,Atco,NJ,5'9'',191,Penn State ,,21,,,2011,Penn State,,,,,,,,,80,,,,,,
Anthony Zettel,OG,West Branch,MI,6'4'',255,Penn State ,,11,,,2011,Penn State,,,,,,,,,80,,,,,,
Donovan Smith,OT,Owings Mills,MD,6'5'',265,Penn State ,,20,,,2011,Penn State,,,,,,,,,79,,,,,,
Deion Barnes,DE,Philadelphia,PA,6'4'',225,Penn State ,,45,,,2011,Penn State,,,,,,,,,78,,,,,,
Ben Kline,OLB,Dallastown,PA,6'3'',214,Penn State ,,63,,,2011,Penn State,,,,,,,,,78,,,,,,
Ryan Nowicki,OT,Glendale,AZ,6'5'',275,Penn State ,,60,92,11,2011,Penn State,,,,,,,,,77,,,,,,
Jordan Kerner,DE,Fairview,PA,6'4'',225,Penn State ,,72,,,2011,Penn State,,,,,,,,,77,,,,,,
Shawn Oakman,DE,Lansdowne,PA,6'8'',240,Penn State ,,84,,,2011,Penn State,,,,,,,,,77,,,,,,
Kyle Carter,TE,New Castle,DE,6'4'',224,Penn State ,,58,170,NR,2011,Penn State,,,,,,,,,76,,,,,,
Matt Zanellato,WR,Burke,VA,6'3'',190,Penn State ,,173,,,2011,Penn State,,,,,,,,,76,,,,,,
Adrian Amos,SB,Baltimore,MD,5'11'',190,Penn State ,,,,,2011,Penn State,,,,,,,,,76,,,,,,
Shyquawn Pullium,ATH (POST),Erie,PA,6'0'',178,Penn State ,,,,,2011,Penn State,,,,,,,,,74,,,,,,
Sam Ficken,K,Valparaiso,IN,6'0'',180,Penn State,,40,252,NR,2011,Penn State,,,,,,,,,73,,,,,,
Allen Robinson,WR,Orchard Lake,MI,6'2'',190,Penn State,,201,,,2011,Penn State,,,,,,,,,72,,,,,,
Anthony Alosi,OT (POST),Marlton,NJ,6'5'',285,Penn State,,,,,2011,Penn State,,,,,,,,,70,,,,,,
Christian Hackenberg,QB-PP,,,VA,6'4'',88,,,,,2013,Penn State,,,,,,,,,212,,,Fork Union,Penn State,,
Adam Breneman,TE-Y,,,PA,6'4'',85,,1,,,2013,Penn State,,,,,,,,,229,,,Camp Hill,Penn State,,
Brendan Mahon,OG,,,NJ,6'5'',83,,12,,,2013,Penn State,,,,,,,,,300,,,Randolph,Penn State,,
Andrew Nelson,OT,,,PA,6'5'',82,,17,,,2013,Penn State,,,,,,,,,262,,,Hershey,Penn State,,
DaeSean Hamilton,WR,,,VA,6'0'',81,,,,,2013,Penn State,,,,,,,,,185,,,Stafford,Penn State,,
Garrett Sickels,DE,,,NJ,6'4'',80,,34,,,2013,Penn State,,,,,,,,,225,,,Little Silver,Penn State,,
Richy Anderson,RB,,,MD,5'10'',77,,50,,,2013,Penn State,,,,,,,,,180,,,Frederick,Penn State,,
Brandon Bell,OLB,,,NJ,6'0'',77,,65,,,2013,Penn State,,,,,,,,,222,,,Mays Landing,Penn State,,
Tyler Ferguson,QB-PP,,,CA,6'4'',77,,3,,,2013,Penn State,,,,,,,,,200,,,Bakersfield,Penn State,,
Jordan Smith,CB,,,DC,5'11'',77,,100,,,2013,Penn State,,,,,,,,,180,,,Washington,Penn State,,
Neiko Robinson,S,,,FL,6'0'',75,,,59,165,2013,Penn State,,,,,,,,,162,,,Bratt,Penn State,,
Zayd Issah,ATH,,,PA,6'3'',75,,123,134,26,2013,Penn State,,,,,,,,,210,,,Harrisburg,Penn State,,
Kasey Gaines,S,,,GA,5'9'',71,,,,,2013,Penn State,,,,,,,,,165,,,Loganville,Penn State,,
Curtis Cothran,DE,,,PA,6'5'',70,,117,,,2013,Penn State,,,,,,,,,240,,,Newtown,Penn State,,
Tanner Hartman,OG,,,VA,6'4'',69,,113,217,46,2013,Penn State,,,,,,,,,255,,,Lynchburg,Penn State,,
Parker Cothren,DT,,,AL,6'5'',69,,122,666,49,2013,Penn State,,,,,,,,,265,,,Hazel Green,Penn State,,
Anthony Smith,CB,,,NJ,6'1'',67,,,,,2013,Penn State,,,,,,,,,180,,,Randolph,Penn State,,
Sterling Jenkins,OT,Pittsburgh,PA,6'8'',305,83,,12,,,2015,Penn State,,,,,,,,,,,Penn State,,,10,2
Ryan Bates,OT,Warminster,PA,6'5'',271,83,,13,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
Garrett Taylor,CB,Richmond,VA,6'1'',187,83,,10,,,2015,Penn State,,,,,,,,,,,Penn State,,,14,6
John Reid,CB,Philadelphia,PA,5'10'',190,82,,,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
Juwan Johnson,WR,Glassboro,NJ,6'5'',212,81,,24,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
Steven Gonzalez,OG,Union City,NJ,6'4'',310,81,,13,,,2015,Penn State,,,,,,,,,,,Penn State,,,23,5
Manny Bowen,OLB,Barnegat,NJ,6'3'',206,81,,14,,,2015,Penn State,,,,,,,,,,,Penn State,,,26,6
Jonathan Holland,DE,Potomac,MD,6'5'',225,81,,23,,,2015,Penn State,,,,,,,,,,,Penn State,,,29,5
Saquon Barkley,RB,Whitehall,PA,6'0'',208,80,,24,,,2015,Penn State,,,,,,,,,,,Penn State,,,32,6
Andre Robinson,RB,Harrisburg,PA,5'10'',205,80,,30,,,2015,Penn State,,,,,,,,,,,Penn State,,,35,7
Paris Palmer,OT,Plymouth,NC,6'8'',300,80,,2,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
Irvin Charles,WR,Haddonfield,NJ,6'4'',208,79,,64,,,2015,Penn State,,,,,,,,,,,Penn State,,,47,9
Daiquan Kelly,ATH,Union City,NJ,6'4'',210,79,,50,,,2015,Penn State,,,,,,,,,,,Penn State,,,49,10
Kamonte Carter,DE,Gaithersburg,MD,6'4'',230,79,,41,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
Shareef Miller,DE,Philadelphia,PA,6'4'',225,79,,44,,,2015,Penn State,,,,,,,,,,,Penn State,,,57,9
Robert Windsor,DT,Fond Du Lac,WI,6'4'',260,78,,40,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
Ayron Monroe,S,Washington,DC,6'2'',197,78,,5,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
Brandon Polk,WR,Ashburn,VA,5'9'',155,78,,,,,2015,Penn State,,,,,,,,,,,Penn State,,,,
