Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,School, Reg_rank, State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Ty Chandler,RB,Nashville,TN,6'0'',190,,84,Tennessee,9,,,2017,Tennessee,,50,6,,,,,,,,
Eric Crosby,DT,Virginia Beach,VA,6'2'',297,,81,Tennessee,18,,,2017,Tennessee,,26,6,,,,,,,,
LaTrell Bumphus,ATH,Savannah,TN,6'4'',230,,81,Tennessee,18,,,2017,Tennessee,,,,,,,,,,,
Will Ignont,ILB,New Market,AL,6'1'',236,,80,Tennessee,13,,,2017,Tennessee,,163,20,,,,,,,,
Kivon Bennett,DT,Fort Lauderdale,FL,6'3'',255,,80,Tennessee,35,,,2017,Tennessee,,197,67,,,,,,,,
Marquez Bembry,OLB,Atlanta,GA,6'2'',201,,79,Tennessee,31,,,2017,Tennessee,,212,52,,,,,,,,
Jacquez Jones,WR,Clearwater,FL,5'10'',165,,79,Tennessee,5,,,2017,Tennessee,,220,77,,,,,,,,
Deandre Johnson,DE,Miami,FL,6'3'',235,,79,Tennessee,41,,,2017,Tennessee,,222,78,,,,,,,,
K'Rojhn Calbert,OT,McMinnville,TN,6'5'',285,,79,Tennessee,229,,,2017,Tennessee,,83,12,,,,,,,,
Jordan Murphy,WR,Hattiesburg,MS,5'11'',169,,79,Tennessee,38,,,2017,Tennessee,,69,2,,,,,,,,
Riley Locklear,OG,Huntington,WV,6'5'',290,,79,Tennessee,,,,2017,Tennessee,,258,13,,,,,,,,
Princeton Fant,WR,LaVergne,TN,6'2'',215,,79,Tennessee,41,,,2017,Tennessee,,,,,,,,,,,
Shanon Reid,OLB,Fort Myers,FL,6'1'',200,,78,Tennessee,43,,,2017,Tennessee,,323,18,,,,,,,,
Theo Jackson,S,Nashville,TN,6'1'',180,,78,Tennessee,47,,,2017,Tennessee,,,,,,,,,,,
Trey Coleman,RB,West Monroe,LA,5'11'',205,,78,Tennessee,60,,,2017,Tennessee,,330,31,,,,,,,,
Terrell Bailey,CB,Marrero,LA,5'11'',175,,78,Tennessee,61,,,2017,Tennessee,,347,23,,,,,,,,
Matthew Butler,DT,Garner,NC,6'4'',265,,77,Tennessee,53,,,2017,Tennessee,,,,,,,,,,,
Solon Page III,S,Marietta,GA,6'2'',192,,77,Tennessee,13,,,2017,Tennessee,,,,,,,,,,,
Brent Cimaglia,K,Franklin,TN,5'11'',210,,76,Tennessee,462,,,2017,Tennessee,,77,168,,,,,,,,
Timothy Jordan,RB,Bartow,FL,5'11'',185,,75,Tennessee,144,,,2017,Tennessee,,,,,,,,,,,
Ryan Thaxton,DE,Alexandria,VA,6'4'',250,,74,Tennessee,22,,,2017,Tennessee,,507,190,,,,,,,,
James Brown,TE-H,Orlando,FL,6'3'',202,,74,Tennessee,179,,,2017,Tennessee,,,,,,,,,,,
Josh Palmer,WR,Fort Lauderdale,FL,6'1'',185,,74,Tennessee,119,,,2017,Tennessee,,,,,,,,,,,
Cheyenne Labruzza,CB,Albany,LA,5'11'',180,,72,Tennessee,102,,,2017,Tennessee,,641,141,,,,,,,,
Shawn Shamburger,S,Moultrie,GA,6'0'',190,,72,Tennessee,45,,,2017,Tennessee,,257,198,,,,,,,,
Will McBride,QB-DT,League City,TX,6'1'',198,,71,Tennessee,,,,2017,Tennessee,,,,,,,,,,,
Alontae Taylor,WR,Manchester,TN,6'1'',180,,86.0,Tennessee,6,23,2,2018,Tennessee,,,,,,,,,,,
J.J. Peterson,OLB,Moultrie,GA,6'2'',210,,86.0,Tennessee,1,24,7,2018,Tennessee,,,,,,,,,,,
Brant Lawless,DT,Nashville,TN,6'1'',308,,83.0,Tennessee,13,82,5,2018,Tennessee,,,,,,,,,,,
Jordan Allen,DE,Fairfield,CA,6'4'',230,,82.0,Tennessee,2,,,2018,Tennessee,,,,,,,,,,,
Dominick Wood-Anderson,TE-H,San Diego,CA,6'5'',255,,81.0,Tennessee,1,,14,2018,Tennessee,,,,,,,,,,,
Gregory Emerson,DT,Jackson,TN,6'3'',296,,81.0,Tennessee,21,141,8,2018,Tennessee,,,,,,,,,,,
Emmit Gooden,DT,Brownsville,TN,6'4'',300,,80.0,Tennessee,37th,,,2018,Tennessee,,,,,,,,,,,
Jahmir Johnson,OT,Philadelphia,PA,6'5'',290,,79.0,Tennessee,49th,,,2018,Tennessee,,,,,,,,,,,
J.T. Shrout,QB-PP,Newhall,CA,6'3'',187,,79.0,Tennessee,,,,2018,Tennessee,,,,,,,,,,,
Jerome Carvin,OG,Cordova,TN,6'4'',330,,79.0,Tennessee,28,,,2018,Tennessee,,,,,,,,,,,
Jeremy Banks,RB,Cordova,TN,6'2'',206,,78.0,Tennessee,34,342,25,2018,Tennessee,,,,,,,,,,,
Jacob Warren,TE-Y,Knoxville,TN,6'5'',210,,77.0,Tennessee,22,,,2018,Tennessee,,,,,,,,,,,
John Mincey,DT,Homerville,GA,6'3'',250,,77.0,Tennessee,69,,,2018,Tennessee,,,,,,,,,,,
Paxton Brooks,K,West Columbia,SC,6'5'',170,,77.0,Tennessee,5,,,2018,Tennessee,,,,,,,,,,,
Ollie Lane,OG,Corryton,TN,6'4'',285,,77.0,Tennessee,54,,,2018,Tennessee,,,,,,,,,,,
Tanner Antonutti,OT,Nashville,TN,6'5'',255,,76.0,Tennessee,423,89,32,2018,Tennessee,,,,,,,,,,,
Kingston Harris,DT,Bradenton,FL,6'3'',256,,76.0,Tennessee,427,,,2018,Tennessee,,,,,,,,,,,
Trevon Flowers,S,Tucker,GA,5'11'',185,,76.0,Tennessee,50,,,2018,Tennessee,,,,,,,,,,,
Cedric Tillman,WR,Las Vegas,NV,6'1'',205,,,Tennessee,NR,,,2018,Tennessee,,,,,,,,,,,
Kurott Garland,DE,Conyers,GA,6'2'',250,,,Tennessee,NR,,,2018,Tennessee,,,,,,,,,,,
Darnell Wright,OT,Huntington,WV,6'6'',300,,91,Tennessee,5,1,1,2019,Tennessee,,,,,,,,,,,
Wanya Morris,OT,Loganville,GA,6'6'',293,,91,Tennessee,5,,,2019,Tennessee,,,,,,,,,,,
Quavaris Crouch,ATH,Charlotte,NC,6'1'',222,,86,Tennessee,3,22,1,2019,Tennessee,,,,,,,,,,,
Henry To'oto'o,OLB,Concord,CA,6'2'',225,,85,Tennessee,17,,,2019,Tennessee,,,,,,,,,,,
Ramel Keyton,WR,Marietta,GA,6'2'',186,,84,Tennessee,11,85,21,2019,Tennessee,,,,,,,,,,,
Jaylen McCollough,S,Powder Springs,GA,6'0'',194,,83,Tennessee,17,,,2019,Tennessee,,,,,,,,,,,
Tyus Fields,ATH,Cornelius,NC,5'10'',182,,82,Tennessee,8,112,4,2019,Tennessee,,,,,,,,,,,
Jackson Lampley,OG,Nashville,TN,6'3'',299,,82,Tennessee,6,,,2019,Tennessee,,,,,,,,,,,
Jackson Lowe,TE,Cartersville,GA,6'4'',240,,82,Tennessee,16,,,2019,Tennessee,,,,,,,,,,,
Anthony Harris,S,Havelock,NC,6'0'',180,,81,Tennessee,16th,,,2019,Tennessee,,,,,,,,,,,
Savion Williams,DE,Upper Marlboro,MD,6'3'',315,,81,Tennessee,19,136,8,2019,Tennessee,,,,,,,,,,,
Eric Gray,RB,Memphis,TN,5'10'',191,,81,Tennessee,19,,,2019,Tennessee,,,,,,,,,,,
Brian Maurer,QB,Ocala,FL,6'3'',180,,80,Tennessee,38,,,2019,Tennessee,,,,,,,,,,,
Aaron Beasley,S,Franklin,GA,5'11'',195,,79,Tennessee,43,240,75,2019,Tennessee,,,,,,,,,,,
Chris Akporoghene,OT,Bradenton,FL,6'4'',283,,79,Tennessee,20,,,2019,Tennessee,,,,,,,,,,,
Melvin McBride,OG,Memphis,TN,6'2'',300,,79,Tennessee,,,,2019,Tennessee,,,,,,,,,,,
Darel Middleton,DT,Oak Ridge,TN,6'6'',280,,78,Tennessee,17,,,2019,Tennessee,,,,,,,,,,,
Sean Brown,TE,Rome,GA,6'4'',240,,78,Tennessee,430,,95,2019,Tennessee,,,,,,,,,,,
Roman Harrison,OLB,Bainbridge,GA,6'1'',240,,77,Tennessee,86,441,98,2019,Tennessee,,,,,,,,,,,
Warren Burrell,CB,Suwanee,GA,6'0'',166,,77,Tennessee,53,449,29,2019,Tennessee,,,,,,,,,,,
Elijah Simmons,OG,Nashville,TN,6'1'',353,,76,Tennessee,112,,,2019,Tennessee,,,,,,,,,,,
Kenney Solomon,CB,Myrtle Beach,SC,6'0'',172,,75,Tennessee,155,,,2019,Tennessee,,,,,,,,,,,
Jerrod Means,ATH,Lovejoy,GA,6'1'',212,,73,Tennessee,,,,2019,Tennessee,,,,,,,,,,,
Aubrey Solomon,DT,Leesburg,GA,6'3'',300,,Tennessee,,,,,2019,Tennessee,,,,,,,,,,,
Keshawn Lawrence,ATH,Nashville,TN,6'1'',190,4,84,Tennessee,7,,,2020,Tennessee,,47,2,,,,,,,,
Omari Thomas,OT,Eads,TN,6'4'',300,4,83,Tennessee,17,,,2020,Tennessee,,60,4,,,,,,,,
Dominic Bailey,DT,Salisbury,MD,6'3'',265,4,83,Tennessee,12,,,2020,Tennessee,,18,6,,,,,,,,
Tyler Baron,DE,Knoxville,TN,6'4'',255,4,82,Tennessee,18,,,2020,Tennessee,,,,,,,,,,,
Len'Neth Whitehead,ILB,Athens,GA,6'2'',230,4,82,Tennessee,15,,,2020,Tennessee,,,,,,,,,,,
Harrison Bailey,QB-PP,Marietta,GA,6'5'',229,4,81,Tennessee,39,,,2020,Tennessee,,,,,,,,,,,
Malachi Wideman,WR,Venice,FL,6'4'',185,4,81,Tennessee,5,,,2020,Tennessee,,137,9,,,,,,,,
Cooper Mays,OC,Knoxville,TN,6'3'',285,4,80,Tennessee,50,,,2020,Tennessee,,152,6,,,,,,,,
Jalin Hyatt,WR,Irmo,SC,6'1'',165,4,80,Tennessee,33,,,2020,Tennessee,,,,,,,,,,,
Morven Joseph,DE,Lake Gibson,FL,6'3'',215,4,80,Tennessee,33,,,2020,Tennessee,,175,18,,,,,,,,
Damarcus Beckwith,ATH,Florence,AL,6'4'',215,4,80,Tennessee,38,,,2020,Tennessee,,,,,,,,,,,
Martavius French,OLB,Memphis,TN,6'3'',235,4,79,Tennessee,47,,,2020,Tennessee,,212,47,,,,,,,,
Jimmy Calloway,ATH,Morrow,GA,5'11'',170,4,79,Tennessee,14,,,2020,Tennessee,,,,,,,,,,,
Bryson Eason,ILB,Memphis,TN,6'1'',238,4,78,Tennessee,290,,,2020,Tennessee,,70,31,,,,,,,,
Reginald Perry,OT,Fairfield,AL,6'7'',275,4,77,Tennessee,54,,,2020,Tennessee,,,,,,,,,,,
Jimmy Holiday,ATH,Madison,MS,6'0'',185,4,77,Tennessee,55,,,2020,Tennessee,,328,21,,,,,,,,
Jabari Small,RB,Eads,TN,5'10'',195,4,77,Tennessee,55,,,2020,Tennessee,,,,,,,,,,,
Doneiko Slaughter,S,Roswell,GA,5'11'',175,4,76,Tennessee,70,,,2020,Tennessee,,425,27,,,,,,,,
Tee Hodge,RB,Maryville,TN,6'1'',210,4,76,Tennessee,,,,2020,Tennessee,,106,19,,,,,,,,
Javontez Spraggins,OG,East Saint Louis,IL,6'3'',335,4,75,Tennessee,,,,2020,Tennessee,,472,44,,,,,,,,
James Robinson,OG,Montgomery,AL,6'4'',325,4,75,Tennessee,99,,,2020,Tennessee,,481,33,,,,,,,,
Tamarion McDonald,OLB,Memphis,TN,4,75,Tennessee,,,5,,,2020,Tennessee,,,,,,,,,,,
Will Albright,LS,Greeneville,TN,4,67,Tennessee,,,,,,2020,Tennessee,,,,,,,,,,,
Cade Mays,OT,Knoxville,TN,6'6'',320,3,Tennessee,,,,,2020,Tennessee,, None, None,,,,,,,,
Velus Jones Jr.,WR,Saraland,AL,6'0'',190,3,Tennessee,,,,,2020,Tennessee,,,,,,,,,,,
Kaemen Marley,ATH,Ramseur,NC,6'2'',205,3,83,Tennessee,15,76,10,2021,Tennessee,,,,,,,,,,,
Julian Nixon,WR,Roswell,GA,6'4'',200,3,83,Tennessee,176,,,2021,Tennessee,,,,,,,,,,,
Aaron Willis,OLB,Baltimore,MD,6'0'',200,3,83,Tennessee,24,,,2021,Tennessee,,,,,,,,,,,
Tiyon Evans,RB,Hartsville,SC,5'9'',225,2,82,Tennessee,1.0,,,2021,Tennessee,,,,,,,,,,,
Walker Merrill,WR,Brentwood,TN,6'1'',180,3,80,Tennessee,56,,,2021,Tennessee,,,,,,,,,,,
William Parker,OG,Nashville,TN,6'5'',320,3,80,Tennessee,21,,,2021,Tennessee,,,,,,,,,,,
De'Shawn Rucker,S,Tallahassee,FL,5'11'',170,3,80,Tennessee,9,190,15,2021,Tennessee,,,,,,,,,,,
Trinity Bell,TE-H,Albertville,AL,6'7'',250,3,79,Tennessee,45,,,2021,Tennessee,,,,,,,,,,,
J'Marion Gooch,OT,Seymour,TN,6'7'',350,3,79,Tennessee,20,,,2021,Tennessee,,,,,,,,,,,
Christian Charles,ATH,Gainesville,GA,6'1'',185,3,78,Tennessee,,,,2021,Tennessee,,,,,,,,,,,
Miles Campbell,TE-Y,Douglasville,GA,6'3'',235,3,78,Tennessee,3.0,,,2021,Tennessee,,,,,,,,,,,
Amari McNeill,OT,Suwanee,GA,6'4'',285,3,77,Tennessee,3,,35,2021,Tennessee,,,,,,,,,,,
Jeremiah Crawford,OT,Goddard,KS,6'6'',300,3,76,Tennessee,457,,,2021,Tennessee,,,,,,,,,,,
Andison Coby,WR,Deerfield Beach,FL,6'2'',180,3,76,Tennessee,482,73,57,2021,Tennessee,,,,,,,,,,,
Jaylen Wright,RB,Durham,NC,5'11'',190,3,75,Tennessee,6,,,2021,Tennessee,,,,,,,,,,,
Isaac Washington,DT,Pilot Mountain,NC,6'3'',265,3,75,Tennessee,,,,2021,Tennessee,,,,,,,,,,,
Byron Young,DE,Milledgeville,GA,6'3'',240,3,75,Tennessee,,,,2021,Tennessee,,,,,,,,,,,
Hendon Hooker,QB-DT,TR,Greensboro,NC,6'4'',210,TR,Tennessee,,,,2021,Tennessee,,,,,,,,,,,
Chase McGrath,K,TR,Santa Ana,CA,6'0'',190,TR,Tennessee,,,,2021,Tennessee,,,,,,,,,,,
Addison Nichols,OT,Norcross,GA,6'5'',301,3,83,,14,49,11,2022,Tennessee,Tennessee,,,,,,,,,,
Tyre West,DT,Tifton,GA,6'3'',280,4,82,,18,,,2022,Tennessee,Tennessee,,,,,,,,,,
Tayven Jackson,QB-PP,Greenwood,IN,6'5'',185,4,80,,17,40,8,2022,Tennessee,Tennessee,,,,,,,,,,
Cameron Miller,WR,Memphis,TN,6'1'',185,4,80,,46,140,10,2022,Tennessee,Tennessee,,,,,,,,,,
Justin Williams,RB,Dallas,GA,5'11'',200,4,80,,29,164,37,2022,Tennessee,Tennessee,,,,,,,,,,
Maurice Clipper Jr.,OG,Milton,GA,6'4'',285,4,80,,15,,,2022,Tennessee,Tennessee,,,,,,,,,,
Charles Nimrod,WR,Bentonville,AR,6'1'',185,4,79,,203,74,5,2022,Tennessee,Tennessee,,,,,,,,,,
James Pearce,DE,Charlotte,NC,6'4'',220,4,79,,40,228,16,2022,Tennessee,Tennessee,,,,,,,,,,
Joshua Josephs,OLB,Kennesaw,GA,6'3'',210,4,79,,41,,,2022,Tennessee,Tennessee,,,,,,,,,,
Masai Reddick,OG,Detroit,MI,6'4'',285,4,78,,26,,,2022,Tennessee,Tennessee,,,,,,,,,,
Desmond Williams,CB,Decatur,MS,5'11'',185,4,78,,8th, NR, NR,2022,Tennessee,Tennessee,,,,,,,,,,
Marquarius White,WR,Pinson,AL,5'10'',155,4,78,,105,,,2022,Tennessee,Tennessee,,,,,,,,,,
Kalib Perry,ATH,Georgetown,KY,6'3'',215,4,78,,67,315,5,2022,Tennessee,Tennessee,,,,,,,,,,
Dylan Sampson,RB,Geismar,LA,5'10'',180,4,78,,57,,,2022,Tennessee,Tennessee,,,,,,,,,,
Jordan Phillips,DT,Ocoee,FL,6'3'',290,4,77,,64,360,114,2022,Tennessee,Tennessee,,,,,,,,,,
Brian Grant,OT,Fort Walton Beach,FL,6'7'',260,4,77,,122,,,2022,Tennessee,Tennessee,,,,,,,,,,
Kaleb Webb,WR,Powder Springs,GA,6'4'',195,4,77,,130,,,2022,Tennessee,Tennessee,,,,,,,,,,
Jourdan Thomas,S,Montgomery,AL,6'2'',190,3,76,,66,,,2022,Tennessee,Tennessee,,,,,,,,,,
Elijah Herring,OLB,Murfreesboro,TN,6'2'',225,3,76,,466,,33,2022,Tennessee,Tennessee,,,,,,,,,,
Jayson Jenkins,DT,Lawrenceville,NJ,6'5'',260,3,74,,111,,,2022,Tennessee,Tennessee,,,,,,,,,,
Christian Harrison,CB,College Park,GA,6'1'',180,3,72,,151,,,2022,Tennessee,Tennessee,,,,,,,,,,
Gerald Mincey,OT,Fort Lauderdale,FL,6'5'',320,3,TR,,,,,2022,Tennessee,Tennessee,,,,,,,,,,
Navy Shuler,QB-PP,Arden,NC,6'0'',200,3,TR,,,,,2022,Tennessee,Tennessee,,,,,,,,,,
Charlie Browder,TE-Y,Arden,NC,6'6'',235,3,TR,,,,,2022,Tennessee,Tennessee,,,,,,,,,,
Jackson Hannah,OLB,Nashville,TN,6'3'',230,3,TR,,,,,2022,Tennessee,Tennessee,,,,,,,,,,
Mike Matthews,,,,,,,,,5,,,2024,Tennessee,,13,4,WR,Lilburn,GA,6'1'',185.0,90.0,Tennessee,
Jordan Ross,,,,,,,,,5,,,2024,Tennessee,,14,4,DE,Vestavia Hills,AL,6'5'',220.0,89.0,Tennessee,
Bennett Warren,,,,,,,,,6,,,2024,Tennessee,,,,OT,Sugar Land,TX,6'8'',330.0,84.0,Tennessee,
Peyton Lewis,,,,,,,,,12,,,2024,Tennessee,,,,RB,Salem,VA,6'1'',195.0,83.0,Tennessee,
William Satterwhite,,,,,,,,,7,,,2024,Tennessee,,,,OG,Akron,OH,6'5'',290.0,82.0,Tennessee,
Kaleb Beasley,,,,,,,,,17,,,2024,Tennessee,,75,2,CB,Nashville,TN,6'0'',180.0,82.0,Tennessee,
Braylon Staley,,,,,,,,,21,,,2024,Tennessee,,,,WR,Johnston,SC,6'0'',180.0,82.0,Tennessee,
Jake Merklinger,,,,,,,,,8,,,2024,Tennessee,,85,24,QB-PP,Savannah,GA,6'3'',190.0,82.0,Tennessee,
Max Anderson,,,,,,,,,20,,,2024,Tennessee,,,,OT,Frisco,TX,6'5'',290.0,82.0,Tennessee,
Boo Carter,,,,,,,,,20,,,2024,Tennessee,,138,6,ATH,Cleveland,TN,5'11'',190.0,81.0,Tennessee,
Edwin Spillman,,,,,,,,,,,,2024,Tennessee,,,,OLB,Nashville,TN,6'2'',225.0,80.0,Tennessee,
Jordan Burns,,,,,,,,,11,,,2024,Tennessee,,185,49,ILB,Atlanta,GA,6'1'',215.0,80.0,Tennessee,
Kellen Lindstrom,,,,,,,,,47,,,2024,Tennessee,,,,DE,Springfield,MO,6'6'',240.0,79.0,Tennessee,
Jamal Wallace,,,,,,,,,2,,,2024,Tennessee,,,,DE,Kansas City,KS,6'4'',270.0,79.0,Tennessee,
Gage Ginther,,,,,,,,,138,,,2024,Tennessee,,,,OT,Fort Collins,CO,6'6'',275.0,78.0,Tennessee,
Marcus Goree Jr.,,,,,,,,,59,,,2024,Tennessee,,,,Cleveland,TN,SC,6'1'',175.0,78.0,Tennessee,
Jesse Perry,,,,,,,,,91,,,2024,Tennessee,,415,27,OT,Murfreesboro,TN,6'6'',275.0,77.0,Tennessee,
Carson Gentle,,,,,,,,,108,,,2024,Tennessee,,,,DE,Chattanooga,TN,6'3'',250.0,76.0,Tennessee,
Cole Harrison,,,,,,,,,40,,,2024,Tennessee,,,,TE-H,San Mateo,CA,6'5'',220.0,76.0,Tennessee,
Edrees Farooq,,,,,,,,,94,,,2024,Tennessee,,,,S,Baltimore,MD,6'0'',190.0,76.0,Tennessee,
