Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University  , Pos, City, State, Height, Weight, Grade, University,Grade 
Trent Spurgeon,OT,Owasso,OK,6'7'',260,79,Arizona,,26, NR, NR,2010,Arizona,,,,,,,,,,,
Marquis Flowers,S,Goodyear,AZ,6'2'',195,78,Arizona,,32,51, NR,2010,Arizona,,,,,,,,,,,
Mickey Baucus,OT,Mundelein,IL,6'7'',250,78,Arizona,,28,,,2010,Arizona,,,,,,,,,,,
Tyler Slavin,WR,Corona,CA,6'1'',191,78,Arizona,,52,,,2010,Arizona,,,,,,,,,,,
Kyle Benson,OLB,Tempe,AZ,6'2'',192,78,Arizona,,33,,,2010,Arizona,,,,,,,,,,,
Austin Hill,WR,Corona,CA,6'3'',188,77,Arizona,,,84,58,2010,Arizona,,,,,,,,,,,
Matthew Jakubiec,OT,Anaheim,CA,6'7'',290,77,Arizona,,47,89,61,2010,Arizona,,,,,,,,,,,
Garic Wharton,WR,Las Vegas,NV,5'11'',165,77,Arizona,,77,85, NR,2010,Arizona,,,,,,,,,,,
Jourdon Grandon,ATH,Avondale,AZ,6'0'',180,77,Arizona,,85,,,2010,Arizona,,,,,,,,,,,
Shaquille Richardson,CB,Los Alamitos,CA,6'1'',170,75,Arizona,,73,181,123,2010,Arizona,,,,,,,,,,,
Josh Robbins,ATH,Tucson,AZ,6'3'',195,74,Arizona,,,,,2010,Arizona,,,,,,,,,,,
Sani Fuimaono,DT,Honolulu,HI,6'2'',265,73,Arizona,,134,291, None,2010,Arizona,,,,,,,,,,,
Chase Gorham,ATH,Scottsdale,AZ,6'2'',225,68,Arizona,,269,,,2010,Arizona,,,,,,,,,,,
Jonathan McKnight,CB,River Ridge,LA,6'0'',160,NR,Arizona,,NR,,,2010,Arizona,,,,,,,,,,,
Cameron Allerheiligen,QB,Keller,TX,6'3'',190,NR,Arizona,,,,,2010,Arizona,,,,,,,,,,,
