Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University  , Pos, City, State, Height, Weight, Grade, University,Grade 
Zach Williams,WR,Alpharetta,GA,6'3'',198,,73,Arizona,208,,,2018,Arizona,613,131,,,,,,,,,
Jake Peters,TE-YSanta Margarita,CA,6'4'',236,73,,Arizona,,38,,,2018,Arizona,210,136,,,,,,,,,
Issaiah Johnson,ILB,Los Alamitos,CA,6'2'',220,,73,Arizona,43,,,2018,Arizona,,,,,,,,,,,
McKenzie Barnes,CB,Fresno,CA,6'1'',167,,73,Arizona,120,,,2018,Arizona,216,140,,,,,,,,,
Christian Young,S,Richmond,TX,6'2'',200,,72,Arizona,98,,,2018,Arizona,266,212,,,,,,,,,
Jalen Curry,WR,Houston,TX,6'3'',197,82,Air Force,,26,37,29,2019,Arizona,,,,,,,,,,,
Grant Gunnell,QB,Houston,TX,6'6'',213,80,Air Force,,15,52,39,2019,Arizona,,,,,,,,,,,
Bobby Wolfe,CB,Houston,TX,6'1'',175,78,Air Force,,45,,,2019,Arizona,,,,,,,,,,,
Jaden Mitchell,WR,Las Vegas,NV,5'11'',175,78,Air Force,,,,,2019,Arizona,,,,,,,,,,,
Jamari Williams,OG,Fort Lauderdale,FL,6'3'',295,77,Air Force,,42,364,121,2019,Arizona,,,,,,,,,,,
Jalen Johnson,WR,Corona,CA,6'3'',170,77,Air Force,,111,,,2019,Arizona,,,,,,,,,,,
Kwabena Watson,OLB,Fresno,CA,6'3'',201,77,Air Force,,, None, None,2019,Arizona,,,,,,,,,,,
Josh Donovan,OT,College Station,TX,6'5'',325,76,Air Force,,16,,,2019,Arizona,,,,,,,,,,,
Myles Tapusoa,DT,Salt Lake City,UT,6'2'',320,76,Air Force,,15, None, None,2019,Arizona,,,,,,,,,,,
Jaxen Turner,S,Moreno Valley,CA,6'1'',175,75,Air Force,,74,171,109,2019,Arizona,,,,,,,,,,,
Kane Bradford,DT,Dallas,TX,6'4'',270,75,Air Force,,252,85,186,2019,Arizona,,,,,,,,,,,
Michael Wiley,RB,Houston,TX,5'10'',175,75,Air Force,,, None, None ,2019,Arizona,,,,,,,,,,,
Maurice Gaines,CB,Oakdale,CT,6'2'',185,74,Air Force,,125,155,12,2019,Arizona,,,,,,,,,,,
Chris Roland,ATH,Palmdale,CA,6'0'',185,74,Air Force,,135,,,2019,Arizona,,,,,,,,,,,
Eddie Siaumau,S,Pago Pago,AS,6'1'',210,74,Air Force,,, None, None,2019,Arizona,,,,,,,,,,,
Trevon Mason,DT,Arlington,TX,6'3'',290,74,Air Force,,18, None, None,2019,Arizona,,,,,,,,,,,
Derrion Clark,DE,Dallas,TX,6'0'',237,74,Air Force,,180,286,209,2019,Arizona,,,,,,,,,,,
Jordan Morgan,OT,Tucson,AZ,6'4'',265,73,Air Force,,137,224,35,2019,Arizona,,,,,,,,,,,
Kyle Ostendorp,K,Phoenix,AZ,6'1'',195,72,Air Force,,48,,,2019,Arizona,,,,,,,,,,,
Paiton Fears,OT,Hutchinson,KS,6'5'',325,72,Air Force,,24, None, None,2019,Arizona,,,,,,,,,,,
Will Plummer,QB-PP,Gilbert,AZ,6'1'',205,78,Arizona,,30,89,15,2020,Arizona,,,,,,,,,,,
Frank Brown,RB,Baytown,TX,6'0'',180,76,Arizona,,63,,,2020,Arizona,,,,,,,,,,,
Derick Mourning,OLB,Katy,TX,6'3'',210,76,Arizona,,79,166,122,2020,Arizona,,,,,,,,,,,
Regen Terry,DE,Florence,AZ,6'4'',230,76,Arizona,,91,133,21,2020,Arizona,,,,,,,,,,,
Edric Whitley,CB,Pflugerville,TX,5'11'',160,76,Arizona,,69,,,2020,Arizona,,,,,,,,,,,
Roberto Miranda,TE-H,Berlin,Germany,EUR,6'3'',225,75,Arizona,21,,,2020,Arizona,,,,,,,,,,,
Majon Wright,S,Fort Lauderdale,FL,Cardinal Gibbons High School,6'2'',190,75,Arizona,71,494,162,2020,Arizona,,,,,,,,,,,
Paris Shand,DE,Windsor,CT,Loomis Chaffee School,6'5'',240,75,Arizona,117,152,11,2020,Arizona,,,,,,,,,,,
Jalen John,RB,Lake Oswego,OR,Lakeridge High School,5'11'',206,75,Arizona,81,176,6,2020,Arizona,,,,,,,,,,,
Dyelan Miller,WR,Peoria,AZ,Centennial High School,6'2'',190,74,Arizona,200,,,2020,Arizona,,,,,,,,,,,
Leif Magnuson,OT,Toronto,Ontario,CAN,6'4'',260,74,Arizona,4,9,4,2020,Arizona,,,,,,,,,,,
Dion Wilson,ATH,Vista,CA,Vista High School,6'5'',250,74,Arizona,100,195,110,2020,Arizona,,,,,,,,,,,
Jabar Triplett,OLB,Baton Rouge,LA,Southern University Lab,6'0'',215,74,Arizona,117,,,2020,Arizona,,,,,,,,,,,
Tyler Loop,K,Allen,TX,Lovejoy High School,6'0'',165,74,Arizona,14,265,193,2020,Arizona,,,,,,,,,,,
Shontrail Key,DE,Chicago,IL,Morgan Park High School,6'7'',250,73,Arizona,166,172,32,2020,Arizona,,,,,,,,,,,
Josh Baker,OC,Eureka,MO,Eureka High School,6'3'',280,73,Arizona,14,302,31,2020,Arizona,,,,,,,,,,,
Woody Jean,OG,Deerfield Beach,FL,Deerfield Beach High School,6'4'',270,73,Arizona,122,739,251,2020,Arizona,,,,,,,,,,,
Khary Crump,CB,Culver City,CA,Culver City High School,5'11'',160,73,Arizona,147,257,,2020,Arizona,,,,,,,,,,,
Stacey Marshall,TE-Y (JC),Montgomery,AL,Hutchinson Community College,6'4'',220,70,Arizona,13, None, None,2020,Arizona,,,,,,,,,,,
Aaron Blackwell,DT (TR),Peoria,AZ,University of New Mexico,6'3'',300,TR,Arizona,,,,2020,Arizona,,,,,,,,,,,
Brendan Schooler,WR (TR),Mission Viejo,CA,University of Oregon,6'2'',190,TR,Arizona,,,,2020,Arizona,,,,,,,,,,,
Kevon Garcia,OLB,Houston,TX,6'2'',215,3,76,Arizona,, None, None,2021,Arizona,,,,,,,,,,,
Javione Carr,CB,Arlington,TX,5'10'',165,3,76,Arizona,87,217,162,2021,Arizona,,,,,,,,,,,
James Bohls,RB,San Clemente,CA,6'0'',195,3,75,Arizona,84,141,84,2021,Arizona,,,,,,,,,,,
D.J. Fryar,ILB,Steilacoom,WA,6'3'',210,3,74,Arizona,43,163,16,2021,Arizona,,,,,,,,,,,
Jackson Bailey,OLB,Red Oak,TX,6'1'',220,3,74,Arizona,115,,,2021,Arizona,,,,,,,,,,,
Dalton Johnson,S,Katy,TX,5'10'',180,3,74,Arizona,108,307,236,2021,Arizona,,,,,,,,,,,
Kolbe Cage,OLB,New Orleans,LA,6'0'',200,3,74,Arizona,136,658,45,2021,Arizona,,,,,,,,,,,
Isaiah Taylor,S,Fort Lauderdale,FL,5'11'',195,3,73,Arizona,115,,,2021,Arizona,,,,,,,,,,,
Stevie Rocker,RB,Tucson,AZ,5'11'',185,3,73,Arizona,118,,,2021,Arizona,,,,,,,,,,,
Matthew Weerts,ILB,Batavia,IL,6'2'',215,3,73,Arizona,54,199,38,2021,Arizona,,,,,,,,,,,
Logan Kraut,ATH,Santa Rosa,CA,6'2'',190,3,73,Arizona,141,236,139,2021,Arizona,,,,,,,,,,,
J.T. Hand,OC,Mission Viejo,CA,6'3'',285,3,73,Arizona,16,,,2021,Arizona,,,,,,,,,,,
Luke Eckardt,OT,Richmond,IL,6'7'',265,3,71,Arizona,171,,,2021,Arizona,,,,,,,,,,,
Anthony Simpson,ATH,Bloomfield,CT,5'11'',180,3,71,Arizona,174,250,10,2021,Arizona,,,,,,,,,,,
Jakelyn Morgan,CB,Tyler,TX,6'1'',175,3,70,Arizona,199,452,341,2021,Arizona,,,,,,,,,,,
Tetairoa McMillan,WR,Anaheim,CA,6'4'',195.0,83.0,,,144,,,2022,Arizona,17,11,,,,,,,,,
Rayshon Luke,RB,Bellflower,CA,5'9'',165.0,82.0,,,18,,,2022,Arizona,,,,,,,,,,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,Uncertain,,,,,2022,Arizona,,,,,,,,,,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,64.0,,,,,,2022,Arizona,,,,,,,,,,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,75.0,,,,,,2022,Arizona,,,,,,,,,,,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,55.0,,,,,,2022,Arizona,,,,,,,,,,,
Brett Skene,WR,Denver,CO,6'1'',190.0,78.0,,,,,,2022,Arizona,,,,,,,,,,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,,,,,2022,Arizona,,,,,,,,,,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,64.0,,,,,,2022,Arizona,,,,,,,,,,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,,,,,2022,Arizona,,,,,,,,,,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,69.0,,,,,,2022,Arizona,,,,,,,,,,,
Steve Jones,CB,Kansas City,MO,,,,,,,,,2022,Arizona,,,,,,,,,,,
Chad Gross,K,Suwanee,GA,,,,,,,,,2022,Arizona,,,,,,,,,,,
Brayden Dorman,QB-PP,Colorado Springs,CO,6'5'',195,82,,,11,51,1,2023,Arizona,,,,,,,,,,,Arizona
Leviticus Su'a,ILB,Santa Ana,CA,6'1'',220,80,,,28,,,2023,Arizona,,,,,,,,,,,Arizona
Genesis Smith,S,Chandler,AZ,6'2'',190,80,,,41,77,45,2023,Arizona,,,,,,,,,,,Arizona
Brandon Johnson,RB,Palmdale,CA,5'9'',185,79,,,62,,,2023,Arizona,,,,,,,,,,,Arizona
Malachi Riley,WR,Corona,CA,6'1'',165,79,,,52,82,48,2023,Arizona,,,,,,,,,,,Arizona
Raymond Pulido,OT,Apple Valley,CA,6'6'',325,79,,,56,,,2023,Arizona,,,,,,,,,,,Arizona
Rhino Tapaatoutai,OT,Mission Hills,CA,6'5'',280,78,,,39,96,12,2023,Arizona,,,,,,,,,,,Arizona
Taye Brown,OLB,Chandler,AZ,6'2'',220,78,,,53,98,59,2023,Arizona,,,,,,,,,,,Arizona
Carlos Wilson,ATH,Sacramento,CA,6'0'',165,78,,,66,113,68,2023,Arizona,,,,,,,,,,,Arizona
Emmanuel Karnley,CB,Pittsburg,CA,6'2'',185,78,,,96,324,,2023,Arizona,,,,,,,,,,,Arizona
Devin Hyatt,WR,Bradenton,FL,,175,78,,,59,,,2023,Arizona,,,,,,,,,,,Arizona
Arian Parish,S,Katy,TX,5'11'',170,77,,,76,184,136,2023,Arizona,,,,,,,,,,,Arizona
Canyon Moses,CB,Midland,TX,5'9'',185,77,,,75,130,10,2023,Arizona,,,,,,,,,,,Arizona
Elijha Payne,OT,Las Vegas,NV,6'6'',286,77,,,81,142,1,2023,Arizona,,,,,,,,,,,Arizona
Tylen Gonzalez,OT,Carlsbad,NM,6'5'',250,77,,,120,146,90,2023,Arizona,,,,,,,,,,,Arizona
Nicholas Fernandez,DE,San Pedro,CA,6'4'',255,76,,,33,,,2023,Arizona,,,,,,,,,,,Arizona
Dorian Thomas,TE-H,Kent,WA,6'4'',215,76,,,132,177,5,2023,Arizona,,,,,,,,,,,Arizona
Tristan Davis,DE,Lake Oswego,OR,6'6'',235,76,,,107,180,4,2023,Arizona,,,,,,,,,,,Arizona
Gavin Hunter,ATH,Mililani,HI,6'2'',190,76,,,35,191,117,2023,Arizona,,,,,,,,,,,Arizona
Jackson Holman,TE-H,Mission Viejo,CA,6'4'',200,76,,,139,207,6,2023,Arizona,,,,,,,,,,,Arizona
Julien Savaiinaea,DE,Honolulu,HI,6'3'',240,75,,,146,,,2023,Arizona,,,,,,,,,,,Arizona
Dominic Lolesio,DE,Long Beach,CA,6'3'',230,75,,,3, NR, NR,2023,Arizona,,,,,,,,,,,Arizona
Charles Yates,ATH,Woodland Hills,CA,5'11'',190,74,,,107,269,9,2023,Arizona,,,,,,,,,,,Arizona
Kamuela Kaaihue,OLB,Honolulu,HI,6'2'',210,73,,,10,,,2023,Arizona,,,,,,,,,,,Arizona
Keanu Mailoto,DT (JC),Auburn,WA,6'4'',275,70,,,,,,2023,Arizona,,,,,,,,,,,Arizona
Tyler Manoa,DT (TR),Hayward,CA,,300,TR,,,,,,2023,Arizona,,,,,,,,,,,Arizona
Bill Norton,DT (TR),Memphis,TN,,300,TR,,,,,,2023,Arizona,,,,,,,,,,,Arizona
Justin Flowe,OLB (TR),Chino,CA,,220,TR,,,, None, None,2023,Arizona,,,,,,,,,,,Arizona
Orin Patu,OLB (TR),Seattle,WA,,235,TR,,,,,,2023,Arizona,,,,,,,,,,,Arizona
Jordan Washington,RB,Long Beach,CA,5'10'',165,,81.0,Arizona,16,33,22,2024,Arizona,,,,,,,,,,,
Dylan Tapley,TE,Scottsdale,AZ,6'4'',205,,79.0,Arizona,24,59,9,2024,Arizona,,,,,,,,,,,
Turran Williams,S,Pasadena,CA,6'4'',210,,78.0,Arizona,56,,,2024,Arizona,,,,,,,,,,,
Edukwa Okundaye,DE,Katy,TX,6'3'',220,,77.0,Arizona,173,,,2024,Arizona,,,,,,,,,,,
Brandon Phelps,WR,Gilbert,AZ,6'3'',200,,77.0,Arizona,113,119,21,2024,Arizona,,,,,,,,,,,
Stacy Bey,ILB,Fontana,CA,6'1'',205,,75.0,Arizona,57,197,102,2024,Arizona,,,,,,,,,,,
Matthew Lado,OT,Glendale,AZ,6'5'',260,,75.0,Arizona,140,202,30,2024,Arizona,,,,,,,,,,,
Michael Salgado-Medina,K,Mission Viejo,CA,6'2'',190,,74.0,Arizona,12,,,2024,Arizona,,,,,,,,,,,
Jabari Mann,ATH,San Mateo,CA,6'0'',200,,74.0,Arizona,152,,,2024,Arizona,,,,,,,,,,,
Cyrus Durham,OLB,San Mateo,CA,6'4'',235,,,Arizona,,,,2024,Arizona,,,,,,,,,,,
Johno Price,S,San Mateo,CA,6'2'',175,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
Marquis Brown,S,Huntington Beach,CA,6'3'',200,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
Chubba Maae,DT,Long Beach,CA,6'2'',347,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
Jack Luttrell,S,Flowery Branch,GA,6'0'',180,,,Arizona,,,,2024,Arizona,,,,,,,,,,,
Alexander Doost,OG,Glendale,AZ,6'7'',295,,,Arizona,,,,2024,Arizona,,,,,,,,,,,
Quali Conley,RB,San Jose,CA,5'10'',207,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
Jacory Croskey-Merritt,RB,Albuquerque,NM,5'11'',205,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
Kevon Darton,DT,Syracuse,NY,5'11'',271,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
Tre Smith,DE,San Jose,CA,6'5'',255,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
Ryan Stewart,OG,San Jose,CA,6'4'',295,,,Arizona,,,,2024,Arizona,,,,,,,,,,,
Jarra Anderson,DE,Katy,TX,6'2'',260,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
Chase Kennedy,DE,Dallas,TX,6'3'',231,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
Reymello Murphy,WR,Fremont,CA,6'0'',185,,,Arizona,,,,2024,Arizona,,,,,,,,,,,
Demetrius Freeney,CB,San Leandro,CA,6'0'',190,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
Lance Keneley,DE,Mission Viejo,CA,6'4'',250,,,Arizona,, None, None,2024,Arizona,,,,,,,,,,,
