Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank,School,State_rank  
"Tae Meadows,RB,Roanoke,AL,5'9'',180,76,Troy
Devonte Ross,WR,Cartersville,GA,5'11'',170,74,Troy
Tucker Kilcrease,QB-DT,Brantley,AL,6'1'',185,73,Troy
Blake Matthews,ATH,Bremen,GA,6'2'',200,72,Troy
Matthew Johnson,OT,Marbury,AL,6'4'',280,70,Troy
Luke Hodge,ILB,Oneonta,AL,6'1'',225,70,Troy
Kyler Gibson,OT,Munford,AL,6'4'',280,70,Troy
Nasir Pogue,CB,Auburn,AL,6'2'',175,None,Troy
Daniel King,OT,Milledgeville,GA,None,None,None,Troy
RaJae' Johnson,WR,Saint Louis,MO,6'4'',215,None,Troy
Jeremiah Frazier,OG,Pike Road,AL,None,None,None,Troy
Michael Vice,TE-H,Birmingham,AL,None,None,None,Troy",,,,,,,,,,,,2022,Troy,,,,,
Elijah Philippe,OT,Newark,NJ,6'7'',300,,77.0,,8,,,2023,Troy,Troy Trojans,,,,
Jack Tchienchou,CB,Atlanta,GA,5'10'',175,,76.0,,93,,,2023,Troy,Troy Trojans,,,,
J.D. Sherrod,QB,Pearis, TN,6'1'',200,,73.0,,47,,,2023,Troy,Troy Trojans,,,,
Tyler Bell,OG,Memphis, TN,6'3'',300,,72.0,,118,,,2023,Troy,Troy Trojans,,,,
Ty'Quarius Perry,DT,Birmingham, AL,6'2'',270,,,,,,,2023,Troy,Troy Trojans,,,,
Keyshawn Campbell,ILB,Vero Beach, FL,6'0'',205,,,,,,,2023,Troy,Troy Trojans,,,,
Chris Rodgers,OLB,Corinth, MS,6'2'',210,,,,NR,NR,NR,2023,Troy,Troy Trojans,,,,
Malaki Pegues,DE,Oxford, MS,6'3'',225,,,,NR,NR,NR,2023,Troy,Troy Trojans,,,,
Billy Gilmore,OC,Irvington, AL,6'3'',285,,,,NR,NR,NR,2023,Troy,Troy Trojans,,,,
Jordan Lovett,ATH,Statesboro, GA,5'11'',190,,,,NR,NR,NR,2023,Troy,Troy Trojans,,,,
Luke Harkless,ATH,Montgomery, AL,5'10'',170,,,,,,,2023,Troy,Troy Trojans,,,,
Deshaun Batiste,DE,New Orleans, LA,6'2'',250,,,,,,,2023,Troy,Troy Trojans,,,,
Tim Roberson,CB,Valdosta, GA,6'0'',175,,,,NR,NR,NR,2023,Troy,Troy Trojans,,,,
Colton Walls,ATH,Millbrook, AL,6'3'',225,,,,NR,NR,NR,2023,Troy,Troy Trojans,,,,
Jackson Worley,TE,West Palm Beach, FL,6'4'',225,,,,,,,2023,Troy,Troy Trojans,,,,
Elijah Prather,OG,LaVergne, TN,6'4'',280,,,,,,,2023,Troy,Troy Trojans,,,,
Jackson Thomas,WR,Millbrook, AL,6'2'',185,,,,NR,NR,NR,2023,Troy,Troy Trojans,,,,
Dorian Jackson,S,Wetumpka, AL,6'0'',180,,,,NR,,,2023,Troy,Troy Trojans,,,,
Jamarcus Hamilton,S,Montgomery, AL,5'11'',195,,,,NR,,,2023,Troy,Troy Trojans,,,,
Mykel Johnson,ATH,Enterprise, AL,5'8'',175,,,,NR,NR,NR,2023,Troy,Troy Trojans,,,,
Steven Cattledge,OLB,Columbus, MS,6'4'',220,,,,,,,2023,Troy,Troy Trojans,,,,
Raymond Cutts,DE,Orlando, FL,6'4'',260,,,,NR,NR,NR,2023,Troy,Troy Trojans,,,,
MarKendrick Beall,OG,Tatum, TX,6'4'',340,,,,,,,2023,Troy,Troy Trojans,,,,
Ethan Conner,TE,Columbus, MS,6'4'',225,,,,,,,2023,Troy,Troy Trojans,,,,
T.J. Thompson,OLB,Bolton, MS,6'0'',210,,,,,,,2023,Troy,Troy Trojans,,,,
Boaz Stanley,OG,Milledgeville, GA,6'4'',310,,,,,,,2023,Troy,Troy Trojans,,,,
Chris Lewis,WR,Pleasant Grove, AL,6'4'',202,,,,,,,2023,Troy,Troy Trojans,,,,
Elijah Hall,ATH,Tuskegee,AL,5'10'',180,78.0,,,60,327,,2024,Troy,Troy Trojans,,,,38
Keion Dunlap,S,Enterprise,AL,6'1'',190,77.0,,,404,76,,2024,Troy,Troy Trojans,,,,
Zeriah Beason,WR,Duncanville,TX,6'0'',195,75.0,,,12,,,2024,Troy,Troy Trojans,,,,
Kevin Norwood,DT,Theodore,AL,6'3'',290,75.0,,,626,,,2024,Troy,Troy Trojans,,,,
Trashun Griffin,DE,Centreville,AL,6'3'',245,75.0,,,130,628,,2024,Troy,Troy Trojans,,,,
Kam Weaver,OLB,Andalusia,AL,6'1'',210,74.0,,,102,663,,2024,Troy,Troy Trojans,,,,
Shemar Welch,CB,Mobile,AL,6'0'',170,74.0,,,143,,,2024,Troy,Troy Trojans,,,,
Jywon Boyd,WR,Troy,AL,5'11'',180,74.0,,,190,676,,2024,Troy,Troy Trojans,,,,
Caleb McCreary,QB,Montgomery,AL,5'11'',185,73.0,,,36,,,2024,Troy,Troy Trojans,,,,
Kelvin Beckham,WR,Mobile,AL,5'11'',180,73.0,,,219,,,2024,Troy,Troy Trojans,,,,
Rondell Carter,CB,Charlotte,NC,5'10'',175,72.0,,,191,843,,2024,Troy,Troy Trojans,,,,
Caleb Ash,OT,Fairburn,GA,6'5'',265,,,,,,,2024,Troy,Troy Trojans,,,,
Brian Senter,OG,Jefferson,GA,6'3'',285,,,,NR,,,2024,Troy,Troy Trojans,,,,
Ky McNulty,WR,Bay Minette,AL,6'3'',180,,,,,,,2024,Troy,Troy Trojans,,,,
Jermaine Paramore,DT,Saraland,AL,6'2'',270,,,,,,,2024,Troy,Troy Trojans,,,,
Sharvon Pierre,OG,Jesup,GA,6'3'',250,,,,,,,2024,Troy,Troy Trojans,,,,
