Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank, Reg_rank, State_rank,Year,Team,University,School,Reg_rank,State_rank,City State
Vincent Smith,RB,Pahokee,FL,5'7'',165, ,77,,54,,,2009,Michigan,,Michigan,,,
Mike Jones,S,Orlando,FL,6'3'',202, ,77,,16,,,2009,Michigan,,Michigan,254,98,
Brendan Gibbons,K,West Palm Beach,FL,6'0'',202, ,77,,40,,,2009,Michigan,,Michigan,NR,NR,
Michael Schofield,OT,Orland Park,IL,6'7'',272, ,77,,,,,2009,Michigan,,Michigan,,,
Thomas Gordon,ATH,Detroit,MI,5'11'',199, ,77,,80,,,2009,Michigan,,Michigan,310,118,
Jeremy Gallon,ATH,Apopka,FL,5'8'',165, ,77,,,,,2009,Michigan,,Michigan,,,
Blake Countess,CB,Olney,MD,5'10'',175,5,80,,14,27,4,2011,Michigan,Michigan,,,,
Delonte Hollowell,CB,Detroit,MI,5'9'',166,5,79,,15,14, None,2011,Michigan,Michigan,,,,
Brennen Beyer,DE,Canton,MI,6'4'',220,5,79,,24,16, NR,2011,Michigan,Michigan,,,,
Justice Hayes,RB,Grand Blanc,MI,5'10'',180,5,79,,22,21, NR,2011,Michigan,Michigan,,,,
Chris Rock,DE,Columbus,OH,6'5'',245,5,78,,34,48,19,2011,Michigan,Michigan,,,,
Chris Barnett,TE,Hurst,TX,6'4'',244,5,78,,20,,,2011,Michigan,Michigan,,,,
Antonio Poole,OLB,Cincinnati,OH,6'1'',215,5,78,,41,53,23,2011,Michigan,Michigan,,,,
Tony Posada,OT,Tampa Bay,FL,6'5'',310,5,78,,34,215, NR,2011,Michigan,Michigan,,,,
Desmond Morgan,ILB,Holland,MI,6'1'',225,5,78,,24,,,2011,Michigan,Michigan,,,,
Jack Miller,DT,Toledo,OH,6'3'',265,5,78,,53,,,2011,Michigan,Michigan,,,,
Russell Bellomy,QB,Arlington,TX,6'3'',180,5,78,,35,,,2011,Michigan,Michigan,,,,
Greg Brown,CB,Fremont,OH,5'10'',180,5,77,,35,84,40,2011,Michigan,Michigan,,,,
Chris Bryant,OG,Chicago,IL,6'4'',339,5,77,,37,93, NR,2011,Michigan,Michigan,,,,
Frank Clark,DE,Cleveland,OH,6'3'',210,5,77,,83,101,46,2011,Michigan,Michigan,,,,
Raymon Taylor,ATH,Highland Park,MI,5'10'',175,5,77,,77,95,118,2011,Michigan,Michigan,,,,
Thomas Rawls,RB,Flint,MI,5'10'',215,5,76,,144,84, None,2011,Michigan,Michigan,,,,
Keith Heitzman,DE,Hilliard,OH,6'2'',230,5,75,,157,182,81,2011,Michigan,Michigan,,,,
Tamani Carter,ATH,Pickerington,OH,5'11'',175,5,74,,154,,,2011,Michigan,Michigan,,,,
Matt Wile,K,San Diego,CA,6'1'',200,5,74,,37,236,152,2011,Michigan,Michigan,,,,
Jabrill Peppers,CB,Paramus,NJ,6'1'',205,95.0,,,1,1,1,2014,Michigan,Michigan,,,,
Drake Harris,WR,Grand Rapids,MI,6'3'',172,84.0,,,10,8,3,2014,Michigan,Michigan,,,,
Bryan Mone,DT,Salt Lake City,UT,6'4'',315,84.0,,,7,,,2014,Michigan,Michigan,,,,
Lawrence Marshall,DE,Southfield,MI,6'3'',228,83.0,,,13,10,4,2014,Michigan,Michigan,,,,
Michael Ferns,ILB,Saint Clairsville,OH,6'3'',228,83.0,,,7,,,2014,Michigan,Michigan,,,,
Juwann Bushell-Beatty,OT,Paramus,NJ,6'7'',330,83.0,,,11,,,2014,Michigan,Michigan,,,,
Mason Cole,OG,Tarpon Springs,FL,6'5'',266,83.0,,,10,87,28,2014,Michigan,Michigan,,,,
Ian Bunting,TE-H,Hinsdale,IL,6'6'',223,82.0,,,6,24,8,2014,Michigan,Michigan,,,,
Wilton Speight,QB-Richmond,VA,6'6'',230,82,,Michigan,,13,,,2014,Michigan,,,,,
Maurice Ways,WR,Beverly Hills,MI,6'4'',193,80.0,,,59,,,2014,Michigan,Michigan,,,,
Noah Furbush,ILB,Kenton,OH,6'4'',235,80.0,,,21,53,14,2014,Michigan,Michigan,,,,
Chase Winovich,OLB,Jefferson Hills,PA,6'4'',215,78.0,,,48,,,2014,Michigan,Michigan,,,,
Jared Wangler,OLB,Warren,MI,6'1'',215,77.0,,,71,,,2014,Michigan,Michigan,,,,
Brandon Watson,CB,Elkton,MD,5'11'',179,75.0,,,52,137,22,2014,Michigan,Michigan,,,,
Freddy Canteen,WR,Elkton,MD,6'0'',170,74.0,,,168,161,26,2014,Michigan,Michigan,,,,
Brady Pallante,DT,Naples,FL,6'1'',278,71.0,,,,,,2014,Michigan,Michigan,,,,
Zach Gentry,QB-PP,Albuquerque,NM,6'7'',237,83,Michigan,,9,,,2015,Michigan,,,22,1,
Brian Cole,ATH,Saginaw,MI,6'2'',199,82,Michigan,,11,,,2015,Michigan,,,8,2,
Tyree Kinnel,S,Huber Heights,OH,5'11'',200,81,Michigan,,12,,,2015,Michigan,,,,,
Grant Newsome,OT,McLean,VA,6'7'',290,81,Michigan,,27,,,2015,Michigan,,,,,
Alex Malzone,QB-PP,Bloomfield Hills,MI,6'1'',203,80,Michigan,,,,,2015,Michigan,,,,,
Shelton Johnson,DE,Delray Beach,FL,6'5'',225,79,Michigan,,36,,,2015,Michigan,,,229,75,
T.J. Wheatley Jr.,TE-Y,Buffalo,NY,Canisius High School,6'6'',250,79,,12,,,2015,Michigan,Michigan,,,,
Reuben Jones,DE,Lakeland,FL,6'3'',223,78,Michigan,,58,,,2015,Michigan,,,324,106,
Karan Higdon,RB,Sarasota,FL,5'10'',190,78,Michigan,,78.0,,,2015,Michigan,,,,334.0,
