Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank, Reg_rank, State_rank,Year,Team,University,School,Reg_rank,State_rank,City State
Breeon Ishmail,OLB,Cincinnati,OH,6'5'',200,76.0,,,73,,,2023,Michigan,Michigan,,,,
D'Juan Waller Jr.,S,Youngstown,OH,6'2'',195,76.0,,,14,,,2023,Michigan,Michigan,,142,20,
Adam Samaha,K,New Boston,MI,6'0'',175,75.0,,,,,,2023,Michigan,Michigan,,,,
LaDarius Henderson,OG,Waxahachie,TX,6'5'',310,,,,,,,2023,Michigan,Michigan,,,,
Ernest Hausmann,ILB,Columbus,NE,6'3'',220,,,,,,,2023,Michigan,Michigan,,,,
Drake Nugent,OC,Highlands Ranch,CO,6'1'',300,,,,,,,2023,Michigan,Michigan,,,,
Josaiah Stewart,DE,Everett,MA,6'2'',230,,,,,,,2023,Michigan,Michigan,,,,
Myles Hinton,OT,Johns Creek,GA,6'7'',320,,,,,,,2023,Michigan,Michigan,,,,
Jack Tuttle,QB-PP,San Marcos,CA,6'4'',212,,,,,,,2023,Michigan,Michigan,,,,
A.J. Barner,TE-Y,Aurora,OH,6'6'',252,,,,,,,2023,Michigan,Michigan,,,,
Eyabi Anoma,DE,Baltimore,MD,6'5'',244,,,,,,,2023,Michigan,Michigan,,,,
James Turner,K,Saline,MI,6'0'',200,,,,,,,2023,Michigan,Michigan,,,,
Brady Prieskorn,TE,Rochester Hills,MI,6'6'',220,,84,,1,8,2,2024,Michigan,,Adams High School,,,
Jordan Marshall,RB,Cincinnati,OH,5'11'',195,,84,,7,11,5,2024,Michigan,,Moeller High School,,,
Andrew Sprague,OT,Kansas City,MO,6'8'',295,,83,,16,28,5,2024,Michigan,,Rockhurst High School,,,
Jadyn Davis,QB,Charlotte,NC,6'1'',200,,82,,4,76,6,2024,Michigan,,Providence Day School,,,
Jacob Oden,S,Harper Woods,MI,6'2'',195,,81,,22,26,5,2024,Michigan,,Harper Woods High School,,,
Mason Curtis,OLB,Nashville,TN,6'3'',205,,81,,13,,,2024,Michigan,,The Ensworth School,,,
Lugard Edokpayi,DE,Forestville,MD,6'5'',225,,81,,35,28,7,2024,Michigan,,Bishop McNamara High School,,,
Hogan Hansen,TE,Bellevue,WA,6'6'',220,,81,,17,36,4,2024,Michigan,,Bellevue High School,,,
Blake Frazier,OT,Leander,TX,6'5'',260,,81,,26,,,2024,Michigan,,Vandegrift High School,,,
Luke Hamilton,OT,Avon,OH,6'5'',290,,80,,, None, None,2024,Michigan,,Avon High School,,,
Jo'Ziah Edmond,CB,Nappanee,IN,6'1'',185,,80,,41,49,7,2024,Michigan,,Northwood High School,,,
Owen Wafle,DE,Princeton,NJ,6'3'',270,,80,,43,50,18,2024,Michigan,,The Hun School Of Princeton,,,
Ben Roebuck,OT,Lakewood,OH,6'8'',330,,79,,27,54,12,2024,Michigan,,Saint Edward High School,,,
Deyvid Palepale,DT,Landisville,PA,6'3'',290,,79,,6,213,61,2024,Michigan,,Hempfield High School,,,
Jake Guarnera,OC,Ponte Vedra Beach,FL,6'4'',295,,79,,49,56,17,2024,Michigan,,Ponte Vedra High School,,,
Dominic Nichols,DE,Linganore-Bartonsville,MD,6'5'',255,,79,,36,,,2024,Michigan,,Oakdale High School,,,
Cole Sullivan,OLB,Reading,PA,6'3'',200,,79,,,,,2024,Michigan,,Central Catholic High School,,,
I'Marion Stewart,WR,Bolingbrook,IL,5'11'',185,,79,,,,,2024,Michigan,,Bolingbrook High School,,,
