Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University  ,School
Josh Aladenoye,OG,Mesquite,TX,6'5'',347,76,Oklahoma,,178,,,2009,Oklahoma,,,,
Marcus Trice,CB,Mesquite,TX,5'8'',167,75,Oklahoma,,52,,,2009,Oklahoma,211,NR,,
Jazmon Reynolds,WR,Aldine,TX,6'3'',182,75,Oklahoma,,113,,,2009,Oklahoma,,,,
Drew Allen,QB,San Antonio,TX,6'5'',195,75,Oklahoma,,58,,,2009,Oklahoma,,,,
Demontre Hurst,CB,Lancaster,TX,5'11'',170,75,Oklahoma,,,,,2009,Oklahoma,256, NR,,
Marshall Musil,FB,La Crosse,KS,6'3'',221,74,Oklahoma,,21,,,2009,Oklahoma,,,,
Jarrett Brown,,Arlington,TX,,240,NR,Oklahoma,,,,,2009,Oklahoma,,,,
Cameron Kenney,WR,Dacula,GA,Garden City Community College,6'2'',195,NR,Oklahoma,,,,2009,Oklahoma, NR, NR,,
Jarvis Jones,OT,Rosenberg,TX,Louisiana State University,6'7'',297,TR,Oklahoma,,,,2009,Oklahoma, None, None,,
Jeff Vinson,DT,Scranton,PA,Lackawanna College,6'6'',350,NR,Oklahoma,,,,2009,Oklahoma, None, None,,
Tavaris Jeffries,OT,Memphis,TN,Coahoma Community College,6'5'',320,NR,Oklahoma,NR,,,2009,Oklahoma, NR, NR,,
Lane Johnson,TE,Groveton,TX,Kilgore College,6'7'',252,NR,Oklahoma,,,,2009,Oklahoma, None, None,,
Brandon Williams,RB,Brookshire,TX,6'0'',190,,82,Oklahoma,5,,,2011,Oklahoma,5,5,,
Trey Metoyer,WR,Whitehouse,TX,6'2'',194,,81,Oklahoma,8,,,2011,Oklahoma,,,,
Danzel Williams,ATH,Arlington,TX,5'8'',185,,81,Oklahoma,64,,,2011,Oklahoma,9,9,,
Nathan Hughes,DE,Klein,TX,6'6'',265,,81,Oklahoma,11,,,2011,Oklahoma,,,,
Jordan Wade,DT,Round Rock,TX,6'4'',290,,81,Oklahoma,8,,,2011,Oklahoma,14,13,,
Jordan Phillips,DT,Towanda,KS,6'5'',285,,80,Oklahoma,10,,,2011,Oklahoma,18, None,,
Marquis Anderson,DT,Cibolo,TX,6'2'',260,,80,Oklahoma,15,,,2011,Oklahoma,24,21,,
P.L. Lindley,OLB,Round Rock,TX,6'2'',205,,79,Oklahoma,11,,,2011,Oklahoma,,,,
Kameel Jackson,WR,Arlington,TX,6'0'',195,,79,Oklahoma,39,,,2011,Oklahoma,45,38,,
Max Stevenson,TE,Spring,TX,6'6'',230,,79,Oklahoma,17,,,2011,Oklahoma,49,42,,
Archie Bradley,QB,Broken Arrow,OK,6'3'',215,,79,Oklahoma,19,,,2011,Oklahoma,60, NR,,
Kellen Jones,OLB,Houston,TX,6'1'',210,,79,Oklahoma,35,,,2011,Oklahoma,,,,
Kendal Thompson,QB,Moore,OK,6'2'',175,,78,Oklahoma,22,,,2011,Oklahoma,,,,
Dan Tapko,TE,Kansas City,MO,6'4'',225,,78,Oklahoma,24,,,2011,Oklahoma,90,2,,
Dylan Dismuke,OT,Duncan,OK,6'5'',290,,78,Oklahoma,55,,,2011,Oklahoma," ""114"""," ""NR""",,
Derek Farniok,OT,Volga,SD,6'9'',320,,78,Oklahoma,56,,,2011,Oklahoma,,,,
Nila Kneubuhl,TE,Euless,TX,6'3'',260,,77,Oklahoma,38,,,2011,Oklahoma,126,102,,
Franklin Shannon,S,Dallas,TX,6'0'',202,,77,Oklahoma,48,,,2011,Oklahoma,,,,
Bennett Okotcha,CB,Coppell,TX,5'11'',175,,76,Oklahoma,50,,,2011,Oklahoma,214,166,,
Trey Metoyer,WR,Whitehouse,TX,6'2'',195,81.0,Oklahoma,,,,,2012,Oklahoma, None, None,,
Sterling Shepard,WR,Oklahoma City,OK,5'10'',185,81.0,Oklahoma,,9,,,2012,Oklahoma,,,,
Durron Neal,WR,Saint Louis,MO,6'0'',190,81.0,Oklahoma,,10,,,2012,Oklahoma,12,3,,
Alex Ross,RB,Jenks,OK,6'1'',205,81.0,Oklahoma,,7,,,2012,Oklahoma,13,2,,
Jordan Wade,DT,Round Rock,TX,6'4'',290,81.0,Oklahoma,,,,,2012,Oklahoma,,,,
Derrick Woods,WR,Inglewood,CA,5'11'',185,80.0,Oklahoma,,19,,,2012,Oklahoma,,,,
Ty Darlington,OC,Apopka,FL,6'3'',275,80.0,Oklahoma,,2,,,2012,Oklahoma,67,27,,
John Michael McGee,OG,Texarkana,TX,6'3'',275,80.0,Oklahoma,,12,,,2012,Oklahoma,49,37,,
Taylor McNamara,TE,San Diego,CA,6'5'',230,79.0,Oklahoma,,9,,,2012,Oklahoma,42,32,,
Kyle Marrs,OT,San Antonio,TX,6'6'',317,79.0,Oklahoma,,38,,,2012,Oklahoma,65,51,,
Trevor Knight,QB,San Antonio,TX,6'2'',190,79.0,Oklahoma,,22,,,2012,Oklahoma,67,52,,
Sam Grant,TE,Lakewood,OH,6'5'',230,78.0,Oklahoma,,18,,,2012,Oklahoma,53,25,,
Gary Simon,ATH,Saint Petersburg,FL,6'1'',180,78.0,Oklahoma,,,,,2012,Oklahoma,56,87,,
Michael Onuoha,DE,Edmond,OK,6'6'',230,78.0,Oklahoma,,68,,,2012,Oklahoma,113,7,,
