Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University , Pos, City, State, Height, Weight, Grade, University
Darion Monroe,ATH,Reserve,LA,5'10'',165,,80.0,,19,86,5,2012,Tulane,,,Tulane,,,,,,,
Devon Breaux,ATH,Donaldsonville,LA,5'11'',175,,78.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Walker Van Hooser,WR,Montgomery,AL,6'1'',170,,76.0,,122,,,2012,Tulane,,,Tulane,,,,,,,
Jordan Batiste,SL,Lutcher,LA,5'8'',170,,75.0,,45,,,2012,Tulane,,,Tulane,,,,,,,
Lazedrick Thompson,RB,Laplace,LA,6'0'',205,,74.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Todd Jacquet,OT,New Orleans,LA,6'4'',260,,74.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Calvin Thomas,DT,Chandler,AZ,6'3'',258,,73.0,,143,268,34,2012,Tulane,,,Tulane,,,,,,,
Nathan Shienle,OT,Tampa Bay,FL,6'4'',290,,73.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Christian Eatherley,OT,Kansas City,MO,6'6'',265,,72.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Royce LaFrance,OLB,Harvey,LA,6'1'',210,,72.0,,143,,,2012,Tulane,,,Tulane,,,,,,,
Lorenzo Doss,WR,New Orleans,LA,6'0'',190,,70.0,,234,939,76,2012,Tulane,,,Tulane,,,,,,,
Bobby Bradley,OG,Medford,NJ,6'3'',270,,69.0,,,,,2012,Tulane,,,Tulane,,,,,,,
Joshua Rounds,RB,New Orleans,LA,5'10'',178,,,,,,,2012,Tulane,,,Tulane,,,,,,,
Devin Powell,QB,New Orleans,LA,6'3'',180,,,,,,,2012,Tulane,,,Tulane,,,,,,,
Colton Hanson,OT,New Braunfels,TX,6'6'',285,,,,,,,2012,Tulane,,,Tulane,,,,,,,
Alex Paul,OT,New Orleans,LA,6'5'',310,,,,,,,2012,Tulane,,,Tulane,,,,,,,
Kedrick Banks,WR,New Orleans,LA,5'10'',180,,,,,,,2012,Tulane,,,Tulane,,,,,,,
Christopher Taylor,OG,Zachary,LA,6'2'',315,3,83,Tulane,8,,,2013,Tulane,88,8,,,,,,,,
Kenneth Santa Marina,OT,New Orleans,LA,6'6'',320,4,77,Tulane,52,,,2013,Tulane,,,,,,,,,,
Nick Montana,QB,Concord,CA,6'3'',215,4,76,Tulane,,,,2013,Tulane,,,,,,,,,,
Edward Williams,ILB,New Orleans,LA,6'1'',215,3,73,Tulane,56,,,2013,Tulane,,,,,,,,,,
Sherman Badie,RB,River Ridge,LA,5'10'',190,3,71,Tulane,,,,2013,Tulane,,,,,,,,,,
Jason Stewart,OG,New Orleans,LA,6'5'',320,3,70,Tulane,105,,,2013,Tulane,628,48,,,,,,,,
Tanner Lee,QB,New Orleans,LA,6'3'',191,3,69,Tulane,678,,,2013,Tulane,,,,,,,,,,
Quinlan Carroll,OLB,Belle Chasse,LA,6'1'',207,3,68,Tulane,138,,,2013,Tulane,687,53,,,,,,,,
Richard Allen,CB,River Ridge,LA,5'9'',175,3,68,Tulane,116,,,2013,Tulane,696,55,,,,,,,,
Mike Lizanich,LS,Phoenix,AZ,6'1'',215,3,68,Tulane,2,,,2013,Tulane,297,23,,,,,,,,
Eric Bell,DE,Edgard,LA,6'3'',245,3,67,Tulane,131,,,2013,Tulane,717,57,,,,,,,,
Eldrick Washington III,DE,Harvey,LA,6'2'',245,3,67,Tulane,132,,,2013,Tulane,735,59,,,,,,,,
Luke Jackson,DE,Laplace,LA,6'3'',210,3,64,Tulane,133,,,2013,Tulane,,,,,,,,,,
Nico Marley,OLB,Weston,FL,5'7'',185,3,61,Tulane,777,,,2013,Tulane,167,294,,,,,,,,
Sergio Medina,,Boutte,LA, 5'11'',192,0,0, Tulane,,,,2013,Tulane, NR, NR,,,,,,,,
Tanzel Smart,DT,Baton Rouge,LA,6'1'',285,0,0,Tulane,,,,2013,Tulane,,,,,,,,,,
Jarrod Franklin,S,Baton Rouge,LA,6'0'',195,0,0,Tulane,,,,2013,Tulane, None, None,,,,,,,,
Brandon Godfrey,OG,River Ridge,LA,6'4'',280,0,0,Tulane,,,,2013,Tulane,,,,,,,,,,
Leonard Davis,S,Reserve,LA,6'0'',200,0,0,Tulane,,,,2013,Tulane, None, None,,,,,,,,
Tristan Cooper,WR,Tampa Bay,FL,6'0'',180,0,0,Tulane,,,,2013,Tulane,,,,,,,,,,
Parry Nickerson,CB,Harvey,LA,5'10'',170,0,0,Tulane,,,,2013,Tulane,,,,,,,,,,
Ade Aruna,DE,La Porte,IN,6'6'',230,0,0,Tulane,NR,,,2013,Tulane,,,,,,,,,,
Eric Thomas,ILB,River Ridge,LA,5'9'',225,0,0,Tulane,NR,,,2013,Tulane,,,,,,,,,,
William Townsend,S,Miami,FL,5'11'',190,0,0,Tulane,,,,2013,Tulane, None, None,,,,,,,,
Chris Davenport,DT,Baton Rouge,LA,6'5'',330,0,0,Tulane,,,,2013,Tulane, None, None,,,,,,,,
Deondre Skinner,TE,Reserve,LA,6'3'',225,77.0,,Tulane,,,,2014,Tulane, None, None,,,,,,,,
Niguel Veal,WR,New Orleans,LA,5'11'',175,75.0,,Tulane,146,,,2014,Tulane,,,,,,,,,,
RaeJuan Marbley,OLB,Destrehan,LA,5'11'',222,74.0,,Tulane,,,,2014,Tulane, None, None,,,,,,,,
Andrew Dirocco,K,Fort Lauderdale,FL,6'1'',180,74.0,,Tulane,44,,,2014,Tulane,583,203,,,,,,,,
Daren Williams,DE,East Saint John,LA,6'3'',240,73.0,,Tulane,131,,,2014,Tulane,,,,,,,,,,
Raul Diaz,OC,Miami,FL,6'1'',270,73.0,,Tulane,20,,,2014,Tulane,,,,,,,,,,
Glen Cuiellette,QB-DT,Mandeville,LA,6'1'',205,72.0,,Tulane,,,,2014,Tulane, None, None,,,,,,,,
Peter Woullard,DE,New Orleans,LA,6'3'',240,70.0,,Tulane,145,,,2014,Tulane,749,62,,,,,,,,
Charles Jones,TE-Y,New Orleans,LA,6'4'',240,67.0,,Tulane,55,,,2014,Tulane,793,67,,,,,,,,
Zach Harris,OLB,New Orleans,LA,5'11'',192,,Tulane,,,,,2014,Tulane,,,,,,,,,,
Dontrell Hilliard,RB,Baton Rouge,LA,5'11'',186,,Tulane,,,,,2014,Tulane,,,,,,,,,,
Donald Lewis,CB,Baton Rouge,LA,5'11'',153,,Tulane,,NR,,,2014,Tulane,,,,,,,,,,
Terren Encalade,WR,Belle Chasse,LA,6'0'',179,,Tulane,,,,,2014,Tulane, None, None,,,,,,,,
Kendall Ardoin,TE-H,Ville Platte,LA,6'4'',197,,Tulane,,,,,2014,Tulane, None, None,,,,,,,,
Rene Fleury,OLB,New Orleans,LA,6'1'',170,,Tulane,,NR,,,2014,Tulane,,,,,,,,,,
John Leglue,OT,Alexandria,LA,6'6'',281,,Tulane,,,,,2014,Tulane,,,,,,,,,,
Sean Wilson,DE,Port Sulphur,LA,6'3'',245,,Tulane,,,,,2014,Tulane, None, None,,,,,,,,
Eric Bowie,OLB,Monroe,LA,6'1'',219,,Tulane,,NR,,,2014,Tulane, NR, NR,,,,,,,,
Braynon Edwards,DT,Miami,FL,6'2'',340,,Tulane,,,,,2014,Tulane,,,,,,,,,,
Leondre James,WR,Donaldsonville,LA,5'11'',175,,Tulane,,NR,,,2014,Tulane,,,,,,,,,,
Stephon Lofton,S,New Orleans,LA,5'11'',190,,Tulane,,,,,2014,Tulane, None, None,,,,,,,,
Trey Scott,TE-H,Powder Springs,GA,6'2'',215,,Tulane,,,,,2014,Tulane,,,,,,,,,,
Robert Kennedy,ILB,Belle Chasse,LA,6'0'',225,,Tulane,,NR,,,2014,Tulane, NR, NR,,,,,,,,
Devon Johnson,OT,Amite,LA,6'4'',300,,Tulane,,,,,2014,Tulane, None, None,,,,,,,,
Leeward Brown,OG,Miramar,FL,6'4'',340,78.0,Tulane,,42,,,2015,Tulane,285,93,,,,,,,,
Zach Block,K,Clermont,FL,6'4'',185,74.0,Tulane,,,,,2015,Tulane, None, None,,,,,,,,
Darius Black,S,Belle Chasse,LA,5'11'',175,74.0,Tulane,,102,,,2015,Tulane,595,63,,,,,,,,
Louis Wings,DT,Harvey,LA,6'0'',280,73.0,Tulane,,104,,,2015,Tulane,680,69,,,,,,,,
Chaz Key,ATH,Iowa,LA,5'10'',175,72.0,Tulane,,72,,,2015,Tulane,,,,,,,,,,
Malik Eugene,S,Lafayette,LA,5'10'',164,72.0,Tulane,,128,,,2015,Tulane,,,,,,,,,,
Jeremie Francis,CB,New Orleans,LA,5'11'',165,71.0,Tulane,,,,,2015,Tulane,,,,,,,,,,
Devin Glenn,ATH,New Orleans,LA,5'8'',142,71.0,Tulane,,754,,,2015,Tulane,157,78,,,,,,,,
Keeyon Smart,OG,Baton Rouge,LA,6'4'',300,71.0,Tulane,,155,,,2015,Tulane,770,81,,,,,,,,
Douglas Henry,ATH,New Iberia,LA,6'0'',170,70.0,Tulane,,168,,,2015,Tulane,791,83,,,,,,,,
Brian Webb,DT,New Orleans,LA,6'1'',268,,Tulane,,,,,2015,Tulane, None, None,,,,,,,,
Andrew Hicks,ATH,Belle Chasse,LA,6'3'',194,,Tulane,,,,,2015,Tulane, None, None,,,,,,,,
John Washington,DT,West Monroe,LA,6'3'',290,,Tulane,,NR,,,2015,Tulane,,,,,,,,,,
Nigel Anderson,RB,Reserve,LA,5'10'',195,,Tulane,,,,,2015,Tulane,,,,,,,,,,
Taris Shenall,CB,Marrero,LA,5'10'',165,,Tulane,,NR,,,2015,Tulane,,,,,,,,,,
Dedrick Shy,WR,New Orleans,LA,6'1'',170,,Tulane,,,,,2015,Tulane, None, None,,,,,,,,
Keyshawn McLeod,OT,Port Charlotte,FL,6'5'',250,,Tulane,,NR,,,2015,Tulane, NR, NR,,,,,,,,
Roderic Teamer,S,New Orleans,LA,5'11'',200,,Tulane,,NR,,,2015,Tulane,,,,,,,,,,
Darius Williams,WR,New Orleans,LA,6'2'',195,,Tulane,,,,,2015,Tulane,,,,,,,,,,
Tre Jackson,ATH,Baton Rouge,LA,5'10'',172,80.0,Tulane,,20,142,22,2016,Tulane,,,,,,,,,,
P.J. Hall,CB,Birmingham,AL,5'11'',178,77.0,Tulane,,43,353,27,2016,Tulane,,,,,,,,,,
Jacob Robertson,WR,College Park,GA,6'2'',170,74.0,Tulane,,168,,,2016,Tulane,,,,,,,,,,
Will Harper,S,Tyrone,GA,5'11'',180,73.0,Tulane,,105,,,2016,Tulane,,,,,,,,,,
Coby Neenan,K,Duluth,GA,6'2'',180,72.0,Tulane,,56,580,123,2016,Tulane,,,,,,,,,,
Deion Rainey,DE,Nashville,TN,6'2'',244,71.0,Tulane,,146,,,2016,Tulane,,,,,,,,,,
Kwanzi Jackson,DE,Bradenton,FL,6'3'',224,71.0,Tulane,,151,635,210,2016,Tulane,,,,,,,,,,
Darius Bradwell,QB-DT,Tallahassee,FL,6'1'',216,68.0,Tulane,,,,,2016,Tulane,,,,,,,,,,
D.J. Owens,ATH,Dallas,GA,5'10'',193,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Christopher Johnson,WR,Baton Rouge,LA,6'1'',174,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Aaron Walker,RB,Pinson,AL,5'8'',206,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Tyler Johnson,OT,Stone Mountain,GA,6'4'',248,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Lawrence Graham,OLB,Delray Beach,FL,5'10'',225,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Eric Lewis,CB,Laplace,LA,5'10'',175,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Johnathan Brantley,QB-DT,Houston,TX,6'2'',183,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Chase Napoleon,S,Grand Prairie,TX,5'9'',203,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Jonard Robinson,S,Baton Rouge,LA,6'0'',175,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Jonathan Wilson,DE,Port Sulphur,LA,6'3'',240,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Miles Strickland,RB,Madison,AL,5'10'',180,,Tulane,,NR,,,2016,Tulane,,,,,,,,,,
Sean Harper,OLB,Fayetteville,GA,6'0'',200,,Tulane,,NR,,,2016,Tulane,,,,,,,,,,
Larry Bryant,ATH,Kennesaw,GA,6'1'',195,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Quen Monday,WR,Atlanta,GA,5'11'',165,,Tulane,,,,,2016,Tulane,,,,,,,,,,
Phabion Woodard,OG,Indianola,MS,6'3'',295,,Tulane,,,,,2016,Tulane,,,,,,,,,,
De'Andre Williams,DT,Baton Rouge,LA,6'4'',260,,Tulane,,NR,,,2016,Tulane,,,,,,,,,,
Darnell Mooney,WR,Gadsden,AL,6'1'',170,,Tulane,,,,,2016,Tulane,,,,,,,,,,
K.J. Vault,OLB,Birmingham,AL,6'0'',197,2,72,Tulane,94,614,51,2017,Tulane,,,,,,,,,,
Michael Scott,OLB,Tallahassee,FL,6'3'',228,2,72,Tulane,99,643,246,2017,Tulane,,,,,,,,,,
Quentin Brown,S,Conroe,TX,6'1'',190,0,68,Tulane,123,295,231,2017,Tulane,,,,,,,,,,
Khalil McClain,ATH,Fairburn,GA,6'3'',219,,,Tulane,,,,2017,Tulane,,,,,,,,,,
