Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University , Pos, City, State, Height, Weight, Grade, University
Deajaun McDougle,,,,,,,,,,,,2022,Tulane, None, None,,WR,Deerfield Beach,FL,5'10'',180.0,,Tulane
Lummie Young,,,,,,,,,,,,2022,Tulane,,,,S,Anderson,SC,6'1'',200.0,,Tulane
A.J. Thomas,DE,Zachary,LA,6'2'',230,,78,Tulane,303,,,2023,Tulane,83,22,,,,,,,,
Matthew Fobbs-White,DE,Monroe,LA,6'3'',230,,77,Tulane,94,,,2023,Tulane,329,27,,,,,,,,
Trey Cornist,RB,Cincinnati,OH,5'11'',220,,77,Tulane,65,,,2023,Tulane,88,28,,,,,,,,
Kevin Adams,S,Destrehan,LA,5'10'',180,,76,Tulane,,,,2023,Tulane,81,35,,,,,,,,
Arnold Barnes,RB,New Orleans,LA,5'9'',225,,76,Tulane,483,,,2023,Tulane,78,40,,,,,,,,
Jean Claude Joseph,ILB,Covington,GA,5'11'',215,,76,Tulane,38,,,2023,Tulane,,,,,,,,,,
Jaheim Johnson,S,Hammond,LA,6'0'',180,,76,Tulane,,,,2023,Tulane,92,42,,,,,,,,
Nick Jacobs,CB,New Orleans,LA,6'1'',190,,76,Tulane,116,,,2023,Tulane,501,44,,,,,,,,
Cameron Wire,OT,Gonzales,LA,6'6'',295,,Unkown,Tulane,,,,2023,Tulane,,,,,,,,,,
