Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Jeremiah Edwards,DT,Garland,TX,6'1'',275,,78.0,Kansas,43, None, None,2010,Kansas,,,
Ricki Herod,WR,Mesquite,TX,6'2'',173,,77.0,Kansas,,,,2010,Kansas,,,
Pat Lewandowski,DE,Overland Park,KS,6'5'',240,,77.0,Kansas,NR,,,2010,Kansas,,,
James Sims,RB,Irving,TX,5'11'',190,,77.0,Kansas,, None, None,2010,Kansas,,,
Keeston Terry,ATH,Blue Springs,MO,6'1'',175,,75.0,Kansas,130, None, None,2010,Kansas,,,
Ed Fink,ILB,Belleville,IL,6'3'',210,,75.0,Kansas,38, NR,,2010,Kansas,,,
Brandon Bourbon,RB,Potosi,MO,6'2'',206,,75.0,Kansas,, None, None,2010,Kansas,,,
Jaqwaylin Arps,DE,Denison,TX,6'3'',230,,75.0,Kansas,75, NR, NR,2010,Kansas,,,
Trent Smiley,TE,Frisco,TX,6'3'',225,,75.0,Kansas,44, None, None,2010,Kansas,,,
Jake Farley,ATH,Cedar Falls,IA,6'2'',205,,74.0,Kansas,174, NR, NR,2010,Kansas,,,
Ray Mitchell,S,Irving,TX,6'0'',173,,73.0,Kansas,138, NR, NR,2010,Kansas,,,
Jimmay Mundine,ILB,Denison,TX,6'1'',225,,73.0,Kansas,, None, None,2010,Kansas,,,
Chad Kolumber,OT,Woodberry Forest,VA,6'7'',284,,,Kansas,,,,2010,Kansas,,,
Julius Green,DE,Houston,TX,6'6'',240,,,Kansas,, None, None,2010,Kansas,,,
Andrew Turzilli,WR,Butler,NJ,6'3'',190,,,Kansas,NR,,,2010,Kansas,,,
Brian Maura,WR,Miami,FL,6'3'',185,,,Kansas,NR,,,2010,Kansas,,,
Keba Agostinho,DE,Katy,TX,6'2'',240,,,Kansas,, None, None,2010,Kansas,,,
Quinn Mecham,QB (JC),Provo,UT,6'1'',190,,,Kansas,NR,,,2010,Kansas,,,
