Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,School, Reg_rank, State_rank
Keenan Barnes,WR,Madison,MS,6'4'',190,73.0,,,,,,2015,Louisiana-Lafayette,,,
Carlos Robinson,TE-H,Monroe,LA,6'3'',210,73.0,,,23,,,2015,Louisiana-Lafayette,,,
Joe Dillon,OLB,Tylertown,MS,6'3'',220,72.0,,,127,,,2015,Louisiana-Lafayette,,703,35
Terik Miller,S,Pensacola,FL,6'0'',200,72.0,,,714,,,2015,Louisiana-Lafayette,, None,260
Michael Jacquet III,QB-DT,Beaumont,TX,6'3'',185,72.0,,,,,,2015,Louisiana-Lafayette,,307,244
Kamar Greenhouse,CB,Marksville,LA,6'0'',175,70.0,,,132,,,2015,Louisiana-Lafayette,,775,82
Walter Williams,RB,Vancleave,MS,6'0'',205,70.0,,,182,,,2015,Louisiana-Lafayette,,795,39
Christopher Weaver,QB-DT,Saraland,AL,6'0'',199,68.0,,,,,,2015,Louisiana-Lafayette,, None, None
Jarrod Jackson,WR,Reserve,LA,5'11'',180,67.0,,,234,,,2015,Louisiana-Lafayette,,,
Gary Haynes,CB,Manvel,TX,5'8'',152,,,,,,,2015,Louisiana-Lafayette,,,
Jordan Wright,RB,Pearl,MS,5'11'',198,,,,,,,2015,Louisiana-Lafayette,, None, None
Kevin Dotson,OT,Plaquemine,LA,6'5'',301,,,,,,,2015,Louisiana-Lafayette,, None, None
Delmond Landry,DE,Donaldsonville,LA,6'3'',265,,,,NR,,,2015,Louisiana-Lafayette,,,
Ethan Rose,ATH,Lafayette,LA,5'11'',185,,,,NR,,,2015,Louisiana-Lafayette,, NR, NR
Steven Coutts,K,Brisbane,AUS,6'4'',200,,,,,,,2015,Louisiana-Lafayette,,,
Alonzo Brown,ILB,Magee,MS,6'0'',220,,,,NR,,,2015,Louisiana-Lafayette,, NR, NR
Cole Prudhomme,OG,Eunice,LA,6'3'',280,,,,NR,,,2015,Louisiana-Lafayette,, NR, NR
Ja'Marcus Bradley,ATH,Ackerman,MS,6'1'',180,,,,,,,2015,Louisiana-Lafayette,,,
Robert Hunt,OT,Burkeville,TX,6'5'',315,,,,,,,2015,Louisiana-Lafayette,, None, None
Rico Robinson,OT,Pensacola,FL,6'4'',275,,,,,,,2015,Louisiana-Lafayette,,,
DeQuin Andrews,DT,Wesson,MS,6'3'',305,,,,NR,,,2015,Louisiana-Lafayette,, NR, NR
Savion Brown,S,Shreveport,LA,6'1'',185,,,,,,,2015,Louisiana-Lafayette,,,
Ian Bjuro,OG,Spanish Fort,AL,6'3'',280,,,,,,,2015,Louisiana-Lafayette,, None, None
Christian Goodlett,CB,Lawrenceville,GA,5'11'',185,,,,,,,2015,Louisiana-Lafayette,,,
Dontrel Allen,S,Reserve,LA,6'0'',180,,74.0,Louisiana Ragin' Cajuns,87,,,2016,Louisiana-Lafayette,,500,55
Korey Louis,OLB,Breaux Bridge,LA,6'1'',191,,72.0,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,,
Trey Ragas,RB,Marrero,LA,5'11'',201,,69.0,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,,127,71
Edward Hayes,CB,Coldspring,TX,6'2'',190,,68.0,Louisiana Ragin' Cajuns,,,,2016,Louisiana-Lafayette,, None, None
