Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,University 
Alex Turner,DE,Las Vegas,NV,6'0'',239.0,,,124,,,2010,Stanford,74.0,213,,
Darren Daniel,ATH,Phenix City,AL,6'3'',185.0,,,,,,2010,Stanford,74.0,,,
Cleophus Robinson,OLB,Haddonfield,NJ,6'0'',204.0,,,NR,,,2010,Stanford,,NR,NR,
Joe Hemschoot,OLB,Lakewood,CO,6'0'',191.0,,,,,,2010,Stanford,,,,
Andrus Peat,OT,Tempe,AZ,6'7'',300.0,Stanford,,9th,2,2,2012,Stanford,85,,,
Noor Davis,OLB,Leesburg,FL,6'4'',225.0,Stanford,,2,,,2012,Stanford,83,,,
Kyle Murphy,OT,San Clemente,CA,6'6'',270.0,Stanford,,4,,,2012,Stanford,83,,,
Joshua Garnett,OG,Puyallup,WA,6'5'',285.0,Stanford,,3,10,1,2012,Stanford,82,,,
Barry Sanders,RB,Oklahoma City,OK,5'10'',190.0,Stanford,,9,,,2012,Stanford,81,,,
Alex Carter,ATH,Ashburn,VA,6'1'',190.0,Stanford,,11,14,3,2012,Stanford,80,,,
Aziz Shittu,DT,Atwater,CA,6'2'',275.0,Stanford,,17,27,20,2012,Stanford,80,,,
Nick Davidson,OT,Eden Prairie,MN,6'6'',280.0,Stanford,,6,29,3,2012,Stanford,79,,,
Jordan Watkins,DT,College Park,GA,6'5'',259.0,Stanford,,25,146,34,2012,Stanford,79,,,
Graham Shuler,OT,Brentwood,TN,6'4'',265.0,Stanford,,43,149,5,2012,Stanford,79,,,
Luke Kaumatule,DE,Honolulu,HI,6'7'',242.0,Stanford,,39,,,2012,Stanford,79,,,
Nathanael Lohn,DE,Kansas City,MO,6'3'',265.0,Stanford,,53,98,9,2012,Stanford,78,,,
Brandon Fanaika,OG,Pleasant Grove,UT,6'3'',296.0,Stanford,,40,88,4,2012,Stanford,78,,,
Kodi Whitfield,WR,Los Angeles,CA,6'1'',185.0,Stanford,,99,110,72,2012,Stanford,77,,,
Ikenna Nwafor,DT,Irving,TX,6'4'',300.0,Stanford,,61,159,121,2012,Stanford,77,,,
Blake Martinez,ILB,Tucson,AZ,6'1'',242.0,Stanford,,,,,2012,Stanford,76,,,
Drew Madhu,S,Tampa,FL,6'0'',195.0,Stanford,,,,,2012,Stanford,75,,,
Zach Hoffpauir,S,Peoria,AZ,5'11'',194.0,Stanford,,21,,,2012,Stanford,75,,,
Johnny Caspers,OG,Glen Ellyn,IL,6'3'',270.0,Stanford,,150,93,28,2012,Stanford,75,,,
Michael Rector,WR,Tacoma,WA,6'1'',170.0,Stanford,,, None, None,2012,Stanford,74,,,
Dontonio Jordan,WR,Lake Dallas,TX,5'10'',185.0,Stanford,,180,,,2012,Stanford,74,,,
Conner Crane,WR,Denton,TX,6'3'',185.0,Stanford,,195,,,2012,Stanford,73,,,
Ryan Burns,QB-PP,Ashburn,VA,6'5'',220.0,Stanford Cardinal,,4,,,2013,Stanford,85,10,4,
Greg Taboada,ATH,Atlanta,GA,6'4'',235.0,Stanford Cardinal,,17,,,2013,Stanford,83,,,
Francis Owusu,WR,Westlake Village,CA,6'2'',200.0,Stanford Cardinal,,40,,,2013,Stanford,82,,,
Austin Hooper,DE,Concord,CA,6'5'',245.0,Stanford Cardinal,,,,,2013,Stanford,82,,,
Peter Kalambayi,OLB,Matthews,NC,6'3'',238.0,Stanford Cardinal,,17,,,2013,Stanford,82,,,
Sean Barton,OLB,Woods Cross,UT,6'3'',220.0,Stanford Cardinal,,36,,,2013,Stanford,80,56,3,
Taijuan Thomas,WR,Monroe,LA,5'10'',180.0,Stanford Cardinal,,,,,2013,Stanford,78,,,
Thomas Oser,OT,North Hollywood,CA,6'5'',275.0,Stanford Cardinal,,64,,,2013,Stanford,77,123,87,
Kevin Palma,ATH,Tulare,CA,6'2'',240.0,Stanford Cardinal,,141,,,2013,Stanford,76,,,
Eric Cotton Jr.,TE,Nampa,ID,6'5'',235.0,Stanford Cardinal,,19,,,2013,Stanford,76,154,3,
David Bright,OT,Santa Ana,CA,6'5'',263.0,Stanford Cardinal,,,,,2013,Stanford,75,,,
Mike Tyler,DE,Broadview Heights,OH,6'5'',220.0,Stanford Cardinal,,,,,2013,Stanford,74,,,
Solomon Thomas,DE,Coppell,TX,6'3'',256.0,87,Stanford,4,4,4,2014,Stanford,4,,,
