Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,University  , State_rank 
Bennett Jackson,WR,Hazlet,NJ,6'0'',165,1,77,,77,,,2010,Notre Dame,, NR, NR,Notre Dame  ,
Justin Utupo,DE,Lakewood,CA,6'2'',245,1,77,,80,,,2010,Notre Dame,,117,83,Notre Dame  ,
Tate Nichols,OT,Union,KY,6'6'',230,1,75,,101,,,2010,Notre Dame,,,,Notre Dame  ,
Derek Roback,QB,Waverly,OH,6'3'',221,1,74,,74.0,,,2010,Notre Dame,,,,Notre Dame  ,
Austin Collinsworth,S,Fort Thomas,KY,6'0'',184,1,74,,121,,,2010,Notre Dame,, NR, NR,Notre Dame  ,
Luke Massa,QB,Cincinnati,OH,6'4'',205,1,72,,72,,,2010,Notre Dame,, NR, NR,Notre Dame  ,
Bruce Heggie,DE,Mount Dora,FL,6'4'',234,0,0,,,,,2010,Notre Dame,,,,Notre Dame,
Brandon Wimbush,QB-DT,Jersey City,NJ,6'2'',215,86,Notre Dame,,4,,,2015,Notre Dame,,5,2,,
Alize Jones,TE-Y,Las Vegas,NV,6'5'',220,86,Notre Dame,,1,,,2015,Notre Dame,,10,1,,
Equanimeous St. Brown,WR,Anaheim,CA,6'5'',205,84,Notre Dame,,9,,,2015,Notre Dame,,12,8,,
Dexter Williams,RB,Winter Garden,FL,6'0'',195,84,Notre Dame,,5,,,2015,Notre Dame,,40,16,,
Tristen Hoge,OC,Pocatello,ID,6'5'',291,83,Notre Dame,,1,,,2015,Notre Dame,,,,,
Shaun Crawford,ATH,Lakewood,OH,5'10'',170,82,Notre Dame,,13,,,2015,Notre Dame,,,,,
Jerry Tillery,OT,Shreveport,LA,6'6'',317,81,Notre Dame,,30,,,2015,Notre Dame,,141,14,,
Trevor Ruhland,OG,Cary,IL,6'4'',270,80,Notre Dame,,24,,,2015,Notre Dame,,,,,
Te'Von Coney,OLB,Palm Beach Gardens,FL,6'1'',222,80,Notre Dame,,10,,,2015,Notre Dame,,17,2,,
Josh Barajas,ILB,Merrillville,IN,6'3'',210,80,Notre Dame,,36,,,2015,Notre Dame,,,,,
Miles Boykin,WR,New Lenox,IL,6'4'',212,80,Notre Dame,,23,,,2015,Notre Dame,,,,,
Asmar Bilal,OLB,Indianapolis,IN,6'3'',205,80,Notre Dame,,53,,,2015,Notre Dame,,,,,
C.J. Sanders,WR,Sherman Oaks,CA,5'10'',176,80,Notre Dame,,55,,,2015,Notre Dame,,76,63,,
Jalen Guyton,WR,Allen,TX,6'0'',185,80,Notre Dame,,34,,,2015,Notre Dame,,,,,
Elijah Taylor,DT,Cincinnati,OH,6'3'',275,79,Notre Dame,,31,,,2015,Notre Dame,,50,9,,
Ashton White,CB,Forestville,MD,5'11'',171,79,Notre Dame,,38,,,2015,Notre Dame,,36,10,,
Micah Dew-Treadway,DE,Bolingbrook,IL,6'4'',269,79,Notre Dame,,2,,,2015,Notre Dame,,77,1,,
Justin Yoon,K,Milton,MA,5'11'',183,78,Notre Dame,,44,,,2015,Notre Dame,,,,,
Brandon Tiassum,OG,Indianapolis,IN,6'4'',297,78,Notre Dame,,76,,,2015,Notre Dame,,,,,
Nick Coleman,ATH,Kettering,OH,5'11'',175,78,Notre Dame,,105,,,2015,Notre Dame,,,,,
Josh Adams,RB,Warrington,PA,6'2'',200,77,Notre Dame,,74,,,2015,Notre Dame,,98,10,,
Mykelti Williams,S,Indianapolis,IN,5'11'',193,76,Notre Dame,,,,,2015,Notre Dame,,214,7,,
Nicco Fertitta,S,Las Vegas,NV,5'9'',175,74,Notre Dame,,,,,2015,Notre Dame,,,,,
Derrik Allen,S,Marietta,GA,6'2'',211,5,85,Notre Dame,5,,,2018,Notre Dame,,40,11,,
Kevin Austin,WR,Coconut Creek,FL,6'3'',198,4,84,Notre Dame,14,,,2018,Notre Dame,,43,22,,
Houston Griffith,CB,Bradenton,FL,6'0'',186,4,84,Notre Dame,87,,,2018,Notre Dame,,44,23,,
Phil Jurkovec,QB-PP,Gibsonia,PA,6'6'',202,4,84,Notre Dame,9,,,2018,Notre Dame,,,,,
Shayne Simon,S,Jersey City,NJ,6'3'',210,4,83,Notre Dame,10,,,2018,Notre Dame,,16,4,,
Lawrence Keys,WR,New Orleans,LA,5'11'',160,3,83,Notre Dame,150,,,2018,Notre Dame,,73,4,,
George Takacs,TE-Y,Naples,FL,6'7'',237,4,82,Notre Dame,5,,,2018,Notre Dame,,,,,
Jack Lamb,OLB,Temecula,CA,6'4'',211,4,82,Notre Dame,5,,,2018,Notre Dame,,,,,
D.J. Brown,CB,Washington,DC,6'1'',183,3,82,Notre Dame,225th,,,2018,Notre Dame,,27,1,,
Jayson Ademilola,DT,Jersey City,NJ,6'3'',290,3,81,Notre Dame,16,,,2018,Notre Dame,,28,5,,
Braden Lenzy,ATH,Tigard,OR,6'0'',174,3,81,Notre Dame,22,,,2018,Notre Dame,,48,3,,
Micah Jones,WR,Gurnee,IL,6'6'',202,3,80,Notre Dame,69,,,2018,Notre Dame,,,,,
Jarrett Patterson,OT,Mission Viejo,CA,6'5'',267,3,80,Notre Dame,27,,,2018,Notre Dame,,69,48,,
Matthew Bauer,ILB,Erie,PA,6'3'',205,3,80,Notre Dame,14,,,2018,Notre Dame,,,,,
Joseph Wilkins Jr.,WR,North Fort Myers,FL,6'1'',178,3,80,Notre Dame,83,,,2018,Notre Dame,,,,,
Cole Mabry,OT,Brentwood,TN,6'5'',270,3,79,Notre Dame,41,,,2018,Notre Dame,,242,17,,
Tommy Tremble,TE-H,Norcross,GA,6'4'',225,3,79,Notre Dame,10,,,2018,Notre Dame,,,,,
Justin Ademilola,OLB,Jersey City,NJ,6'2'',243,3,78,Notre Dame,30,,,2018,Notre Dame,,69,13,,
John Dirksen,OT,Marion,OH,6'5'',300,3,78,Notre Dame,54,,,2018,Notre Dame,,51,25,,
Tariq Bracy,ATH,Milpitas,CA,5'11'',156,3,78,Notre Dame,51,,,2018,Notre Dame,,99,65,,
Luke Jones,OT,Little Rock,AR,6'5'',290,3,78,Notre Dame,57,,,2018,Notre Dame,,299,5,,
Ja'Mion Franklin,DT,Ridgely,MD,6'3'',306,3,78,Notre Dame,38,,,2018,Notre Dame,,,,,
Jahmir Smith,RB,Sanford,NC,5'10'',198,3,77,Notre Dame,56,,,2018,Notre Dame,,78,20,,
Ovie Oghoufo,OLB,Farmington Hills,MI,6'4'',210,3,77,Notre Dame,8,,,2018,Notre Dame,,93,8,,
Paul Moala,S,Mishawaka,IN,6'0'',202,3,76,Notre Dame,129,,,2018,Notre Dame,,,,,
Noah Boykin,S,Washington,DC,6'1'',168,3,75,Notre Dame,,,,2018,Notre Dame,,,,,
C'borius Flemister,RB,Zebulon,GA,6'0'',192,3,73,Notre Dame,,,,2018,Notre Dame,,,,,
Jacob Lacey,DT,Bowling Green,KY,6'3'',287,84,Notre Dame,,13,,,2019,Notre Dame,,58,1,,
