Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,University  , State_rank 
Bryce Young,DE,Charlotte,NC,6'5'',245,84.0,,Notre Dame,14,,,2024,Notre Dame,,,,,
Guerby Lambert,OT,West Roxbury,MA,6'6'',285,84.0,,Notre Dame,9,,,2024,Notre Dame,,,,,
Kedren Young,RB,Lufkin,TX,5'11'',210,83.0,,Notre Dame,10,,,2024,Notre Dame,,,,,
Loghan Thomas,DE,Lakewood,OH,6'4'',215,81.0,,Notre Dame,31,,,2024,Notre Dame,,,,,
Micah Gilbert,WR,Charlotte,NC,6'2'',210,81.0,,Notre Dame,35,,,2024,Notre Dame,,,,,
Brauntae Johnson,ATH,Fort Wayne,IN,6'3'',175,81.0,,Notre Dame,17,,,2024,Notre Dame,,,,,
Styles Prescod,OT,Fishers,IN,6'6'',280,80.0,,Notre Dame,31,,,2024,Notre Dame,,,,,
Aneyas Williams,RB,Hannibal,MO,5'10'',195,80.0,,Notre Dame,26,64,7,2024,Notre Dame,,,,,
Peter Jones,OT,Malvern,PA,6'5'',290,80.0,,Notre Dame,33,,,2024,Notre Dame,,,,,
Jack Larsen,TE-H,Charlotte,NC,6'4'',225,80.0,,Notre Dame,19,181,10,2024,Notre Dame,,,,,
Anthonie Knapp,OT,Roswell,GA,6'4'',260,78.0,,Notre Dame,64,,,2024,Notre Dame,,,,,
Cole Mullins,DE,Hoschton,GA,6'4'',240,78.0,,Notre Dame,64,274,75,2024,Notre Dame,,,,,
Leonard Moore,CB,Round Rock,TX,6'2'',175,78.0,,Notre Dame,54,,,2024,Notre Dame,,,,,
Karson Hobbs,CB,Cincinnati,OH,6'1'',180,78.0,,Notre Dame,55,69,23,2024,Notre Dame,,,,,
Sean Sevillano Jr.,DT,Clearwater,FL,6'2'',310,78.0,,Notre Dame,48,307,92,2024,Notre Dame,,,,,
Bodie Kahoun,ILB,Roanoke,VA,6'2'',215,78.0,,Notre Dame,29,87,13,2024,Notre Dame,,,,,
Teddy Rezac,OLB,Omaha,NE,6'4'',200,77.0,,Notre Dame,57,,,2024,Notre Dame,,,,,
Logan Saldate,WR,Salinas,CA,6'0'',185,77.0,,Notre Dame,106,108,61,2024,Notre Dame,,,,,
Taebron Bennie-Powell,S,West Chester,OH,6'1'',185,77.0,,Notre Dame,95,,,2024,Notre Dame,,,,,
Kennedy Urlacher,S,Chandler,AZ,6'1'',180,76.0,,Notre Dame,113,,,2024,Notre Dame,,,,,
Kris Mitchell,WR (TR),Jacksonville,FL,6'1'',175,,,Notre Dame,,,,2024,Notre Dame,,,,,
Beaux Collins,WR (TR),Los Angeles,CA,6'3'',210,,,Notre Dame,,,,2024,Notre Dame,,,,,
Jordan Clark,CB (TR),Baton Rouge,LA,5'10'',185,,,Notre Dame,,,,2024,Notre Dame,,,,,
Riley Leonard,QB-DT (TR),Fairhope,AL,6'4'',212,,,Notre Dame,,,,2024,Notre Dame,,,,,
R.J. Oben,DE (TR),Glen Ridge,NJ,6'4'',260,,,Notre Dame,,,,2024,Notre Dame,,,,,
Jayden Harrison,WR (TR),Antioch,TN,5'11'',195,,,Notre Dame,,,,2024,Notre Dame,,,,,
Rod Heard,CB (TR),Farmington Hills,MI,5'11'',190,,78.0,Notre Dame,,,,2024,Notre Dame,,,,,
Max Hurleman,RB (TR),Wyomissing,PA,6'0'',200,,78.0,Notre Dame,,,,2024,Notre Dame,,,,,
