Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University 
Hunter Anthony,OT,Tuttle,OK,6'6'',325,,Nebraska,,,,,2022,Nebraska,,,
Omar Brown,CB,Minneapolis,MN,6'1'',190,,Nebraska,,,,,2022,Nebraska,,,
Cameron Lenhardt,DE,Bradenton,FL,6'3'',250,83.0,,Nebraska,17,,,2023,Nebraska,72,34,
Malachi Coleman,ATH,Lincoln,NE,6'5'',200,83.0,,Nebraska,155th,,,2023,Nebraska,38,1,
Ethan Nation,CB,Roswell,GA,5'11'',165,82.0,,Nebraska,20,,,2023,Nebraska,88,12,
Princewill Umanmielen,DE,Manor,TX,6'4'',225,81.0,,Nebraska,39,,,2023,Nebraska,,,
Riley Van Poppel,DT,Argyle,TX,6'4'',275,80.0,,Nebraska,24,,,2023,Nebraska,96,76,
Vincent Carroll-Jackson,DT,Harrisburg,PA,6'4'',285,79.0,,Nebraska,32,,,2023,Nebraska,51,12,
Rahmir Stewart,S,Philadelphia,PA,6'0'',195,79.0,,Nebraska,44,,,2023,Nebraska,,,
Gunnar Gottula,OT,Lincoln,NE,6'5'',280,78.0,,Nebraska,58,,,2023,Nebraska,,,
Demitrius Bell,WR,Nashville,TN,6'1'',175,78.0,,Nebraska,85,,,2023,Nebraska,293,23,
Kwinten Ives,ATH,Palmyra,NJ,6'2'',185,78.0,,Nebraska,54,,,2023,Nebraska,73,15,
Sam Sledge,OG,Omaha,NE,6'3'',270,78.0,,Nebraska,42,,,2023,Nebraska,,,
Brice Turner,WR,Bay City,TX,6'2'',180,78.0,,Nebraska,90,,,2023,Nebraska,155,115,
D'Andre Barnes,ATH,Aurora,CO,6'1'',175,78.0,,Nebraska,107,,,2023,Nebraska,,,
Jaylen Lloyd,WR,Omaha,NE,5'10'',165,77.0,,Nebraska,104,,,2023,Nebraska,208,9,
Maverick Noonan,DE,Elkhorn,NE,6'4'',225,77.0,,Nebraska,125,,,2023,Nebraska,211,18,
Jaidyn Doss,WR,Peculiar,MO,6'0'',195,77.0,,Nebraska,31,,,2023,Nebraska,,,
Ismael Smith Flores,TE-H,Arlington,TX,6'5'',215,76.0,,Nebraska,91,,,2023,Nebraska,238,10,
Brock Knutson,OT,Scottsbluff,NE,6'6'',270,76.0,,Nebraska,76,,,2023,Nebraska,,,
Eric Fields,OLB,Ardmore,OK,6'2'',195,76.0,,Nebraska,114,,,2023,Nebraska,,,
Dwight Bootle II,CB,Miami,FL,5'10'',170,76.0,,Nebraska,,,,2023,Nebraska,,,
Syncere Safeeullah,CB,Bradenton,FL,6'2'',170,75.0,,Nebraska,184,,,2023,Nebraska,,,
Jeremiah Charles,WR,Arlington,TX,6'3'',175,75.0,,Nebraska,106,,,2023,Nebraska,,,
Mason Goldman,OT,Gretna,NE,6'5'',260,75.0,,Nebraska,6,,,2023,Nebraska,,,
Tristan Alvano,K,Omaha,NE,6'2'',185,75.0,,Nebraska,95,,,2023,Nebraska,,,
Sua Lefotu,DT,Bellflower,CA,6'3'',280,74.0,,Nebraska,56,,,2023,Nebraska,,,
Dylan Rogers,ILB,Cypress,TX,6'2'',225,74.0,,Nebraska,101,,,2023,Nebraska,,,
Jason Maciejczak,OG,Pierre,SD,6'4'',320,73.0,,Nebraska,6,,,2023,Nebraska, None, None,
Kai Wallin,DE,Sacramento,CA,6'6'',240,71.0,,Nebraska,,,,2023,Nebraska,,,
Elijah Jeudy,DT,Philadelphia,PA,6'3'',295,,,Nebraska,,,,2023,Nebraska,,,
Marco Ortiz,LS,Richmond,VA,6'4'',265,,,Nebraska,,,,2023,Nebraska, None, None,
Corey Collier Jr.,CB,Miami,FL,6'1'',179,,,Nebraska,,,,2023,Nebraska, None, None,
Jeff Sims,QB,Jacksonville,FL,6'4'',219,,,Nebraska,,,,2023,Nebraska, None, None,
Chief Borders,OLB,Powder Springs,GA,6'4'',241,,,Nebraska,,,,2023,Nebraska,,,
Josh Fleeks,WR,Dallas,TX,5'10'',190,,,Nebraska,,,,2023,Nebraska,,,
Billy Kemp IV,WR,Highland Springs,VA,5'9'',172,,,Nebraska,,,,2023,Nebraska, None, None,
M.J. Sherman,ILB,Washington,DC,6'2'',235,,,Nebraska,,,,2023,Nebraska, None, None,
Arik Gilbert,TE-Y,Marietta,GA,6'5'',255,,,Nebraska,,,,2023,Nebraska, None, None,
Jacob Hood,OT,Nashville,TN,6'8'',350,,,Nebraska,,,,2023,Nebraska, None, None,
Caden Becker,QB,Omaha,NE,6'4'',220,,,Nebraska,,,,2023,Nebraska,,,
Barret Liedbentritt,FB,Omaha,NE,6'0'',235,,,Nebraska,,,,2023,Nebraska, None, None,
Tyler Knaak,OT,Salt Lake City,UT,6'7'',300,,,Nebraska,,,,2023,Nebraska,,,
Dylan Raiola,QB-PP,Buford,GA,6'3'',220.0,,90,Nebraska,11,8,1,2024,Nebraska,,,
Grant Brix,OT,Logan,IA,6'6'',275.0,,84,Nebraska,8,,,2024,Nebraska,,,
Carter Nelson,TE-H,Ainsworth,NE,6'4'',210.0,,83,Nebraska,8,,,2024,Nebraska,,,
Preston Taumua,OG,Aiea,HI,6'5'',315.0,,82,Nebraska,8,,,2024,Nebraska,,,
Roger Gradney,ATH,Houston,TX,6'1'',190.0,,80,Nebraska,28,,,2024,Nebraska,,,
Xander Ruggeroli,OT,Las Vegas,NV,6'7'',290.0,,80,Nebraska,37,,,2024,Nebraska,,,
Dae'vonn Hall,WR,Bellevue,NE,6'2'',190.0,,80,Nebraska,38,,,2024,Nebraska,,,
Mario Buford,CB,DeSoto,TX,6'0'',165.0,,80,Nebraska,33,207,60,2024,Nebraska,,,
Willis McGahee IV,OLB,Miami,FL,6'2'',225.0,,79,Nebraska,61,94,3,2024,Nebraska,,,
Isaiah McMorris,WR,Bellevue,NE,5'10'',170.0,,79,Nebraska,53,,,2024,Nebraska,,,
Gibson Pyle,OT,Houston,TX,6'5'',285.0,,79,Nebraska,9,,,2024,Nebraska,,,
Caleb Benning,S,Omaha,NE,6'0'',185.0,,78,Nebraska,45,269,17,2024,Nebraska,,,
Evan Taylor,ATH,Waxhaw,NC,6'3'',180.0,,78,Nebraska,25,,,2024,Nebraska,,,
Daniel Kaelin,QB-PP,Bellevue,NE,6'3'',210.0,,78,Nebraska,49,,,2024,Nebraska,,,
Vincent Shavers,OLB,Miami,FL,6'0'',210.0,,78,Nebraska,97,92,1,2024,Nebraska,,,
Quinn Clark,WR,Bozeman,MT,6'5'',195.0,,78,Nebraska,62,,,2024,Nebraska,,,
Jacory Barney Jr,ATH,Miami,FL,6'0'',165.0,,78,Nebraska,,,,2024,Nebraska,,,
Larry Tarver Jr,CB,Miami,FL,5'11'',170.0,,77,Nebraska,66,100,25,2024,Nebraska,,,
Kahmir Prescott,S,Philadelphia,PA,6'1'',190.0,,77,Nebraska,86,115,20,2024,Nebraska,,,
Keona Wilhite,DE,Tucson,AZ,6'4'',235.0,,77,Nebraska,88,185,8,2024,Nebraska,,,
Ashton Murphy,OT,Elkhorn,NE,6'5'',250.0,,77,Nebraska,16,,,2024,Nebraska,,,
Ian Flynt,TE-Y,Katy,TX,6'4'',250.0,,77,Nebraska,96,,,2024,Nebraska,,,
Landen Davidson,OT,Broomfield,CO,6'4'',305.0,,77,Nebraska,39,,,2024,Nebraska,,,
Keelan Smith,TE-H,Liberty,MO,6'3'',210.0,,77,Nebraska,,,,2024,Nebraska,,,
Jake Peters,OG,Cedar Falls,IA,6'3'',260.0,,76,Nebraska,5,,,2024,Nebraska,,,
Rex Guthrie,S,Littleton,CO,6'0'',200.0,,76,Nebraska,123,,,2024,Nebraska,,,
Amare Sanders,CB,Miami,FL,6'1'',170.0,,76,Nebraska,137,,,2024,Nebraska,,,
Donovan Jones,S,Omaha,NE,6'0'',185.0,,75,Nebraska,42,,,2024,Nebraska,,,
Eric Ingwerson,TE-Y,Papillion,NE,6'7'',235.0,,74,Nebraska,112,352,270,2024,Nebraska,,,
Braylen Prude,OLB,Pearland,TX,6'3'',190.0,,74,Nebraska,,,,2024,Nebraska,,,
Kamdyn Koch,K,Westminster,MD,6'2'',190.0,,73,Nebraska,,,,2024,Nebraska,,,
Jahmal Banks,WR,Bethesda,MD,6'4'',205.0,,TR,Nebraska,,,,2024,Nebraska,,,
Blye Hill,CB,Waldorf,MD,6'3'',165.0,,TR,Nebraska,,,,2024,Nebraska,,,
Isaiah Neyor,WR,Fort Worth,TX,6'3'',215.0,,TR,Nebraska,,,,2024,Nebraska,,,
Dante Dowdell,RB,Picayune,MS,6'2'',210.0,,TR,Nebraska,,,,2024,Nebraska,,,
Micah Mazzccua,OG,Philadelphia,PA,6'5'',325.0,,TR,Nebraska,,,,2024,Nebraska,,,
Stefon Thompson,ILB,Charlotte,NC,6'1'',248.0,,TR,Nebraska,,,,2024,Nebraska,,,
Vince Genatone,OLB,North Platte,NE,6'1'',218.0,,TR,Nebraska,,,,2024,Nebraska,,,
