Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University 
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,,55.0,Nebraska ,,,,2010,Nebraska,,,
Brett Skene,WR,Denver,CO,6'1'',190.0,,78.0,Nebraska ,,,,2010,Nebraska,,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,Nebraska ,,,,2010,Nebraska,,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,,64.0,Nebraska ,,,,2010,Nebraska,,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,Nebraska ,,,,2010,Nebraska,,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,,69.0,Nebraska ,,,,2010,Nebraska,,,
Steve Jones,CB,Kansas City,MO,,,,,Nebraska ,,,,2010,Nebraska,,,
Chad Gross,K,Suwanee,GA,,,,,Nebraska ,,,,2010,Nebraska,,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,,Nebraska ,,,,2010,Nebraska,,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,,64.0,Nebraska ,,,,2010,Nebraska,,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,,75.0,Nebraska ,,,,2010,Nebraska,,,
Aaron Green,RB,San Antonio,TX,5'11'',180,5,85,Nebraska,11,,,2011,Nebraska,2,2,
Jamal Turner,ATH,Arlington,TX,6'1'',175,5,81,Nebraska,6,,,2011,Nebraska,,,
Charles Jackson,CB,Klein,TX,5'11'',180,5,81,Nebraska,5,,,2011,Nebraska,16,15,
Bubba Starling,QB,Gardner,KS,6'5'',195,5,81,Nebraska,,,,2011,Nebraska,,,
Ryne Reeves,OC,Crete,NE,6'3'',287,2,79,Nebraska,2,,,2011,Nebraska,37, None,
Kevin Williams,DT,Holland,OH,6'2'',270,20,79,Nebraska,20,,,2011,Nebraska,20,8,
Todd Peat Jr.,DT,Tempe,AZ,6'3'',295,24,79,Nebraska,24,,,2011,Nebraska,34,5,
David Santos,OLB,Klein,TX,6'0'',195,33,79,Nebraska,33,,,2011,Nebraska,,,
Mauro Bondi,K,Boca Raton,FL,6'1'',190,8,79,Nebraska,8,,,2011,Nebraska,,,
Tyler Moore,OT,Clearwater,FL,6'6'',299,29,78,Nebraska,,,,2011,Nebraska, None, None,
Zach Sterup,OT,Hastings,NE,6'8'',270,32,78,Nebraska,32,,,2011,Nebraska,78, NR,
Ryan Klachko,OG,Springfield,IL,6'3'',280,28,78,Nebraska,28,,,2011,Nebraska,,,
Max Pirman,OLB,Orrville,OH,6'4'',215,50,78,Nebraska,50,,,2011,Nebraska,65,30,
Givens Price,OG,Houston,TX,6'4'',275,64,75,Nebraska,64,,,2011,Nebraska,235,180,
Taariq Allen,WR,Roxbury,MA,6'2'',180,127,75,Nebraska,127,,,2011,Nebraska,206, None,
Daniel Davie,ATH,Beatrice,NE,6'0'',185,141,75,Nebraska,141,,,2011,Nebraska,274, NR,
Ameer Abdullah,RB,Homewood,AL,5'8'',170,128,74,Nebraska,128,,,2011,Nebraska,,,
David Sutton,TE,Lincoln,NE,6'3'',250,-,NR,Nebraska,109,,,2011,Nebraska, None, None,
Joseph Carter,DE (JC),Aiken,SC,-,-,-,NR,Nebraska,,,,2011,Nebraska,,,
Daimion Stafford,S (JC),Norco,CA,-,-,-,NR,Nebraska,,,,2011,Nebraska, None, None,
Michael Rose,ILB,Kansas City,MO,6'0'',225,,80,Nebraska,4,,,2012,Nebraska,28,4,
Jared Afalava,OLB,South Jordan,UT,6'3'',220,,79,Nebraska,23,,,2012,Nebraska,38,1,
Randy Gregory,DE,Fishers,IN,6'5'',235,84,Nebraska,,1,,,2013,Nebraska, None,2,
Johnny Stanton,QB,Rancho Santa Margarita,CA,6'2'',221,82,Nebraska,,10,,,2013,Nebraska,,,
Tre'vell Dixon,ATH,Baldwin,LA,6'0'',185,82,Nebraska,,19,,,2013,Nebraska,,,
Marcus Newby,OLB,Gaithersburg,MD,6'1'',210,82,Nebraska,,23,,,2013,Nebraska,52,1,
Josh Banderas,OLB,Lincoln,NE,6'2'',220,81,Nebraska,,30,,,2013,Nebraska,,,
Courtney Love,OLB,Youngstown,OH,6'1'',225,81,Nebraska,,31,,,2013,Nebraska,,,
Terrell Newby II,RB,West Hills,CA,5'9'',185,81,Nebraska,,35,,,2013,Nebraska,66,58,
Adam Taylor,RB,Katy,TX,6'1'',200,80,Nebraska,,1.0,,,2013,Nebraska, None, None,
David Knevel,OT,Brantford,ON,CAN,6'8'',274,80,Nebraska,,,,2013,Nebraska, None, None,
D.J. Singleton,S,Jersey City,NJ,6'2'',205,80,Nebraska,,38,,,2013,Nebraska,85,8,
Maliek Collins,DT,Kansas City,MO,6'2'',285,79,Nebraska,,42,,,2013,Nebraska,95,77,
Dwayne Johnson,OT,Houston,TX,6'6'',275,78,Nebraska,,48,,,2013,Nebraska,117,11,
Zach Hannon,OT,Kansas City,MO,6'4'',295,77,Nebraska,,58,,,2013,Nebraska,,,
A.J. Natter,DE,Milton,WI,6'5'',235,77,Nebraska,,16,,,2013,Nebraska,105,47,
Greg Hart,TE,Kettering,OH,6'4'',225,76,Nebraska,,,,,2013,Nebraska, None, None,
Matt Finnin,OT,Crete,IL,6'7'',315,76,Nebraska,,,,,2013,Nebraska,,,
Nathan Gerry,ATH,Sioux Falls,SD,6'2'',205,76,Nebraska,,137,,,2013,Nebraska,126,58,
Kevin Gladney,WR,Akron,OH,6'1'',185,75,Nebraska,,,,,2013,Nebraska,,,
Chongo Kondolo,OT,Fresno,CA,6'4'',290,75,Nebraska,,72,,,2013,Nebraska,200,155,
