Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Devin Lucien,WR,Northridge,CA,6'1'',190.0,,78,UCLA,63,,,2011,UCLA,57,40,,,,,,,,
Ben Wysocki,OG,Los Alamitos,CA,6'4'',281.0,,77,UCLA,40,,,2011,UCLA,,,,,,,,,,
Jacob Brendel,OG,Plano,TX,6'3'',265.0,,77,UCLA,46,,,2011,UCLA,,,,,,,,,,
Brandon Tuliaupupu,DT,Claremont,CA,6'1'',296.0,,77,UCLA,77,,,2011,UCLA,116,78,,,,,,,,
Sam Tai,DE,Henderson,NV,6'4'',235.0,,76,UCLA,126,,,2011,UCLA,,,,,,,,,,
Aaron Wallace Jr.,OLB,San Diego,CA,6'3'',213.0,,75,UCLA,,,,2011,UCLA,,,,,,,,,,
Torian White,OT,Lakewood,CA,6'5'',275.0,,75,UCLA,110,,,2011,UCLA,165,111,,,,,,,,
Steven Manfro,RB,Valencia,CA,5'9'',182.0,,74,UCLA,133,,,2011,UCLA,205,133,,,,,,,,
Mike Orloff,ATH,Danvers,MA,6'2'',210.0,,70,UCLA,224,,,2011,UCLA,324,,,,,,,,,
Raymond Nelson,TE,Modesto,CA,6'5'',230.0,,,UCLA,109,,,2011,UCLA,,,,,,,,,,
Will Oliver,OT,Brentwood,CA,6'7'',270.0,,,UCLA,216,,,2011,UCLA,,,,,,,,,,
Conor McDermott,OT,Nashville,TN,6'7'',245.0,,,UCLA,216,,,2011,UCLA,,,,,,,,,,
Anthony Thompson,CB,Montreal,QC,6'1'',210.0,,,UCLA,128,,,2011,UCLA,,,,,,,,,,
Ryan Hofmeister,OLB,Murrieta,CA,,,,UCLA,,NR,,,2011,UCLA,,,,,,,,,,
Albert Cid,OG,West Covina,CA,6'3'',325.0,,,UCLA,,,,2011,UCLA,,,,,,,,,,
Priest Willis,S,Tempe,AZ,6'2'',199,,85,UCLA,5,,,2013,UCLA,8,1,,,,,,,,
Kylie Fitts,DE,Redlands,CA,6'4'',245,,84,UCLA,8,,,2013,UCLA,,,,,,,,,,
Deon Hollins Jr.,OLB,Missouri City,TX,6'2'',220,,84,UCLA,7,,,2013,UCLA,,,,,,,,,,
Tahaan Goodman,S,Rancho Cucamonga,CA,6'2'',184,,84,UCLA,9,,,2013,UCLA,,,,,,,,,,
Isaac Savaiinaea,ILB,Honolulu,HI,6'3'',231,,84,UCLA,4,,,2013,UCLA,17,1,,,,,,,,
Eldridge Massington,WR,Mesquite,TX,6'3'',205,,83,UCLA,21,,,2013,UCLA,,,,,,,,,,
Johnny Johnson Jr.,CB,Fresno,CA,5'10'',180,,83,UCLA,20,,,2013,UCLA,,,,,,,,,,
Scott Quessenberry,OC,Carlsbad,CA,6'4'',276,,82,UCLA,3,,,2013,UCLA,38,30,,,,,,,,
John Lopez,OG,Orange,CA,6'6'',315,,82,UCLA,17,,,2013,UCLA,,,,,,,,,,
Craig Lee,RB,Redlands,CA,6'0'',190,,81,UCLA,26,,,2013,UCLA,48,38,,,,,,,,
Jalen Ortiz,CB,Peoria,AZ,5'9'',167,,80,UCLA,31,,,2013,UCLA,,,,,,,,,,
Mossi Johnson,ATH,Los Angeles,CA,6'0'',170,,80,UCLA,,,,2013,UCLA,,,,,,,,,,
Myles Jack,ATH,Bellevue,WA,6'2'',230,,79,UCLA,65,,,2013,UCLA,,,,,,,,,,
Kenny Lacy,OT,Phoenix,AZ,6'5'',260,,79,UCLA,38,,,2013,UCLA,81,9,,,,,,,,
Kenneth Clark,DT,Rialto,CA,6'2'',280,,79,UCLA,41,,,2013,UCLA,82,56,,,,,,,,
Thomas Duarte,TE-H,Santa Ana,CA,6'3'',223,,79,UCLA,9,,,2013,UCLA,83,57,,,,,,,,
Alex Redmond,OT,Los Alamitos,CA,6'5'',302,,78,UCLA,46,,,2013,UCLA,94,66,,,,,,,,
Sean Covington,K,Saint Petersburg,FL,6'1'',175,,78,UCLA,2,,,2013,UCLA,,,,,,,,,,
Tyler Foreman,S,Encino,CA,6'2'',175,,77,UCLA,32,,,2013,UCLA,103,71,,,,,,,,
Poasi Moala,OT,Moreno Valley,CA,6'5'',270,,77,UCLA,121,,,2013,UCLA,63,86,,,,,,,,
Cameron Judge,OLB,Westlake Village,CA,6'2'',210,,77,UCLA,126,,,2013,UCLA,79,90,,,,,,,,
Jayon Brown,OLB,Long Beach,CA,5'10'',180,,72,UCLA,122,,,2013,UCLA,,,,,,,,,,
Darren Andrews,ATH,La Puente,CA,5'10'',162,,68,UCLA,190,,,2013,UCLA,,,,,,,,,,
Austin Roberts,WR,Carmel,IN,6'2'',217,3,83,UCLA,23,19,1,2014,UCLA,,,,,,,,,,
Takkarist McKinley,DE,Fremont,CA,Contra Costa College,6'3'',250,NR,UCLA,, None, None,2014,UCLA,,,,,,,,,,
Malcolm Bunch,OT,Newark,DE,University of Miami-FL,6'6'',320,TR,UCLA,, None, None,2014,UCLA,,,,,,,,,,
Mique Juarez,OLB,Torrance,CA,6'2'',226,4,86,UCLA,4,,,2016,UCLA,6,4,,,,,,,,
Boss Tagaloa,DT,Concord,CA,6'1'',303,3,83,UCLA,13,,,2016,UCLA,13,11,,,,,,,,
Lokeni Toailoa,ILB,Rialto,CA,6'1'',212,4,83,UCLA,4,,,2016,UCLA,,,,,,,,,,
Krystopher Barnes,ILB,Bakersfield,CA,6'2'',220,9,82,UCLA,9,,,2016,UCLA,26,21,,,,,,,,
Damian Alloway,RB,Fontana,CA,5'9'',167,13,82,UCLA,13,,,2016,UCLA,,,,,,,,,,
Breland Brandt,DE,Los Angeles,CA,6'4'',220,30,82,UCLA,30,,,2016,UCLA,30,25,,,,,,,,
Brandon Burton,S,Gardena,CA,6'1'',190,13,81,UCLA,13,,,2016,UCLA,,,,,,,,,,
Audie Omotosho,WR,Plano,TX,6'2'',189,48,81,UCLA,277,,,2016,UCLA,,,,,,,,,,
Theo Howard,WR,Westlake Village,CA,6'0'',174,52,80,UCLA,52,,,2016,UCLA,40,32,,,,,,,,
Demetric Felton,ATH,Temecula,CA,5'9'',178,19,80,UCLA,19,,,2016,UCLA,43,35,,,,,,,,
Devon Modster,QB-PP,Las Flores,CA,6'2'',220,13,80,UCLA,13,,,2016,UCLA,,,,,,,,,,
Michael Alves,OG,San Diego,CA,6'5'',319,22,80,UCLA,22,,,2016,UCLA,,,,,,,,,,
Darian Owens,WR,Fresno,CA,5'11'',191,69,80,UCLA,69,,,2016,UCLA,53,43,,,,,,,,
Matt Lynch,QB-PP,Broomfield,CO,6'5'',191,17,80,UCLA,17,,,2016,UCLA,,,,,,,,,,
Nick Terry,DT (JC),Elk Grove,CA,6'4'',295,5,79,UCLA,5,,,2016,UCLA,,,,,,,,,,
Marcus Moore,DE,Encino,CA,6'3'',232,59,79,UCLA,59,,,2016,UCLA,,,,,,,,,,
Osa Odighizuwa,DT,Portland,OR,6'2'',257,46,78,UCLA,46,,,2016,UCLA,80,3,,,,,,,,
Alex Akingbulu,OT,Harbor City,CA,6'6'',224,45,78,UCLA,45,,,2016,UCLA,,,,,,,,,,
Dymond Lee,WR,West Hills,CA,6'1'',175,97,78,UCLA,97,,,2016,UCLA,,,,,,,,,,
Jordan Wilson,TE-Y,Nashville,TN,6'5'',215,22,77,UCLA,22,,,2016,UCLA,,,,,,,,,,
Brandon Stephens,RB,Plano,TX,6'1'',201,60,77,UCLA,60,,,2016,UCLA,137,112,,,,,,,,
Keyon Riley,S,Anaheim,CA,6'1'',190,56,77,UCLA,73,,,2016,UCLA,,,,,,,,,,
J.J. Molson,K,Quebec,CAN,6'1'',190,6,77,UCLA,6,,,2016,UCLA,,,,,,,,,,
Jake Burton,DE,El Cajon,CA,6'6'',250,84,76,UCLA,84,,,2016,UCLA,116,80,,,,,,,,
Austin Kent,K,Charlotte,NC,6'2'',210,11,76,UCLA,11,,,2016,UCLA,,,,,,,,,,
Francisco Perez,OT,Baldwin Park,CA,6'4'',312,67,75,UCLA,67,,,2016,UCLA,130,88,,,,,,,,
Leni Toailoa,ATH,Rialto,CA,6'1'',175,87,75,UCLA,87,,,2016,UCLA,151,99,,,,,,,,
Jalen Starks,RB,Encino,CA,6'0'',240,99,73,UCLA,99,,,2016,UCLA,,,,,,,,,,
Johnny Den Bleyker,LS,Hayward,CA,6'0'',200,5,68,UCLA,5,,,2016,UCLA,,,,,,,,,,
Chigozie Nnoruka,DE (JC),Sacramento,CA,6'3'',265,NR,UCLA,,,,,2016,UCLA,,,,,,,,,,
Jaelan Phillips,OLB,Redlands,CA,6'5'',241,93,UCLA,,1,,,2017,UCLA,1,1,,,,,,,,
Darnay Holmes,CB,Calabasas,CA,5'10'',195,86,UCLA,,41,,,2017,UCLA,,,,,,,,,,
Greg Rogers,DT,Las Vegas,NV,6'3'',306,84,UCLA,,6,,,2017,UCLA,,,,,,,,,,
Stephan Zabie,OT,Austin,TX,6'5'',290,81,UCLA,,24,,,2017,UCLA,,,,,,,,,,
Jimmy Jaggers,TE-Y,Roseville,CA,6'4'',244,81,UCLA,,7,,,2017,UCLA,42,25,,,,,,,,
Kanan Ray,OC,Chatsworth,CA,6'4'',275,80,UCLA,,3,,,2017,UCLA,,,,,,,,,,
Elijah Gates,CB,Buena Park,CA,5'9'',160,80,UCLA,,29,,,2017,UCLA,,,,,,,,,,
