Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University , Pos, City, State, Height, Weight, Stars, Grade, University
Zik Asiegbu,OLB,Grand Prairie,TX,James Bowie High School6'0'',190,Tulsa,,NR,,,2010,Tulsa,NR,NR,NR,,,,,,,,,,
Derrick Hall,ATH,Beaumont,TX,Navarro College5'11'',200,Tulsa,,,,,2010,Tulsa,NR,,,,,,,,,,,,
Milton Howell,ATH,Corsicana,TX,Navarro College6'2'',185,Tulsa,,,,,2010,Tulsa,NR,,,,,,,,,,,,
Jameel Owens,WR,Muskogee,OK,University of Oklahoma6'3'',200,Tulsa,,NR,,,2010,Tulsa,TR,,,,,,,,,,,,
Tyrunn Walker,DE,New Iberia,LA,Navarro College6'4'',270,Tulsa,,,,,2010,Tulsa,NR,,,,,,,,,,,,
Darrell Zellars,DT,Anderson,SC,Hutchinson Community College6'2'',285,Tulsa,,,,,2010,Tulsa,NR,,,,,,,,,,,,
Durrell Finch,DE,Castro Valley,CA,Chabot College6'4'',220,Tulsa,,,,,2010,Tulsa,NR,,,,,,,,,,,,
Garrett Gladd,OG,Sallisaw,OK,6'4'',285,78.0,,34,,,2011,Tulsa,,99,NR,Sallisaw High School,,,,,,,,,
Michael Sorrells,RB,Austin,TX,6'2'',200,77.0,,45,,,2011,Tulsa,,,,McCallum High School,,,,,,,,,
Colt Clontz,TE,El Maton,TX,6'7'',220,77.0,,39,,,2011,Tulsa,,128,104,Tidehaven High School,,,,,,,,,
Trent Martin,ILB,Jenks,OK,6'2'',215,77.0,,36,,,2011,Tulsa,,179,NR,Jenks High School,,,,,,,,,
Derrick Alexander Jr.,DT,Tulsa,OK,6'2'',266,75.0,,93,,,2011,Tulsa,,,,Booker T. Washington High School,,,,,,,,,
Michael Mudoh,CB,Richmond,TX,5'9'',185,75.0,,59,,,2011,Tulsa,,,,Bush High School,,,,,,,,,
Keyarris Garrett,WR,Daingerfield,TX,6'4'',185,74.0,,152,,,2011,Tulsa,,,,Daingerfield High School,,,,,,,,,
Derrick Luetjen,DT,Locust Grove,OK,6'2'',260,74.0,,118,,,2011,Tulsa,,292,NR,Locust Grove High School,,,,,,,,,
Conner Floyd,WR,Austin,TX,6'0'',186,74.0,,,,,2011,Tulsa,,,,Lake Travis High School,,,,,,,,,
Kwame Sexton,ATH,Tulsa,OK,5'10'',170,73.0,,181,,,2011,Tulsa,,,,Holland Hall High School,,,,,,,,,
Joseph Calcagni,QB,Springdale,AR,6'2'',190,72.0,,119,,,2011,Tulsa,,740,NR,Springdale High School,,,,,,,,,
Zack Langer,RB,Jenks,OK,5'11'',195,71.0,,189,,,2011,Tulsa,,401,,Jenks High School,,,,,,,,,
Dwight Dobbins,ATH,Midwest City,OK,5'8'',165,69.0,,231,,,2011,Tulsa,,428,NR,Carl Albert High School,,,,,,,,,
Nicholas Hall,DE,Broken Arrow,OK,6'4'',228,,,238,,,2011,Tulsa,,,,Broken Arrow High School,,,,,,,,,
Gary Owens,WR,Mesquite,TX,5'9'',160,,,275,,,2011,Tulsa,,  NR,  NR,West Mesquite High School,,,,,,,,,
Brentom Todd,DE,Tulsa,OK,6'3'',223,,,,,,2011,Tulsa,,,238.0,Tulsa Union High School,,,,,,,,,
Garrett Stafford,OT,Tulsa,OK,6'5'',280,,,216,,,2011,Tulsa,,,,Memorial High School,,,,,,,,,
Darrell Williams,CB,Houston,TX,5'8'',171,,,,,,2011,Tulsa,,,128,Westfield High School,,,,,,,,,
James Floyd,OG,Fort Worth,TX,6'3'',278,,,NR,,,2011,Tulsa,,,,R. L. Paschal High School,,,,,,,,,
Zach Epps,WR,Overland Park,KS,6'4'',181,,,,,,2011,Tulsa,,,,Blue Valley West High School,,,,,,,,,
Gary Lee,DT,Tulsa,OK,6'4'',285,,,180,,,2011,Tulsa,,,,Victory Christian School,,,,,,,,,
Derek Patterson,ATH,Kingfisher,OK,6'0'',180,,,267,,,2011,Tulsa,,,,Kingfisher High School,,,,,,,,,
Jeremy Ratliff,CB,Tylertown,MS,5'8'',170,,,,,,2011,Tulsa,,,,Southwest Mississippi Com. College,,,,,,,,,
Rob Boyd,OG,Vian,OK,6'4'',285,Tulsa,,43,,,2013,Tulsa,77,139,8,,,,,,,,,,
Will Barrow,CB,Dallas,TX,5'9'',170,Tulsa,,57,,,2013,Tulsa,77,,,,,,,,,,,,
Dalton Rodriguez,OT,Tulsa,OK,6'6'',255,Tulsa,,65,,,2013,Tulsa,77,,,,,,,,,,,,
Zac Uhles,OC,Norman,OK,6'3'',250,Tulsa,,14,,,2013,Tulsa,74,215,13,,,,,,,,,,
Devin Rolan,ILB,McAlester,OK,5'11'',225,Tulsa,,,,,2013,Tulsa,74,,,,,,,,,,,,
Frankie Davis,DE,Broken Arrow,OK,6'3'',215,Tulsa,,245,,,2013,Tulsa,73,92,17,,,,,,,,,,
Keevan Lucas,WR,Abilene,TX,5'10'',180,Tulsa,,179,,,2013,Tulsa,73,254,200,,,,,,,,,,
Ben Oberste,QB,Sallisaw,OK,6'1'',193,Tulsa,,36,,,2013,Tulsa,72,262,18,,,,,,,,,,
