Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School,University , Pos, City, State, Height, Weight, Stars, Grade, University
Jacob Emmers,,,,,,,,151,,,2024,Tulsa,,,,,, WR, Anna, TX, 5'10'',185.0, 76, None, Tulsa
Joseph Williams,,,,,,,,110,,,2024,Tulsa,,,,,, S, Arlington, TX, 6'1'',200.0, 76, None, Tulsa
Lloyd Avant,,,,,,,,,,,2024,Tulsa,,,,,, RB, Houston, TX, 5'10'',195.0, 76, None, Tulsa
Corey Smith,,,,,,,,157,,,2024,Tulsa,,150,18,,, WR, Brownsburg, IN, 6'1'',175.0, 76, None, Tulsa
Jack Tanner,,,,,,,,94,,,2024,Tulsa,,,,,, OG, Flower Mound, TX, 6'5'',285.0, 75, None, Tulsa
Will Smith,,,,,,,,,,,2024,Tulsa,,,,,, DE, Choctaw, OK, 6'3'',210.0, 75, None, Tulsa
Mason Fleming,,,,,,,,106,,,2024,Tulsa,,,,,, DT, Manvel, TX, 6'2'',245.0, 74, None, Tulsa
Maruio White,,,,,,,,157,,,2024,Tulsa,,324,248,,, DE, Arlington, TX, 6'2'',210.0, 74, None, Tulsa
Jackson Ford,,,,,,,,43,,,2024,Tulsa,,327,250,,, TE-Y, Melissa, TX, 6'5'',230.0, 74, None, Tulsa
Dax Collins,,,,,,,,161,,,2024,Tulsa,,340,21,,, S, Poteau, OK, 6'0'',180.0, 74, None, Tulsa
Zachaun Williams,,,,,,,,,,,2024,Tulsa,,,,,, S, Tyler, TX, 6'1'',175.0, 74, None, Tulsa
Ashton Williams,,,,,,,,164,,,2024,Tulsa,,,,,, S, Trophy Club, TX, 5'11'',185.0, 74, None, Tulsa
DeDaunte Scott,,,,,,,,168,,,2024,Tulsa,,355,273,,, CB, Kennedale, TX, 5'11'',165.0, 74, None, Tulsa
Will Upshaw,,,,,,,,172,,,2024,Tulsa,,,,,, DE, Flower Mound, TX, 6'3'',240.0, 73, None, Tulsa
Viron Ellison,,,,,,,,165,,,2024,Tulsa,,378,290,,, ATH, Lewisville, TX, 6'0'',185.0, 73, None, Tulsa
Daedrion Garrett,,,,,,,,188,,,2024,Tulsa,,379,291,,, S, Longview, TX, 5'10'',190.0, 72, None, Tulsa
Ross Johnston,,,,,,,,190,,,2024,Tulsa,,401,25,,, OT, Blanchard, OK, 6'6'',291.0, 71, None, Tulsa
Joe Hjelle,,,,,,,,17,,,2024,Tulsa,,,,,, DT, Decorah, IA, 6'3'',290.0, 70, None, Tulsa
Colten Christian,,,,,,,,197,,,2024,Tulsa,,408,26,,, OT, Collinsville, OK, 6'4'',285.0, 70, None, Tulsa
Myles Jackson,,,,,,,,,,,2024,Tulsa,,,,,, ILB, Buford, GA, 6'4'',250.0, None, None, Tulsa
Zion Steptoe,,,,,,,,,,,2024,Tulsa,,,,,, WR, West Lafayette, IN, 5'11'',190.0, None, None, Tulsa
Amieh Williams,,,,,,,,,,,2024,Tulsa,,,,,, DT, San Angelo, TX, 6'2'',270.0, None, None, Tulsa
Jacob Waller,,,,,,,,,,,2024,Tulsa,,,,,, OC, Arlington, TX, 6'5'',283.0, None, None, Tulsa
