Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,Grade  ,University  
Nate Craig-Myers,WR,Auburn,AL,6'2'',202,,,Colorado State,, None, None,2019,Colorado State,,,,
Kyjuan Herndon,RB,Jacksonville,FL,5'9'',175,78.0,Colorado State,,45,262,86,2020,Colorado State,,,,
James Mitchell,DT,Duncanville,TX,6'1'',270,75.0,Colorado State,,81,225,166,2020,Colorado State,,,,
Owen Snively,OT,Tilton,NH,6'5'',265,75.0,Colorado State,,117,156,2,2020,Colorado State,,,,
Dirk Nelson,OG,Visalia,CA,6'2'',278,74.0,Colorado State,,93,204,115,2020,Colorado State,,,,
Aaron Moore,OLB,Murfreesboro,TN,6'3'',215,74.0,Colorado State,,132,,,2020,Colorado State,,,,
Casey Irons,DE,Gilmer,TX,6'3'',235,73.0,Colorado State,,177,,,2020,Colorado State,,,,
Tautai Marks,OG,Santa Ana,CA,6'1'',310,72.0,Colorado State,,, None, None,2020,Colorado State,,,,
Gage Gaynor,OG,Parkland,FL,6'2'',270,72.0,Colorado State,,139,833,281,2020,Colorado State,,,,
Brandon Guzman,CB,Covina,CA,5'10'',172,72.0,Colorado State,,156,278,156,2020,Colorado State,,,,
Bam Amina,ILB,Mililani,HI,5'11'',208,72.0,Colorado State,,53,,,2020,Colorado State,,,,
Brian Crespo,OT,Fort Collins,CO,6'7'',310,71.0,Colorado State,,188,402,13,2020,Colorado State,,,,
Dylan Walker,TE,Royersford,PA,6'4'',236,71.0,Colorado State,,59,,,2020,Colorado State,,,,
Henry Blackburn,S,Boulder,CO,6'1'',185,70.0,Colorado State,,164,421,16,2020,Colorado State,,,,
Cameron Bariteau,DT,Hightstown,NJ,6'1'',300,70.0,Colorado State,,157,,,2020,Colorado State,,,,
Tanner Hollens,ATH,Littleton,CO,6'0'',194,69.0,Colorado State,,215,467,22,2020,Colorado State,,,,
Chase Wilson,ATH,Arvada,CO,6'2'',200,68.0,Colorado State,,221,,,2020,Colorado State,,,,
Sanjay Strickland,ATH,Arvada,CO,6'1'',230,,Colorado State,,, None, None,2020,Colorado State,,,,
Brandon Hickerson-Rooks,DE,Scranton,PA,5'11'',221,,Colorado State,,NR,,,2020,Colorado State,,,,
Todd Centeio,QB,Palm Beach,FL,6'0'',210,,Colorado State,,,,,2020,Colorado State,,,,
Cam Reddy,OG,Londonderry,NH,6'2'',285,,Colorado State,,, None, None,2020,Colorado State,,,,
Tyler Quinn,DT,Duncanville,TX,6'2'',270.0,75,Colorado State,,236,,,2021,Colorado State,72,178,,
Lathan Adams,CB,DeSoto,TX,5'10'',160.0,75,Colorado State,,244,,,2021,Colorado State,90,184,,
Branden Coleman,CB,Miami,FL,6'1'',150.0,75,Colorado State,,,,,2021,Colorado State,,,,
Drake Martinez,WR,Houston,TX,6'2'',205.0,74,Colorado State,,191,,,2021,Colorado State,,,,
Luke McAllister,QB-PP,Monument,CO,6'4'',185.0,74,Colorado State,,,,,2021,Colorado State,,,,
Evan Olaes,QB-DT,Las Vegas,NV,6'0'',200.0,74,Colorado State,,26,,,2021,Colorado State,,,,
Justin Michael,OT,Fort Collins,CO,6'5'',260.0,73,Colorado State,,133,,,2021,Colorado State,,,,
Alex Berrouet,OLB,Acton,MA,6'1'',200.0,73,Colorado State,,147,,,2021,Colorado State,,,,
George Miki-Han,OG,Santa Ana,CA,6'1'',300.0,73,Colorado State,,98,,,2021,Colorado State,223,133,,
Jackson Ray,K,Gilbert,AZ,5'11'',170.0,73,Colorado State,,30,,,2021,Colorado State,,,,
Damir Abdullah,WR,Covina,CA,6'5'',190.0,73,Colorado State,,,,,2021,Colorado State,,,,
Clay Nanke,DE,Aurora,CO,6'6'',215.0,72,Colorado State,,182,,,2021,Colorado State,,,,
Tanner Arkin,TE-H,Fort Collins,CO,6'3'',215.0,72,Colorado State,,38,,,2021,Colorado State,382,22,,
Grady Kelly,DT,Navarre,FL,6'3'',260.0,72,Colorado State,,114,,,2021,Colorado State,,,,
Langston Williams,CB,Aurora,CO,5'10'',160.0,71,Colorado State,,177,,,2021,Colorado State,405,24,,
Elijah Muhammad,OLB,Brooklyn,NY,6'1'',200.0,71,Colorado State,,172,,,2021,Colorado State,,,,
Chance Harris,QB-PP,Clovis,NM,6'0'',200.0,71,Colorado State,,82,,,2021,Colorado State,283,4,,
Gerick Robinson,S,Las Vegas,NV,5'10'',165.0,71,Colorado State,,157,,,2021,Colorado State,,,,
Malakai Grant,ILB,Bunnell,FL,6'0'',210.0,71,Colorado State,,75,,,2021,Colorado State,,,,
Mukendi Wa-Kalonji,DE,Aurora,CO,6'4'',215.0,71,Colorado State,,217,,,2021,Colorado State,436,25,,
Andrew Kulick,OLB,Aurora,CO,6'3'',200.0,70,Colorado State,,185,,,2021,Colorado State,462,27,,
Jack Howell,ATH,Chandler,AZ,6'0'',,70,Colorado State,,186,,,2021,Colorado State,,,,
Mike Ciaffoni,DT,Sudbury,MA,6'2'',265.0,TR,Colorado State,,,,,2021,Colorado State,,,,
Linwood Crump,CB,Parlin,NJ,6'0'',180.0,TR,Colorado State,,,,,2021,Colorado State,,,,
Vince Picozzi,OG,Lansdale,PA,6'4'',305.0,TR,Colorado State,,,,,2021,Colorado State,,,,
Mekhi Fox,WR,Pasadena,CA,6'1'',190,,81,Colorado State,37,,,2022,Colorado State,42,21,,
Brayden Fowler-Nicolosi,QB-PP,Aledo,TX,6'3'',200,,76,Colorado State,47,,,2022,Colorado State,,,,
Jackson Stratton,QB-PPLa Jolla,CA,La Jolla High School6'4''20576,Colorado State,,,,,54,,,2022,Colorado State,,,,
D'Andre Greeley,CB (JC),Fresno,CA,City College of San Francisco5'11''18576,Colorado State,,,,96,,,2022,Colorado State,,,,
Marshon Oxley,OLB,Inglewood,CA,Inglewood High School6'2''21575,Colorado State,,,,82,,,2022,Colorado State,576,49,,
Corey Lambert Jr.,S,New Orleans,LA,Brother Martin High School5'11''19575,Colorado State,,,,131,,,2022,Colorado State,213,108,,
Aubrey Scott,DE,Lawndale,CA,Leuzinger High School6'6''25074,Colorado State,,,,154,,,2022,Colorado State,,,,
Aaron Karas,OT,Arvada,CO,Pomona High School6'4''30074,Colorado State,,,,149,,,2022,Colorado State,,,,
Justus Ross-Simmons,ATH,Inglewood,CA,Inglewood High School6'2''21073,Colorado State,,,,46,,,2022,Colorado State,,,,
Jordan Williams,TE-H,Santa Fe Springs,CA,Saint Paul High School6'6''20073,Colorado State,,,,234,,,2022,Colorado State,,,,
Ky Oday Jr.,WR,Englewood,CO,Cherry Creek High School5'11''17072,Colorado State,,,,254,,,2022,Colorado State,306,154,,
Louis Brown,WR,Inglewood,CA,Inglewood High School6'2''18070,Colorado State,,,,,,,2022,Colorado State,,,,
Nuer Gatkuoth,DE (POST),Edmonton,AB, CAN,Champion Prep Academy6'4''220,,NR,Colorado State,,,,2022,Colorado State,,,,
Chigozie Anusiem,CB (TR),La Habra,CA,University of California, Berkeley6'2''180,,TR,Colorado State,,,,2022,Colorado State,,,,
Dontae Keys,OT (TR),Fayetteville,NC,Florida International University6'5''300,TR,,Colorado State,,,,,2022,Colorado State,,,,
Dante Bivens,OG (TR),Houston,TX,University of Tulsa6'4''325,TR,,Colorado State,,,,,2022,Colorado State,,,,
Trevyn Heil,DT (TR),Aurora,CO,University of Nevada, Las Vegas6'3''280,,TR,Colorado State,,,,2022,Colorado State,,,,
Melquan Stovall,WR (TR),Lancaster,CA,University of Nevada, Las Vegas5'10''185,,TR,Colorado State,,,,2022,Colorado State,,,,
Gray Davis,OG (TR),Dallas,TX,University of Nevada, Las Vegas6'4''300,,TR,Colorado State,,,,2022,Colorado State,,,,
Avery Morrow,RB (TR),Seattle,WA,University of Nevada, Las Vegas5'11''215,,TR,Colorado State,,,,2022,Colorado State,,,,
Jacob Gardner,OT (TR),Rancho Cucamonga,CA,University of Nevada, Las Vegas6'4''300,,TR,Colorado State,,,,2022,Colorado State,,,,
Peter Montini,ATH (TR),,,University of Nevada, Las Vegas6'0''225,,TR,Colorado State,,,,2022,Colorado State,,,,
Tory Horton,WR (TR),Fresno,CA,University of Nevada, Las Vegas6'2''180,,TR,Colorado State,,,,2022,Colorado State,,,,
A.J. King,S (TR),Los Angeles,CA,University of Nevada, Las Vegas6'1''190,,TR,Colorado State,,,,2022,Colorado State,,,,
Clay Millen,QB-PP (TR),Snoqualmie,WA,University of Nevada, Las Vegas6'3''190,,TR,Colorado State,,,,2022,Colorado State,,,,
C.J. Onyechi,DE (TR),West Orange,NJ,Rutgers, The State University of New Jer6'0''250,,TR,Colorado State,,,,2022,Colorado State,,,,
Teivis Tuioti,DE (TR),Laie,HI,University of Nevada, Reno6'3''265,,TR,Colorado State,,,,2022,Colorado State,,,,
Paddy Turner,K (TR),Melbourne,AUS,University of Nevada, Reno6'2''175,,TR,Colorado State,,,,2022,Colorado State,,,,
Jordan Ross,WR,Downey,CA,6'0'',180,80,Colorado State  ,,54,,,2024,Colorado State,50,30,,
Darius Curry,QB-DT,Long Beach,CA,5'10'',190,79,Colorado State  ,,14,,,2024,Colorado State,75,43,,
Jalen Dupree,RB,Malvern,AR,5'11'',210,77,Colorado State  ,,73,,,2024,Colorado State,,,,
Landon Bell,ATH,West Hills,CA,Chaminade College Prep,6'2'',195,77,,85,,,2024,Colorado State,127,70,,Colorado State  
Keegan Shank,DE,Scottsdale,AZ,Chaparral High School,6'3'',250,77,,101,,,2024,Colorado State,144,,,Colorado State  
Phillip Ocon,OC,La Canada,CA,Saint Francis High School,6'3'',315,76,,80,,,2024,Colorado State,148,12,,Colorado State  
Jaden Landrum,TE-Y,Etiwanda,CA,Etiwanda High School,6'3'',205,76,,22,,,2024,Colorado State,,,,Colorado State  
Zach Smith,OT,Highlands Ranch,CO,ThunderRidge High School,6'6'',265,76,,121,,,2024,Colorado State,,,,Colorado State  
Kory Hall,WR,Reseda,CA,Grover Cleveland High School,6'1'',200,75,,175,,,2024,Colorado State,198,103,,Colorado State  
Jack Moran,DT,Arvada,CO,Ralston Valley High School,6'4'',240,74,,311,,,2024,Colorado State,102,9,,Colorado State  
Berlin Lillard,OG,Oakland,CA,Bishop O'Dowd High School,6'4'',320,74,,104,,,2024,Colorado State,,,,Colorado State  
Chance Harrison,CB,Oxnard,CA,Rio Mesa High School,6'0'',170,74,,167,,,2024,Colorado State,,,,Colorado State  
A.J. Noland,S,Tualatin,OR,Tualatin High School,6'0'',185,73,,,,,2024,Colorado State,,,,Colorado State  
Chauncey Davis,CB,Etiwanda,CA,Etiwanda High School,5'11'',170,72,,193,,,2024,Colorado State,286,148,,Colorado State  
Braden Hales,OT,Olathe,KS,Olathe North High School,6'5'',285,71,,192,,,2024,Colorado State,405,13,,Colorado State  
Edmari Binion,DT,Long Beach,CA,Millikan High School,6'4'',245,70,,140,,,2024,Colorado State,300,152,,Colorado State  
Dagan Myers,S,Littleton,CO,Chatfield Senior High School,5'10'',185,70,,198,,,2024,Colorado State,,,,Colorado State  
John Holthaus,OG,San Mateo,CA,Junipero Serra High School,6'6'',280,69,,144,,,2024,Colorado State,302,153,,Colorado State  
Tra'Jon Townsend,DT,Lawndale,CA,Lawndale High School,6'4'',275,NR,,,,,2024,Colorado State,,,,Colorado State  
