Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,None, None, None.1,School,University  
Chris Boswell,K,Keller,TX,6'3'',180,Rice,,18,,,2009,Rice,77.0,113,NR,,,,,
Broderick Jackson,ATH,Kirbyville,TX,5'11'',195,Rice,,120,,,2009,Rice,75.0,248,NR,,,,,
Taylor McHargue,QB,Cedar Park,TX,6'1'',193,Rice,,256,,,2009,Rice,75.0,68,NR,,,,,
Phillip Gaines,CB,Converse,TX,6'0'',165,Rice,,74,,,2009,Rice,74.0,,,,,,,
Trey Briggs,ILB,Houston,TX,6'3'',210,Rice,,50,,,2009,Rice,74.0,296,NR,,,,,
Hosam Shahin,DT,Ricmond,BC,CAN,6'4'',73,Rice,NR,,,2009,Rice,240.0,,,,,,,
Charles Ross,RB,Schertz,TX,6'1'',200,Rice,,161,,,2009,Rice,72.0,,,,,,,
Bobby Janisch,OG,Houston,TX,6'6'',285,Rice,,176,,,2009,Rice,71.0,393,,,,,,
Josh Skinner,DE,Silsbee,TX,6'5'',225,Rice,,190,,,2009,Rice,69.0,424,,,,,,
Alex Francis,CB,Sugar Land,TX,5'9'',166,Rice,,107,,,2009,Rice,67.0,,,,,,,
Turner Peterson,ATH,Oklahoma City,OK,6'2'',190,Rice,,194,,,2009,Rice,67.0,,,,,,,
Nic Hammett,ILB,Rockdale,TX,6'3'',225,Rice,,473,,,2009,Rice,65.0,92,NR,,,,,
Paul Porras,WR,Scottsdale,AZ,6'1'',170,Rice,,63,,,2009,Rice,63.0, None, None,,,,,
Cade Shaw,OT,Corpus Christi,TX,6'5'',280,Rice,,,,,2009,Rice,,,,,,,,
Andre Gautreaux,WR,Friendswood,TX,6'1'',180,Rice,,NR,,,2009,Rice,,NR,NR,,,,,
Jon Hodde,OT,Burton,TX,6'7'',285,Rice,,,,,2009,Rice,,,,,,,,
Alex Lowry,OG,Caddo Mills,TX,6'2'',275,Rice,,,,,2009,Rice,,,,,,,,
Cody Bauer,DE,Pottsboro,TX,6'4'',230,Rice,,,,,2009,Rice,,,,,,,,
Corey Frazier,CB,Eden Prairie,MN,6'1'',175,Rice,,,,,2009,Rice,,,,,,,,
Kevin Gaddis,CB,Midwest City,OK,5'10'',155,Rice,,,,,2009,Rice,,,,,,,,
Donte Moore,WR,Manor,TX,5'9'',160,Rice,,,,,2009,Rice,,,,,,,,
Tolu Akinwumi,,Brampton,ONT,CAN,6'1'',,Rice,,,,2009,Rice,200.0,,,,,,,
Klein Kubiak,WR,Houston,TX,6'1'',175,Rice,,,,,2009,Rice,,,,,,,,
Nick Fanuzzi,QB,San Antonio,TX,6'3'',201,Rice,,,,,2009,Rice,,,,,,,,
Sam McGuffie,RB,Cypress,TX,6'0'',190,Rice,,,,,2009,Rice,,,,,,,,
Jeremy Eddington,ATH,Paris,TX,6'2'',215,Rice,,,,,2010,Rice,76.0,103,,,,,,
Ian Gray,OT,Pearland,TX,6'7'',326,Rice,,,,,2010,Rice,75.0,,,,,,,
Cameron Nwosu,ILB,Houston,TX,5'9'',217,Rice,,45.0,,,2010,Rice,75.0,,,,,,,
Dylan Klare,DE,Refugio,TX,6'3'',235,Rice,,109,,,2010,Rice,75.0,,,,,,,
Gabe Baker,S,Irving,TX,6'1'',190,Rice,,6.0,,,2010,Rice,74.0,,,,,,,
Jordan Taylor,WR,Denison,TX,6'5'',186,Rice,,145,,,2010,Rice,74.0,Not Ranked,Not Ranked,,,,,
Andy Erickson,ATH,Austin,TX,5'10'',175,Rice,,167,,,2010,Rice,74.0,NR,NR,,,,,
Nico Carlson,DT,Katy,TX,6'3'',250,Rice,,157,,,2010,Rice,70.0,,,,,,,
Justin Warren,OT,San Antonio,TX,6'5'',250,Rice,,,,,2010,Rice,68.0,,,,,,,
James Radcliffe,OLB,Katy,TX,Unspecified,195,Rice,,,,,2010,Rice,,,,,,,,
Mario Hull,WR,Altair,TX,6'1'',170,Rice,,NR,,,2010,Rice,,NR,NR,,,,,
Fred Jackson,CB,Houston,TX,5'9'',170,Rice,,,,,2010,Rice,,,,,,,,
Drew Carroll,OG,Abilene,TX,6'4'',270,Rice,,NR,,,2010,Rice,,,,,,,,
Bryce Callahan,CB,Houston,TX,5'11'',170,Rice,,NR,,,2010,Rice,,,,,,,,
Trevor Gillette,TE,Austin,TX,6'3'',215,Rice,,,,,2010,Rice,,,,,,,,
Zach Patt,ATH,Honey Grove,TX,6'2'',215,Rice,,,,,2010,Rice,,,,,,,,
Alex Lyons,OLB,DeSoto,TX,6'0'',205,Rice,,52,,,2012,Rice,78.0,99,77,,,,,
Connor Patterson,OG,Tomball,TX,6'3'',265,Rice,,,,,2012,Rice,76.0,,,,,,,
Zach Espinosa,S,Cedar Park,TX,6'1'',195,Rice,,,,,2012,Rice,75.0,,,,,,,
David Wilganowski,DE,Bryan,TX,6'4'',212,Rice,,158,,,2012,Rice,75.0,260,206,,,,,
Cody Henessee,DT,Denton,TX,6'3'',260,Rice,,108,,,2012,Rice,75.0,,,,,,,
