Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School  ,School
Aldon Smith,DE,Raytown,MO,6'5'',230,70.0,Missouri,141, NR, NR,2008,Missouri,,,,,
Travis Ruth,OT,Jefferson City,MO,6'2'',300,,Missouri,,,,2008,Missouri,,,,,
Gahn McGaffie,ATH,Galena Park,TX,5'10'',170,79.0,Missouri,26,NR,NR,2008,Missouri,,,,,
Marcus Malbrough,DE,Beaumont,TX,6'5'',220,,Missouri,,,,2008,Missouri,,,,,
Brad Madison,OG,Bethany,MO,6'5'',235,75.0,Missouri,NR,,,2008,Missouri,,,,,
Wes Kemp,WR,Saint Louis,MO,6'4'',226,73.0,Missouri,161,,,2008,Missouri,,,,,
Andrew Jones,TE,Smithville,MO,6'5'',228,79.0,Missouri,16,,,2008,Missouri,,,,,
Daniel Jenkins,OG,Gilmer,TX,6'4'',270,74.0,Missouri,60,,,2008,Missouri,,,,,
Kenji Jackson,S,Mansfield,TX,5'11'',169,79.0,Missouri,12,,,2008,Missouri,,,,,
Jerrell Jackson,WR,Houston,TX,6'2'',180,77.0,Missouri,,,,2008,Missouri,,,,,
Dan Hoch,OT,Harlan,IA,6'6'',302,76.0,Missouri,,,,2008,Missouri,,,,,
Zaviar Gooden,S,Pflugerville,TX,6'2'',195,,Missouri,,,,2008,Missouri,,,,,
Blaine Gabbert,QB,Ballwin,MO,6'4'',226,83.0,Missouri,,,,2008,Missouri,,,,,
Michael Egnew,WR,Plainview,TX,6'4'',200,,Missouri,,,,2008,Missouri,,,,,
Kip Edwards,CB,Arlington,TX,6'1'',172,,Missouri,NR,NR,NR,2008,Missouri,,,,,
Will Ebner,ILB,Friendswood,TX,6'1'',225,,Missouri,,,,2008,Missouri,,,,,
Taylor Davis,OT,Plano,TX,6'4'',265,70.0,Missouri,,,,2008,Missouri,,,,,
Brian Coulter,DE,Baton Rouge,LA,6'4'',260,,Missouri,,,,2008,Missouri,,,,,
Jimmy Burge,DT,Houston,TX,6'2'',275,71.0,Missouri,NR,,,2008,Missouri,,,,,
Sheldon Richardson,DT,Saint Louis,MO,6'4'',280,81.0,Missouri,8,,,2009,Missouri,,20, None,,
Jaleel Clark,WR,Allentown,PA,6'4'',202,78.0,Missouri,41,,,2009,Missouri,,61, NR,,
Jack Meiners,OT,Saint Louis,MO,6'6'',314,78.0,Missouri,29,,,2009,Missouri,,,,,
Tavon Bolden,S,Houston,TX,6'1'',190,77.0,Missouri,123,,,2009,Missouri,, None, None,,
Chris Freeman,OT,Trotwood,OH,6'8'',320,77.0,Missouri,49,,,2009,Missouri,, None, None,,
Ashton Glaser,QB,Springdale,AR,6'2'',205,76.0,Missouri,42,,,2009,Missouri,,,,,
Alex Sanders,TE,Springfield,MO,6'5'',203,76.0,Missouri,44,,,2009,Missouri,,157, NR,,
T.J. Moe,ATH,O'Fallon,MO,6'0'',185,76.0,Missouri,161,,,2009,Missouri,, None, None,,
Michael Sam,DE,Hitchcock,TX,6'3'',222,76.0,Missouri,75,,,2009,Missouri,,,,,
Kerwin Stricker,WR,Washington,MO,6'2'',195,76.0,Missouri,101,,,2009,Missouri,,185, NR,,
Kendial Lawrence,RB,Heath,TX,5'9'',177,76.0,Missouri,100,,,2009,Missouri,,,,,
Adam Burton,ILB,Lee's Summit,MO,6'1'',228,76.0,Missouri,41,,,2009,Missouri,,201, NR,,
Blaine Dalton,QB,Blue Springs,MO,6'1'',190,75.0,Missouri,56,,,2009,Missouri,,,,,
Justin Britt,OT,Lebanon,MO,6'5'',265,75.0,Missouri,74,,,2009,Missouri,,,,,
Andrew Wilson,ILB,Peculiar,MO,6'3'',220,75.0,Missouri,44,,,2009,Missouri,,,,,
Darris Ford,OG,Saint Louis,MO,6'4'',273,74.0,Missouri,126,,,2009,Missouri,,270, None,,
Donovan Bonner,S,Dallas,TX,6'2'',220,73.0,Missouri,165,,,2009,Missouri,,,,,
Brayden Burnett,DE,Southlake,TX,6'3'',230,73.0,Missouri,143,,,2009,Missouri,,345, NR,,
Marvin Foster,DT,Fort Worth,TX,6'1'',260,70.0,Missouri,122,,,2009,Missouri,,405,NR,,
L'Damian Washington,WR,Shreveport,LA,6'4'',185,,Missouri,,,,2009,Missouri,, None, None,,
