Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School  ,School
Marquis Johnson,WR,Dickinson,TX,6'0'',180,78,Missouri,,,,2023,Missouri,, None, None,,
Phillip Roche,S,Merrillville,IN,6'0'',190,77,Missouri,64,,,2023,Missouri,,,,,
Jordon Harris,ATH,Pine Bluff,AR,6'6'',235,77,Missouri,380,,,2023,Missouri,,,,,
Daniel Blood,WR,Destrehan,LA,6'0'',175,76,Missouri,148,,,2023,Missouri,,465,37,,
Nicholas Deloach,WR,Cahokia,IL,6'1'',175,76,Missouri,149,,,2023,Missouri,,,,,
Triston Newson,OLB,Independence,MS,6'2'',210,76,Missouri,1,,,2023,Missouri,,,,,
Blake Craig,K,Liberty,MO,5'11'',180,76,Missouri,2,,,2023,Missouri,,,,,
Shamar McNeil,CB,Plantation,FL,6'3'',175,76,Missouri,118,,,2023,Missouri,,509,175,,
Sam Williams,DT,Hogansville,GA,6'3'',260,75,Missouri,551,,,2023,Missouri,,84,134,,
Brayshawn Littlejohn,OLB,Gaffney,SC,6'2'',220,74,Missouri,598,,,2023,Missouri,,,,,
Serigne Tounkara,DE,League City,TX,6'3'',240,74,Missouri,168,,,2023,Missouri,,338,248,,
Brett LeBlanc,LS,Elkhorn,WI,6'3'',210,68,Missouri,5,,,2023,Missouri,,207,5,,
Theo Wease,WR,Allen,TX,6'2'',205,TR,Missouri,,,,2023,Missouri,, None, None,,
Austin Firestone,OT,Niceville,FL,6'5'',270,TR,Missouri,,,,2023,Missouri,, None, None,,
Marcellus Johnson,OG,Normal,IL,6'4'',308,TR,Missouri,,,,2023,Missouri,,,,,
Tre'Vez Johnson,S,Jacksonville,FL,5'11'',194,TR,Missouri,,,,2023,Missouri,,,,,
Joe Moore,DE,Florissant,MO,6'3'',245,TR,Missouri,,,,2023,Missouri,, None, None,,
Dannis Jackson,WR,Sumrall,MS,6'1'',190,TR,Missouri,,,,2023,Missouri,,,,,
Jake Garcia,QB-PP,Loganville,GA,6'3'',195,TR,Missouri,,,,2023,Missouri,, None, None,,
Sidney Williams,S,Mobile,AL,6'1'',195,TR,Missouri,,,,2023,Missouri,,,,,
Riley Williams,K,Victoria,AUS,6'3'',210,TR,Missouri,,,,2023,Missouri,,,,,
Williams Nwaneri,DE,Lee's Summit,MO,6'7'',260.0,Missouri,,4,,,2024,Missouri,90,6,1,,
Trajen Greco,CB,Hoschton,GA,6'1'',180.0,Missouri,,21,,,2024,Missouri,82,96,30,,
Courtney Crutchfield,WR,Pine Bluff,AR,6'1'',185.0,Missouri,,28,,,2024,Missouri,82,,,,
Jaylen Brown,DE,Madison,AL,6'6'',250.0,Missouri,,27,,,2024,Missouri,82,,,,
James Madison II,WR,Fort Lauderdale,FL,6'3'',195.0,Missouri,,42,,,2024,Missouri,80,143,39,,
Cameron Keys,CB,Lynn Haven,FL,6'0'',170.0,Missouri,,32,,,2024,Missouri,80,153,43,,
Nicholas Rodriguez,OLB,Fort Lauderdale,FL,6'1'',195.0,Missouri,,31,,,2024,Missouri,80,,,,
Kewan Lacy,RB,Lancaster,TX,5'11'',200.0,Missouri,,37,,,2024,Missouri,79,87,69,,
Brian Huff,OLB,Jonesboro,AR,6'3'',225.0,Missouri,,37,,,2024,Missouri,79,225,6,,
Jeremiah Beasley,ILB,Belleville,MI,6'1'',220.0,Missouri,,19,,,2024,Missouri,79,60,9,,
Caleb Pyfrom,OT,Omaha,NE,6'5'',315.0,Missouri,,6,,,2024,Missouri,78,128,6,,
Elias Williams,DE,Hudson,FL,6'4'',240.0,Missouri,,71,,,2024,Missouri,78,,,,
Jaren Sensabaugh,CB,Nashville,TN,6'1'',170.0,Missouri,,69,,,2024,Missouri,78,359,23,,
Ryan Jostes,OT,Washington,MO,6'6'',280.0,Missouri,,166,,,2024,Missouri,77,,,,
Austyn Dendy,ATH,Pine Bluff,AR,6'1'',190.0,Missouri,,10,,,2024,Missouri,77,,,,
Whit Hafer,TE-Y,Joplin,MO,6'7'',230.0,Missouri,,17,,,2024,Missouri,77,219,15,,
Jayven Richardson,OT,Gonzales,LA,6'6'',310.0,Missouri,,2.0,,,2024,Missouri,77,,,,
Talan Chandler,OC,Wentzville,MO,6'3'',295.0,Missouri,,11,,,2024,Missouri,77,221,16,,
Aidan Glover,QB-PP,Collierville,TN,6'3'',195.0,Missouri,,46,,,2024,Missouri,76,486,38,,
Jude James,ATH,Saint Charles,MO,6'3'',200.0,Missouri,,103,,,2024,Missouri,76,247,20,,
Jackson Hancock,S,Canton,GA,6'0'',180.0,Missouri,,107,,,2024,Missouri,76,,,,
Justin Bodford,DT,Fort Lauderdale,FL,6'1'',290.0,Missouri,,625,,,2024,Missouri,75,89,205,,
Toriano Pride,CB,,,,,,,,,,2024,Missouri,Missouri,,,,
Marcus Carroll,RB,,,,,,,,,,2024,Missouri,Missouri, None, None,,
Darris Smith,DE,,,,,,,,,,2024,Missouri,Missouri, None, None,,
Corey Flagg Jr.,OLB,,,,,,,,,,2024,Missouri,Missouri, None, None,,
Chris McClellan,DT,,,,,,,,,,2024,Missouri,Missouri,,,,
Cayden Green,OT,,,,,,,,,,2024,Missouri,Missouri, None, None,,
Nate Noel,RB,,,,,,,,,,2024,Missouri,Missouri,,,,
Sterling Webb,DT,,,,,,,,,,2024,Missouri,Missouri, None, None,,
Harold Blood,QB-PP,,,,,,,,,,2024,Missouri,Missouri,,,,
Zion Young,DE,,,,,,,,,,2024,Missouri,Missouri, None, None,,
Brady Hultman,OLB,,,,,,,,,,2024,Missouri,Missouri, None, None,,
Drew Pyne,QB-PP,,,,,,,,,,2024,Missouri,Missouri, None, None,,
Marcus Bryant,OT,,,,,,,,,,2024,Missouri,Missouri, None, None,,
Eddie Kelly,DT,,,,,,,,,,2024,Missouri,Missouri, None, None,,
Khalil Jacobs,ILB,,,,,,,,,,2024,Missouri,Missouri, None, None,,
