Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,University  
Darius Scott,CB,Chicago,IL,5'9'',152,74.0,Eastern Michigan,,,,2011,Eastern Michigan,3.0,,,
Mark Iannotti,QB,Schaumburg,IL,6'2'',201,69.0,Eastern Michigan,138,,,2011,Eastern Michigan,3.0,,,
Kris Strange,CB,Pickerington,OH,5'11'',175,68.0,Eastern Michigan,115,,,2011,Eastern Michigan,3.0,336,139,
Ryan Brumfield,RB,Pottstown,PA,5'9'',156,,Eastern Michigan,,,,2011,Eastern Michigan,2.0,,,
Tyler Allen,RB,Lansing,MI,5'9'',158,,Eastern Michigan,246,,,2011,Eastern Michigan,2.0,,,
Bronson Hill,RB,Grand Rapids,MI,5'10'',175,,Eastern Michigan,246,,,2011,Eastern Michigan,2.0,,,
Brandon Watson,TE,Peoria,IL,6'5'',247,,Eastern Michigan,,,,2011,Eastern Michigan,,,,
Tyreese Russell,TE,Melrose Park,IL,6'4'',220,,Eastern Michigan,109,,,2011,Eastern Michigan,,,,
Dylan Brooks,TE,Stevensville,MI,6'3'',233,,Eastern Michigan,109,,,2011,Eastern Michigan,,,,
Kevin Johnson,WR,McKeesport,PA,5'11'',180,,Eastern Michigan,NR,,,2011,Eastern Michigan,,,,
Sean Kurtz,ILB,Anaheim,CA,6'0'',235,,Eastern Michigan,,,,2011,Eastern Michigan,,,,
Blake Poole,OLB,Anaheim,CA,6'3'',230,,Eastern Michigan,,,,2011,Eastern Michigan,,,,
Tyrone Taylor,CB,Harbor City,CA,5'11'',185,,Eastern Michigan,NR,,,2011,Eastern Michigan,,NR,NR,
Justin Cudworth,ILB,Agoura,CA,6'1'',230,,Eastern Michigan,NR,,,2011,Eastern Michigan,,NR,NR,
Bryan Pali,S,Maui,HI,6'0'',205,,Eastern Michigan,,,,2011,Eastern Michigan,,,,
Devin Henderson,DT,Glenview,IL,6'2'',275,,Eastern Michigan,,,,2011,Eastern Michigan,,,,
Rickie Crouch,OLB,San Bernardino,CA,5'11'',189,,Eastern Michigan,NR,,,2011,Eastern Michigan,,NR,NR,
Chris Dunlap,CB,Monterey Park,CA,5'8'',183,,Eastern Michigan,,,,2011,Eastern Michigan,,,,
Marlon Pollard,CB,Westwood Village,CA,6'1'',166,,Eastern Michigan,,,,2011,Eastern Michigan,,,,
Kenny Jones,WR,Indianapolis,IN,6'2'',180,72,Eastern Michigan,, None, None,2014,Eastern Michigan,,,,
Tim Gordon,CB,Saint Paul,MN,5'11'',156,69,Eastern Michigan,119,255,10,2014,Eastern Michigan,,,,
Shaq Vann,RB,South Bend,IN,5'10'',195,NR,Eastern Michigan,NR, NR, NR,2014,Eastern Michigan,,,,
Ka'John Armstrong,OT,Detroit,MI,6'4'',272,NR,Eastern Michigan,, None, None,2014,Eastern Michigan,,,,
Kyle Rachwal,OLB,Lapeer,MI,6'2'',210,NR,Eastern Michigan,NR, NR, NR,2014,Eastern Michigan,,,,
Cameron Bouldin,WR,Cincinnati,OH,6'3'',175,NR,Eastern Michigan,, None, None,2014,Eastern Michigan,,,,
Jason Beck,CB,Indianapolis,IN,5'10'',173,NR,Eastern Michigan,,,,2014,Eastern Michigan,,,,
Dakota Tallman,OT,Elyria,OH,6'5'',300,NR,Eastern Michigan,,,,2014,Eastern Michigan,,,,
Christopher Bukoski,OT,De Witt,MI,6'5'',255,NR,Eastern Michigan,,,,2014,Eastern Michigan,,,,
D'Marcus Moon,OLB,Fort Wayne,IN,6'0'',225,NR,Eastern Michigan,,,,2014,Eastern Michigan,,,,
Lion King Conaway,DE,Southfield,MI,6'4'',205,NR,Eastern Michigan,, NR, NR,2014,Eastern Michigan,,,,
Chris Hendricks,OG,Fruitport,MI,6'4'',273,NR,Eastern Michigan,, None, None,2014,Eastern Michigan,,,,
Ian Eriksen,RB,Clarkston,MI,5'10'',185,NR,Eastern Michigan,NR,,,2014,Eastern Michigan,,,,
Jeremiah Harris,DE,Temperance,MI,6'4'',230,NR,Eastern Michigan,NR, NR, NR,2014,Eastern Michigan,,,,
Jeremy Hickey,OG,Bloomfield Hills,MI,6'3'',290,NR,Eastern Michigan,,,,2014,Eastern Michigan,,,,
David Francis,OLB,Opa Locka,FL,6'3'',190,NR,Eastern Michigan,,,,2014,Eastern Michigan,,,,
Ross Williams,CB,Birmingham,MI,5'11'',160,NR,Eastern Michigan,,,,2014,Eastern Michigan,,,,
John Branham Jr,RB,Columbus,OH,5'9'',200,74,Eastern Michigan,102,,,2019,Eastern Michigan,4,153,58,
Jimi McAdams,OG,Parma,OH,6'3'',295,74,Eastern Michigan,86,,,2019,Eastern Michigan,4,,,
Tyler Shaw,LS,Marinette,WI,6'0'',205,68,Eastern Michigan,11,,,2019,Eastern Michigan,6,,,
Corry Thomas,CB,River Rouge,MI,5'10'',166,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Darius Boone,RB,Tulsa,OK,5'10'',190,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Alex Merritt,DT,Cincinnati,OH,6'3'',266,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Mark Lee,CB,Columbus,OH,6'0'',170,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
DeZaun Brooks,DE,Indianapolis,IN,6'2'',230,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
William Racely,OG,Flushing,MI,6'3'',290,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Kempton Shine,CB,Chicago,IL,5'10'',175,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Aaron Hamilton,DT,Johns Creek,GA,6'1'',280,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Kendric Nowling,S,Chicago,IL,6'1'',185,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Broderick Jordan,OG,Okemos,MI,6'2'',275,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
De'Anthony Bell,WR,Atlanta,GA,6'0'',175,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Charles Brown Jr,ILB,Bel Air,MD,6'1'',215,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Brandon Burks,ILB,Pickerington,OH,6'2'',240,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Noah Cameron,WR,Kokomo,IN,6'1'',185,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Sam Jackson,OLB,Troy,OH,6'0'',210,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Caleb Richwine,K,Carlisle,PA,6'2'',175,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Tony Trabold,K,Joliet,IL,5'8'',155,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Chris Kaminski,QB-PP,South Lyon,MI,6'2'',205,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
Tommy Wright-Hodges,DT,West Bloomfield,MI,6'2'',265,Eastern Michigan,,,,,2019,Eastern Michigan,NR,,,
