Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,School, Reg_rank, State_rank,University  
Malik Tolbert,WR,Winter Park,FL,6'2'',171,Marshall,,,,,2019,Marshall,,,,,
Johnthomas Dukes,OLB,Bogart,GA,6'0'',208,Marshall,,NR,,,2019,Marshall,,, NR, NR,
Akele Pauling,CB,Roebuck,SC,5'9'',160,Marshall,,,,,2019,Marshall,,, None, None,
E.J Horton,WR,Dublin,VA,6'0'',170,Marshall,,NR,,,2019,Marshall,,, NR, NR,
J'Coryan Anderson,ILB,Knoxville,TN,6'2'',210,Marshall,,,,,2019,Marshall,,,,,
Brodie Williams,LS,Appomattox,VA,6'2'',220,Marshall,,,,,2019,Marshall,,,,,
Elias Neal,ILB,Memphis,TN,6'0'',210,Marshall,,,,,2019,Marshall,,,,,
Broc Thompson,WR,POST,Indianapolis,IN,6'2'',,Marshall,,,,2019,Marshall,175.0,, None, None,
Cedric Wilcox,RB,Port Saint Lucie,FL,5'11'',185,Marshall,,NR,,,2019,Marshall,,,,,
Joseph Doleman,OLB,Stephens City,VA,6'1'',215,Marshall,,,,,2019,Marshall,,, None, None,
Malik Darisaw,DE,Tallahassee,FL,6'4'',220,Marshall,,NR,,,2019,Marshall,,,,,
Ahmad Gilbert,DE,Charlotte,NC,6'5'',215,Marshall,,,,,2019,Marshall,,,,,
Ty Wilcoxon,RB,Huntington,WV,6'1'',200,Marshall,,,,,2019,Marshall,,,,,
T.J. Johnson,DE,JC,Southfield,MI,6'6'',,Marshall,,,,2019,Marshall,240.0,,,,
Caleb Coombs,WR,Washington,DC,5'10'',180,77.0,Marshall,101,,,2021,Marshall,,,83,5,
Isaiah Finnie,OLB,Hollywood,FL,6'1'',200,74.0,Marshall,121,,,2021,Marshall,,,592,194,
Cam Fancher,QB-PP,Huber Heights,OH,6'2'',190,73.0,Marshall,,,,2021,Marshall,,, None, None,
John McConnell,K,Morgantown,WV,6'3'',190,72.0,Marshall,33,,,2021,Marshall,,,218,5,
Darion Dearinger,DT,Lawrenceburg,KY,6'3'',260,72.0,Marshall,117,,,2021,Marshall,,,,,
Tyriek Bell,OLB,Santa Ana,CA,6'2'',205,72.0,Marshall,169,,,2021,Marshall,,,,,
Will Bonkavich,OG (JC),Henderson,NV,6'4'',290,71.0,Marshall,5,,,2021,Marshall,,,NR,NR,
Eric Meeks,OC,Cincinnati,OH,6'3'',270,70.0,Marshall,21,,,2021,Marshall,,,289,94,
TyShawn Hurst,OT (JC),Lynwood,CA,6'4'',285,70.0,Marshall,12,,,2021,Marshall,,,,,
Ethan Payne,ATH,Poca,WV,6'1'',205,70.0,Marshall,185,,,2021,Marshall,,,,,
Billy Ross,OT (TR),Huntington,WV,6'5'',310,,Marshall,,,,2021,Marshall,,,,,
Sean Sallis,TE-H,Carrollton,TX,6'5'',205,Marshall,,23,,,2022,Marshall,76,,198,145,
Elijah Russell,DE,Ocala,FL,6'6'',215,Marshall,,460,,,2022,Marshall,76,, None, None,
Dainsus Miller,CB,Fairburn,GA,5'10'',165,Marshall,,,,,2022,Marshall,76,, None, None,
Isaiah Gordon,RB,Daytona Beach,FL,6'0'',205,Marshall,,76,,,2022,Marshall,76,,469,143,
Maurice Jones,RB,Miami,FL,5'9'',185,Marshall,,,,,2022,Marshall,76,, None, None,
Cole Pennington,QB-PPLexington,KY,6'2'',200,76,,,49,,,2022,Marshall,Marshall,,,,
Leon Hart,OLB,Miami,FL,6'1'',205,Marshall,,,,,2022,Marshall,76,, None, None,
Toby Payne,TE-HPoca,WV,6'5'',225,76,,,28,,,2022,Marshall,Marshall,,,,
Peter Zamora,QB-PPAnderson,SC,6'0'',200,75,,,57,,,2022,Marshall,Marshall,,,,
Chase Harrison,QB-PPCenterville,OH,6'2'',205,75,,,58,,,2022,Marshall,Marshall,,,,
Jacobie Henderson,CB,Fort Mill,SC,5'10'',185,Marshall,,129,,,2022,Marshall,74,,626,24,
Zion Odoms,WR,Macon,GA,6'2'',175,Marshall,,195,,,2022,Marshall,74,,,,
Anthony Turner,RB,Colonial Heights,VA,6'0'',190,Marshall,,95,,,2022,Marshall,74,,,,
Anthony Dunn Jr.,DE,Sanford,FL,6'4'',250,Marshall,,643,,,2022,Marshall,74,,142,204,
Dyoni Hill,CB,Gainesville,FL,6'1'',175,Marshall,,136,,,2022,Marshall,73,,,,
Andrew Morris,OLB,Gilbert,AZ,6'2'',215,Marshall,,135,,,2022,Marshall,73,,,,
James Smyre,ILB,Phenix City,AL,6'2'',220,Marshall,,57,,,2022,Marshall,73,,745,73,
Cam Pedro,WR,Suwanee,GA,5'11'',170,Marshall,,238,,,2022,Marshall,72,,772,186,
Jalen Slappy,OT,Columbus,OH,6'5'',280,Marshall,,183,,,2022,Marshall,72,,,,
Gabriel Grubbs,S,Mesquite,TX,6'0'',190,Marshall,,119,,,2022,Marshall,72,,,,
Matthew Yuschak,OT,Woodstock,GA,6'6'',270,Marshall,,189,,,2022,Marshall,72,,,,
Alsethony McGhee,CB,Chipley,FL,5'10'',180,Marshall,,155,,,2022,Marshall,71,,794,248,
Antonio Robinson,WR,Oakdale,CT,6'1'',185,Marshall,,246,,,2022,Marshall,71,,,,
Tariq Montgomery,OT,Akron,OH,6'5'',310,Marshall,,206,,,2022,Marshall,70,,247,71,
Trent Fraley,OG,Coraopolis,PA,6'2'',280,Marshall,,124,,,2022,Marshall,70,,237,44,
Quentin Williams,DE,Charlotte,NC,,230,Marshall,,,,,2022,Marshall,TR,,,,
Bryan Robinson,WR,Wellington,FL,,190,Marshall,,,,,2022,Marshall,TR,,,,
Khalan Laborn,RB,Tallahassee,FL,,200,Marshall,,,,,2022,Marshall,TR,, None, None,
Isaiah Norman,S,Clarksville,TN,,210,Marshall,,,,,2022,Marshall,TR,, None, None,
Andre Sam,S,Lake Charles,LA,,180,Marshall,,,,,2022,Marshall,TR,,,,
Trent Holler,OG,Greenville,NC,,311,Marshall,,,,,2022,Marshall,TR,, None, None,
Henry Columbi,QB-DT,Fort Lauderdale,FL,,200,Marshall,,,,,2022,Marshall,TR,, None, None,
Isaiah Gibson,DT,Springfield,OH,,300,Marshall,,,,,2022,Marshall,TR,,,,
Anthony Watts,DT,West Lafayette,IN,,290,Marshall,,,,,2022,Marshall,TR,,,,
Jaden Yates,ILB,Gahanna,OH,6'2'',220,77.0,Marshall,32,,,2023,Marshall,,,83,26,
Ahmere Foster,S,Miami,FL,5'10'',160,75.0,Marshall,124,,,2023,Marshall,,,584,205,
Caleb Clark-Glover,CB,Cincinnati,OH,5'11'',175,73.0,Marshall,152,,,2023,Marshall,,,,,
C.J. Davis,ATH,Fort Wayne,IN,6'0'',175,73.0,Marshall,136,,,2023,Marshall,,,,,
Jayven Hall,ILB,Roswell,GA,6'1'',220,73.0,Marshall,714,,,2023,Marshall,,,,,
Tashawn Jeter,S,Winston-Salem,NC,6'0'',175,,Marshall,NR,,,2023,Marshall,,, NR, NR,
Beni Tshita,DE,Louisville,KY,6'3'',250,,Marshall,,,,2023,Marshall,,, None, None,
Shawn Rouse,OT,Ona,WV,6'5'',265,,Marshall,,,,2023,Marshall,,, None, None,
Layne Swafford,DE,Ponte Vedra Beach,FL,6'3'',235,,Marshall,,,,2023,Marshall,,,,,
Tracy Stephens,TE-Y,Columbia,SC,6'4'',240,,Marshall,,,,2023,Marshall,,,,,
Mathis Haygood,OLB,Tyrone,GA,6'2'',210,,Marshall,,,,2023,Marshall,,, None, None,
Guylijah Theodule,CB,Miami,FL,6'1'',170.0,77,Marshall,102,452,137,2024,Marshall,,,,,
Aidan Steinfeldt,TE-Y,Bloomington,IN,6'5'',245.0,75,Marshall,32,176,22,2024,Marshall,,,,,
Marcel Williams,WR,Pompano Beach,FL,5'11'',185.0,75,Marshall,182,,,2024,Marshall,,,,,
Corey Myrick,CB,Cincinnati,OH,6'1'',170.0,74,Marshall,142,,,2024,Marshall,,,,,
Chris Stokes,DT,Dallas,GA,6'4'',295.0,74,Marshall,104,,,2024,Marshall,,,,,
Michael Lunsford,TE-Y,Ona,WV,6'3'',250.0,73,Marshall,51,,,2024,Marshall,,,,,
Jacqai Long,QB-PP,Akron,OH,6'2'',200.0,73,Marshall,78,,,2024,Marshall,,,,,
Chason Clark,OLB,Starke,FL,6'2'',200.0,73,Marshall,125,,,2024,Marshall,,,,,
Ryley McIntosh,ATH,Virginia Beach,VA,5'10'',175.0,72,Marshall,168,,,2024,Marshall,,,,,
Shun'markus Adams,OG,Jasper,TX,6'4'',300.0,71,Marshall,141,882,32,2024,Marshall,,,,,
Andrew Hancock,OG,Myrtle Beach,SC,6'4'',295.0,70,Marshall,,,,2024,Marshall,,,,,
Kam Kynard,Hueytown,AL,6'1'',180,,Marshall,,,,,2024,Marshall,,,,,
Moses Gray Jr.,RB,New Orleans,LA,6'0'',205.0,,Marshall,NR,NR,NR,2024,Marshall,,,,,
Malik Caswell,S,Stockbridge,GA,6'0'',170.0,,Marshall,,,,2024,Marshall,,,,,
Cameron Chmura,DT,Wexford,PA,6'3'',275.0,,Marshall,,,,2024,Marshall,,,,,
Tychaun Chapman,WR,Virginia Beach,VA,5'9'',175.0,,Marshall,,,,2024,Marshall,,,,,
Mitch Griffis,QB-PP,Ashburn,VA,5'11'',193.0,,Marshall,,,,2024,Marshall,,,,,
