Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,School, Reg_rank, State_rank,University  
D.J. Hunter,S,Middletown,OH,6'0'',195,Marshall,,,,,2011,Marshall,80.0,,,,
Armonze Daniel,OLB,Avon,IN,6'3'',221,Marshall,,12,,,2011,Marshall,79.0,,,,
Craig Wilkins,WR,Hialeah,FL,5'10'',170,Marshall,,58,180,NR,2011,Marshall,78.0,,,,
Jarquez Samuel,DE,Valdosta,GA,6'4'',240,Marshall,,53,,,2011,Marshall,78.0,,,,
Levern Jacobs,WR,Forestville,MD,6'0'',160,Marshall,,78,,,2011,Marshall,78.0,,,,
Steward Butler,RB,Lakeland,FL,5'9'',170,Marshall,,42,265,NR,2011,Marshall,78.0,,,,
Jamar Lewter,OT,Washington,DC,6'8'',280,Marshall,,58,109,NR,2011,Marshall,77.0,,,,
Robert Mincey,DE,Fairfield,OH,6'3'',245,Marshall,,62,85,41,2011,Marshall,77.0,,,,
Rakim Reed,TE,Canton,OH,6'3'',210,Marshall,,6,120,54,2011,Marshall,77.0,,,,
Conelius Jones,ATH,Spartanburg,SC,6'2'',200,Marshall,,,,,2011,Marshall,77.0,,,,
Deon Meadows,OLB,Smyrna,TN,5'11'',199,Marshall,,,,,2011,Marshall,76.0,,,,
DeAndre Reaves,RB,Sterling,VA,5'9'',180,Marshall,,92,,,2011,Marshall,76.0,,,,
Davonte Allen,WR,Belle Glade,FL,6'0'',175,Marshall,,,,,2011,Marshall,75.0,,,,
Cortez Carter,ATH,Bealeton,VA,5'11'',210,Marshall,,125,187,30,2011,Marshall,75.0,,,,
Remi Watson,RB,Lakeland,FL,5'10'',190,Marshall,,,467,,2011,Marshall,75.0,,,,
Josue Joseph,OG,Orlando,FL,6'3'',253,Marshall,,,,,2011,Marshall,75.0,,,,
Eric Frohnapfel,TE,Stafford,VA,6'6'',201,Marshall,,65,216,33,2011,Marshall,75.0,,,,
Corie Wilson,CB,Miami,FL,5'10'',157,Marshall,,88,603,NR,2011,Marshall,74.0,,,,
Evan McKelvey,S,Moncks Corner,SC,6'0'',185,Marshall,,,,,2011,Marshall,74.0,,,,
Anthony Spano,OG,Naples,FL,6'3'',275,Marshall,,107,,,2011,Marshall,73.0,,,,
Keith Baxter,CB,Homestead,FL,5'11'',185,Marshall,,,,,2011,Marshall,73.0,,,,
Deontae West,ATH,Hialeah,FL,5'9'',159,Marshall,,187,678,NR,2011,Marshall,73.0,,,,
Blake Frohnapfel,QB,Stafford,VA,6'6'',213,Marshall,,104,283,49,2011,Marshall,73.0,,,,
Rakeem Cato,QB,Miami,FL,5'11'',165,Marshall,,72,,,2011,Marshall,72.0,,,,
Tommy Shuler,WR,Miami,FL,5'8'',170,Marshall,,210,735,NR,2011,Marshall,72.0,,,,
Derrick Campbell,OG,New Berlin,NY,Milford Academy,295,Marshall,,,,,2011,Marshall,,,,,
Robert Way,OLB,Belle Glade,FL,6'2'',188,Marshall,,217,,,2011,Marshall,,,,,
Jermaine Holmes,ILB,Valdosta,GA,6'0'',230,Marshall,,,,,2011,Marshall,,,,,
Christopher Alston,WR,Winnsboro,SC,5'10'',150,Marshall,,275,,,2011,Marshall,,,,,
Sebastian Johansson,OT,Raceland,KY,6'5'',315,Marshall,,,,,2011,Marshall,,,,,
Stefone Grace,ATH,Cincinnati,OH,Milford Academy,200,Marshall,,,,,2011,Marshall,,,,,
Terry Franklin,DE,Mansfield,TX,Tyler Junior College,235,Marshall,,,,,2011,Marshall,,,,,
Colin Munro,OT,Rancho Cucamonga,CA,Chaffey College,310,Marshall,,,,,2011,Marshall,,,,,
Kevin Grooms,ATH,Hollywood,FL,5'10'',175,81,Marshall,,,,2012,Marshall,5.0,, None, None,
Kent Turene,OLB,Fort Lauderdale,FL,6'3'',230,80,Marshall,,,,2012,Marshall,4.0,,,,
Amos Leggett,CB,Miami,FL,5'11'',175,80,Marshall,12,,,2012,Marshall,4.0,,,,
Corey Tindal,ATH,Fort Lauderdale,FL,5'10'',175,78,Marshall,,,,2012,Marshall,4.0,, None, None,
Steward Butler,RB,Lakeland,FL,5'10'',170,78,Marshall,,,,2012,Marshall,4.0,,,,
Jamar Lewter,OT,Washington,DC,6'8'',290,77,Marshall,,,,2012,Marshall,4.0,,,,
Steve Dillon,DE,Palmdale,CA,6'3'',240,77,Marshall,,,,2012,Marshall,4.0,,,,
Chris Hall,ATH,Dinwiddie,VA,6'4'',230,77,Marshall,,,,2012,Marshall,4.0,,,,
Rakim Reed,TE,Canton,OH,6'4'',210,77,Marshall,,,,2012,Marshall,4.0,,,,
Josh Murriel,OT,Port Saint Lucie,FL,6'5'',300,76,Marshall,108,,,2012,Marshall,4.0,,438,149,
DeAndre Reaves,RB,Sterling,VA,5'9'',180,76,Marshall,,,,2012,Marshall,4.0,, None, None,
Andre Scott,ATH,Orlando,FL,5'11'',180,75,Marshall,,,,2012,Marshall,4.0,,,,
Tyler Combs,OG,Louisa,KY,6'4'',283,75,Marshall,,,,2012,Marshall,4.0,, None, None,
Antonio Wells,DE,Martinsville,VA,6'3'',265,74,Marshall,180,,,2012,Marshall,4.0,,,,
Gunnar Holcombe,QB,Plantation,FL,6'2'',182,74,Marshall,104,,,2012,Marshall,4.0,,,,
Ryan Riedel,ILB,Ona,WV,6'0'',220,74,Marshall,,,,2012,Marshall,4.0,,,,
