Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Star,Unnamed: 8
Chris Burge,DE,Leeds,AL,6'1'',255,,73,Leeds High School,179,,,2024,U of Alabama Birmingham,,,,,
Nacari Johnson,CB,Fairburn,GA,6'3'',175,,73,Langston Hughes High School,186,801,202,2024,U of Alabama Birmingham,,,,,
Antavious Elder,DT,Madison,GA,6'2'',260,,73,Morgan County High School,121,,,2024,U of Alabama Birmingham,,,,,
Kade Martin,OG,Trussville,AL,6'3'',285,,NR,Hewitt-Trussville High School,,,,2024,U of Alabama Birmingham,,,,,
Xavier Daisey,WR,Norcross,GA,6'1'',200,,NR,Greater Atlanta Christian School,NR,,,2024,U of Alabama Birmingham,,,,,
J'Quan Mason,DE,McCalla,AL,6'3'',210,,NR,McAdory High School,, None, None,2024,U of Alabama Birmingham,,,,,
Myles Cooks,DE,Madison,AL,6'2'',250,,NR,Bob Jones High School,,,,2024,U of Alabama Birmingham,,,,,
Tyderick Brown,CB,Duncanville,TX,6'0'',170,,NR,Duncanville High School,, None, None,2024,U of Alabama Birmingham,,,,,
Nate Rogers,RB,Wetumpka,AL,5'10'',190,,NR,Wetumpka High School,, None, None,2024,U of Alabama Birmingham,,,,,
Jalen Kitna,QB-PP,Frisco,TX,6'4'',208,,TR,University of Alabama at Birmingham,,,,2024,U of Alabama Birmingham,,,,,
