Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,School,Reg_rank,State_rank,Star,Unnamed: 8
De'Vante Scott,WR,Ferriday, LA,5'10'',195,,78,,359,,,2013,U of Alabama Birmingham,UAB,,,,
Vincent Hunter,OG,Memphis, TN,6'5'',325,,76,,144,,,2013,U of Alabama Birmingham,UAB,691,52,,
Ed Autry,RB,Spanish Fort, AL,5'10'',170,,68,,,,,2013,U of Alabama Birmingham,UAB,,,,
Jale Coleman,OLB,Daphne, AL,6'2'',215,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Jordan Howard,RB,Gardendale, AL,6'0'',203,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Rodney Morris,WR,Alpharetta, GA,6'3'',215,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Ervin Alston,OLB,Orange Park, FL,6'0'',192,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
T.J. McCollum, None,Pinson, AL, None,6'2'',,195,,NR,,,2013,U of Alabama Birmingham,UAB,NR,NR,,
Je'Niah Jackson,ILB,Hoover, AL,5'11'',210,,,,,,,2013,U of Alabama Birmingham,UAB,,,,
Brandon Fuller,ILB,Pinson, AL,6'0'',220,,,,,,,2013,U of Alabama Birmingham,UAB,,,,
Zach Sims,OG,Birmingham, AL,6'2'',270,,,,,,,2013,U of Alabama Birmingham,UAB,,,,
Jordan Petty,CB,Florence, AL,5'9'',175,,,,,,,2013,U of Alabama Birmingham, UAB,,,,
Demetrius Smith,CB,Pensacola, FL,6'0'',157,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Connor Reed,ATH,Gardendale, AL,5'9'',180,,,,,,,2013,U of Alabama Birmingham,UAB,,,,
Courtney Foy,WR,Birmingham, AL,5'10'',172,, None,,NR,,,2013,U of Alabama Birmingham,UAB,,,,
Andra Smith,DT,Memphis, TN,6'4'',270,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
James Caligone,CB,Tulsa, OK,5'10'',160,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
J.J. Green,WR,Florence, AL,6'2'',180,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Adrian Kirkland,WR,Dothan, AL,5'8'',165,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Greg Maclin,S,Tanner, AL,6'2'',165,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Fredrick Rich,OLB,Tanner, AL,6'2'',185,, None,,NR,,,2013,U of Alabama Birmingham,UAB,,,,
Ryheem Dixon,ATH,Flomaton, AL,6'0'',195,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Nicolas Jackson,ATH,Birmingham, AL,6'0'',198,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Tajh Lowe,S,Tulsa, OK,5'11'',180,, None,,NR,,,2013,U of Alabama Birmingham,UAB,,,,
Kingsley Ejike,DE,Covington, GA,6'3'',230,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Jamari Staples,WR,Lineville, AL,6'3'',190,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Tristan Henderson,TE,Norwalk, CA,6'4'',250,, None,,,,,2013,U of Alabama Birmingham, UAB,,,,
Maudrecus Humphrey,WR,Hoover, AL,6'3'',185,, None,,,,,2013,U of Alabama Birmingham, UAB,,,,
Jimmy Jean,CB,Pompano Beach, FL,6'2'',180,, None,,,,,2013,U of Alabama Birmingham,UAB,,,,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,55.0,Georgia,,,,,2015,U of Alabama Birmingham,,,,,
Brett Skene,WR,Denver,CO,6'1'',190.0,78.0,Colorado,,,,,2015,U of Alabama Birmingham,,,,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,Texas,,,,,2015,U of Alabama Birmingham,,,,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,64.0,Texas,,,,,2015,U of Alabama Birmingham,,,,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,Texas,,,,,2015,U of Alabama Birmingham,,,,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,69.0,Florida,,,,,2015,U of Alabama Birmingham,,,,,
Steve Jones,CB,Kansas City,MO,,,,,,,,,2015,U of Alabama Birmingham,,,,,
Chad Gross,K,Suwanee,GA,,,,,,,,,2015,U of Alabama Birmingham,,,,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,Florida,,,,,2015,U of Alabama Birmingham,,,,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,64.0,,,,,,2015,U of Alabama Birmingham,,,,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,75.0,Texas,,,,,2015,U of Alabama Birmingham,,,,,
Clifton Garrett,ILB,Plainfield,IL,6'2'',230,,80.0,,1.0,,,2016,U of Alabama Birmingham,UAB,,,,
Greg Bryant,RB,Delray Beach,FL,5'10'',205,,79.0,,5,,,2016,U of Alabama Birmingham,UAB,,,,
Brandon Hill,OG,Collierville,TN,6'6'',375,,79.0,,3,,,2016,U of Alabama Birmingham,UAB,,,,
Sederian Copeland,QB-DT,Dallas,TX,5'11'',175,,73.0,,5,,,2016,U of Alabama Birmingham,UAB,,,,
Tyler Marshall,ATH,Dothan,AL,6'4'',240,,71.0,,118,,,2016,U of Alabama Birmingham,UAB,650,50,,
Shaquille Jones,OLB,Palm Bay,FL,6'2'',190,,70.0,,9,,,2016,U of Alabama Birmingham,UAB,,,,
A.J. Erdely,QB-PP,Cumming,GA,6'3'',210,,70.0,,5,,,2016,U of Alabama Birmingham,UAB,,,,
Tyler Johnston,QB-DT,Spanish Fort,AL,6'1'',190,,69.0,,,,,2016,U of Alabama Birmingham,UAB,,,,
Demetrius Davis,RB,,,5'11'',170,,,,,,,2016,U of Alabama Birmingham,UAB,,,,
Jamaal Morris,ILB,Madison,AL,6'2'',225,,,,,,,2016,U of Alabama Birmingham,UAB,,,,
Jordan Jamison,OT,Oxford,MS,6'6'',305,,,,NR,,,2016,U of Alabama Birmingham,UAB,NR,NR,,
Raylon Richardson,WR,Lithonia,GA,6'5'',208,,,,,,,2016,U of Alabama Birmingham,UAB,,,,
Chett Levay,TE-H,Tampa,FL,6'3'',200,,,,,,,2016,U of Alabama Birmingham,UAB,,,,
Zachary Williams,ILB,Wesson,MS,6'2'',235,,,,NR,,,2016,U of Alabama Birmingham,UAB,,,,
James Davis,OT,Jackson,MS,6'4'',300,,,,NR,,,2016,U of Alabama Birmingham,UAB,,,,
Maquedius Bain,DT,Fort Lauderdale,FL,6'4'',300,,,,,,,2016,U of Alabama Birmingham,UAB,,,,
Darez Diggs,CB,Washington,DC,6'2'',205,,,,,,,2016,U of Alabama Birmingham,UAB,,,,
Marquis Wimberly,WR,Victorville,CA,6'2'',200,,,,NR,,,2016,U of Alabama Birmingham,UAB,NR,NR,,
Thomas Johnston,ILB,Spanish Fort,AL,6'2'',215,78.0,UAB,,19,,,2017,U of Alabama Birmingham,,316,33,,
Kristopher Moll,S,Coral Gables,FL,5'11'',183,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
David Acfalle,S,Trussville,AL,5'11'',188,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Logan Arnold,TE-H,Hazel Green,AL,6'3'',220,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Patrick Nuss,OT,Vestavia Hills,AL,6'7'',270,,UAB,,NR,,,2017,U of Alabama Birmingham,,NR,NR,,
Antonio Moultrie,DT,Pensacola,FL,6'2'',260,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Grayson Cash,RB,Trussville,AL,5'11'',185,,UAB,,NR,,,2017,U of Alabama Birmingham,,NR,NR,,
Kobe Griffin,S,Troy,AL,5'11'',195,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Will Boler,S,Opelika,AL,5'11'',175,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Eugene Minter,WR,Birmingham,AL,6'3'',200,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Dyjonn Turner,S,Florence,AL,6'0'',200,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Spencer Brown,RB,Morris,AL,5'11'',226,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Joel Dixon,K,Melbourne,AUS,6'2'',205,,UAB,,,,,2017,U of Alabama Birmingham,,,,,
Anthony Rush,DT,Cary,NC,6'4'',305,,UAB,,NR,,,2017,U of Alabama Birmingham,,NR,NR,,
Jonathan Haden,RB,Upper Marlboro,MD,5'9'',190,,UAB,,NR,,,2017,U of Alabama Birmingham,,NR,NR,,
