Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,University 
Renato Cunha,OT,Miami,FL,6'4'',285,74.0,UCF,,102,,,2009,U of Central Florida,504,191,,,
Troy Davis,OLB,Lilburn,GA,6'1'',215,74.0,UCF,,,,,2009,U of Central Florida,,,,,
Jamie Boyle,K,Central Valley,NY,5'10'',175,74.0,UCF,,35,,,2009,U of Central Florida,247,16,,,
Leon Woods,WR,Lakeland,FL,6'1'',180,74.0,UCF,,144,,,2009,U of Central Florida,550,208,,,
Tay Irvin,DT,LaGrange,GA,6'0'',305,74.0,UCF,,74,,,2009,U of Central Florida,563,111,,,
Jim Teknipp,TE,Painesville,OH,6'5'',225,73.0,UCF,,NR,,,2009,U of Central Florida,,,,,
Samuel Johnson,OT,Ellenwood,GA,6'5'',255,73.0,UCF,,128,,,2009,U of Central Florida,584,117,,,
Frankie Davis,DT,Clermont,FL,6'3'',275,73.0,UCF,,98,,,2009,U of Central Florida,595,221,,,
Jarrett Swaby,S,Belle Glade,FL,6'1'',180,68.0,UCF,,,,,2009,U of Central Florida,,,,,
Dontravious Floyd,,Homestead,FL,6'2'',210,,UCF,,NR,,,2009,U of Central Florida,,,,,
Quincy McDuffie,,CB,Orlando,FL,5'9'',160.0,,UCF,NR,,,2009,U of Central Florida,,,,,
D.J. Brown,,TE,Dunnellon,FL,6'3'',207.0,,UCF,,,,2009,U of Central Florida,,,,,
Kemal Ishmael,ATH,North Miami Beach,FL,5'11'',175,,UCF,,NR,,,2009,U of Central Florida,,,,,
A.J. Bouye,CB,Tucker,GA,6'0'',175,,UCF,,,,,2009,U of Central Florida,,,,,
Brandon Bryant,DT,Atlanta,GA,6'4'',255,,UCF,,,,,2009,U of Central Florida,,,,,
Marquee Williams,WR,Ocala,FL,6'1'',185,,UCF,,,,,2009,U of Central Florida,,,,,
Richard Jackson,WR,Clermont,FL,6'3'',204,,UCF,,,,,2009,U of Central Florida, None, None,,,
Abre Leggins,OG,,Orlando,FL,6'4'',320.0,,UCF,,,,2009,U of Central Florida, NR, NR,,,
James Poe,RB,,Orlando,FL,6'3'',225.0,,UCF,,,,2009,U of Central Florida, None, None,,,
Jacques Mackeroy,WR,Lakeland,FL,5'11'',199,,78.0,UCF,64,200,NR,2011,U of Central Florida,,,,,
Willie Mitchell,OLB,Deltona,FL,6'0'',220,,78.0,UCF,51,,,2011,U of Central Florida,,,,,
Jeremy Davis,ATH, Cape Coral,FL,6'0'',160,,78.0,UCF,,,,2011,U of Central Florida,,,,,
Leilon Willingham,ILB,Denver,CO,6'1'',230,,78.0,UCF,23,,,2011,U of Central Florida,,,,,
Tarik Cook,OC,Stone Mountain,GA,6'2'',294,,78.0,UCF,9,,,2011,U of Central Florida,,,,,
Troy Gray,OLB,Kennesaw,GA,6'0'',215,,78.0,UCF,62,,,2011,U of Central Florida,,,,,
Jared Henry,S,Jacksonville,FL,6'0'',184,,78.0,UCF,39,,,2011,U of Central Florida,,,,,
Terrance Plummer,OLB,Orange Park,FL,5'11'',215,,78.0,UCF,70,,,2011,U of Central Florida,,,,,
Rayshon Williams,WR,Denver,CO,6'0'',190,,78.0,UCF,82,120,,2011,U of Central Florida,,,,,
Thomas Niles,DT,Gainesville,GA,6'2'',260,,77.0,UCF,65,318,68,2011,U of Central Florida,,,,,
DaMarcus Smith,QB,Louisville,KY,6'0'',178,,77.0,UCF,46,,,2011,U of Central Florida,,,,,
Deion Green,DE,Orlando,FL,6'3'',215,,77.0,UCF,93,359,NR,2011,U of Central Florida,,,,,
Miles Pace,DE,Miami,FL,6'0'',235,,77.0,UCF,77,,,2011,U of Central Florida,,,,,
Bruce Dukes,CB,Tyrone,GA,5'10'',175,,76.0,UCF,48,408,92,2011,U of Central Florida,,,,,
Demetris Anderson,DT,Fort Pierce,FL,6'2'',281,,76.0,UCF,430,86,,2011,U of Central Florida,,,,,
Dalton Wertz,DT,Arcadia,FL,6'1'',289,,75.0,UCF,457,91,,2011,U of Central Florida,,,,,
Tommy Sanders,OLB,Cordele,GA,6'1'',200,,75.0,UCF,,20,48,2011,U of Central Florida,,,,,
Cedric Thompson,RB,Miramar,FL,5'11'',210,,73.0,UCF,161,673,,2011,U of Central Florida,,,,,
Kevin Miller,DE,Delran,NJ,6'4'',245,,72.0,UCF,197,,,2011,U of Central Florida,,,,,
Brandon Bragg,S,Orlando,FL,6'1'',191,,72.0,UCF,135,,,2011,U of Central Florida,,,,,
Breshad Perriman,WR,Lithonia,GA,6'1'',180,,70.0,UCF,222,777,170,2011,U of Central Florida,,,,,
Joey Grant,DE,Altamonte Springs,FL,6'3'',226,,70.0,UCF,NR,,,2011,U of Central Florida,,,,,
Michael Easton,CB,Winter Haven,FL,5'11'',180,,,UCF,128,,,2011,U of Central Florida,,,,,
Rannell Hall,WR,Miami,FL,6'1'',170,,,UCF,275, None, None,2011,U of Central Florida,,,,,
Davious Chestnut,S,Hemingway,SC,6'2'',185,,,UCF,,,,2011,U of Central Florida,,,,,
Justin Tukes,TE,Sylvester,GA,6'4'',225,,,UCF,,,,2011,U of Central Florida,,,,,
Zach Soto,OT,Miami,FL,6'5'',265,,,UCF,,,,2011,U of Central Florida,,,,,
